	135		
Frequency (Hz)	Level (dB)

11.139739	-69.68
11.301211	-69.57
11.465025	-69.44
11.631213	-69.28
11.799810	-69.07
11.970850	-68.85
12.144370	-68.60
12.320405	-68.34
12.498992	-68.06
12.680168	-67.77
12.863969	-67.47
13.050435	-67.13
13.239604	-66.82
13.431515	-66.50
13.626208	-66.18
13.823722	-65.82
14.024100	-65.51
14.227382	-65.20
14.433611	-64.85
14.642829	-64.55
14.855080	-64.25
15.070408	-63.93
15.288856	-63.66
15.510471	-63.38
15.735299	-63.13
15.963385	-62.89
16.194778	-62.67
16.429525	-62.48
16.667674	-62.32
16.909275	-62.19
17.154379	-62.10
17.403035	-62.05
17.655296	-62.04
17.911213	-62.07
18.170840	-62.17
18.434230	-62.30
18.701438	-62.48
18.972519	-62.73
19.247530	-63.05
19.526527	-63.40
19.809568	-63.81
20.096712	-64.26
20.388018	-64.75
20.683546	-65.28
20.983358	-65.81
21.287517	-66.35
21.596084	-66.85
21.909123	-67.32
22.226701	-67.73
22.548881	-68.08
22.875732	-68.37
23.207320	-68.61
23.543715	-68.81
23.884986	-68.98
24.231204	-69.13
24.582441	-69.27
24.938768	-69.39
25.300261	-69.53
25.666993	-69.65
26.039042	-69.79
26.416483	-69.95
26.799396	-70.13
27.187858	-70.34
27.581952	-70.57
27.981758	-70.84
28.387360	-71.10
28.798840	-71.36
29.216286	-71.59
29.639782	-71.77
30.069416	-71.88
30.505279	-71.94
30.947459	-71.94
31.396049	-71.92
31.851141	-71.90
32.312830	-71.90
32.781212	-71.91
33.256382	-71.94
33.738440	-71.92
34.227486	-71.82
34.723620	-71.58
35.226947	-71.16
35.737568	-70.58
36.255592	-69.88
36.781124	-69.10
37.314274	-68.29
37.855152	-67.49
38.403871	-66.72
38.960543	-65.97
39.525284	-65.28
40.098211	-64.62
40.679443	-64.02
41.269100	-63.46
41.867304	-62.95
42.474180	-62.46
43.089852	-61.98
43.714448	-61.51
44.348098	-61.04
44.990933	-60.58
45.643086	-60.12
46.304692	-59.69
46.975888	-59.29
47.656813	-58.91
48.347609	-58.53
49.048418	-58.14
49.759385	-57.71
50.480657	-57.25
51.212385	-56.78
51.954719	-56.32
52.707813	-55.89
53.471824	-55.51
54.246909	-55.17
55.033230	-54.85
55.830948	-54.52
56.640229	-54.18
57.461241	-53.80
58.294153	-53.36
59.139139	-52.85
59.996373	-52.29
60.866033	-51.70
61.748299	-51.12
62.643354	-50.55
63.551382	-50.05
64.472573	-49.62
65.407116	-49.28
66.355206	-49.01
67.317038	-48.75
68.292813	-48.50
69.282731	-48.27
70.286999	-48.12
71.305824	-48.10
72.339416	-48.24
73.387991	-48.60
74.451765	-49.24
75.530959	-50.15
76.625796	-51.23
77.736503	-52.34
78.863310	-53.41
80.006450	-54.36
81.166160	-55.09
82.342680	-55.51
83.536255	-55.62
84.747130	-55.58
85.975557	-55.52
87.221791	-55.25
88.486089	-54.47
89.768713	-53.28
91.069929	-52.05
92.390007	-51.02
93.729219	-50.33
95.087844	-49.97
96.466162	-49.63
97.864459	-49.01
99.283025	-48.16
100.722153	-47.32
102.182141	-46.71
103.663293	-46.45
105.165914	-46.28
106.690316	-45.82
108.236814	-45.17
109.805729	-44.62
111.397386	-44.20
113.012114	-43.87
114.650248	-43.64
116.312128	-43.60
117.998096	-43.94
119.708503	-44.59
121.443703	-44.94
123.204054	-44.90
124.989923	-44.75
126.801678	-44.22
128.639694	-43.47
130.504354	-43.05
132.396041	-42.93
134.315150	-42.92
136.262076	-42.97
138.237223	-43.08
140.241000	-43.26
142.273823	-43.49
144.336111	-43.94
146.428293	-44.80
148.550802	-45.94
150.704076	-46.65
152.888563	-46.81
155.104715	-46.96
157.352990	-46.83
159.633854	-46.23
161.947780	-45.75
164.295247	-45.96
166.676741	-46.60
169.092755	-46.22
171.543790	-45.55
174.030353	-45.95
176.552959	-47.34
179.112131	-48.30
181.708398	-48.61
184.342299	-49.29
187.014379	-49.67
189.725192	-49.39
192.475298	-48.83
195.265267	-47.60
198.095678	-46.93
200.967116	-47.34
203.880176	-48.05
206.835462	-49.32
209.833585	-50.96
212.875166	-51.61
215.960836	-51.28
219.091233	-52.29
222.267006	-53.24
225.488813	-51.75
228.757320	-51.54
232.073205	-54.22
235.437154	-56.01
238.849865	-54.58
242.312043	-52.59
245.824407	-50.90
249.387683	-50.59
253.002609	-51.80
256.669935	-54.25
260.390419	-56.27
264.164832	-57.16
267.993956	-55.99
271.878584	-54.98
275.819521	-55.19
279.817582	-57.65
283.873596	-59.85
287.988403	-57.09
292.162855	-54.28
296.397817	-53.05
300.694165	-53.02
305.052789	-52.74
309.474593	-51.77
313.960491	-51.33
318.511414	-50.46
323.128303	-51.19
