	30		
Frequency (Hz)	Level (dB)

11.139739	-69.84
11.301211	-69.59
11.465025	-69.31
11.631213	-69.00
11.799810	-68.65
11.970850	-68.29
12.144370	-67.91
12.320405	-67.53
12.498992	-67.14
12.680168	-66.75
12.863969	-66.35
13.050435	-65.91
13.239604	-65.51
13.431515	-65.12
13.626208	-64.73
13.823722	-64.30
14.024100	-63.93
14.227382	-63.56
14.433611	-63.16
14.642829	-62.81
14.855080	-62.47
15.070408	-62.10
15.288856	-61.80
15.510471	-61.48
15.735299	-61.19
15.963385	-60.92
16.194778	-60.68
16.429525	-60.46
16.667674	-60.28
16.909275	-60.12
17.154379	-60.01
17.403035	-59.94
17.655296	-59.91
17.911213	-59.92
18.170840	-59.99
18.434230	-60.11
18.701438	-60.27
18.972519	-60.49
19.247530	-60.78
19.526527	-61.10
19.809568	-61.47
20.096712	-61.88
20.388018	-62.33
20.683546	-62.79
20.983358	-63.25
21.287517	-63.70
21.596084	-64.12
21.909123	-64.50
22.226701	-64.81
22.548881	-65.07
22.875732	-65.27
23.207320	-65.43
23.543715	-65.55
23.884986	-65.65
24.231204	-65.73
24.582441	-65.80
24.938768	-65.85
25.300261	-65.91
25.666993	-65.96
26.039042	-66.01
26.416483	-66.07
26.799396	-66.14
27.187858	-66.23
27.581952	-66.32
27.981758	-66.43
28.387360	-66.54
28.798840	-66.64
29.216286	-66.73
29.639782	-66.79
30.069416	-66.82
30.505279	-66.81
30.947459	-66.75
31.396049	-66.65
31.851141	-66.49
32.312830	-66.28
32.781212	-66.02
33.256382	-65.70
33.738440	-65.33
34.227486	-64.90
34.723620	-64.43
35.226947	-63.92
35.737568	-63.38
36.255592	-62.84
36.781124	-62.32
37.314274	-61.84
37.855152	-61.41
38.403871	-61.03
38.960543	-60.69
39.525284	-60.38
40.098211	-60.05
40.679443	-59.69
41.269100	-59.29
41.867304	-58.85
42.474180	-58.36
43.089852	-57.85
43.714448	-57.32
44.348098	-56.80
44.990933	-56.28
45.643086	-55.80
46.304692	-55.36
46.975888	-54.98
47.656813	-54.63
48.347609	-54.30
49.048418	-53.95
49.759385	-53.54
50.480657	-53.05
51.212385	-52.54
51.954719	-52.02
52.707813	-51.55
53.471824	-51.13
54.246909	-50.78
55.033230	-50.51
55.830948	-50.32
56.640229	-50.21
57.461241	-50.15
58.294153	-50.10
59.139139	-50.01
59.996373	-49.82
60.866033	-49.50
61.748299	-49.02
62.643354	-48.41
63.551382	-47.76
64.472573	-47.16
65.407116	-46.65
66.355206	-46.26
67.317038	-46.03
68.292813	-45.97
69.282731	-46.05
70.286999	-46.23
71.305824	-46.44
72.339416	-46.70
73.387991	-47.02
74.451765	-47.45
75.530959	-47.99
76.625796	-48.62
77.736503	-49.27
78.863310	-49.80
80.006450	-50.01
81.166160	-49.85
82.342680	-49.45
83.536255	-48.93
84.747130	-48.29
85.975557	-47.57
87.221791	-46.95
88.486089	-46.61
89.768713	-46.56
91.069929	-46.67
92.390007	-46.79
93.729219	-46.70
95.087844	-46.31
96.466162	-45.76
97.864459	-45.23
99.283025	-44.66
100.722153	-43.95
102.182141	-43.15
103.663293	-42.40
105.165914	-41.89
106.690316	-41.75
108.236814	-41.88
109.805729	-42.00
111.397386	-41.94
113.012114	-41.66
114.650248	-41.37
116.312128	-41.26
117.998096	-41.29
119.708503	-41.32
121.443703	-41.17
123.204054	-40.79
124.989923	-40.42
126.801678	-40.50
128.639694	-41.04
130.504354	-41.31
132.396041	-41.13
134.315150	-40.99
136.262076	-41.32
138.237223	-41.76
140.241000	-41.81
142.273823	-42.00
144.336111	-42.58
146.428293	-43.12
148.550802	-42.96
150.704076	-42.55
152.888563	-42.58
155.104715	-43.11
157.352990	-43.61
159.633854	-43.71
161.947780	-43.19
164.295247	-42.55
166.676741	-42.54
169.092755	-42.76
171.543790	-43.13
174.030353	-43.65
176.552959	-43.96
179.112131	-43.99
181.708398	-43.93
184.342299	-43.70
187.014379	-44.24
189.725192	-44.97
192.475298	-45.14
195.265267	-45.44
198.095678	-46.38
200.967116	-47.03
203.880176	-46.86
206.835462	-47.17
209.833585	-48.04
212.875166	-48.98
215.960836	-50.21
219.091233	-50.95
222.267006	-50.08
225.488813	-48.57
228.757320	-46.94
232.073205	-46.53
235.437154	-45.78
238.849865	-44.76
242.312043	-45.38
245.824407	-46.07
249.387683	-45.90
253.002609	-47.62
256.669935	-47.68
260.390419	-46.64
264.164832	-46.34
267.993956	-46.84
271.878584	-47.27
275.819521	-47.07
279.817582	-46.74
283.873596	-47.04
287.988403	-47.06
292.162855	-47.07
296.397817	-46.62
300.694165	-44.88
305.052789	-45.34
309.474593	-45.39
313.960491	-45.16
318.511414	-45.16
323.128303	-46.29
327.812115	-47.78
332.563820	-49.84
337.384402	-51.53
342.274859	-51.91
347.236204	-51.29
352.269465	-50.97
357.375684	-49.09
362.555919	-48.28
367.811243	-46.69
373.142743	-46.50
378.551525	-46.38
384.038708	-46.55
389.605429	-47.99
395.252841	-48.53
400.982113	-49.48
406.794432	-50.61
412.691002	-50.29
418.673044	-47.66
424.741797	-45.99
430.898518	-45.21
437.144481	-44.11
443.480981	-44.94
449.909331	-45.72
456.430860	-46.70
463.046920	-48.58
469.758882	-51.10
476.568134	-55.88
483.476089	-54.85
490.484175	-51.64
497.593845	-50.54
504.806572	-49.33
512.123848	-47.89
519.547190	-49.38
527.078134	-47.73
534.718242	-50.49
542.469094	-49.46
550.332296	-47.70
558.309477	-47.83
566.402289	-46.60
574.612408	-45.92
582.941535	-47.59
591.391394	-48.81
599.963735	-48.35
608.660334	-47.38
617.482992	-48.76
626.433537	-48.77
635.513821	-47.24
644.725726	-46.77
654.071160	-47.53
663.552057	-48.22
673.170382	-47.43
682.928127	-47.04
692.827312	-48.08
702.869989	-47.37
713.058235	-49.35
723.394163	-51.09
733.879912	-48.04
744.517654	-45.99
755.309592	-45.89
766.257962	-47.79
777.365030	-49.82
788.633098	-48.88
800.064499	-48.79
811.661600	-48.11
823.426804	-45.32
835.362547	-46.31
847.471301	-48.58
859.755574	-48.03
872.217910	-46.34
884.860890	-47.45
897.687132	-47.70
910.699294	-49.85
923.900070	-51.48
937.292194	-52.36
950.878439	-50.08
964.661620	-49.44
978.644591	-48.43
992.830248	-47.95
1007.221529	-47.70
1021.821414	-48.03
1036.632928	-49.18
1051.659138	-53.26
1066.903156	-61.96
1082.368140	-54.59
1098.057291	-52.44
1113.973860	-49.40
1130.121143	-49.12
1146.502484	-49.85
1163.121276	-51.06
1179.980961	-53.02
1197.085030	-50.33
