	75		
Frequency (Hz)	Level (dB)

11.139739	-71.39
11.301211	-71.14
11.465025	-70.86
11.631213	-70.55
11.799810	-70.18
11.970850	-69.80
12.144370	-69.41
12.320405	-69.01
12.498992	-68.59
12.680168	-68.17
12.863969	-67.75
13.050435	-67.28
13.239604	-66.86
13.431515	-66.45
13.626208	-66.04
13.823722	-65.59
14.024100	-65.20
14.227382	-64.82
14.433611	-64.41
14.642829	-64.05
14.855080	-63.70
15.070408	-63.32
15.288856	-63.01
15.510471	-62.69
15.735299	-62.40
15.963385	-62.13
16.194778	-61.88
16.429525	-61.66
16.667674	-61.48
16.909275	-61.32
17.154379	-61.21
17.403035	-61.14
17.655296	-61.11
17.911213	-61.13
18.170840	-61.20
18.434230	-61.32
18.701438	-61.49
18.972519	-61.72
19.247530	-62.02
19.526527	-62.36
19.809568	-62.74
20.096712	-63.17
20.388018	-63.64
20.683546	-64.13
20.983358	-64.63
21.287517	-65.12
21.596084	-65.59
21.909123	-66.01
22.226701	-66.39
22.548881	-66.71
22.875732	-66.98
23.207320	-67.21
23.543715	-67.41
23.884986	-67.60
24.231204	-67.79
24.582441	-67.96
24.938768	-68.13
25.300261	-68.30
25.666993	-68.47
26.039042	-68.63
26.416483	-68.79
26.799396	-68.94
27.187858	-69.09
27.581952	-69.24
27.981758	-69.39
28.387360	-69.53
28.798840	-69.65
29.216286	-69.77
29.639782	-69.87
30.069416	-69.95
30.505279	-70.01
30.947459	-70.04
31.396049	-70.05
31.851141	-70.03
32.312830	-69.97
32.781212	-69.86
33.256382	-69.70
33.738440	-69.44
34.227486	-69.09
34.723620	-68.62
35.226947	-68.05
35.737568	-67.38
36.255592	-66.65
36.781124	-65.87
37.314274	-65.08
37.855152	-64.28
38.403871	-63.50
38.960543	-62.73
39.525284	-62.00
40.098211	-61.31
40.679443	-60.66
41.269100	-60.07
41.867304	-59.53
42.474180	-59.04
43.089852	-58.61
43.714448	-58.25
44.348098	-57.96
44.990933	-57.71
45.643086	-57.49
46.304692	-57.25
46.975888	-56.96
47.656813	-56.63
48.347609	-56.26
49.048418	-55.90
49.759385	-55.56
50.480657	-55.27
51.212385	-55.01
51.954719	-54.76
52.707813	-54.50
53.471824	-54.20
54.246909	-53.88
55.033230	-53.56
55.830948	-53.25
56.640229	-52.97
57.461241	-52.72
58.294153	-52.49
59.139139	-52.27
59.996373	-52.04
60.866033	-51.77
61.748299	-51.42
62.643354	-50.97
63.551382	-50.41
64.472573	-49.73
65.407116	-49.00
66.355206	-48.29
67.317038	-47.68
68.292813	-47.22
69.282731	-46.92
70.286999	-46.80
71.305824	-46.86
72.339416	-47.11
73.387991	-47.55
74.451765	-48.16
75.530959	-48.91
76.625796	-49.71
77.736503	-50.42
78.863310	-50.96
80.006450	-51.29
81.166160	-51.43
82.342680	-51.42
83.536255	-51.33
84.747130	-51.23
85.975557	-51.10
87.221791	-50.86
88.486089	-50.38
89.768713	-49.69
91.069929	-48.97
92.390007	-48.30
93.729219	-47.69
95.087844	-47.06
96.466162	-46.31
97.864459	-45.42
99.283025	-44.59
100.722153	-44.00
102.182141	-43.68
103.663293	-43.59
105.165914	-43.48
106.690316	-43.08
108.236814	-42.48
109.805729	-41.90
111.397386	-41.37
113.012114	-40.92
114.650248	-40.66
116.312128	-40.70
117.998096	-41.02
119.708503	-41.55
121.443703	-42.11
123.204054	-42.55
124.989923	-42.86
126.801678	-43.01
128.639694	-43.19
130.504354	-43.68
132.396041	-44.12
134.315150	-43.95
136.262076	-43.42
138.237223	-43.29
140.241000	-43.72
142.273823	-43.64
144.336111	-42.96
146.428293	-42.64
148.550802	-43.24
150.704076	-43.97
152.888563	-44.11
155.104715	-44.05
157.352990	-43.71
159.633854	-42.83
161.947780	-42.46
164.295247	-43.20
166.676741	-44.16
169.092755	-44.83
171.543790	-45.52
174.030353	-46.35
176.552959	-46.89
179.112131	-46.78
181.708398	-46.21
184.342299	-45.99
187.014379	-46.22
189.725192	-46.67
192.475298	-47.04
195.265267	-46.74
198.095678	-46.35
200.967116	-46.24
203.880176	-46.26
206.835462	-47.30
209.833585	-49.26
212.875166	-50.88
215.960836	-52.21
219.091233	-52.93
222.267006	-52.68
225.488813	-52.07
228.757320	-51.46
232.073205	-51.09
235.437154	-51.38
238.849865	-51.02
242.312043	-49.41
245.824407	-48.42
249.387683	-48.74
253.002609	-49.29
256.669935	-49.33
260.390419	-48.63
264.164832	-48.65
267.993956	-47.98
271.878584	-47.74
275.819521	-47.76
279.817582	-48.53
283.873596	-49.44
287.988403	-49.32
292.162855	-47.81
296.397817	-47.96
300.694165	-48.20
305.052789	-48.04
309.474593	-48.04
313.960491	-48.17
318.511414	-47.61
323.128303	-47.81
327.812115	-50.41
332.563820	-51.93
337.384402	-53.25
342.274859	-54.86
347.236204	-55.69
352.269465	-55.53
357.375684	-53.90
362.555919	-52.13
367.811243	-49.76
373.142743	-46.32
378.551525	-45.47
384.038708	-46.06
389.605429	-47.79
395.252841	-48.75
400.982113	-48.66
406.794432	-48.22
412.691002	-49.69
418.673044	-52.10
424.741797	-48.86
430.898518	-47.39
437.144481	-48.15
443.480981	-47.56
449.909331	-48.32
456.430860	-48.13
463.046920	-48.70
469.758882	-50.16
476.568134	-52.81
483.476089	-56.59
490.484175	-55.23
497.593845	-54.62
504.806572	-54.21
512.123848	-51.16
519.547190	-49.66
527.078134	-50.17
534.718242	-54.64
542.469094	-55.24
550.332296	-52.57
558.309477	-50.69
566.402289	-50.54
574.612408	-50.76
582.941535	-49.87
591.391394	-47.72
599.963735	-49.07
608.660334	-49.90
617.482992	-49.79
626.433537	-51.27
635.513821	-50.57
644.725726	-50.02
654.071160	-53.57
663.552057	-60.60
673.170382	-53.84
682.928127	-50.58
692.827312	-51.33
702.869989	-50.29
713.058235	-50.71
723.394163	-52.23
733.879912	-50.74
744.517654	-48.29
755.309592	-47.00
766.257962	-50.02
777.365030	-54.28
788.633098	-54.35
800.064499	-54.36
811.661600	-52.06
823.426804	-48.32
835.362547	-48.25
847.471301	-50.36
859.755574	-50.32
872.217910	-49.45
884.860890	-49.35
897.687132	-52.18
910.699294	-54.78
923.900070	-58.98
937.292194	-56.48
950.878439	-54.33
964.661620	-54.88
978.644591	-53.98
992.830248	-53.03
1007.221529	-49.75
1021.821414	-50.02
1036.632928	-51.32
