* Measurement data measured by REW V5.20.13
* Source: ASIO hdspfire, Analog 1 (1)
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS, at 44100 Hz
* Dated: 04/06/2024 15:31:06
* Sense Resistor: 26.3
* Lead resistance: 0.000
* Input resistance: 20000.000
* Calibration factor: 0.9925
* Note: 
* Measurement: Parlante Colgado + 19 gr masa
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 2.0187378 Hz
*
* Freq(Hz)	Z(Ohms)	Phase(degrees)
67.291260	15.646593	-12.7995
67.627716	15.437978	-13.3243
67.964172	15.232041	-13.8133
68.300629	15.029194	-14.2776
68.637085	14.824628	-14.6996
68.973541	14.626692	-15.0875
69.309998	14.429235	-15.4497
69.646454	14.234361	-15.7725
69.982910	14.044675	-16.0648
70.319366	13.857433	-16.3291
70.655823	13.674760	-16.5627
70.992279	13.495680	-16.7739
71.328735	13.318621	-16.9528
71.665192	13.147436	-17.1026
72.001648	12.979757	-17.2290
72.338104	12.814118	-17.3195
72.674561	12.663287	-17.3674
73.011017	12.516179	-17.4662
73.347473	12.362732	-17.5238
73.683929	12.215688	-17.5470
74.020386	12.073207	-17.5512
74.356842	11.935313	-17.5352
74.693298	11.801098	-17.5054
75.029755	11.671665	-17.4516
75.366211	11.546415	-17.3944
75.702667	11.423827	-17.3134
76.039124	11.306497	-17.2241
76.375580	11.191807	-17.1207
76.712036	11.080624	-17.0060
77.048492	10.973685	-16.8735
77.384949	10.870538	-16.7399
77.721405	10.769829	-16.5939
78.057861	10.672124	-16.4362
78.394318	10.578866	-16.2709
78.730774	10.486716	-16.1006
79.067230	10.398925	-15.9142
79.403687	10.313757	-15.7275
79.740143	10.231455	-15.5337
80.076599	10.150945	-15.3317
80.413055	10.074353	-15.1225
80.749512	9.999691	-14.9128
81.085968	9.927151	-14.6962
81.422424	9.857243	-14.4751
81.758881	9.788886	-14.2490
82.095337	9.723528	-14.0166
82.431793	9.659928	-13.7793
82.768250	9.600315	-13.5431
83.104706	9.540040	-13.3121
83.441162	9.482262	-13.0629
83.777618	9.427424	-12.8188
84.114075	9.373980	-12.5728
84.450531	9.322088	-12.3269
84.786987	9.272006	-12.0763
85.123444	9.223166	-11.8294
85.459900	9.175893	-11.5739
85.796356	9.130251	-11.3190
86.132812	9.087524	-11.0636
86.469269	9.044462	-10.8156
86.805725	9.002995	-10.5588
87.142181	8.963231	-10.2994
87.478638	8.924841	-10.0454
87.815094	8.887913	-9.7830
88.151550	8.852825	-9.5300
88.488007	8.818197	-9.2776
88.824463	8.784234	-9.0226
89.160919	8.751607	-8.7668
89.497375	8.720525	-8.5077
89.833832	8.690609	-8.2561
90.170288	8.661106	-8.0011
90.506744	8.633223	-7.7473
90.843201	8.605901	-7.4961
91.179657	8.579579	-7.2450
91.516113	8.553788	-6.9934
91.852570	8.529707	-6.7406
92.189026	8.506156	-6.4983
92.525482	8.482211	-6.2476
92.861938	8.460722	-5.9987
93.198395	8.439474	-5.7554
93.534851	8.418196	-5.5149
93.871307	8.397925	-5.2646
94.207764	8.379650	-5.0242
94.544220	8.360358	-4.7914
94.880676	8.341479	-4.5417
95.217133	8.325681	-4.3073
95.553589	8.307643	-4.0724
95.890045	8.292152	-3.8317
96.226501	8.277113	-3.6026
96.562958	8.261452	-3.3734
96.899414	8.246921	-3.1397
97.235870	8.232957	-2.9129
97.572327	8.219090	-2.6826
97.908783	8.206463	-2.4560
98.245239	8.193837	-2.2302
98.581696	8.181870	-2.0082
98.918152	8.170002	-1.7818
99.254608	8.159171	-1.5593
99.591064	8.148922	-1.3323
99.927521	8.141087	-1.1147
100.263977	8.132252	-0.9159
100.600433	8.121504	-0.7127
100.936890	8.111498	-0.4984
101.273346	8.102338	-0.2903
101.609802	8.093064	-0.0764
101.946259	8.085199	0.1366
102.282715	8.077747	0.3424
102.619171	8.070243	0.5511
102.955627	8.063487	0.7531
103.292084	8.056694	0.9577
103.628540	8.050191	1.1577
103.964996	8.044058	1.3581
104.301453	8.037841	1.5607
104.637909	8.033079	1.7575
104.974365	8.027388	1.9536
105.310822	8.022597	2.1494
105.647278	8.018199	2.3456
105.983734	8.014188	2.5333
106.320190	8.009697	2.7234
106.656647	8.005622	2.9129
106.993103	8.002207	3.1028
107.329559	7.998889	3.2867
107.666016	7.995528	3.4709
108.002472	7.992171	3.6552
108.338928	7.989733	3.8399
108.675385	7.987155	4.0186
109.011841	7.984667	4.1987
109.348297	7.982218	4.3783
109.684753	7.980767	4.5579
110.021210	7.978812	4.7303
110.357666	7.977287	4.9086
110.694122	7.976128	5.0803
111.030579	7.975132	5.2515
111.367035	7.973694	5.4188
111.703491	7.972318	5.5905
112.039948	7.971607	5.7645
112.376404	7.971819	5.9313
112.712860	7.971428	6.0948
113.049316	7.970830	6.2583
113.385773	7.970768	6.4262
113.722229	7.971205	6.5871
114.058685	7.971426	6.7474
114.395142	7.971637	6.9053
114.731598	7.971426	7.0651
115.068054	7.972249	7.2310
115.404510	7.973991	7.3866
115.740967	7.975087	7.5372
116.077423	7.975539	7.6872
116.413879	7.975760	7.8432
116.750336	7.977329	8.0023
117.086792	7.979142	8.1530
117.423248	7.981107	8.3004
117.759705	7.981852	8.4477
118.096161	7.983981	8.5997
118.432617	7.985601	8.7447
118.769073	7.987789	8.8918
119.105530	7.989511	9.0351
119.441986	7.991840	9.1798
119.778442	7.993313	9.3223
120.114899	7.996317	9.4695
120.451355	7.998572	9.6068
120.787811	8.001419	9.7492
121.124268	8.003898	9.8849
121.460724	8.006433	10.0237
121.797180	8.009087	10.1609
122.133636	8.011983	10.2988
122.470093	8.015033	10.4327
122.806549	8.017968	10.5685
123.143005	8.021255	10.7002
123.479462	8.024193	10.8329
123.815918	8.027359	10.9654
124.152374	8.030952	11.0967
124.488831	8.034117	11.2249
124.825287	8.037572	11.3560
125.161743	8.041229	11.4837
125.498199	8.044715	11.6098
125.834656	8.048132	11.7372
126.171112	8.051887	11.8637
126.507568	8.055584	11.9884
126.844025	8.059163	12.1143
127.180481	8.063514	12.2398
127.516937	8.067479	12.3595
127.853394	8.071280	12.4816
128.189850	8.075102	12.6037
128.526306	8.079498	12.7262
128.862762	8.083653	12.8441
129.199219	8.087897	12.9639
129.535675	8.092057	13.0818
129.872131	8.096717	13.2010
130.208588	8.101240	13.3152
130.545044	8.105736	13.4304
130.881500	8.110176	13.5434
131.217957	8.114470	13.6564
131.554413	8.118758	13.7705
131.890869	8.123286	13.8846
132.227325	8.128078	13.9974
132.563782	8.132638	14.1074
132.900238	8.137201	14.2205
133.236694	8.141968	14.3308
133.573151	8.146790	14.4439
133.909607	8.152071	14.5525
134.246063	8.156924	14.6605
134.582520	8.161837	14.7689
134.918976	8.166929	14.8776
135.255432	8.172165	14.9837
135.591888	8.177109	15.0904
135.928345	8.182549	15.1963
136.264801	8.187560	15.2996
136.601257	8.192570	15.4052
136.937714	8.197897	15.5102
137.274170	8.203258	15.6131
137.610626	8.208481	15.7140
