* Measurement data measured by REW V5.20.13
* Source: ASIO hdspfire, Analog 1 (1)
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS, at 44100 Hz
* Dated: 04/06/2024 15:30:21
* Sense Resistor: 26.3
* Lead resistance: 0.000
* Input resistance: 20000.000
* Calibration factor: 0.9925
* Note: 
* Measurement: Parlante Colgado
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 2.0187378 Hz
*
* Freq(Hz)	Z(Ohms)	Phase(degrees)
67.964172	16.013348	32.5420
68.300629	16.168348	32.2410
68.637085	16.314537	32.0108
68.973541	16.466482	31.6980
69.309998	16.618481	31.4322
69.646454	16.772461	31.1047
69.982910	16.926331	30.7962
70.319366	17.083639	30.4603
70.655823	17.241652	30.1007
70.992279	17.397451	29.7420
71.328735	17.557175	29.3465
71.665192	17.712063	28.9608
72.001648	17.870291	28.5388
72.338104	18.028896	28.1392
72.674561	18.192348	27.6710
73.011017	18.347275	27.2283
73.347473	18.508598	26.7307
73.683929	18.661102	26.2547
74.020386	18.821825	25.7278
74.356842	18.969824	25.2075
74.693298	19.126007	24.6650
75.029755	19.274809	24.0990
75.366211	19.421467	23.5220
75.702667	19.564985	22.9284
76.039124	19.706610	22.3245
76.375580	19.845663	21.6933
76.712036	19.976692	21.0527
77.048492	20.108023	20.4010
77.384949	20.230759	19.7196
77.721405	20.349247	19.0483
78.057861	20.464312	18.3392
78.394318	20.572874	17.6400
78.730774	20.673908	16.8935
79.067230	20.767511	16.1830
79.403687	20.859285	15.4088
79.740143	20.934994	14.6684
80.076599	21.012112	13.8860
80.413055	21.072098	13.1132
80.749512	21.129971	12.3344
81.085968	21.180975	11.5350
81.422424	21.214760	10.7351
81.758881	21.247158	9.9384
82.095337	21.266319	9.1238
82.431793	21.272144	8.3242
82.768250	21.282000	7.5271
83.104706	21.268419	6.6955
83.441162	21.254560	5.9198
83.777618	21.229380	5.0829
84.114075	21.189199	4.3124
84.450531	21.153770	3.4958
84.786987	21.091131	2.7112
85.123444	21.035963	1.9327
85.459900	20.962677	1.1496
85.796356	20.884956	0.3892
86.132812	20.799503	-0.3745
86.469269	20.702978	-1.1134
86.805725	20.605431	-1.8544
87.142181	20.492760	-2.5705
87.478638	20.382256	-3.2768
87.815094	20.261316	-3.9708
88.151550	20.136440	-4.6526
88.488007	20.005136	-5.3184
88.824463	19.868792	-5.9660
89.160919	19.729151	-6.6006
89.497375	19.584414	-7.2151
89.833832	19.436537	-7.8155
90.170288	19.286327	-8.3956
90.506744	19.131683	-8.9629
90.843201	18.976700	-9.5098
91.179657	18.816418	-10.0404
91.516113	18.658112	-10.5522
91.852570	18.494156	-11.0486
92.189026	18.332264	-11.5182
92.525482	18.170376	-11.9869
92.861938	18.000919	-12.4216
93.198395	17.842197	-12.8439
93.534851	17.672657	-13.2574
93.871307	17.509134	-13.6392
94.207764	17.344326	-14.0130
94.544220	17.177498	-14.3568
94.880676	17.023252	-14.6949
95.217133	16.851620	-15.0273
95.553589	16.698971	-15.3128
95.890045	16.535013	-15.6200
96.226501	16.377186	-15.8909
96.562958	16.219992	-16.1338
96.899414	16.063143	-16.4041
97.235870	15.910455	-16.5851
97.572327	15.759433	-16.8513
97.908783	15.605541	-17.0033
98.245239	15.456754	-17.2146
98.581696	15.312227	-17.3387
98.918152	15.174058	-17.5118
99.254608	15.035821	-17.6606
99.591064	14.894530	-17.8103
99.927521	14.755707	-17.9230
100.263977	14.623880	-18.0376
100.600433	14.488333	-18.1385
100.936890	14.359751	-18.2344
101.273346	14.226177	-18.3013
101.609802	14.106397	-18.3732
101.946259	13.975201	-18.4395
102.282715	13.854980	-18.4715
102.619171	13.733894	-18.5091
102.955627	13.617015	-18.5317
103.292084	13.502350	-18.5503
103.628540	13.386560	-18.5641
103.964996	13.276100	-18.5471
104.301453	13.169119	-18.5481
104.637909	13.060108	-18.5334
104.974365	12.955243	-18.5049
105.310822	12.852042	-18.4739
105.647278	12.750272	-18.4323
105.983734	12.652205	-18.3809
106.320190	12.554474	-18.3321
106.656647	12.459269	-18.2654
106.993103	12.366096	-18.1984
107.329559	12.274683	-18.1240
107.666016	12.186016	-18.0395
108.002472	12.098086	-17.9648
108.338928	12.011080	-17.8612
108.675385	11.928774	-17.7697
109.011841	11.845671	-17.6647
109.348297	11.766020	-17.5624
109.684753	11.686210	-17.4500
110.021210	11.608960	-17.3332
110.357666	11.534307	-17.2113
110.694122	11.459221	-17.0929
111.030579	11.387081	-16.9573
111.367035	11.316203	-16.8281
111.703491	11.246777	-16.6904
112.039948	11.179072	-16.5469
112.376404	11.113917	-16.4094
112.712860	11.047538	-16.2659
113.049316	10.983920	-16.1137
113.385773	10.921414	-15.9611
113.722229	10.860511	-15.8024
114.058685	10.802411	-15.6450
114.395142	10.742297	-15.4960
114.731598	10.684709	-15.3137
115.068054	10.631196	-15.1579
115.404510	10.574542	-14.9884
115.740967	10.522641	-14.8113
116.077423	10.470873	-14.6510
116.413879	10.417511	-14.4727
116.750336	10.369102	-14.2890
117.086792	10.320449	-14.1203
117.423248	10.271469	-13.9360
117.759705	10.226174	-13.7554
118.096161	10.178850	-13.5800
118.432617	10.133947	-13.3826
118.769073	10.091767	-13.2048
119.105530	10.047400	-13.0182
119.441986	10.005901	-12.8269
119.778442	9.965157	-12.6371
120.114899	9.925167	-12.4503
120.451355	9.885407	-12.2558
120.787811	9.847934	-12.0645
121.124268	9.809763	-11.8723
121.460724	9.773648	-11.6760
121.797180	9.737863	-11.4833
122.133636	9.702991	-11.2871
122.470093	9.669121	-11.0936
122.806549	9.635337	-10.8991
123.143005	9.602503	-10.7004
123.479462	9.570884	-10.5050
123.815918	9.539040	-10.3057
124.152374	9.509086	-10.1069
124.488831	9.479424	-9.9069
124.825287	9.450654	-9.7133
125.161743	9.421700	-9.5132
125.498199	9.393888	-9.3140
125.834656	9.367180	-9.1138
126.171112	9.340378	-8.9188
126.507568	9.313996	-8.7161
126.844025	9.289133	-8.5150
127.180481	9.264663	-8.3154
127.516937	9.240935	-8.1191
127.853394	9.216578	-7.9203
128.189850	9.194182	-7.7165
128.526306	9.171852	-7.5214
128.862762	9.150351	-7.3186
