	120		
Frequency (Hz)	Level (dB)

11.139739	-62.89
11.301211	-62.65
11.465025	-62.41
11.631213	-62.18
11.799810	-61.94
11.970850	-61.72
12.144370	-61.50
12.320405	-61.30
12.498992	-61.10
12.680168	-60.92
12.863969	-60.74
13.050435	-60.55
13.239604	-60.39
13.431515	-60.24
13.626208	-60.10
13.823722	-59.96
14.024100	-59.85
14.227382	-59.74
14.433611	-59.64
14.642829	-59.56
14.855080	-59.49
15.070408	-59.44
15.288856	-59.40
15.510471	-59.38
15.735299	-59.37
15.963385	-59.38
16.194778	-59.40
16.429525	-59.44
16.667674	-59.49
16.909275	-59.57
17.154379	-59.64
17.403035	-59.76
17.655296	-59.87
17.911213	-59.99
18.170840	-60.16
18.434230	-60.32
18.701438	-60.50
18.972519	-60.69
19.247530	-60.92
19.526527	-61.14
19.809568	-61.37
20.096712	-61.61
20.388018	-61.86
20.683546	-62.11
20.983358	-62.36
21.287517	-62.60
21.596084	-62.83
21.909123	-63.05
22.226701	-63.25
22.548881	-63.44
22.875732	-63.62
23.207320	-63.80
23.543715	-63.97
23.884986	-64.13
24.231204	-64.31
24.582441	-64.48
24.938768	-64.65
25.300261	-64.82
25.666993	-65.00
26.039042	-65.17
26.416483	-65.35
26.799396	-65.52
27.187858	-65.70
27.581952	-65.87
27.981758	-66.06
28.387360	-66.24
28.798840	-66.41
29.216286	-66.60
29.639782	-66.79
30.069416	-66.98
30.505279	-67.17
30.947459	-67.37
31.396049	-67.57
31.851141	-67.77
32.312830	-67.98
32.781212	-68.18
33.256382	-68.37
33.738440	-68.54
34.227486	-68.67
34.723620	-68.75
35.226947	-68.76
35.737568	-68.69
36.255592	-68.51
36.781124	-68.20
37.314274	-67.78
37.855152	-67.24
38.403871	-66.61
38.960543	-65.92
39.525284	-65.23
40.098211	-64.53
40.679443	-63.86
41.269100	-63.24
41.867304	-62.65
42.474180	-62.11
43.089852	-61.61
43.714448	-61.15
44.348098	-60.73
44.990933	-60.34
45.643086	-59.97
46.304692	-59.62
46.975888	-59.27
47.656813	-58.91
48.347609	-58.53
49.048418	-58.13
49.759385	-57.69
50.480657	-57.22
51.212385	-56.72
51.954719	-56.21
52.707813	-55.69
53.471824	-55.18
54.246909	-54.72
55.033230	-54.34
55.830948	-54.09
56.640229	-53.94
57.461241	-53.84
58.294153	-53.72
59.139139	-53.48
59.996373	-53.12
60.866033	-52.66
61.748299	-52.15
62.643354	-51.62
63.551382	-51.08
64.472573	-50.51
65.407116	-49.95
66.355206	-49.42
67.317038	-48.95
68.292813	-48.56
69.282731	-48.31
70.286999	-48.26
71.305824	-48.45
72.339416	-48.89
73.387991	-49.53
74.451765	-50.32
75.530959	-51.18
76.625796	-51.99
77.736503	-52.65
78.863310	-53.25
80.006450	-53.99
81.166160	-54.91
82.342680	-55.76
83.536255	-56.18
84.747130	-56.20
85.975557	-56.08
87.221791	-55.81
88.486089	-55.24
89.768713	-54.33
91.069929	-53.18
92.390007	-52.00
93.729219	-51.04
95.087844	-50.33
96.466162	-49.71
97.864459	-49.01
99.283025	-48.22
100.722153	-47.39
102.182141	-46.54
103.663293	-45.71
105.165914	-45.15
106.690316	-45.11
108.236814	-45.52
109.805729	-46.14
111.397386	-46.58
113.012114	-46.44
114.650248	-45.67
116.312128	-44.70
117.998096	-44.06
119.708503	-43.98
121.443703	-44.46
123.204054	-45.18
124.989923	-45.55
126.801678	-45.67
128.639694	-45.72
130.504354	-45.49
132.396041	-45.09
134.315150	-44.74
136.262076	-44.50
138.237223	-44.55
140.241000	-44.89
142.273823	-45.03
144.336111	-44.85
146.428293	-44.66
148.550802	-44.74
150.704076	-45.12
152.888563	-45.67
155.104715	-46.38
157.352990	-47.28
159.633854	-47.69
161.947780	-47.25
164.295247	-46.59
166.676741	-46.24
169.092755	-46.46
171.543790	-46.78
174.030353	-47.11
176.552959	-47.63
179.112131	-47.89
181.708398	-47.45
184.342299	-46.96
187.014379	-47.20
189.725192	-47.43
192.475298	-46.06
195.265267	-45.16
198.095678	-44.97
200.967116	-45.15
203.880176	-45.37
206.835462	-45.00
209.833585	-45.63
212.875166	-47.80
215.960836	-50.26
219.091233	-51.89
222.267006	-52.34
225.488813	-51.67
228.757320	-51.91
232.073205	-52.79
235.437154	-54.28
238.849865	-57.46
242.312043	-59.89
245.824407	-56.51
249.387683	-54.84
253.002609	-55.77
256.669935	-56.27
260.390419	-55.62
264.164832	-55.03
267.993956	-54.69
271.878584	-53.85
275.819521	-53.49
279.817582	-53.68
283.873596	-54.54
287.988403	-54.77
292.162855	-53.96
296.397817	-52.42
300.694165	-50.72
305.052789	-50.79
309.474593	-51.43
313.960491	-50.64
318.511414	-50.30
323.128303	-51.95
327.812115	-53.22
332.563820	-53.87
337.384402	-55.56
342.274859	-56.97
347.236204	-58.16
352.269465	-62.45
357.375684	-64.43
362.555919	-62.94
367.811243	-59.01
373.142743	-54.69
378.551525	-52.65
384.038708	-52.72
389.605429	-53.50
395.252841	-53.14
400.982113	-54.03
406.794432	-54.89
412.691002	-55.35
418.673044	-55.91
424.741797	-53.49
430.898518	-52.66
437.144481	-52.04
443.480981	-50.45
449.909331	-50.42
456.430860	-51.37
463.046920	-52.20
469.758882	-51.75
476.568134	-51.50
483.476089	-55.27
490.484175	-63.17
497.593845	-61.37
504.806572	-60.60
512.123848	-59.20
519.547190	-56.66
527.078134	-56.70
534.718242	-59.78
542.469094	-64.86
550.332296	-59.92
558.309477	-60.42
566.402289	-56.33
574.612408	-53.39
582.941535	-52.20
591.391394	-50.13
599.963735	-51.05
608.660334	-50.65
617.482992	-50.14
626.433537	-50.69
635.513821	-49.18
644.725726	-48.14
654.071160	-47.76
663.552057	-52.22
673.170382	-57.57
682.928127	-60.54
692.827312	-59.87
702.869989	-55.72
713.058235	-53.81
723.394163	-55.77
733.879912	-56.91
744.517654	-52.00
755.309592	-48.76
766.257962	-47.95
777.365030	-49.31
788.633098	-49.47
800.064499	-51.15
811.661600	-55.53
823.426804	-61.92
835.362547	-60.02
847.471301	-57.16
859.755574	-55.85
872.217910	-51.96
884.860890	-50.79
897.687132	-49.82
910.699294	-50.74
923.900070	-54.02
937.292194	-61.09
950.878439	-59.95
964.661620	-60.21
978.644591	-66.25
992.830248	-58.01
1007.221529	-52.12
1021.821414	-51.63
1036.632928	-52.51
1051.659138	-56.52
1066.903156	-66.53
1082.368140	-61.79
1098.057291	-60.42
1113.973860	-62.30
1130.121143	-71.64
1146.502484	-66.68
1163.121276	-59.23
1179.980961	-59.31
1197.085030	-56.14
1214.437027	-52.75
1232.040544	-51.97
1249.899229	-53.91
1268.016778	-59.24
1286.396945	-62.56
1305.043536	-57.93
1323.960414	-56.26
1343.151496	-56.65
1362.620756	-59.84
1382.372227	-65.29
1402.410000	-65.38
1422.738225	-61.91
1443.361112	-62.06
1464.282931	-61.54
1485.508017	-62.36
1507.040765	-65.01
1528.885634	-62.87
1551.047150	-63.05
1573.529901	-65.15
1596.338544	-58.59
1619.477804	-58.37
1642.952471	-57.12
1666.767409	-58.21
1690.927550	-65.84
1715.437896	-65.42
1740.303526	-66.57
1765.529587	-73.53
1791.121306	-67.04
1817.083982	-65.01
1843.422992	-65.20
1870.143792	-65.81
1897.251916	-68.19
1924.752977	-64.75
1952.652672	-63.89
1980.956779	-65.43
2009.671159	-69.08
2038.801761	-63.98
2068.354617	-63.06
2098.335847	-60.85
2128.751662	-69.70
2159.608360	-71.76
2190.912333	-71.56
2222.670063	-67.57
2254.888128	-64.44
2287.573200	-69.01
2320.732050	-71.71
2354.371544	-75.91
2388.498649	-71.94
2423.120434	-72.89
2458.244069	-74.47
2493.876828	-74.46
2530.026092	-72.94
2566.699346	-70.70
2603.904187	-73.83
2641.648320	-71.26
2679.939562	-72.86
2718.785844	-72.72
2758.195211	-76.22
2798.175824	-77.33
2838.735965	-73.65
2879.884033	-74.49
2921.628551	-69.46
2963.978165	-72.27
3006.941645	-75.22
3050.527890	-74.54
3094.745927	-71.75
3139.604913	-71.14
3185.114139	-76.69
3231.283032	-73.36
3278.121151	-78.27
3325.638200	-76.18
3373.844017	-72.48
3422.748588	-77.60
3472.362041	-74.49
3522.694651	-76.43
3573.756843	-74.32
3625.559192	-76.61
3678.112427	-76.07
3731.427432	-75.85
3785.515249	-78.73
3840.387080	-77.70
3896.054290	-81.34
3952.528408	-80.68
4009.821129	-78.70
4067.944321	-81.68
4126.910020	-76.22
4186.730440	-77.41
4247.417969	-75.74
4308.985176	-80.04
4371.444813	-77.51
4434.809815	-77.45
4499.093306	-78.12
4564.308599	-74.59
4630.469202	-71.87
4697.588817	-75.26
4765.681344	-76.22
4834.760887	-77.36
4904.841752	-77.76
4975.938453	-75.50
5048.065717	-77.13
5121.238480	-79.06
5195.471897	-77.46
5270.781343	-76.65
5347.182415	-77.68
5424.690937	-79.29
5503.322961	-78.20
5583.094772	-82.09
5664.022893	-81.23
5746.124083	-78.94
5829.415347	-79.38
5913.913936	-82.50
5999.637349	-80.66
6086.603340	-81.36
6174.829922	-81.72
6264.335367	-78.74
6355.138211	-82.49
6447.257262	-80.10
6540.711597	-78.25
6635.520573	-82.24
6731.703824	-80.50
6829.281272	-82.02
6928.273125	-88.24
7028.699885	-85.02
7130.582353	-82.80
7233.941627	-87.27
7338.799116	-84.70
7445.176537	-83.98
7553.095920	-85.12
7662.579617	-85.82
7773.650302	-85.29
7886.330981	-87.41
8000.644989	-86.68
8116.616003	-89.60
8234.268041	-87.02
8353.625470	-86.03
8474.713009	-84.71
8597.555737	-86.37
8722.179097	-84.48
8848.608897	-81.37
8976.871324	-82.10
9106.992942	-86.56
9239.000700	-85.78
9372.921937	-85.98
9508.784391	-89.72
9646.616199	-88.55
9786.445908	-90.40
9928.302478	-90.52
10072.215288	-89.59
10218.214144	-91.50
10366.329284	-94.46
10516.591384	-94.34
10669.031565	-96.14
10823.681397	-98.33
10980.572911	-98.98
11139.738600	-97.00
11301.211429	-97.80
11465.024840	-100.65
11631.212760	-99.81
11799.809609	-98.65
11970.850305	-97.78
12144.370271	-98.90
12320.405445	-100.01
12498.992285	-98.93
12680.167779	-99.65
12863.969449	-101.28
13050.435363	-101.51
13239.604139	-101.74
13431.514956	-100.61
13626.207560	-100.68
13823.722274	-99.88
14024.100004	-101.10
14227.382252	-100.43
14433.611118	-101.28
14642.829314	-102.06
14855.080172	-101.65
15070.407650	-100.59
15288.856344	-99.55
15510.471498	-99.62
15735.299010	-100.95
15963.385443	-101.92
16194.778036	-102.76
16429.524714	-101.37
16667.674093	-103.03
16909.275497	-101.67
17154.378963	-98.89
17403.035256	-101.52
17655.295873	-101.72
17911.213060	-102.87
18170.839820	-104.38
18434.229924	-105.10
18701.437922	-105.84
18972.519156	-105.43
19247.529769	-104.82
19526.526718	-104.35
19809.567786	-104.04
20096.711592	-105.14
20388.017608	-104.76
20683.546166	-104.31
20983.358471	-105.11
21287.516618	-104.25
21596.083601	-104.38
21909.123326	-105.09
22226.700627	-105.10
