	180		
Frequency (Hz)	Level (dB)

11.139739	-64.37
11.301211	-64.36
11.465025	-64.33
11.631213	-64.27
11.799810	-64.19
11.970850	-64.09
12.144370	-63.97
12.320405	-63.84
12.498992	-63.70
12.680168	-63.54
12.863969	-63.37
13.050435	-63.19
13.239604	-63.00
13.431515	-62.81
13.626208	-62.62
13.823722	-62.40
14.024100	-62.20
14.227382	-61.99
14.433611	-61.77
14.642829	-61.56
14.855080	-61.36
15.070408	-61.13
15.288856	-60.94
15.510471	-60.74
15.735299	-60.56
15.963385	-60.39
16.194778	-60.24
16.429525	-60.11
16.667674	-60.00
16.909275	-59.91
17.154379	-59.86
17.403035	-59.84
17.655296	-59.85
17.911213	-59.90
18.170840	-60.02
18.434230	-60.16
18.701438	-60.35
18.972519	-60.59
19.247530	-60.90
19.526527	-61.25
19.809568	-61.64
20.096712	-62.08
20.388018	-62.56
20.683546	-63.07
20.983358	-63.60
21.287517	-64.14
21.596084	-64.67
21.909123	-65.18
22.226701	-65.66
22.548881	-66.11
22.875732	-66.53
23.207320	-66.92
23.543715	-67.29
23.884986	-67.64
24.231204	-68.00
24.582441	-68.32
24.938768	-68.65
25.300261	-68.98
25.666993	-69.28
26.039042	-69.58
26.416483	-69.89
26.799396	-70.18
27.187858	-70.49
27.581952	-70.78
27.981758	-71.08
28.387360	-71.37
28.798840	-71.64
29.216286	-71.89
29.639782	-72.10
30.069416	-72.26
30.505279	-72.36
30.947459	-72.40
31.396049	-72.38
31.851141	-72.29
32.312830	-72.14
32.781212	-71.92
33.256382	-71.62
33.738440	-71.22
34.227486	-70.73
34.723620	-70.15
35.226947	-69.48
35.737568	-68.74
36.255592	-67.99
36.781124	-67.23
37.314274	-66.47
37.855152	-65.74
38.403871	-65.05
38.960543	-64.38
39.525284	-63.78
40.098211	-63.22
40.679443	-62.71
41.269100	-62.27
41.867304	-61.88
42.474180	-61.55
43.089852	-61.28
43.714448	-61.07
44.348098	-60.92
44.990933	-60.81
45.643086	-60.73
46.304692	-60.64
46.975888	-60.53
47.656813	-60.36
48.347609	-60.13
49.048418	-59.84
49.759385	-59.50
50.480657	-59.11
51.212385	-58.69
51.954719	-58.26
52.707813	-57.82
53.471824	-57.37
54.246909	-56.90
55.033230	-56.37
55.830948	-55.78
56.640229	-55.14
57.461241	-54.49
58.294153	-53.89
59.139139	-53.34
59.996373	-52.88
60.866033	-52.51
61.748299	-52.24
62.643354	-52.06
63.551382	-51.96
64.472573	-51.92
65.407116	-51.92
66.355206	-51.94
67.317038	-51.96
68.292813	-51.98
69.282731	-51.99
70.286999	-52.02
71.305824	-52.08
72.339416	-52.23
73.387991	-52.53
74.451765	-53.04
75.530959	-53.77
76.625796	-54.73
77.736503	-55.88
78.863310	-57.13
80.006450	-58.27
81.166160	-59.02
82.342680	-59.28
83.536255	-59.12
84.747130	-58.64
85.975557	-57.95
87.221791	-57.11
88.486089	-56.14
89.768713	-55.10
91.069929	-54.05
92.390007	-53.01
93.729219	-51.98
95.087844	-51.03
96.466162	-50.38
97.864459	-50.13
99.283025	-50.04
100.722153	-49.77
102.182141	-49.40
103.663293	-49.21
105.165914	-49.10
106.690316	-48.78
108.236814	-48.04
109.805729	-47.02
111.397386	-46.29
113.012114	-46.17
114.650248	-46.53
116.312128	-47.05
117.998096	-47.18
119.708503	-46.73
121.443703	-46.07
123.204054	-45.59
124.989923	-45.32
126.801678	-44.77
128.639694	-44.12
130.504354	-44.05
132.396041	-44.45
134.315150	-44.96
136.262076	-45.44
138.237223	-45.51
140.241000	-44.92
142.273823	-44.20
144.336111	-44.03
146.428293	-44.50
148.550802	-45.09
150.704076	-45.75
152.888563	-46.23
155.104715	-45.91
157.352990	-45.25
159.633854	-45.52
161.947780	-47.01
164.295247	-48.89
166.676741	-49.87
169.092755	-49.71
171.543790	-49.37
174.030353	-49.09
176.552959	-49.17
179.112131	-49.98
181.708398	-50.78
184.342299	-50.72
187.014379	-50.05
189.725192	-49.32
192.475298	-49.23
195.265267	-48.73
198.095678	-48.32
200.967116	-47.83
203.880176	-47.89
206.835462	-49.39
209.833585	-50.44
212.875166	-50.60
215.960836	-51.46
219.091233	-53.33
222.267006	-56.13
225.488813	-57.44
228.757320	-55.99
232.073205	-52.61
235.437154	-49.21
238.849865	-46.84
242.312043	-45.26
245.824407	-45.74
249.387683	-47.63
253.002609	-48.16
256.669935	-48.51
260.390419	-49.62
264.164832	-51.46
267.993956	-51.80
271.878584	-51.51
275.819521	-51.83
279.817582	-51.00
283.873596	-50.64
287.988403	-51.12
292.162855	-52.52
296.397817	-51.61
300.694165	-51.20
305.052789	-52.48
309.474593	-52.55
313.960491	-51.51
318.511414	-50.12
323.128303	-48.79
327.812115	-48.79
332.563820	-49.92
337.384402	-49.81
342.274859	-50.93
347.236204	-51.79
352.269465	-51.86
357.375684	-51.94
362.555919	-55.74
367.811243	-62.09
373.142743	-62.64
378.551525	-60.06
384.038708	-58.64
389.605429	-56.15
395.252841	-53.84
400.982113	-53.01
406.794432	-53.18
412.691002	-54.39
418.673044	-54.84
424.741797	-53.29
430.898518	-51.81
437.144481	-49.61
443.480981	-49.35
449.909331	-49.01
456.430860	-48.83
463.046920	-49.90
469.758882	-49.75
476.568134	-49.64
483.476089	-50.92
490.484175	-54.35
497.593845	-57.16
504.806572	-55.48
512.123848	-55.57
519.547190	-57.92
527.078134	-57.21
534.718242	-54.36
542.469094	-55.05
550.332296	-56.76
558.309477	-56.14
566.402289	-56.07
574.612408	-54.91
582.941535	-53.57
591.391394	-54.49
599.963735	-56.68
608.660334	-63.81
617.482992	-60.19
626.433537	-58.26
635.513821	-56.34
644.725726	-53.85
654.071160	-52.89
663.552057	-54.59
673.170382	-55.20
682.928127	-54.97
692.827312	-57.32
702.869989	-55.19
713.058235	-55.51
723.394163	-57.89
733.879912	-59.75
744.517654	-63.05
755.309592	-60.38
766.257962	-55.04
777.365030	-52.48
788.633098	-51.23
800.064499	-50.65
811.661600	-52.51
823.426804	-58.95
835.362547	-63.48
847.471301	-59.79
859.755574	-59.19
872.217910	-61.48
884.860890	-63.28
897.687132	-57.83
910.699294	-53.94
923.900070	-52.29
937.292194	-56.49
950.878439	-60.96
964.661620	-58.19
978.644591	-57.91
992.830248	-60.17
1007.221529	-63.94
1021.821414	-59.44
1036.632928	-59.19
1051.659138	-65.35
1066.903156	-63.79
1082.368140	-62.17
1098.057291	-57.21
1113.973860	-57.02
1130.121143	-55.93
1146.502484	-59.42
1163.121276	-61.52
1179.980961	-61.30
1197.085030	-61.48
1214.437027	-66.74
1232.040544	-60.61
1249.899229	-56.85
1268.016778	-63.04
1286.396945	-59.64
1305.043536	-58.81
1323.960414	-59.13
1343.151496	-61.91
1362.620756	-63.56
1382.372227	-60.01
1402.410000	-60.09
1422.738225	-60.55
1443.361112	-58.89
1464.282931	-59.77
1485.508017	-57.26
1507.040765	-54.34
1528.885634	-53.46
1551.047150	-57.00
1573.529901	-59.05
1596.338544	-59.49
1619.477804	-64.89
1642.952471	-67.95
1666.767409	-66.32
1690.927550	-66.06
1715.437896	-64.31
1740.303526	-65.65
1765.529587	-69.26
1791.121306	-70.64
1817.083982	-70.16
1843.422992	-70.18
1870.143792	-62.36
1897.251916	-62.82
1924.752977	-66.79
1952.652672	-66.99
1980.956779	-64.05
2009.671159	-64.83
2038.801761	-71.38
2068.354617	-75.19
2098.335847	-72.06
2128.751662	-69.11
2159.608360	-66.54
2190.912333	-66.56
2222.670063	-75.51
2254.888128	-77.66
2287.573200	-73.25
2320.732050	-73.74
2354.371544	-70.33
2388.498649	-67.24
2423.120434	-70.66
2458.244069	-72.46
2493.876828	-73.18
2530.026092	-72.14
2566.699346	-69.64
2603.904187	-70.63
2641.648320	-73.76
2679.939562	-71.36
2718.785844	-72.80
2758.195211	-72.00
2798.175824	-72.21
2838.735965	-75.51
2879.884033	-67.91
2921.628551	-67.26
2963.978165	-71.29
3006.941645	-73.66
3050.527890	-76.45
3094.745927	-74.09
3139.604913	-75.09
3185.114139	-75.33
3231.283032	-73.98
3278.121151	-76.16
3325.638200	-75.05
3373.844017	-75.68
3422.748588	-75.12
3472.362041	-72.35
3522.694651	-73.49
3573.756843	-73.58
3625.559192	-70.73
3678.112427	-73.62
3731.427432	-73.94
3785.515249	-77.02
3840.387080	-76.85
3896.054290	-74.12
3952.528408	-74.74
4009.821129	-74.44
4067.944321	-71.67
4126.910020	-70.89
4186.730440	-71.62
4247.417969	-73.52
4308.985176	-73.41
4371.444813	-75.00
4434.809815	-75.50
4499.093306	-73.39
4564.308599	-79.38
4630.469202	-80.67
4697.588817	-80.75
4765.681344	-75.21
4834.760887	-77.36
4904.841752	-74.01
4975.938453	-74.75
5048.065717	-78.95
5121.238480	-77.55
5195.471897	-78.48
5270.781343	-74.78
5347.182415	-72.93
5424.690937	-76.71
5503.322961	-78.94
5583.094772	-79.06
