	15		
Frequency (Hz)	Level (dB)

11.139739	-68.69
11.301211	-68.56
11.465025	-68.41
11.631213	-68.24
11.799810	-68.05
11.970850	-67.83
12.144370	-67.61
12.320405	-67.37
12.498992	-67.11
12.680168	-66.85
12.863969	-66.57
13.050435	-66.25
13.239604	-65.96
13.431515	-65.66
13.626208	-65.35
13.823722	-65.01
14.024100	-64.70
14.227382	-64.40
14.433611	-64.06
14.642829	-63.75
14.855080	-63.45
15.070408	-63.13
15.288856	-62.86
15.510471	-62.56
15.735299	-62.31
15.963385	-62.06
16.194778	-61.84
16.429525	-61.64
16.667674	-61.47
16.909275	-61.33
17.154379	-61.23
17.403035	-61.18
17.655296	-61.16
17.911213	-61.19
18.170840	-61.28
18.434230	-61.41
18.701438	-61.60
18.972519	-61.84
19.247530	-62.16
19.526527	-62.51
19.809568	-62.91
20.096712	-63.35
20.388018	-63.83
20.683546	-64.32
20.983358	-64.81
21.287517	-65.28
21.596084	-65.69
21.909123	-66.03
22.226701	-66.28
22.548881	-66.45
22.875732	-66.53
23.207320	-66.54
23.543715	-66.50
23.884986	-66.42
24.231204	-66.31
24.582441	-66.19
24.938768	-66.07
25.300261	-65.96
25.666993	-65.86
26.039042	-65.79
26.416483	-65.76
26.799396	-65.77
27.187858	-65.83
27.581952	-65.92
27.981758	-66.06
28.387360	-66.23
28.798840	-66.42
29.216286	-66.61
29.639782	-66.78
30.069416	-66.92
30.505279	-67.00
30.947459	-67.00
31.396049	-66.92
31.851141	-66.73
32.312830	-66.44
32.781212	-66.05
33.256382	-65.58
33.738440	-65.06
34.227486	-64.51
34.723620	-63.93
35.226947	-63.35
35.737568	-62.78
36.255592	-62.25
36.781124	-61.75
37.314274	-61.32
37.855152	-60.95
38.403871	-60.65
38.960543	-60.39
39.525284	-60.16
40.098211	-59.91
40.679443	-59.61
41.269100	-59.24
41.867304	-58.80
42.474180	-58.30
43.089852	-57.77
43.714448	-57.23
44.348098	-56.69
44.990933	-56.18
45.643086	-55.69
46.304692	-55.26
46.975888	-54.87
47.656813	-54.53
48.347609	-54.23
49.048418	-53.95
49.759385	-53.68
50.480657	-53.39
51.212385	-53.10
51.954719	-52.80
52.707813	-52.48
53.471824	-52.15
54.246909	-51.80
55.033230	-51.40
55.830948	-50.95
56.640229	-50.46
57.461241	-49.96
58.294153	-49.48
59.139139	-49.04
59.996373	-48.62
60.866033	-48.17
61.748299	-47.65
62.643354	-47.08
63.551382	-46.54
64.472573	-46.10
65.407116	-45.80
66.355206	-45.63
