	60		
Frequency (Hz)	Level (dB)

11.139739	-69.57
11.301211	-69.37
11.465025	-69.16
11.631213	-68.92
11.799810	-68.65
11.970850	-68.38
12.144370	-68.09
12.320405	-67.79
12.498992	-67.48
12.680168	-67.16
12.863969	-66.83
13.050435	-66.47
13.239604	-66.14
13.431515	-65.80
13.626208	-65.47
13.823722	-65.10
14.024100	-64.77
14.227382	-64.45
14.433611	-64.10
14.642829	-63.78
14.855080	-63.48
15.070408	-63.15
15.288856	-62.88
15.510471	-62.58
15.735299	-62.32
15.963385	-62.07
16.194778	-61.85
16.429525	-61.65
16.667674	-61.48
16.909275	-61.33
17.154379	-61.22
17.403035	-61.15
17.655296	-61.12
17.911213	-61.13
18.170840	-61.19
18.434230	-61.29
18.701438	-61.44
18.972519	-61.64
19.247530	-61.89
19.526527	-62.18
19.809568	-62.51
20.096712	-62.87
20.388018	-63.27
20.683546	-63.67
20.983358	-64.09
21.287517	-64.49
21.596084	-64.88
21.909123	-65.23
22.226701	-65.54
22.548881	-65.81
22.875732	-66.05
23.207320	-66.25
23.543715	-66.43
23.884986	-66.59
24.231204	-66.73
24.582441	-66.86
24.938768	-66.98
25.300261	-67.09
25.666993	-67.20
26.039042	-67.31
26.416483	-67.43
26.799396	-67.56
27.187858	-67.70
27.581952	-67.84
27.981758	-68.00
28.387360	-68.16
28.798840	-68.30
29.216286	-68.42
29.639782	-68.51
30.069416	-68.56
30.505279	-68.56
30.947459	-68.51
31.396049	-68.41
31.851141	-68.27
32.312830	-68.08
32.781212	-67.84
33.256382	-67.54
33.738440	-67.17
34.227486	-66.72
34.723620	-66.19
35.226947	-65.58
35.737568	-64.90
36.255592	-64.21
36.781124	-63.48
37.314274	-62.76
37.855152	-62.04
38.403871	-61.34
38.960543	-60.67
39.525284	-60.04
40.098211	-59.44
40.679443	-58.89
41.269100	-58.38
41.867304	-57.92
42.474180	-57.52
43.089852	-57.18
43.714448	-56.90
44.348098	-56.69
44.990933	-56.53
45.643086	-56.40
46.304692	-56.26
46.975888	-56.07
47.656813	-55.83
48.347609	-55.56
49.048418	-55.27
49.759385	-55.00
50.480657	-54.76
51.212385	-54.55
51.954719	-54.35
52.707813	-54.14
53.471824	-53.92
54.246909	-53.66
55.033230	-53.38
55.830948	-53.08
56.640229	-52.75
57.461241	-52.40
58.294153	-52.01
59.139139	-51.59
59.996373	-51.15
60.866033	-50.72
61.748299	-50.30
62.643354	-49.88
63.551382	-49.42
64.472573	-48.88
65.407116	-48.25
66.355206	-47.57
67.317038	-46.92
68.292813	-46.33
69.282731	-45.90
70.286999	-45.69
71.305824	-45.78
72.339416	-46.16
73.387991	-46.80
74.451765	-47.65
75.530959	-48.63
76.625796	-49.52
77.736503	-50.11
78.863310	-50.33
80.006450	-50.34
81.166160	-50.25
82.342680	-50.13
83.536255	-50.02
84.747130	-49.96
85.975557	-49.96
87.221791	-49.90
88.486089	-49.65
89.768713	-49.16
91.069929	-48.51
92.390007	-47.78
93.729219	-47.01
95.087844	-46.20
96.466162	-45.32
97.864459	-44.42
99.283025	-43.69
100.722153	-43.30
102.182141	-43.27
103.663293	-43.57
105.165914	-44.01
106.690316	-44.21
108.236814	-43.92
109.805729	-43.19
111.397386	-42.33
113.012114	-41.63
114.650248	-41.33
