	90		
Frequency (Hz)	Level (dB)

11.139739	-64.69
11.301211	-64.64
11.465025	-64.57
11.631213	-64.48
11.799810	-64.37
11.970850	-64.24
12.144370	-64.09
12.320405	-63.92
12.498992	-63.73
12.680168	-63.52
12.863969	-63.30
13.050435	-63.04
13.239604	-62.78
13.431515	-62.52
13.626208	-62.25
13.823722	-61.93
14.024100	-61.64
14.227382	-61.35
14.433611	-61.01
14.642829	-60.71
14.855080	-60.41
15.070408	-60.08
15.288856	-59.80
15.510471	-59.50
15.735299	-59.23
15.963385	-58.97
16.194778	-58.74
16.429525	-58.53
16.667674	-58.35
16.909275	-58.20
17.154379	-58.10
17.403035	-58.03
17.655296	-58.01
17.911213	-58.04
18.170840	-58.13
18.434230	-58.26
18.701438	-58.45
18.972519	-58.71
19.247530	-59.04
19.526527	-59.41
19.809568	-59.84
20.096712	-60.33
20.388018	-60.88
20.683546	-61.46
20.983358	-62.08
21.287517	-62.70
21.596084	-63.32
21.909123	-63.91
22.226701	-64.45
22.548881	-64.94
22.875732	-65.36
23.207320	-65.72
23.543715	-66.03
23.884986	-66.30
24.231204	-66.53
24.582441	-66.72
24.938768	-66.87
25.300261	-67.02
25.666993	-67.14
26.039042	-67.25
26.416483	-67.38
26.799396	-67.51
27.187858	-67.68
27.581952	-67.88
27.981758	-68.12
28.387360	-68.39
28.798840	-68.68
29.216286	-69.01
29.639782	-69.36
30.069416	-69.71
30.505279	-70.05
30.947459	-70.35
31.396049	-70.59
31.851141	-70.73
32.312830	-70.72
32.781212	-70.56
33.256382	-70.26
33.738440	-69.84
34.227486	-69.36
34.723620	-68.85
35.226947	-68.33
35.737568	-67.81
36.255592	-67.31
36.781124	-66.81
37.314274	-66.32
37.855152	-65.81
38.403871	-65.30
38.960543	-64.77
39.525284	-64.22
40.098211	-63.64
40.679443	-63.02
41.269100	-62.38
41.867304	-61.73
42.474180	-61.09
43.089852	-60.48
43.714448	-59.91
44.348098	-59.38
44.990933	-58.88
45.643086	-58.39
46.304692	-57.88
46.975888	-57.37
47.656813	-56.84
48.347609	-56.34
49.048418	-55.91
49.759385	-55.59
50.480657	-55.37
51.212385	-55.25
51.954719	-55.16
52.707813	-55.06
53.471824	-54.91
54.246909	-54.68
55.033230	-54.40
55.830948	-54.07
56.640229	-53.70
57.461241	-53.29
58.294153	-52.84
59.139139	-52.37
59.996373	-51.90
60.866033	-51.46
61.748299	-51.10
62.643354	-50.81
63.551382	-50.60
64.472573	-50.45
65.407116	-50.32
66.355206	-50.19
67.317038	-50.00
68.292813	-49.75
69.282731	-49.50
70.286999	-49.38
71.305824	-49.48
72.339416	-49.82
73.387991	-50.37
74.451765	-51.12
75.530959	-52.02
76.625796	-52.98
77.736503	-53.84
78.863310	-54.36
80.006450	-54.37
81.166160	-53.98
82.342680	-53.44
83.536255	-52.91
84.747130	-52.32
85.975557	-51.64
87.221791	-50.97
88.486089	-50.44
89.768713	-50.13
91.069929	-50.04
92.390007	-50.05
93.729219	-49.83
95.087844	-49.14
96.466162	-48.28
97.864459	-47.55
99.283025	-46.95
100.722153	-46.38
102.182141	-45.74
103.663293	-45.03
105.165914	-44.39
106.690316	-43.97
108.236814	-43.76
109.805729	-43.69
111.397386	-43.82
113.012114	-44.25
114.650248	-44.83
116.312128	-45.24
117.998096	-45.06
119.708503	-44.49
121.443703	-44.14
123.204054	-44.02
124.989923	-43.93
126.801678	-43.97
128.639694	-44.09
130.504354	-43.97
132.396041	-43.62
134.315150	-43.24
136.262076	-43.00
138.237223	-43.00
140.241000	-43.31
142.273823	-43.87
144.336111	-44.14
146.428293	-43.86
148.550802	-43.72
150.704076	-44.08
152.888563	-44.68
155.104715	-45.00
157.352990	-45.07
159.633854	-45.01
161.947780	-44.61
164.295247	-44.09
166.676741	-44.09
169.092755	-44.65
171.543790	-45.66
174.030353	-46.34
176.552959	-46.37
179.112131	-46.83
181.708398	-47.61
184.342299	-47.91
187.014379	-47.75
189.725192	-47.21
192.475298	-46.77
195.265267	-46.93
198.095678	-47.51
200.967116	-48.14
203.880176	-48.57
206.835462	-49.03
209.833585	-49.72
212.875166	-51.18
215.960836	-53.66
219.091233	-53.89
222.267006	-52.90
225.488813	-53.69
228.757320	-54.79
232.073205	-56.58
235.437154	-57.04
238.849865	-51.60
242.312043	-47.58
245.824407	-47.08
249.387683	-47.56
253.002609	-48.78
256.669935	-51.26
260.390419	-53.28
264.164832	-52.09
267.993956	-50.10
271.878584	-49.38
275.819521	-49.14
279.817582	-49.86
283.873596	-51.13
287.988403	-50.83
292.162855	-49.54
296.397817	-49.01
300.694165	-48.55
305.052789	-47.90
309.474593	-47.45
313.960491	-47.68
318.511414	-49.32
323.128303	-50.47
327.812115	-52.61
332.563820	-54.51
337.384402	-56.00
342.274859	-57.98
347.236204	-63.43
352.269465	-60.41
357.375684	-55.72
362.555919	-51.02
367.811243	-49.23
373.142743	-48.84
378.551525	-48.53
384.038708	-48.16
389.605429	-49.49
395.252841	-49.87
400.982113	-50.93
406.794432	-52.27
412.691002	-53.43
418.673044	-51.18
424.741797	-49.72
430.898518	-49.35
437.144481	-48.41
443.480981	-48.36
449.909331	-48.28
456.430860	-48.31
463.046920	-49.73
469.758882	-50.34
476.568134	-50.67
483.476089	-54.62
490.484175	-58.10
497.593845	-58.68
504.806572	-54.14
512.123848	-51.69
519.547190	-51.15
527.078134	-50.97
534.718242	-54.28
542.469094	-57.65
550.332296	-53.30
558.309477	-52.64
566.402289	-52.09
574.612408	-49.66
582.941535	-50.03
