	att 20k		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-26.33	-153.39	0.98
2.929688	-25.86	-156.89	1.00
4.394531	-25.46	-160.24	1.00
5.859375	-25.28	-161.85	1.00
7.324219	-24.93	-168.66	1.00
8.789062	-24.87	-170.87	1.00
10.253906	-24.86	-171.38	1.00
11.718750	-24.85	-172.83	1.00
13.183594	-24.85	-173.04	1.00
14.648438	-24.80	-174.40	1.00
16.113281	-24.82	-175.06	1.00
17.578125	-24.78	-175.28	1.00
19.042969	-24.71	-175.77	1.00
20.507812	-24.74	-176.04	1.00
21.972656	-24.78	-176.09	1.00
23.437500	-24.77	-176.28	1.00
24.902344	-24.69	-176.62	1.00
26.367188	-24.70	-176.74	1.00
27.832031	-24.80	-177.34	1.00
29.296875	-24.76	-177.55	1.00
30.761719	-24.71	-177.99	1.00
32.226562	-24.73	-177.96	1.00
33.691406	-24.73	-177.99	1.00
35.156250	-24.71	-178.16	1.00
36.621094	-24.72	-178.81	1.00
38.085938	-24.75	-178.09	1.00
39.550781	-24.74	-178.10	1.00
41.015625	-24.71	-178.60	1.00
42.480469	-24.72	-178.84	1.00
43.945312	-24.73	-178.85	1.00
45.410156	-24.78	-179.22	1.00
46.875000	-24.72	-179.17	1.00
48.339844	-24.75	-179.22	1.00
49.804688	-24.75	-179.51	1.00
51.269531	-24.70	-179.29	1.00
52.734375	-24.73	-179.21	1.00
54.199219	-24.73	-179.38	1.00
55.664062	-24.73	-179.34	1.00
57.128906	-24.73	-179.20	1.00
58.593750	-24.80	-179.54	1.00
60.058594	-24.77	-179.68	1.00
61.523438	-24.71	-179.60	1.00
62.988281	-24.71	-179.75	1.00
64.453125	-24.68	-179.66	1.00
65.917969	-24.72	-179.85	1.00
67.382812	-24.73	179.79	1.00
68.847656	-24.71	-179.84	1.00
70.312500	-24.70	179.96	1.00
71.777344	-24.75	179.73	1.00
73.242188	-24.74	179.83	1.00
74.707031	-24.73	179.69	1.00
76.171875	-24.69	179.68	1.00
77.636719	-24.73	179.68	1.00
79.101562	-24.70	179.50	1.00
80.566406	-24.70	179.54	1.00
82.031250	-24.73	179.48	1.00
83.496094	-24.72	179.58	1.00
84.960938	-24.73	179.35	1.00
86.425781	-24.73	179.44	1.00
87.890625	-24.70	179.19	1.00
89.355469	-24.70	179.25	1.00
90.820312	-24.70	179.48	1.00
92.285156	-24.71	179.21	1.00
93.750000	-24.72	179.02	1.00
95.214844	-24.69	179.19	1.00
96.679688	-24.73	179.00	1.00
98.144531	-24.73	178.94	1.00
99.609375	-24.69	178.55	1.00
101.074219	-24.71	178.80	1.00
102.539062	-24.72	178.89	1.00
104.003906	-24.73	178.88	1.00
105.468750	-24.73	178.67	1.00
106.933594	-24.72	178.62	1.00
108.398438	-24.73	178.70	1.00
109.863281	-24.72	178.60	1.00
111.328125	-24.71	178.63	1.00
112.792969	-24.71	178.64	1.00
114.257812	-24.71	178.52	1.00
115.722656	-24.72	178.48	1.00
117.187500	-24.72	178.52	1.00
118.652344	-24.71	178.52	1.00
120.117188	-24.70	178.40	1.00
121.582031	-24.73	178.41	1.00
123.046875	-24.72	178.44	1.00
124.511719	-24.72	178.39	1.00
125.976562	-24.72	178.33	1.00
127.441406	-24.73	178.20	1.00
128.906250	-24.72	178.18	1.00
130.371094	-24.72	178.16	1.00
131.835938	-24.72	178.16	1.00
133.300781	-24.73	178.03	1.00
134.765625	-24.72	178.03	1.00
136.230469	-24.73	177.93	1.00
137.695312	-24.73	177.96	1.00
139.160156	-24.72	177.89	1.00
140.625000	-24.73	177.86	1.00
143.554688	-24.74	177.85	1.00
146.484375	-24.72	177.75	1.00
149.414062	-24.72	177.61	1.00
152.343750	-24.73	177.66	1.00
155.273438	-24.74	177.59	1.00
158.203125	-24.73	177.51	1.00
161.132812	-24.74	177.32	1.00
164.062500	-24.72	177.33	1.00
166.992188	-24.73	177.23	1.00
169.921875	-24.73	177.20	1.00
172.851562	-24.73	177.11	1.00
175.781250	-24.73	177.08	1.00
178.710938	-24.73	176.96	1.00
181.640625	-24.74	176.92	1.00
184.570312	-24.73	176.87	1.00
187.500000	-24.73	176.83	1.00
190.429688	-24.73	176.67	1.00
193.359375	-24.70	176.57	1.00
196.289062	-24.74	176.64	1.00
199.218750	-24.74	176.49	1.00
202.148438	-24.72	176.48	1.00
205.078125	-24.73	176.40	1.00
208.007812	-24.75	176.31	1.00
210.937500	-24.73	176.25	1.00
213.867188	-24.73	176.19	1.00
216.796875	-24.76	176.10	1.00
219.726562	-24.75	176.07	1.00
222.656250	-24.74	176.05	1.00
225.585938	-24.75	175.94	1.00
228.515625	-24.74	175.90	1.00
231.445312	-24.75	175.85	1.00
234.375000	-24.75	175.79	1.00
237.304688	-24.75	175.75	1.00
240.234375	-24.76	175.69	1.00
243.164062	-24.76	175.58	1.00
246.093750	-24.75	175.55	1.00
249.023438	-24.76	175.52	1.00
251.953125	-24.76	175.40	1.00
254.882812	-24.76	175.33	1.00
257.812500	-24.75	175.29	1.00
260.742188	-24.75	175.09	1.00
263.671875	-24.76	175.16	1.00
266.601562	-24.76	175.08	1.00
269.531250	-24.76	175.09	1.00
272.460938	-24.76	174.99	1.00
275.390625	-24.77	174.94	1.00
278.320312	-24.77	174.81	1.00
281.250000	-24.77	174.79	1.00
287.109375	-24.77	174.78	1.00
292.968750	-24.77	174.61	1.00
298.828125	-24.76	174.49	1.00
304.687500	-24.78	174.37	1.00
310.546875	-24.79	174.15	1.00
316.406250	-24.80	174.05	1.00
322.265625	-24.78	173.98	1.00
328.125000	-24.78	173.72	1.00
333.984375	-24.79	173.69	1.00
339.843750	-24.79	173.60	1.00
345.703125	-24.80	173.38	1.00
351.562500	-24.80	173.44	1.00
357.421875	-24.80	173.22	1.00
363.281250	-24.81	173.18	1.00
369.140625	-24.80	173.05	1.00
375.000000	-24.80	172.85	1.00
380.859375	-24.81	172.81	1.00
386.718750	-24.85	172.60	1.00
392.578125	-24.83	172.57	1.00
398.437500	-24.82	172.38	1.00
404.296875	-24.83	172.37	1.00
410.156250	-24.85	172.24	1.00
416.015625	-24.83	172.08	1.00
421.875000	-24.84	171.99	1.00
427.734375	-24.83	171.83	1.00
433.593750	-24.84	171.80	1.00
439.453125	-24.84	171.63	1.00
445.312500	-24.86	171.53	1.00
451.171875	-24.85	171.43	1.00
457.031250	-24.86	171.31	1.00
462.890625	-24.86	171.18	1.00
468.750000	-24.86	171.08	1.00
474.609375	-24.86	170.94	1.00
480.468750	-24.86	170.88	1.00
486.328125	-24.90	170.74	1.00
492.187500	-24.88	170.67	1.00
498.046875	-24.89	170.51	1.00
503.906250	-24.88	170.45	1.00
509.765625	-24.90	170.31	1.00
515.625000	-24.90	170.15	1.00
521.484375	-24.90	169.96	1.00
527.343750	-24.91	169.92	1.00
533.203125	-24.91	169.72	1.00
539.062500	-24.92	169.70	1.00
544.921875	-24.91	169.57	1.00
550.781250	-24.91	169.48	1.00
556.640625	-24.91	169.34	1.00
562.500000	-24.94	169.36	1.00
574.218750	-24.94	169.16	1.00
585.937500	-24.98	168.80	1.00
597.656250	-24.95	168.56	1.00
609.375000	-24.96	168.48	1.00
621.093750	-24.98	168.19	1.00
632.812500	-25.00	167.97	1.00
644.531250	-24.99	167.76	1.00
656.250000	-25.01	167.52	1.00
667.968750	-25.05	167.35	1.00
679.687500	-25.04	166.90	1.00
691.406250	-25.05	166.89	1.00
703.125000	-25.04	166.76	1.00
714.843750	-25.05	166.46	1.00
726.562500	-25.08	166.40	1.00
738.281250	-25.08	166.12	1.00
750.000000	-25.10	165.87	1.00
761.718750	-25.10	165.77	1.00
773.437500	-25.10	165.63	1.00
785.156250	-25.13	165.19	1.00
796.875000	-25.11	164.95	1.00
808.593750	-25.16	164.87	1.00
820.312500	-25.16	164.56	1.00
832.031250	-25.18	164.51	1.00
843.750000	-25.18	164.13	1.00
855.468750	-25.21	164.06	1.00
867.187500	-25.21	163.95	1.00
878.906250	-25.25	163.62	1.00
890.625000	-25.26	163.32	1.00
902.343750	-25.25	163.20	1.00
914.062500	-25.27	162.96	1.00
925.781250	-25.30	162.80	1.00
937.500000	-25.29	162.71	1.00
949.218750	-25.31	162.48	1.00
960.937500	-25.31	162.24	1.00
972.656250	-25.34	162.02	1.00
984.375000	-25.35	161.89	1.00
996.093750	-25.37	161.67	1.00
1007.812500	-25.38	161.44	1.00
1019.531250	-25.39	161.32	1.00
1031.250000	-25.40	161.08	1.00
1042.968750	-25.43	161.01	1.00
1054.687500	-25.46	160.70	1.00
1066.406250	-25.45	160.56	1.00
1078.125000	-25.48	160.29	1.00
1089.843750	-25.48	160.18	1.00
1101.562500	-25.50	159.90	1.00
1113.281250	-25.51	159.78	1.00
1125.000000	-25.51	159.53	1.00
1148.437500	-25.54	159.17	1.00
1171.875000	-25.58	158.93	1.00
