	boost 100 Hz		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-15.13	-155.56	0.99
2.929688	-14.78	-157.81	1.00
4.394531	-14.14	-164.12	1.00
5.859375	-13.74	-170.44	1.00
7.324219	-13.70	-172.32	1.00
8.789062	-13.63	-174.27	1.00
10.253906	-13.62	-175.62	1.00
11.718750	-13.60	-176.91	1.00
13.183594	-13.63	-177.74	1.00
14.648438	-13.58	-179.24	1.00
16.113281	-13.61	-179.74	1.00
17.578125	-13.58	179.09	1.00
19.042969	-13.55	178.65	1.00
20.507812	-13.57	178.27	1.00
21.972656	-13.62	177.30	1.00
23.437500	-13.60	176.82	1.00
24.902344	-13.61	176.18	1.00
26.367188	-13.63	175.64	1.00
27.832031	-13.62	175.08	1.00
29.296875	-13.62	174.37	1.00
30.761719	-13.62	174.10	1.00
32.226562	-13.60	173.60	1.00
33.691406	-13.65	173.36	1.00
35.156250	-13.69	172.62	1.00
36.621094	-13.65	172.58	1.00
38.085938	-13.71	171.60	1.00
39.550781	-13.73	171.38	1.00
41.015625	-13.74	170.92	1.00
42.480469	-13.78	170.23	1.00
43.945312	-13.78	169.90	1.00
45.410156	-13.80	169.74	1.00
46.875000	-13.83	169.21	1.00
48.339844	-13.84	168.99	1.00
49.804688	-13.97	168.34	1.00
51.269531	-13.90	168.03	1.00
52.734375	-13.93	167.74	1.00
54.199219	-13.94	167.29	1.00
55.664062	-13.95	167.24	1.00
57.128906	-14.01	166.58	1.00
58.593750	-14.02	166.25	1.00
60.058594	-14.03	165.95	1.00
61.523438	-14.08	165.61	1.00
62.988281	-14.11	165.16	1.00
64.453125	-14.10	164.86	1.00
65.917969	-14.13	164.36	1.00
67.382812	-14.15	164.67	1.00
68.847656	-14.19	163.67	1.00
70.312500	-14.23	163.62	1.00
71.777344	-14.27	163.01	1.00
73.242188	-14.28	162.86	1.00
74.707031	-14.31	162.50	1.00
76.171875	-14.35	162.24	1.00
77.636719	-14.41	161.80	1.00
79.101562	-14.41	161.45	1.00
80.566406	-14.43	161.31	1.00
82.031250	-14.49	160.82	1.00
83.496094	-14.51	160.64	1.00
84.960938	-14.52	160.41	1.00
86.425781	-14.58	160.08	1.00
87.890625	-14.60	159.78	1.00
89.355469	-14.63	159.50	1.00
90.820312	-14.67	159.28	1.00
92.285156	-14.70	158.97	1.00
93.750000	-14.72	158.75	1.00
95.214844	-14.77	158.55	1.00
96.679688	-14.79	158.29	1.00
98.144531	-14.84	158.01	1.00
99.609375	-14.89	157.96	1.00
101.074219	-14.88	157.57	1.00
102.539062	-14.93	157.24	1.00
104.003906	-14.99	156.87	1.00
105.468750	-14.99	156.77	1.00
106.933594	-15.02	156.47	1.00
108.398438	-15.11	156.25	1.00
109.863281	-15.14	156.03	1.00
111.328125	-15.17	155.87	1.00
112.792969	-15.18	155.60	1.00
114.257812	-15.23	155.34	1.00
115.722656	-15.25	155.08	1.00
117.187500	-15.30	155.21	1.00
118.652344	-15.34	154.76	1.00
120.117188	-15.36	154.57	1.00
121.582031	-15.41	154.28	1.00
123.046875	-15.44	154.10	1.00
124.511719	-15.45	153.95	1.00
125.976562	-15.50	153.72	1.00
127.441406	-15.55	153.52	1.00
128.906250	-15.57	153.34	1.00
130.371094	-15.61	153.20	1.00
131.835938	-15.65	152.95	1.00
133.300781	-15.68	152.92	1.00
134.765625	-15.73	152.65	1.00
136.230469	-15.76	152.50	1.00
137.695312	-15.79	152.42	1.00
139.160156	-15.83	152.27	1.00
140.625000	-15.89	152.01	1.00
143.554688	-15.95	151.86	1.00
146.484375	-16.05	151.27	1.00
149.414062	-16.06	151.04	1.00
152.343750	-16.19	150.77	1.00
155.273438	-16.24	150.66	1.00
158.203125	-16.27	150.01	1.00
161.132812	-16.41	149.91	1.00
164.062500	-16.46	149.82	1.00
166.992188	-16.51	149.45	1.00
169.921875	-16.58	149.19	1.00
172.851562	-16.64	149.19	1.00
175.781250	-16.73	148.63	1.00
178.710938	-16.77	148.57	1.00
181.640625	-16.81	148.40	1.00
184.570312	-17.00	148.78	1.00
187.500000	-17.02	148.26	1.00
190.429688	-17.03	148.08	1.00
193.359375	-17.15	147.76	1.00
196.289062	-17.23	147.64	1.00
199.218750	-17.24	147.39	1.00
202.148438	-17.34	147.45	1.00
205.078125	-17.34	147.37	1.00
208.007812	-17.44	147.10	1.00
210.937500	-17.56	147.09	1.00
213.867188	-17.58	146.80	1.00
