	puk 100 Hz		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-17.85	-159.87	0.99
2.929688	-17.83	-159.70	1.00
4.394531	-17.21	-167.41	1.00
5.859375	-16.79	-172.95	1.00
7.324219	-16.73	-173.50	1.00
8.789062	-16.72	-175.54	1.00
10.253906	-16.62	-178.34	1.00
11.718750	-16.62	-178.50	1.00
13.183594	-16.65	179.78	1.00
14.648438	-16.63	178.90	1.00
16.113281	-16.70	178.75	1.00
17.578125	-16.65	177.16	1.00
19.042969	-16.67	176.68	1.00
20.507812	-16.70	175.73	1.00
21.972656	-16.65	175.14	1.00
23.437500	-16.73	175.18	1.00
24.902344	-16.66	173.57	1.00
26.367188	-16.76	172.99	1.00
27.832031	-16.73	172.45	1.00
29.296875	-16.75	171.89	1.00
30.761719	-16.75	171.41	1.00
32.226562	-16.79	170.90	1.00
33.691406	-16.84	169.97	1.00
35.156250	-16.88	169.13	1.00
36.621094	-16.87	168.87	1.00
38.085938	-16.90	168.33	1.00
39.550781	-16.97	167.93	1.00
41.015625	-16.94	167.41	1.00
42.480469	-17.00	166.77	1.00
43.945312	-16.97	166.44	1.00
45.410156	-17.02	165.77	1.00
46.875000	-17.05	165.51	1.00
48.339844	-17.09	164.92	1.00
49.804688	-17.25	165.92	1.00
51.269531	-17.11	163.62	1.00
52.734375	-17.17	163.78	1.00
54.199219	-17.20	163.00	1.00
55.664062	-17.23	162.52	1.00
57.128906	-17.27	161.81	1.00
58.593750	-17.30	161.83	1.00
60.058594	-17.32	161.20	1.00
61.523438	-17.41	160.41	1.00
62.988281	-17.39	160.54	1.00
64.453125	-17.43	160.00	1.00
65.917969	-17.47	159.60	1.00
67.382812	-17.50	159.02	1.00
68.847656	-17.55	158.51	1.00
70.312500	-17.64	157.97	1.00
71.777344	-17.63	157.70	1.00
73.242188	-17.71	157.04	1.00
74.707031	-17.71	157.16	1.00
76.171875	-17.75	156.40	1.00
77.636719	-17.79	156.28	1.00
79.101562	-17.85	155.96	1.00
80.566406	-17.86	155.92	1.00
82.031250	-17.88	154.85	1.00
83.496094	-17.95	154.83	1.00
84.960938	-17.99	154.59	1.00
86.425781	-18.06	154.05	1.00
87.890625	-18.08	153.64	1.00
89.355469	-18.14	153.38	1.00
90.820312	-18.15	152.98	1.00
92.285156	-18.22	152.55	1.00
93.750000	-18.23	152.43	1.00
95.214844	-18.35	151.73	1.00
96.679688	-18.34	151.67	1.00
98.144531	-18.41	151.27	1.00
99.609375	-18.51	151.46	1.00
101.074219	-18.54	151.23	1.00
102.539062	-18.52	150.34	1.00
104.003906	-18.58	150.16	1.00
105.468750	-18.61	149.93	1.00
106.933594	-18.66	149.49	1.00
108.398438	-18.73	149.26	1.00
109.863281	-18.75	148.79	1.00
111.328125	-18.76	148.78	1.00
112.792969	-18.85	148.29	1.00
114.257812	-18.87	148.17	1.00
115.722656	-18.90	148.17	1.00
117.187500	-18.97	147.62	1.00
118.652344	-19.03	147.42	1.00
120.117188	-19.04	147.27	1.00
121.582031	-19.10	147.10	1.00
123.046875	-19.16	146.66	1.00
124.511719	-19.22	146.42	1.00
125.976562	-19.26	146.10	1.00
127.441406	-19.26	146.11	1.00
128.906250	-19.35	145.60	1.00
130.371094	-19.39	145.50	1.00
131.835938	-19.43	145.27	1.00
133.300781	-19.47	145.00	1.00
134.765625	-19.52	144.78	1.00
136.230469	-19.62	144.35	1.00
137.695312	-19.61	144.12	1.00
139.160156	-19.68	143.92	1.00
140.625000	-19.73	143.94	1.00
143.554688	-19.87	143.50	1.00
146.484375	-19.81	143.70	1.00
149.414062	-20.00	142.80	1.00
152.343750	-20.06	142.52	1.00
155.273438	-20.16	142.09	1.00
158.203125	-20.31	141.70	1.00
161.132812	-20.35	141.65	1.00
164.062500	-20.46	141.19	1.00
166.992188	-20.54	140.72	1.00
169.921875	-20.64	140.32	1.00
172.851562	-20.69	140.06	1.00
175.781250	-20.78	139.81	1.00
178.710938	-20.86	139.83	1.00
181.640625	-21.03	139.41	1.00
184.570312	-21.12	139.41	1.00
187.500000	-21.22	138.68	1.00
190.429688	-21.20	138.68	1.00
193.359375	-21.33	138.44	1.00
196.289062	-21.43	138.73	1.00
199.218750	-21.52	138.58	1.00
202.148438	-21.67	138.23	1.00
205.078125	-21.65	137.80	1.00
208.007812	-21.78	137.86	1.00
210.937500	-21.82	137.76	1.00
213.867188	-21.95	137.35	1.00
216.796875	-22.08	137.27	1.00
219.726562	-22.07	137.06	1.00
222.656250	-22.19	137.46	1.00
225.585938	-22.25	136.81	1.00
228.515625	-22.35	136.60	1.00
231.445312	-22.43	136.35	1.00
234.375000	-22.47	136.31	1.00
237.304688	-22.66	135.90	1.00
240.234375	-22.67	135.84	1.00
243.164062	-22.72	135.77	1.00
246.093750	-22.79	135.93	1.00
249.023438	-22.85	136.07	1.00
251.953125	-22.93	135.81	1.00
254.882812	-22.88	135.96	1.00
257.812500	-23.12	135.95	1.00
260.742188	-23.15	135.38	1.00
263.671875	-23.30	135.60	1.00
266.601562	-23.29	135.91	1.00
269.531250	-23.42	135.75	1.00
272.460938	-23.49	135.49	1.00
275.390625	-23.55	135.20	1.00
278.320312	-23.61	135.23	1.00
281.250000	-23.69	135.50	1.00
287.109375	-23.83	136.13	1.00
292.968750	-24.01	135.61	1.00
298.828125	-24.10	135.22	1.00
304.687500	-24.31	134.24	1.00
310.546875	-24.24	135.22	1.00
316.406250	-24.53	135.00	1.00
322.265625	-24.63	135.26	1.00
328.125000	-24.69	134.75	1.00
333.984375	-24.86	134.78	1.00
339.843750	-25.02	135.05	1.00
345.703125	-25.12	135.21	1.00
351.562500	-25.13	135.58	1.00
357.421875	-25.35	135.43	1.00
363.281250	-25.51	136.17	1.00
369.140625	-25.57	136.31	1.00
375.000000	-25.65	135.80	1.00
380.859375	-25.73	136.51	1.00
386.718750	-25.87	134.98	1.00
392.578125	-25.93	136.07	1.00
398.437500	-26.12	137.10	1.00
404.296875	-26.25	137.11	1.00
410.156250	-26.27	137.59	1.00
416.015625	-26.46	136.73	1.00
421.875000	-26.58	137.58	1.00
427.734375	-26.66	138.00	1.00
433.593750	-26.66	138.12	1.00
439.453125	-26.75	137.56	1.00
445.312500	-26.91	137.63	1.00
451.171875	-26.93	138.27	1.00
457.031250	-27.04	138.34	1.00
462.890625	-27.22	139.00	1.00
468.750000	-27.22	139.31	1.00
474.609375	-27.40	139.93	1.00
480.468750	-27.43	140.30	1.00
486.328125	-27.33	139.89	1.00
492.187500	-27.50	140.23	1.00
498.046875	-27.61	140.49	1.00
503.906250	-27.75	140.53	1.00
509.765625	-27.81	141.30	1.00
515.625000	-28.00	141.10	1.00
521.484375	-27.92	140.41	1.00
527.343750	-27.82	140.60	1.00
533.203125	-28.12	141.46	1.00
539.062500	-28.07	143.03	1.00
544.921875	-28.13	142.04	1.00
550.781250	-28.32	142.45	1.00
556.640625	-28.40	142.96	1.00
562.500000	-28.62	143.22	1.00
574.218750	-28.82	144.71	1.00
585.937500	-28.80	142.84	1.00
597.656250	-28.87	144.68	1.00
609.375000	-28.93	146.01	1.00
621.093750	-29.16	146.70	1.00
632.812500	-29.33	146.57	1.00
644.531250	-29.11	146.17	1.00
656.250000	-29.53	148.31	1.00
667.968750	-29.44	149.42	1.00
679.687500	-29.60	150.14	1.00
691.406250	-29.69	149.99	1.00
703.125000	-30.08	152.71	1.00
714.843750	-29.83	150.68	1.00
726.562500	-29.83	151.89	1.00
738.281250	-29.94	152.73	1.00
750.000000	-29.83	154.35	1.00
761.718750	-30.04	154.11	1.00
773.437500	-29.88	156.31	1.00
785.156250	-30.56	154.27	1.00
796.875000	-30.26	157.49	1.00
808.593750	-30.30	156.48	1.00
820.312500	-30.48	157.85	1.00
832.031250	-30.51	158.39	1.00
843.750000	-30.61	158.65	1.00
855.468750	-30.70	159.40	1.00
867.187500	-30.50	160.03	1.00
878.906250	-30.37	159.93	1.00
890.625000	-30.61	161.58	1.00
902.343750	-30.96	161.88	1.00
914.062500	-30.53	161.92	1.00
925.781250	-30.82	163.12	1.00
937.500000	-31.00	163.77	1.00
949.218750	-30.93	164.12	1.00
960.937500	-31.18	164.62	1.00
972.656250	-30.71	165.69	1.00
984.375000	-31.00	166.14	1.00
996.093750	-30.90	165.93	1.00
1007.812500	-30.91	166.66	1.00
1019.531250	-31.11	168.77	1.00
1031.250000	-31.10	168.37	1.00
1042.968750	-30.94	169.72	1.00
1054.687500	-30.77	168.50	1.00
1066.406250	-30.98	169.79	1.00
1078.125000	-31.13	170.69	1.00
1089.843750	-31.07	171.15	1.00
1101.562500	-31.04	171.08	1.00
1113.281250	-31.11	172.01	1.00
1125.000000	-30.85	171.98	1.00
1148.437500	-31.10	173.98	1.00
1171.875000	-31.07	175.88	1.00
1195.312500	-31.09	176.03	1.00
1218.750000	-30.97	176.59	1.00
1242.187500	-30.97	177.69	1.00
1265.625000	-30.91	178.26	1.00
1289.062500	-30.94	178.42	1.00
1312.500000	-31.11	179.53	1.00
1335.937500	-30.96	-178.93	1.00
1359.375000	-30.83	-177.56	1.00
1382.812500	-30.80	-177.68	1.00
1406.250000	-30.77	-177.52	1.00
1429.687500	-30.95	-178.82	1.00
1453.125000	-30.69	-175.99	1.00
1476.562500	-30.84	-175.24	1.00
1500.000000	-30.60	-173.62	1.00
1523.437500	-30.48	-173.29	1.00
1546.875000	-30.65	-173.21	1.00
1570.312500	-30.55	-172.89	1.00
1593.750000	-30.50	-171.76	1.00
1617.187500	-30.40	-170.65	1.00
1640.625000	-30.56	-170.11	1.00
1664.062500	-30.09	-169.85	1.00
1687.500000	-30.27	-169.44	1.00
1710.937500	-30.20	-168.89	1.00
1734.375000	-30.53	-169.36	1.00
1757.812500	-30.21	-168.05	1.00
1781.250000	-29.98	-167.15	1.00
1804.687500	-29.81	-168.00	1.00
1828.125000	-29.92	-166.93	1.00
1851.562500	-29.94	-166.75	1.00
1875.000000	-29.76	-166.24	1.00
1898.437500	-29.77	-166.21	1.00
1921.875000	-29.71	-165.75	1.00
1945.312500	-29.70	-165.40	1.00
1968.750000	-29.58	-165.06	1.00
1992.187500	-29.54	-164.47	1.00
2015.625000	-29.53	-164.39	1.00
2039.062500	-29.65	-165.00	1.00
2062.500000	-29.31	-164.02	1.00
2085.937500	-29.33	-163.49	1.00
2109.375000	-29.28	-163.76	1.00
2132.812500	-29.26	-163.35	1.00
2156.250000	-29.27	-163.39	1.00
2179.687500	-29.00	-162.45	1.00
2203.125000	-29.01	-163.64	1.00
2226.562500	-29.00	-162.38	1.00
2250.000000	-28.95	-161.58	1.00
2296.875000	-28.93	-161.80	1.00
2343.750000	-28.74	-161.22	1.00
2390.625000	-28.74	-161.85	1.00
2437.500000	-28.53	-161.01	1.00
2484.375000	-28.47	-160.73	1.00
2531.250000	-28.34	-160.95	1.00
2578.125000	-28.40	-160.42	1.00
2625.000000	-28.10	-160.45	1.00
2671.875000	-28.06	-161.28	1.00
2718.750000	-28.12	-159.57	1.00
2765.625000	-28.00	-160.09	1.00
2812.500000	-27.94	-159.41	1.00
2859.375000	-27.78	-159.34	1.00
2906.250000	-27.75	-159.91	1.00
2953.125000	-27.73	-158.98	1.00
3000.000000	-27.61	-159.01	1.00
3046.875000	-27.51	-158.94	1.00
3093.750000	-27.43	-159.49	1.00
3140.625000	-27.41	-158.24	1.00
3187.500000	-27.39	-159.36	1.00
3234.375000	-27.24	-159.00	1.00
3281.250000	-27.19	-159.18	1.00
3328.125000	-27.14	-158.69	1.00
3375.000000	-27.11	-158.89	1.00
3421.875000	-26.96	-158.90	1.00
3468.750000	-27.00	-159.33	1.00
3515.625000	-26.89	-159.20	1.00
3562.500000	-26.81	-158.92	1.00
3609.375000	-26.78	-159.13	1.00
3656.250000	-26.74	-159.31	1.00
3703.125000	-26.65	-159.38	1.00
3750.000000	-26.59	-159.53	1.00
3796.875000	-26.57	-159.55	1.00
3843.750000	-26.48	-159.27	1.00
3890.625000	-26.44	-159.55	1.00
3937.500000	-26.35	-159.94	1.00
3984.375000	-26.40	-159.74	1.00
4031.250000	-26.33	-159.76	1.00
4078.125000	-26.28	-159.93	1.00
4125.000000	-26.23	-159.72	1.00
4171.875000	-26.20	-159.93	1.00
4218.750000	-26.17	-160.02	1.00
4265.625000	-26.11	-160.14	1.00
4312.500000	-26.05	-160.07	1.00
4359.375000	-26.02	-160.23	1.00
4406.250000	-26.00	-160.54	1.00
4453.125000	-25.97	-160.53	1.00
4500.000000	-25.94	-160.49	1.00
4593.750000	-25.89	-160.74	1.00
4687.500000	-25.80	-160.76	1.00
4781.250000	-25.75	-161.10	1.00
4875.000000	-25.68	-160.99	1.00
4968.750000	-25.61	-161.30	1.00
5062.500000	-25.52	-161.05	1.00
5156.250000	-25.48	-161.89	1.00
5250.000000	-25.44	-162.08	1.00
5343.750000	-25.36	-162.21	1.00
5437.500000	-25.31	-162.14	1.00
5531.250000	-25.24	-162.57	1.00
5625.000000	-25.28	-162.83	1.00
5718.750000	-25.21	-163.11	1.00
5812.500000	-25.15	-163.19	1.00
5906.250000	-25.08	-163.39	1.00
6000.000000	-25.10	-163.63	1.00
6093.750000	-25.01	-163.94	1.00
6187.500000	-25.01	-164.16	1.00
6281.250000	-24.93	-163.89	1.00
6375.000000	-24.97	-164.12	1.00
6468.750000	-24.87	-164.50	1.00
6562.500000	-24.84	-164.72	1.00
6656.250000	-24.86	-165.03	1.00
6750.000000	-24.80	-165.06	1.00
6843.750000	-24.76	-165.33	1.00
6937.500000	-24.75	-165.43	1.00
7031.250000	-24.72	-165.58	1.00
7125.000000	-24.71	-165.74	1.00
7218.750000	-24.66	-166.11	1.00
7312.500000	-24.65	-166.04	1.00
7406.250000	-24.65	-166.30	1.00
7500.000000	-24.60	-166.50	1.00
7593.750000	-24.61	-166.66	1.00
7687.500000	-24.57	-166.71	1.00
7781.250000	-24.53	-166.84	1.00
7875.000000	-24.53	-167.11	1.00
7968.750000	-24.52	-167.10	1.00
8062.500000	-24.50	-167.31	1.00
8156.250000	-24.48	-167.39	1.00
8250.000000	-24.45	-167.63	1.00
8343.750000	-24.43	-167.73	1.00
8437.500000	-24.41	-167.96	1.00
8531.250000	-24.41	-168.07	1.00
8625.000000	-24.37	-168.21	1.00
8718.750000	-24.37	-168.50	1.00
8812.500000	-24.36	-168.44	1.00
8906.250000	-24.34	-168.49	1.00
9000.000000	-24.33	-168.75	1.00
9187.500000	-24.29	-169.01	1.00
9375.000000	-24.26	-169.39	1.00
9562.500000	-24.25	-169.68	1.00
9750.000000	-24.22	-169.98	1.00
9937.500000	-24.22	-170.05	1.00
10125.000000	-24.19	-170.30	1.00
10312.500000	-24.18	-170.57	1.00
10500.000000	-24.14	-170.80	1.00
10687.500000	-24.15	-170.82	1.00
10875.000000	-24.11	-171.33	1.00
11062.500000	-24.08	-171.52	1.00
11250.000000	-24.09	-171.66	1.00
11437.500000	-24.07	-171.79	1.00
11625.000000	-24.04	-171.97	1.00
11812.500000	-24.05	-172.20	1.00
12000.000000	-24.04	-172.49	1.00
12187.500000	-24.02	-172.71	1.00
12375.000000	-24.00	-172.79	1.00
12562.500000	-23.99	-173.08	1.00
12750.000000	-23.97	-173.22	1.00
12937.500000	-23.96	-173.33	1.00
13125.000000	-23.98	-173.53	1.00
13312.500000	-23.96	-173.70	1.00
13500.000000	-23.95	-173.82	1.00
13687.500000	-23.95	-174.07	1.00
13875.000000	-23.94	-174.18	1.00
14062.500000	-23.95	-174.35	1.00
14250.000000	-23.91	-174.52	1.00
14437.500000	-23.94	-174.78	1.00
14625.000000	-23.91	-174.81	1.00
14812.500000	-23.92	-174.91	1.00
15000.000000	-23.90	-175.14	1.00
15187.500000	-23.90	-175.29	1.00
15375.000000	-23.89	-175.40	1.00
15562.500000	-23.88	-175.57	1.00
15750.000000	-23.87	-175.72	1.00
15937.500000	-23.87	-175.85	1.00
16125.000000	-23.87	-175.99	1.00
16312.500000	-23.87	-176.04	1.00
16500.000000	-23.86	-176.25	1.00
16687.500000	-23.85	-176.32	1.00
16875.000000	-23.85	-176.51	1.00
17062.500000	-23.85	-176.62	1.00
17250.000000	-23.83	-176.73	1.00
17437.500000	-23.84	-176.91	1.00
17625.000000	-23.84	-176.91	1.00
17812.500000	-23.83	-177.08	1.00
18000.000000	-23.82	-177.16	1.00
18187.500000	-23.82	-177.33	1.00
18375.000000	-23.83	-177.42	1.00
18562.500000	-23.83	-177.57	1.00
18750.000000	-23.83	-177.75	1.00
18937.500000	-23.83	-177.79	1.00
19125.000000	-23.82	-177.78	1.00
19312.500000	-23.80	-177.90	1.00
19500.000000	-23.80	-178.14	1.00
19687.500000	-23.82	-178.27	1.00
19875.000000	-23.82	-178.34	1.00
20062.500000	-23.81	-178.41	1.00
20250.000000	-23.80	-178.50	1.00
20437.500000	-23.79	-178.61	1.00
20625.000000	-23.81	-178.71	1.00
20812.500000	-23.80	-178.73	1.00
