	puk 100 Hz		
21000.000000	-23.80	-178.86	1.00
21187.500000	-23.80	-178.93	1.00
21375.000000	-23.79	-179.06	1.00
21562.500000	-23.80	-179.20	1.00
21750.000000	-23.79	-179.36	1.00
21937.500000	-23.79	-179.39	1.00
22125.000000	-23.80	-179.55	1.00
22312.500000	-23.79	-179.65	1.00
22500.000000	-23.79	-179.66	1.00
22687.500000	-23.79	-179.74	1.00
22875.000000	-23.79	-179.85	1.00
23062.500000	-23.78	-179.96	1.00
23250.000000	-23.79	179.97	1.00
23437.500000	-23.78	179.94	1.00
23625.000000	-23.78	179.86	1.00
23812.500000	-23.80	179.87	1.00
