	puk 30 Hz		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-17.78	-165.12	0.99
2.929688	-17.50	-168.45	1.00
4.394531	-17.21	-171.92	1.00
5.859375	-17.06	-174.19	1.00
7.324219	-16.84	178.92	1.00
8.789062	-16.93	174.83	1.00
10.253906	-16.95	174.11	1.00
11.718750	-17.05	170.58	1.00
13.183594	-17.10	169.96	1.00
14.648438	-17.28	166.41	1.00
16.113281	-17.32	164.89	1.00
17.578125	-17.42	163.43	1.00
19.042969	-17.53	160.70	1.00
20.507812	-17.63	160.42	1.00
21.972656	-17.77	158.92	1.00
23.437500	-17.93	157.53	1.00
24.902344	-18.09	155.80	1.00
26.367188	-18.27	154.66	1.00
27.832031	-18.46	153.02	1.00
29.296875	-18.54	151.85	1.00
30.761719	-18.68	150.93	1.00
32.226562	-18.94	150.38	1.00
33.691406	-19.00	149.00	1.00
35.156250	-19.11	148.73	1.00
36.621094	-19.31	147.02	1.00
38.085938	-19.55	146.27	1.00
39.550781	-19.59	146.07	1.00
41.015625	-19.86	144.48	1.00
42.480469	-20.01	144.04	1.00
43.945312	-20.01	143.90	1.00
45.410156	-20.39	142.81	1.00
46.875000	-20.44	142.18	1.00
48.339844	-20.61	141.49	1.00
49.804688	-20.70	140.93	1.00
51.269531	-20.93	140.63	1.00
52.734375	-21.25	139.85	1.00
54.199219	-21.25	139.75	1.00
55.664062	-21.34	139.70	1.00
57.128906	-21.50	139.42	1.00
58.593750	-21.70	138.20	1.00
60.058594	-21.86	137.85	1.00
61.523438	-21.91	138.05	1.00
62.988281	-22.09	138.10	1.00
64.453125	-22.24	137.70	1.00
65.917969	-22.38	137.47	1.00
67.382812	-22.50	136.95	1.00
68.847656	-22.60	137.26	1.00
70.312500	-22.78	137.09	1.00
71.777344	-22.92	136.53	1.00
73.242188	-23.10	136.58	1.00
74.707031	-23.15	136.20	1.00
76.171875	-23.27	136.50	1.00
77.636719	-23.40	135.92	1.00
79.101562	-23.61	136.10	1.00
80.566406	-23.66	135.84	1.00
82.031250	-23.82	136.01	1.00
83.496094	-23.89	136.04	1.00
84.960938	-24.05	136.05	1.00
86.425781	-24.16	136.05	1.00
87.890625	-24.21	135.73	1.00
89.355469	-24.45	136.55	1.00
90.820312	-24.52	135.83	1.00
92.285156	-24.61	136.29	1.00
93.750000	-24.71	135.79	1.00
95.214844	-24.83	136.26	1.00
96.679688	-24.97	136.02	1.00
98.144531	-25.01	135.67	1.00
99.609375	-25.08	135.91	1.00
101.074219	-25.14	135.96	1.00
102.539062	-25.34	136.39	1.00
104.003906	-25.43	136.37	1.00
105.468750	-25.58	136.55	1.00
106.933594	-25.63	136.40	1.00
108.398438	-25.75	136.50	1.00
109.863281	-25.85	136.84	1.00
111.328125	-25.93	136.68	1.00
112.792969	-25.99	137.19	1.00
114.257812	-26.09	137.50	1.00
115.722656	-26.21	137.41	1.00
117.187500	-26.26	137.55	1.00
118.652344	-26.31	137.96	1.00
120.117188	-26.46	138.03	1.00
121.582031	-26.55	138.48	1.00
123.046875	-26.62	138.59	1.00
124.511719	-26.87	138.07	1.00
