	bell 13k5 broad		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-25.75	-151.71	0.97
2.929688	-25.43	-157.49	1.00
4.394531	-25.30	-161.21	1.00
5.859375	-25.07	-164.36	1.00
7.324219	-25.00	-168.08	1.00
8.789062	-24.84	-170.89	1.00
10.253906	-24.84	-171.52	1.00
11.718750	-24.83	-172.62	1.00
13.183594	-24.79	-172.73	1.00
14.648438	-24.86	-173.98	1.00
16.113281	-24.83	-174.22	1.00
17.578125	-24.77	-174.52	1.00
19.042969	-24.76	-174.90	1.00
20.507812	-24.77	-175.39	1.00
21.972656	-24.72	-175.09	1.00
23.437500	-24.74	-175.66	1.00
24.902344	-24.74	-175.64	1.00
26.367188	-24.67	-176.03	1.00
27.832031	-24.76	-176.47	1.00
29.296875	-24.78	-176.42	1.00
30.761719	-24.72	-176.90	1.00
32.226562	-24.70	-176.81	1.00
33.691406	-24.72	-176.71	1.00
35.156250	-24.73	-176.73	1.00
36.621094	-24.73	-177.01	1.00
38.085938	-24.74	-176.77	1.00
39.550781	-24.74	-176.71	1.00
41.015625	-24.69	-176.89	1.00
42.480469	-24.71	-177.16	1.00
43.945312	-24.72	-177.11	1.00
45.410156	-24.71	-177.45	1.00
46.875000	-24.70	-177.24	1.00
48.339844	-24.77	-177.32	1.00
49.804688	-24.79	-177.53	1.00
51.269531	-24.71	-177.17	1.00
52.734375	-24.74	-177.19	1.00
54.199219	-24.74	-177.30	1.00
55.664062	-24.73	-177.21	1.00
57.128906	-24.72	-177.18	1.00
58.593750	-24.75	-177.07	1.00
60.058594	-24.72	-177.32	1.00
61.523438	-24.72	-177.17	1.00
62.988281	-24.69	-177.20	1.00
64.453125	-24.68	-177.33	1.00
65.917969	-24.71	-177.23	1.00
67.382812	-24.71	-177.42	1.00
68.847656	-24.69	-177.26	1.00
70.312500	-24.68	-177.29	1.00
71.777344	-24.73	-177.30	1.00
73.242188	-24.74	-177.23	1.00
74.707031	-24.71	-177.25	1.00
76.171875	-24.68	-177.31	1.00
77.636719	-24.73	-177.19	1.00
79.101562	-24.70	-177.34	1.00
80.566406	-24.69	-177.32	1.00
82.031250	-24.71	-177.25	1.00
83.496094	-24.71	-177.15	1.00
84.960938	-24.72	-177.24	1.00
86.425781	-24.72	-177.03	1.00
87.890625	-24.68	-177.34	1.00
89.355469	-24.72	-177.22	1.00
90.820312	-24.69	-177.14	1.00
92.285156	-24.70	-177.08	1.00
93.750000	-24.70	-177.16	1.00
95.214844	-24.69	-177.02	1.00
96.679688	-24.72	-177.07	1.00
98.144531	-24.72	-176.93	1.00
99.609375	-24.71	-176.59	1.00
101.074219	-24.70	-176.75	1.00
102.539062	-24.70	-177.03	1.00
104.003906	-24.71	-176.99	1.00
105.468750	-24.71	-177.08	1.00
106.933594	-24.70	-177.10	1.00
108.398438	-24.70	-176.93	1.00
109.863281	-24.69	-176.96	1.00
111.328125	-24.69	-176.90	1.00
112.792969	-24.69	-176.88	1.00
114.257812	-24.68	-176.89	1.00
115.722656	-24.70	-176.83	1.00
117.187500	-24.70	-176.80	1.00
118.652344	-24.69	-176.74	1.00
120.117188	-24.70	-176.77	1.00
121.582031	-24.70	-176.73	1.00
123.046875	-24.69	-176.76	1.00
124.511719	-24.69	-176.67	1.00
125.976562	-24.69	-176.61	1.00
127.441406	-24.70	-176.65	1.00
128.906250	-24.70	-176.63	1.00
130.371094	-24.69	-176.61	1.00
131.835938	-24.70	-176.55	1.00
133.300781	-24.70	-176.60	1.00
134.765625	-24.69	-176.64	1.00
136.230469	-24.69	-176.57	1.00
137.695312	-24.70	-176.62	1.00
139.160156	-24.70	-176.51	1.00
140.625000	-24.70	-176.51	1.00
143.554688	-24.70	-176.48	1.00
146.484375	-24.69	-176.47	1.00
149.414062	-24.68	-176.39	1.00
152.343750	-24.68	-176.24	1.00
155.273438	-24.69	-176.14	1.00
158.203125	-24.69	-176.14	1.00
161.132812	-24.68	-176.11	1.00
164.062500	-24.69	-176.08	1.00
166.992188	-24.68	-176.08	1.00
169.921875	-24.68	-175.99	1.00
172.851562	-24.68	-175.89	1.00
175.781250	-24.68	-175.88	1.00
178.710938	-24.69	-175.88	1.00
181.640625	-24.69	-175.77	1.00
184.570312	-24.67	-175.75	1.00
187.500000	-24.67	-175.71	1.00
190.429688	-24.68	-175.63	1.00
193.359375	-24.68	-175.55	1.00
196.289062	-24.68	-175.52	1.00
199.218750	-24.68	-175.36	1.00
202.148438	-24.68	-175.39	1.00
205.078125	-24.67	-175.33	1.00
208.007812	-24.68	-175.35	1.00
210.937500	-24.66	-175.33	1.00
213.867188	-24.66	-175.21	1.00
216.796875	-24.68	-175.20	1.00
219.726562	-24.68	-175.07	1.00
222.656250	-24.67	-175.06	1.00
225.585938	-24.66	-174.99	1.00
228.515625	-24.66	-174.92	1.00
231.445312	-24.66	-174.83	1.00
234.375000	-24.66	-174.82	1.00
237.304688	-24.66	-174.79	1.00
240.234375	-24.66	-174.74	1.00
243.164062	-24.65	-174.67	1.00
246.093750	-24.65	-174.65	1.00
249.023438	-24.65	-174.62	1.00
251.953125	-24.64	-174.56	1.00
254.882812	-24.65	-174.47	1.00
257.812500	-24.65	-174.40	1.00
260.742188	-24.65	-174.39	1.00
263.671875	-24.65	-174.28	1.00
266.601562	-24.65	-174.24	1.00
269.531250	-24.65	-174.20	1.00
272.460938	-24.65	-174.19	1.00
275.390625	-24.65	-174.19	1.00
278.320312	-24.64	-174.07	1.00
