	bell 5k broad		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
416.015625	-23.77	-159.15	1.00
421.875000	-23.75	-159.02	1.00
427.734375	-23.72	-158.74	1.00
433.593750	-23.71	-158.47	1.00
439.453125	-23.69	-158.17	1.00
445.312500	-23.66	-157.99	1.00
451.171875	-23.60	-157.76	1.00
457.031250	-23.61	-157.55	1.00
462.890625	-23.59	-157.36	1.00
468.750000	-23.55	-157.08	1.00
474.609375	-23.52	-156.92	1.00
480.468750	-23.51	-156.76	1.00
486.328125	-23.48	-156.51	1.00
492.187500	-23.45	-156.31	1.00
498.046875	-23.43	-156.07	1.00
503.906250	-23.40	-155.83	1.00
509.765625	-23.37	-155.64	1.00
515.625000	-23.35	-155.38	1.00
521.484375	-23.31	-155.12	1.00
527.343750	-23.29	-154.97	1.00
533.203125	-23.27	-154.85	1.00
539.062500	-23.24	-154.63	1.00
544.921875	-23.22	-154.39	1.00
550.781250	-23.18	-154.21	1.00
556.640625	-23.15	-153.87	1.00
562.500000	-23.13	-153.68	1.00
574.218750	-23.08	-153.27	1.00
585.937500	-23.02	-153.09	1.00
597.656250	-22.97	-152.63	1.00
609.375000	-22.92	-152.10	1.00
621.093750	-22.85	-152.05	1.00
632.812500	-22.79	-151.52	1.00
644.531250	-22.69	-151.08	1.00
656.250000	-22.69	-150.91	1.00
667.968750	-22.62	-150.38	1.00
679.687500	-22.55	-150.49	1.00
691.406250	-22.48	-150.07	1.00
703.125000	-22.49	-149.54	1.00
714.843750	-22.39	-149.25	1.00
726.562500	-22.33	-149.30	1.00
738.281250	-22.29	-148.90	1.00
750.000000	-22.20	-148.26	1.00
761.718750	-22.16	-148.17	1.00
773.437500	-22.08	-147.74	1.00
785.156250	-22.02	-147.49	1.00
796.875000	-21.99	-147.14	1.00
808.593750	-21.92	-147.00	1.00
820.312500	-21.86	-146.69	1.00
832.031250	-21.80	-146.86	1.00
843.750000	-21.73	-145.94	1.00
855.468750	-21.68	-146.12	1.00
867.187500	-21.61	-145.92	1.00
878.906250	-21.57	-145.52	1.00
890.625000	-21.46	-145.39	1.00
902.343750	-21.43	-145.12	1.00
914.062500	-21.36	-145.08	1.00
925.781250	-21.31	-144.72	1.00
937.500000	-21.24	-144.52	1.00
949.218750	-21.21	-144.47	1.00
960.937500	-21.13	-144.29	1.00
972.656250	-21.05	-143.96	1.00
984.375000	-21.01	-143.82	1.00
996.093750	-20.96	-143.67	1.00
1007.812500	-20.90	-143.50	1.00
1019.531250	-20.84	-143.20	1.00
1031.250000	-20.76	-143.15	1.00
1042.968750	-20.71	-142.97	1.00
1054.687500	-20.65	-142.90	1.00
1066.406250	-20.59	-142.78	1.00
1078.125000	-20.52	-142.51	1.00
1089.843750	-20.48	-142.40	1.00
1101.562500	-20.41	-142.23	1.00
1113.281250	-20.34	-142.08	1.00
1125.000000	-20.29	-142.05	1.00
1148.437500	-20.15	-141.63	1.00
1171.875000	-20.07	-141.80	1.00
1195.312500	-19.97	-141.60	1.00
1218.750000	-19.84	-141.19	1.00
1242.187500	-19.73	-141.04	1.00
1265.625000	-19.59	-141.58	1.00
1289.062500	-19.51	-141.05	1.00
1312.500000	-19.43	-140.50	1.00
1335.937500	-19.30	-140.72	1.00
1359.375000	-19.17	-140.28	1.00
1382.812500	-19.07	-140.32	1.00
1406.250000	-18.97	-140.01	1.00
1429.687500	-18.83	-140.35	1.00
1453.125000	-18.77	-139.73	1.00
1476.562500	-18.66	-139.91	1.00
1500.000000	-18.53	-139.91	1.00
1523.437500	-18.40	-139.70	1.00
1546.875000	-18.34	-139.72	1.00
1570.312500	-18.21	-139.98	1.00
1593.750000	-18.10	-139.82	1.00
1617.187500	-18.07	-139.43	1.00
1640.625000	-17.94	-139.96	1.00
1664.062500	-17.85	-140.04	1.00
1687.500000	-17.77	-140.03	1.00
1710.937500	-17.67	-140.09	1.00
1734.375000	-17.56	-140.12	1.00
1757.812500	-17.46	-140.08	1.00
1781.250000	-17.41	-140.38	1.00
1804.687500	-17.28	-140.21	1.00
1828.125000	-17.18	-140.29	1.00
1851.562500	-17.12	-140.28	1.00
1875.000000	-16.99	-140.73	1.00
1898.437500	-16.95	-140.68	1.00
1921.875000	-16.84	-140.84	1.00
1945.312500	-16.73	-140.74	1.00
1968.750000	-16.68	-141.06	1.00
1992.187500	-16.60	-141.20	1.00
2015.625000	-16.58	-141.39	1.00
2039.062500	-16.43	-141.55	1.00
2062.500000	-16.38	-141.55	1.00
2085.937500	-16.26	-141.81	1.00
2109.375000	-16.19	-141.93	1.00
2132.812500	-16.13	-141.99	1.00
2156.250000	-16.04	-142.28	1.00
2179.687500	-15.96	-142.26	1.00
2203.125000	-15.91	-142.81	1.00
2226.562500	-15.80	-143.03	1.00
2250.000000	-15.74	-143.13	1.00
2296.875000	-15.61	-143.33	1.00
2343.750000	-15.47	-143.89	1.00
2390.625000	-15.33	-144.31	1.00
2437.500000	-15.19	-144.50	1.00
2484.375000	-15.05	-144.96	1.00
2531.250000	-14.96	-145.64	1.00
2578.125000	-14.87	-146.20	1.00
2625.000000	-14.71	-146.70	1.00
2671.875000	-14.58	-147.18	1.00
2718.750000	-14.47	-147.73	1.00
2765.625000	-14.40	-148.31	1.00
2812.500000	-14.28	-148.80	1.00
2859.375000	-14.21	-149.19	1.00
2906.250000	-14.09	-150.12	1.00
2953.125000	-14.04	-150.48	1.00
3000.000000	-13.99	-151.09	1.00
3046.875000	-13.84	-151.53	1.00
3093.750000	-13.77	-152.04	1.00
3140.625000	-13.66	-152.91	1.00
3187.500000	-13.59	-153.22	1.00
3234.375000	-13.52	-154.10	1.00
3281.250000	-13.43	-154.32	1.00
3328.125000	-13.37	-155.08	1.00
3375.000000	-13.33	-155.85	1.00
3421.875000	-13.26	-157.54	1.00
3468.750000	-13.23	-156.58	1.00
3515.625000	-13.15	-157.56	1.00
3562.500000	-13.11	-158.10	1.00
3609.375000	-13.06	-158.62	1.00
3656.250000	-12.99	-159.19	1.00
3703.125000	-12.96	-159.78	1.00
3750.000000	-12.93	-160.57	1.00
3796.875000	-12.87	-161.04	1.00
3843.750000	-12.85	-161.68	1.00
3890.625000	-12.80	-162.29	1.00
3937.500000	-12.79	-162.78	1.00
3984.375000	-12.78	-163.63	1.00
4031.250000	-12.69	-164.01	1.00
4078.125000	-12.69	-164.42	1.00
4125.000000	-12.65	-165.17	1.00
4171.875000	-12.63	-165.55	1.00
4218.750000	-12.63	-165.98	1.00
4265.625000	-12.65	-166.68	1.00
4312.500000	-12.59	-167.23	1.00
4359.375000	-12.56	-167.76	1.00
4406.250000	-12.57	-168.27	1.00
4453.125000	-12.57	-168.76	1.00
4500.000000	-12.54	-169.32	1.00
4593.750000	-12.52	-170.19	1.00
4687.500000	-12.52	-171.29	1.00
4781.250000	-12.50	-172.21	1.00
4875.000000	-12.54	-172.95	1.00
4968.750000	-12.53	-174.00	1.00
5062.500000	-12.54	-174.69	1.00
5156.250000	-12.57	-175.50	1.00
5250.000000	-12.56	-176.45	1.00
5343.750000	-12.59	-177.19	1.00
5437.500000	-12.60	-177.98	1.00
5531.250000	-12.64	-178.64	1.00
5625.000000	-12.63	-179.26	1.00
5718.750000	-12.70	179.90	1.00
5812.500000	-12.70	179.40	1.00
5906.250000	-12.74	178.61	1.00
6000.000000	-12.77	177.98	1.00
6093.750000	-12.81	177.61	1.00
6187.500000	-12.88	177.13	1.00
6281.250000	-12.89	176.34	1.00
