	boost 60 Hz		
386.718750	-22.63	153.10	1.00
392.578125	-22.67	153.67	1.00
398.437500	-22.76	153.70	1.00
404.296875	-22.73	154.07	1.00
410.156250	-22.84	154.55	1.00
416.015625	-22.88	154.65	1.00
421.875000	-22.84	154.17	1.00
427.734375	-22.96	155.00	1.00
433.593750	-22.96	155.02	1.00
439.453125	-22.85	155.03	1.00
445.312500	-23.05	155.71	1.00
451.171875	-23.11	155.96	1.00
457.031250	-23.10	155.94	1.00
462.890625	-23.19	156.40	1.00
468.750000	-23.20	157.33	1.00
474.609375	-23.20	156.58	1.00
480.468750	-23.17	156.82	1.00
486.328125	-23.27	157.07	1.00
492.187500	-23.31	157.26	1.00
498.046875	-23.29	157.38	1.00
503.906250	-23.38	157.58	1.00
509.765625	-23.40	158.14	1.00
515.625000	-23.37	158.19	1.00
521.484375	-23.43	158.36	1.00
527.343750	-23.48	158.47	1.00
533.203125	-23.43	158.70	1.00
539.062500	-23.52	158.77	1.00
544.921875	-23.58	158.92	1.00
550.781250	-23.54	159.22	1.00
556.640625	-23.55	159.53	1.00
562.500000	-23.60	159.46	1.00
574.218750	-23.74	159.52	1.00
585.937500	-23.67	159.89	1.00
597.656250	-23.64	161.55	1.00
609.375000	-23.68	160.37	1.00
621.093750	-23.68	161.68	1.00
632.812500	-23.92	161.19	1.00
644.531250	-23.88	162.17	1.00
656.250000	-23.85	161.80	1.00
667.968750	-23.86	161.79	1.00
679.687500	-23.90	162.86	1.00
691.406250	-23.93	162.40	1.00
703.125000	-23.95	162.90	1.00
714.843750	-24.02	162.96	1.00
726.562500	-23.95	162.75	1.00
738.281250	-24.00	164.08	1.00
750.000000	-24.09	164.09	1.00
761.718750	-24.03	163.99	1.00
773.437500	-24.10	164.26	1.00
785.156250	-24.13	164.61	1.00
796.875000	-24.09	164.38	1.00
808.593750	-24.08	164.91	1.00
820.312500	-24.18	165.65	1.00
832.031250	-24.13	165.52	1.00
843.750000	-24.24	165.82	1.00
855.468750	-24.16	165.54	1.00
867.187500	-24.14	166.11	1.00
878.906250	-24.23	166.19	1.00
890.625000	-24.21	166.46	1.00
902.343750	-24.24	166.19	1.00
914.062500	-24.24	167.07	1.00
925.781250	-24.29	166.12	1.00
937.500000	-24.31	166.87	1.00
949.218750	-24.32	167.23	1.00
960.937500	-24.33	167.20	1.00
972.656250	-24.33	167.52	1.00
984.375000	-24.33	168.08	1.00
996.093750	-24.26	167.52	1.00
1007.812500	-24.31	167.57	1.00
1019.531250	-24.33	167.92	1.00
1031.250000	-24.36	168.21	1.00
1042.968750	-24.35	168.41	1.00
1054.687500	-24.35	168.68	1.00
1066.406250	-24.39	168.30	1.00
1078.125000	-24.38	168.70	1.00
1089.843750	-24.43	168.75	1.00
1101.562500	-24.41	169.00	1.00
1113.281250	-24.43	169.29	1.00
1125.000000	-24.39	169.21	1.00
1148.437500	-24.38	168.97	1.00
1171.875000	-24.49	169.69	1.00
1195.312500	-24.41	169.95	1.00
1218.750000	-24.32	170.74	1.00
1242.187500	-24.43	170.21	1.00
1265.625000	-24.46	171.23	1.00
1289.062500	-24.45	171.15	1.00
1312.500000	-24.48	170.37	1.00
1335.937500	-24.43	171.26	1.00
1359.375000	-24.51	171.48	1.00
1382.812500	-24.47	171.59	1.00
1406.250000	-24.50	171.72	1.00
1429.687500	-24.52	172.10	1.00
1453.125000	-24.54	171.62	1.00
1476.562500	-24.43	171.45	1.00
1500.000000	-24.59	172.01	1.00
1523.437500	-24.51	172.40	1.00
1546.875000	-24.57	172.43	1.00
1570.312500	-24.54	173.37	1.00
1593.750000	-24.60	172.68	1.00
1617.187500	-24.45	172.79	1.00
1640.625000	-24.51	172.79	1.00
1664.062500	-24.58	173.15	1.00
1687.500000	-24.57	173.26	1.00
1710.937500	-24.58	173.47	1.00
1734.375000	-24.57	173.30	1.00
1757.812500	-24.56	173.91	1.00
1781.250000	-24.54	173.60	1.00
1804.687500	-24.52	173.68	1.00
1828.125000	-24.63	173.86	1.00
1851.562500	-24.52	174.34	1.00
1875.000000	-24.55	174.27	1.00
1898.437500	-24.52	174.01	1.00
1921.875000	-24.58	174.31	1.00
1945.312500	-24.63	174.77	1.00
1968.750000	-24.60	174.78	1.00
1992.187500	-24.56	174.99	1.00
2015.625000	-24.53	174.69	1.00
2039.062500	-24.59	175.37	1.00
2062.500000	-24.56	174.99	1.00
2085.937500	-24.55	175.16	1.00
2109.375000	-24.59	174.98	1.00
2132.812500	-24.61	175.10	1.00
2156.250000	-24.58	175.35	1.00
2179.687500	-24.54	175.44	1.00
2203.125000	-24.61	175.46	1.00
2226.562500	-24.60	175.55	1.00
2250.000000	-24.57	175.95	1.00
2296.875000	-24.53	175.89	1.00
2343.750000	-24.63	176.00	1.00
2390.625000	-24.57	175.63	1.00
2437.500000	-24.60	176.08	1.00
2484.375000	-24.65	175.95	1.00
2531.250000	-24.52	176.32	1.00
2578.125000	-24.56	175.89	1.00
2625.000000	-24.58	176.62	1.00
2671.875000	-24.60	176.74	1.00
2718.750000	-24.59	176.57	1.00
2765.625000	-24.59	176.76	1.00
2812.500000	-24.67	177.24	1.00
2859.375000	-24.54	176.96	1.00
2906.250000	-24.56	177.25	1.00
2953.125000	-24.54	177.69	1.00
3000.000000	-24.46	177.55	1.00
3046.875000	-24.68	176.83	1.00
3093.750000	-24.50	177.21	1.00
3140.625000	-24.52	177.41	1.00
3187.500000	-24.55	177.74	1.00
3234.375000	-24.54	177.86	1.00
3281.250000	-24.61	178.04	1.00
3328.125000	-24.54	177.84	1.00
3375.000000	-24.52	178.48	1.00
3421.875000	-24.51	178.56	1.00
3468.750000	-24.55	178.29	1.00
3515.625000	-24.47	178.36	1.00
3562.500000	-24.53	178.32	1.00
3609.375000	-24.55	178.56	1.00
3656.250000	-24.53	178.57	1.00
3703.125000	-24.54	178.34	1.00
3750.000000	-24.51	178.85	1.00
3796.875000	-24.52	178.52	1.00
3843.750000	-24.52	178.78	1.00
3890.625000	-24.48	179.00	1.00
3937.500000	-24.44	178.93	1.00
3984.375000	-24.51	178.65	1.00
4031.250000	-24.50	178.98	1.00
4078.125000	-24.49	178.95	1.00
4125.000000	-24.51	178.94	1.00
4171.875000	-24.37	178.85	1.00
4218.750000	-24.45	179.19	1.00
4265.625000	-24.48	179.27	1.00
4312.500000	-24.49	179.14	1.00
4359.375000	-24.48	179.42	1.00
4406.250000	-24.45	179.52	1.00
4453.125000	-24.46	179.30	1.00
4500.000000	-24.50	179.55	1.00
4593.750000	-24.45	179.27	1.00
4687.500000	-24.42	179.89	1.00
4781.250000	-24.43	179.63	1.00
4875.000000	-24.40	179.73	1.00
4968.750000	-24.42	-179.75	1.00
5062.500000	-24.40	179.61	1.00
5156.250000	-24.40	179.79	1.00
5250.000000	-24.37	179.95	1.00
5343.750000	-24.36	-179.77	1.00
5437.500000	-24.38	-179.74	1.00
5531.250000	-24.37	-179.54	1.00
5625.000000	-24.35	-179.94	1.00
5718.750000	-24.31	-179.90	1.00
5812.500000	-24.32	-179.48	1.00
5906.250000	-24.34	-179.78	1.00
6000.000000	-24.39	-179.79	1.00
6093.750000	-24.24	-179.59	1.00
6187.500000	-24.31	-179.87	1.00
6281.250000	-24.26	-179.53	1.00
6375.000000	-24.30	-179.79	1.00
6468.750000	-24.31	-179.23	1.00
6562.500000	-24.26	-179.51	1.00
6656.250000	-24.27	-179.38	1.00
6750.000000	-24.23	-179.56	1.00
6843.750000	-24.21	-179.31	1.00
6937.500000	-24.23	-179.50	1.00
7031.250000	-24.22	-179.13	1.00
7125.000000	-24.24	-179.17	1.00
7218.750000	-24.20	-179.40	1.00
7312.500000	-24.20	-179.42	1.00
7406.250000	-24.22	-179.20	1.00
7500.000000	-24.20	-179.25	1.00
7593.750000	-24.16	-179.31	1.00
7687.500000	-24.18	-179.06	1.00
7781.250000	-24.16	-179.23	1.00
7875.000000	-24.16	-179.22	1.00
7968.750000	-24.15	-179.40	1.00
8062.500000	-24.15	-179.33	1.00
8156.250000	-24.13	-179.36	1.00
8250.000000	-24.15	-179.32	1.00
8343.750000	-24.13	-179.35	1.00
8437.500000	-24.11	-179.24	1.00
8531.250000	-24.12	-179.35	1.00
8625.000000	-24.10	-179.18	1.00
8718.750000	-24.10	-179.36	1.00
8812.500000	-24.08	-179.27	1.00
8906.250000	-24.10	-179.31	1.00
9000.000000	-24.05	-179.27	1.00
9187.500000	-24.08	-179.40	1.00
9375.000000	-24.05	-179.16	1.00
9562.500000	-24.03	-179.49	1.00
9750.000000	-24.01	-179.48	1.00
9937.500000	-24.03	-179.65	1.00
10125.000000	-23.97	-179.55	1.00
10312.500000	-24.00	-179.63	1.00
10500.000000	-23.95	-179.65	1.00
10687.500000	-23.94	-179.56	1.00
10875.000000	-23.97	-179.58	1.00
11062.500000	-23.93	-179.81	1.00
11250.000000	-23.95	-179.81	1.00
11437.500000	-23.91	-179.89	1.00
11625.000000	-23.90	-179.90	1.00
11812.500000	-23.91	-179.98	1.00
12000.000000	-23.90	-179.94	1.00
12187.500000	-23.89	-179.84	1.00
12375.000000	-23.87	179.93	1.00
12562.500000	-23.88	179.84	1.00
12750.000000	-23.88	179.61	1.00
12937.500000	-23.84	179.66	1.00
13125.000000	-23.85	179.63	1.00
13312.500000	-23.83	179.59	1.00
13500.000000	-23.82	179.54	1.00
13687.500000	-23.82	179.42	1.00
13875.000000	-23.80	179.41	1.00
14062.500000	-23.80	179.35	1.00
14250.000000	-23.79	179.34	1.00
14437.500000	-23.80	179.23	1.00
14625.000000	-23.80	179.21	1.00
14812.500000	-23.79	179.18	1.00
15000.000000	-23.78	179.06	1.00
15187.500000	-23.78	179.10	1.00
15375.000000	-23.76	178.92	1.00
15562.500000	-23.76	178.95	1.00
15750.000000	-23.78	178.93	1.00
15937.500000	-23.77	178.67	1.00
16125.000000	-23.75	178.69	1.00
16312.500000	-23.74	178.66	1.00
16500.000000	-23.72	178.59	1.00
16687.500000	-23.74	178.65	1.00
16875.000000	-23.73	178.50	1.00
17062.500000	-23.74	178.40	1.00
17250.000000	-23.73	178.29	1.00
17437.500000	-23.72	178.34	1.00
17625.000000	-23.72	178.27	1.00
17812.500000	-23.74	178.16	1.00
18000.000000	-23.71	178.16	1.00
18187.500000	-23.74	177.98	1.00
18375.000000	-23.72	177.98	1.00
18562.500000	-23.70	177.80	1.00
18750.000000	-23.69	177.85	1.00
18937.500000	-23.70	177.81	1.00
19125.000000	-23.70	177.66	1.00
19312.500000	-23.68	177.65	1.00
19500.000000	-23.69	177.71	1.00
19687.500000	-23.69	177.55	1.00
19875.000000	-23.70	177.51	1.00
20062.500000	-23.69	177.42	1.00
20250.000000	-23.67	177.31	1.00
20437.500000	-23.68	177.27	1.00
20625.000000	-23.67	177.16	1.00
20812.500000	-23.67	177.12	1.00
21000.000000	-23.66	177.11	1.00
21187.500000	-23.67	177.08	1.00
21375.000000	-23.66	177.10	1.00
21562.500000	-23.66	176.97	1.00
21750.000000	-23.66	176.85	1.00
21937.500000	-23.67	176.71	1.00
22125.000000	-23.66	176.70	1.00
22312.500000	-23.65	176.71	1.00
22500.000000	-23.65	176.57	1.00
22687.500000	-23.66	176.49	1.00
22875.000000	-23.67	176.48	1.00
23062.500000	-23.67	176.42	1.00
23250.000000	-23.65	176.36	1.00
23437.500000	-23.67	176.43	1.00
23625.000000	-23.70	176.87	1.00
23812.500000	-23.78	177.84	1.00
