	boost 60 Hz		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-15.50	-152.85	1.00
2.929688	-14.52	-159.13	1.00
4.394531	-14.00	-167.41	1.00
5.859375	-13.78	-170.66	1.00
7.324219	-13.69	-173.79	1.00
8.789062	-13.69	-176.65	1.00
10.253906	-13.62	-178.95	1.00
11.718750	-13.62	-179.31	1.00
13.183594	-13.60	179.04	1.00
14.648438	-13.63	178.10	1.00
16.113281	-13.61	176.51	1.00
17.578125	-13.67	176.17	1.00
19.042969	-13.71	175.80	1.00
20.507812	-13.69	173.45	1.00
21.972656	-13.77	172.49	1.00
23.437500	-13.76	172.70	1.00
24.902344	-13.81	171.60	1.00
26.367188	-13.81	170.57	1.00
27.832031	-13.83	170.26	1.00
29.296875	-13.93	169.83	1.00
30.761719	-13.95	168.46	1.00
32.226562	-13.99	168.20	1.00
33.691406	-14.07	167.07	1.00
35.156250	-14.03	166.71	1.00
36.621094	-14.13	165.66	1.00
38.085938	-14.18	165.08	1.00
39.550781	-14.19	164.97	1.00
41.015625	-14.26	164.26	1.00
42.480469	-14.32	163.59	1.00
43.945312	-14.38	162.76	1.00
45.410156	-14.40	162.61	1.00
46.875000	-14.48	161.71	1.00
48.339844	-14.52	161.74	1.00
49.804688	-14.60	160.93	1.00
51.269531	-14.65	160.55	1.00
52.734375	-14.69	159.85	1.00
54.199219	-14.71	159.83	1.00
55.664062	-14.78	159.20	1.00
57.128906	-14.85	158.58	1.00
58.593750	-14.93	158.24	1.00
60.058594	-15.01	157.48	1.00
61.523438	-15.05	157.24	1.00
62.988281	-15.09	156.99	1.00
64.453125	-15.18	156.26	1.00
65.917969	-15.24	155.86	1.00
67.382812	-15.26	155.77	1.00
68.847656	-15.36	155.35	1.00
70.312500	-15.40	154.82	1.00
71.777344	-15.47	154.76	1.00
73.242188	-15.54	154.22	1.00
74.707031	-15.65	153.78	1.00
76.171875	-15.62	153.71	1.00
77.636719	-15.72	153.18	1.00
79.101562	-15.74	153.11	1.00
80.566406	-15.84	153.11	1.00
82.031250	-15.88	152.61	1.00
83.496094	-15.96	152.16	1.00
84.960938	-16.03	152.00	1.00
86.425781	-16.10	151.66	1.00
87.890625	-16.12	151.38	1.00
89.355469	-16.19	151.09	1.00
90.820312	-16.28	150.90	1.00
92.285156	-16.32	150.80	1.00
93.750000	-16.38	150.56	1.00
95.214844	-16.46	150.35	1.00
96.679688	-16.51	149.78	1.00
98.144531	-16.58	149.82	1.00
99.609375	-16.63	149.40	1.00
101.074219	-16.68	149.47	1.00
102.539062	-16.71	149.14	1.00
104.003906	-16.82	148.91	1.00
105.468750	-16.85	148.84	1.00
106.933594	-16.94	148.79	1.00
108.398438	-17.00	148.44	1.00
109.863281	-17.02	148.48	1.00
111.328125	-17.14	148.40	1.00
112.792969	-17.15	148.31	1.00
114.257812	-17.22	147.91	1.00
115.722656	-17.28	147.92	1.00
117.187500	-17.33	147.87	1.00
118.652344	-17.38	147.94	1.00
120.117188	-17.43	147.32	1.00
121.582031	-17.51	147.37	1.00
123.046875	-17.54	147.33	1.00
124.511719	-17.60	146.94	1.00
125.976562	-17.66	147.06	1.00
127.441406	-17.70	146.98	1.00
128.906250	-17.77	146.67	1.00
130.371094	-17.80	146.78	1.00
131.835938	-17.87	146.72	1.00
133.300781	-17.93	146.62	1.00
134.765625	-17.96	146.61	1.00
136.230469	-18.03	146.53	1.00
137.695312	-18.09	146.54	1.00
139.160156	-18.14	146.49	1.00
140.625000	-18.18	146.45	1.00
143.554688	-18.29	146.38	1.00
146.484375	-18.30	145.68	1.00
149.414062	-18.50	146.24	1.00
152.343750	-18.61	145.87	1.00
155.273438	-18.65	145.90	1.00
158.203125	-18.73	145.93	1.00
161.132812	-18.81	146.00	1.00
164.062500	-18.89	145.58	1.00
166.992188	-18.94	146.10	1.00
169.921875	-19.10	145.72	1.00
172.851562	-19.26	145.98	1.00
175.781250	-19.34	145.73	1.00
178.710938	-19.32	145.77	1.00
181.640625	-19.45	145.89	1.00
184.570312	-19.52	145.99	1.00
187.500000	-19.58	146.17	1.00
190.429688	-19.66	145.73	1.00
193.359375	-19.73	145.96	1.00
196.289062	-19.80	145.75	1.00
199.218750	-19.88	146.09	1.00
202.148438	-19.99	146.02	1.00
205.078125	-19.92	146.29	1.00
208.007812	-20.09	146.45	1.00
210.937500	-20.19	146.36	1.00
213.867188	-20.27	146.22	1.00
216.796875	-20.29	146.60	1.00
219.726562	-20.37	146.66	1.00
222.656250	-20.41	146.55	1.00
225.585938	-20.51	146.98	1.00
228.515625	-20.55	146.78	1.00
231.445312	-20.59	146.73	1.00
234.375000	-20.65	146.78	1.00
237.304688	-20.71	147.38	1.00
240.234375	-20.77	147.20	1.00
243.164062	-20.81	147.29	1.00
246.093750	-20.88	147.52	1.00
249.023438	-20.92	147.31	1.00
251.953125	-21.02	147.88	1.00
254.882812	-21.02	147.78	1.00
257.812500	-21.07	147.50	1.00
260.742188	-21.11	147.91	1.00
263.671875	-21.19	148.11	1.00
266.601562	-21.32	148.51	1.00
269.531250	-21.22	148.31	1.00
272.460938	-21.28	148.34	1.00
275.390625	-21.36	149.01	1.00
278.320312	-21.42	148.95	1.00
281.250000	-21.46	148.71	1.00
287.109375	-21.57	149.26	1.00
292.968750	-21.60	149.51	1.00
298.828125	-21.74	149.48	1.00
304.687500	-21.73	149.72	1.00
310.546875	-21.88	150.15	1.00
316.406250	-22.06	150.80	1.00
322.265625	-21.98	150.25	1.00
328.125000	-22.07	151.08	1.00
333.984375	-22.14	151.33	1.00
339.843750	-22.21	151.60	1.00
345.703125	-22.23	151.41	1.00
351.562500	-22.30	152.49	1.00
357.421875	-22.41	152.08	1.00
363.281250	-22.47	152.70	1.00
369.140625	-22.48	152.67	1.00
375.000000	-22.69	152.79	1.00
380.859375	-22.57	153.27	1.00
