	bell 5k sharp		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
416.015625	-23.95	-158.44	1.00
421.875000	-23.93	-158.31	1.00
427.734375	-23.92	-158.10	1.00
433.593750	-23.89	-157.76	1.00
439.453125	-23.86	-157.50	1.00
445.312500	-23.84	-157.16	1.00
451.171875	-23.83	-157.09	1.00
457.031250	-23.82	-156.78	1.00
462.890625	-23.79	-156.38	1.00
468.750000	-23.77	-156.25	1.00
474.609375	-23.74	-155.88	1.00
480.468750	-23.74	-155.65	1.00
486.328125	-23.72	-155.37	1.00
492.187500	-23.68	-155.25	1.00
498.046875	-23.66	-154.82	1.00
503.906250	-23.63	-154.55	1.00
509.765625	-23.62	-154.24	1.00
515.625000	-23.60	-154.29	1.00
521.484375	-23.57	-154.01	1.00
527.343750	-23.53	-153.80	1.00
533.203125	-23.52	-153.64	1.00
539.062500	-23.51	-153.33	1.00
544.921875	-23.49	-152.88	1.00
550.781250	-23.46	-152.83	1.00
556.640625	-23.42	-152.54	1.00
562.500000	-23.40	-152.41	1.00
574.218750	-23.34	-151.95	1.00
585.937500	-23.30	-151.39	1.00
597.656250	-23.26	-151.09	1.00
609.375000	-23.21	-150.56	1.00
621.093750	-23.16	-150.15	1.00
632.812500	-23.10	-149.60	1.00
644.531250	-23.13	-149.49	1.00
656.250000	-22.97	-148.88	1.00
667.968750	-22.97	-148.40	1.00
679.687500	-22.90	-147.83	1.00
691.406250	-22.84	-147.64	1.00
703.125000	-22.78	-147.11	1.00
714.843750	-22.74	-146.81	1.00
726.562500	-22.67	-146.82	1.00
738.281250	-22.64	-145.88	1.00
750.000000	-22.60	-145.72	1.00
761.718750	-22.56	-145.18	1.00
773.437500	-22.47	-144.93	1.00
785.156250	-22.43	-144.06	1.00
796.875000	-22.39	-143.99	1.00
808.593750	-22.29	-143.60	1.00
820.312500	-22.26	-143.34	1.00
832.031250	-22.16	-143.09	1.00
843.750000	-22.15	-142.67	1.00
855.468750	-22.07	-142.37	1.00
867.187500	-22.01	-141.98	1.00
878.906250	-21.99	-141.70	1.00
890.625000	-21.90	-141.31	1.00
902.343750	-21.86	-141.03	1.00
914.062500	-21.83	-140.43	1.00
925.781250	-21.76	-140.25	1.00
937.500000	-21.68	-140.02	1.00
949.218750	-21.62	-139.75	1.00
960.937500	-21.58	-139.43	1.00
972.656250	-21.53	-139.04	1.00
984.375000	-21.43	-138.84	1.00
996.093750	-21.41	-138.45	1.00
1007.812500	-21.34	-138.42	1.00
1019.531250	-21.28	-138.00	1.00
1031.250000	-21.24	-137.68	1.00
1042.968750	-21.18	-137.39	1.00
1054.687500	-21.11	-137.02	1.00
1066.406250	-21.04	-136.83	1.00
1078.125000	-20.98	-136.53	1.00
1089.843750	-20.92	-136.51	1.00
1101.562500	-20.87	-135.91	1.00
1113.281250	-20.83	-136.01	1.00
1125.000000	-20.73	-135.66	1.00
1148.437500	-20.59	-135.02	1.00
1171.875000	-20.48	-134.70	1.00
1195.312500	-20.42	-134.27	1.00
1218.750000	-20.29	-133.89	1.00
1242.187500	-20.14	-133.53	1.00
1265.625000	-20.00	-133.09	1.00
1289.062500	-19.89	-132.64	1.00
1312.500000	-19.78	-132.06	1.00
1335.937500	-19.65	-132.00	1.00
1359.375000	-19.57	-131.53	1.00
1382.812500	-19.43	-131.23	1.00
1406.250000	-19.36	-130.86	1.00
1429.687500	-19.24	-130.82	1.00
1453.125000	-19.15	-129.84	1.00
