	boost 30 Hz		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
468.750000	-24.29	167.71	1.00
474.609375	-24.29	167.67	1.00
480.468750	-24.15	167.35	1.00
486.328125	-24.27	168.17	1.00
492.187500	-24.29	168.34	1.00
498.046875	-24.32	168.23	1.00
503.906250	-24.32	168.33	1.00
509.765625	-24.35	168.80	1.00
515.625000	-24.23	168.86	1.00
521.484375	-24.34	168.71	1.00
527.343750	-24.39	169.30	1.00
533.203125	-24.42	168.90	1.00
539.062500	-24.43	169.52	1.00
544.921875	-24.40	169.24	1.00
550.781250	-24.41	169.24	1.00
556.640625	-24.45	169.30	1.00
562.500000	-24.42	170.05	1.00
574.218750	-24.50	170.60	1.00
585.937500	-24.38	170.41	1.00
597.656250	-24.52	170.26	1.00
609.375000	-24.46	170.85	1.00
621.093750	-24.31	171.75	1.00
632.812500	-24.55	171.17	1.00
644.531250	-24.53	172.11	1.00
656.250000	-24.50	171.57	1.00
667.968750	-24.50	171.22	1.00
679.687500	-24.36	172.72	1.00
691.406250	-24.61	172.13	1.00
703.125000	-24.45	171.91	1.00
714.843750	-24.55	172.95	1.00
726.562500	-24.44	171.86	1.00
738.281250	-24.46	173.37	1.00
750.000000	-24.59	172.85	1.00
761.718750	-24.45	172.92	1.00
773.437500	-24.54	173.44	1.00
785.156250	-24.49	173.02	1.00
796.875000	-24.55	172.69	1.00
808.593750	-24.48	174.35	1.00
820.312500	-24.51	173.88	1.00
832.031250	-24.38	174.38	1.00
843.750000	-24.70	173.48	1.00
855.468750	-24.52	174.12	1.00
867.187500	-24.46	173.97	1.00
878.906250	-24.47	174.19	1.00
890.625000	-24.46	174.47	1.00
902.343750	-24.60	173.98	1.00
914.062500	-24.56	174.96	1.00
925.781250	-24.74	174.54	1.00
937.500000	-24.53	174.54	1.00
949.218750	-24.53	175.14	1.00
960.937500	-24.55	175.22	1.00
972.656250	-24.57	175.26	1.00
984.375000	-24.54	175.45	1.00
996.093750	-24.54	175.02	1.00
1007.812500	-24.55	174.99	1.00
1019.531250	-24.54	175.35	1.00
1031.250000	-24.57	175.56	1.00
1042.968750	-24.53	175.46	1.00
1054.687500	-24.54	175.55	1.00
1066.406250	-24.66	175.66	1.00
1078.125000	-24.58	176.19	1.00
1089.843750	-24.60	175.78	1.00
1101.562500	-24.58	176.02	1.00
1113.281250	-24.56	175.74	1.00
1125.000000	-24.48	176.16	1.00
1148.437500	-24.49	176.57	1.00
1171.875000	-24.59	176.19	1.00
1195.312500	-24.51	177.42	1.00
1218.750000	-24.51	176.13	1.00
1242.187500	-24.58	177.07	1.00
1265.625000	-24.61	176.30	1.00
1289.062500	-24.46	177.48	1.00
1312.500000	-24.61	177.02	1.00
1335.937500	-24.54	176.67	1.00
1359.375000	-24.59	177.73	1.00
1382.812500	-24.43	178.22	1.00
1406.250000	-24.62	177.60	1.00
1429.687500	-24.57	178.31	1.00
1453.125000	-24.57	177.78	1.00
1476.562500	-24.47	178.08	1.00
1500.000000	-24.54	178.29	1.00
1523.437500	-24.53	178.64	1.00
1546.875000	-24.66	178.64	1.00
1570.312500	-24.46	178.30	1.00
1593.750000	-24.62	178.48	1.00
1617.187500	-24.51	178.93	1.00
1640.625000	-24.52	178.70	1.00
1664.062500	-24.58	179.10	1.00
1687.500000	-24.65	179.20	1.00
1710.937500	-24.50	179.09	1.00
1734.375000	-24.50	178.89	1.00
1757.812500	-24.46	179.14	1.00
1781.250000	-24.47	179.14	1.00
1804.687500	-24.49	179.74	1.00
1828.125000	-24.57	179.37	1.00
1851.562500	-24.47	179.19	1.00
1875.000000	-24.52	179.69	1.00
1898.437500	-24.47	179.48	1.00
1921.875000	-24.42	179.60	1.00
1945.312500	-24.54	179.67	1.00
1968.750000	-24.57	179.88	1.00
1992.187500	-24.50	-179.77	1.00
2015.625000	-24.32	179.70	1.00
2039.062500	-24.45	-179.89	1.00
2062.500000	-24.39	179.64	1.00
2085.937500	-24.43	-179.75	1.00
2109.375000	-24.46	-179.98	1.00
2132.812500	-24.40	-179.83	1.00
