	puk 20 Hz		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-18.29	-159.14	1.00
2.929688	-17.28	-170.56	0.99
4.394531	-17.17	-177.44	1.00
5.859375	-17.20	-177.94	1.00
7.324219	-17.22	176.05	1.00
8.789062	-17.24	170.11	1.00
10.253906	-17.42	167.09	1.00
11.718750	-17.68	162.66	1.00
13.183594	-17.66	162.64	1.00
14.648438	-17.95	158.90	1.00
16.113281	-18.24	156.43	1.00
17.578125	-18.34	155.42	1.00
19.042969	-18.68	152.04	1.00
20.507812	-18.96	150.41	1.00
21.972656	-19.18	149.48	1.00
23.437500	-19.37	148.54	1.00
24.902344	-19.72	146.82	1.00
26.367188	-19.87	146.08	1.00
27.832031	-20.05	143.91	1.00
29.296875	-20.37	141.27	1.00
30.761719	-20.68	142.60	1.00
32.226562	-20.97	141.93	1.00
33.691406	-21.23	141.07	1.00
35.156250	-21.39	140.63	1.00
36.621094	-21.67	140.09	1.00
38.085938	-21.85	139.86	1.00
39.550781	-22.11	139.19	1.00
41.015625	-22.27	138.96	1.00
42.480469	-22.56	137.84	1.00
43.945312	-22.62	137.90	1.00
45.410156	-22.95	137.75	1.00
46.875000	-23.11	137.65	1.00
48.339844	-23.40	137.11	1.00
49.804688	-23.43	136.88	1.00
51.269531	-23.93	136.90	1.00
52.734375	-23.89	136.80	1.00
54.199219	-24.17	136.93	1.00
55.664062	-24.34	137.21	1.00
57.128906	-24.46	137.05	1.00
58.593750	-24.67	136.90	1.00
60.058594	-24.85	137.12	1.00
61.523438	-24.94	137.31	1.00
62.988281	-25.15	137.84	1.00
64.453125	-25.27	137.28	1.00
65.917969	-25.57	138.29	1.00
67.382812	-25.61	138.07	1.00
68.847656	-25.60	138.16	1.00
70.312500	-26.06	138.59	1.00
71.777344	-26.07	138.38	1.00
73.242188	-26.25	138.74	1.00
74.707031	-26.36	138.97	1.00
76.171875	-26.41	138.81	1.00
77.636719	-26.68	139.59	1.00
79.101562	-26.80	139.77	1.00
80.566406	-26.86	139.71	1.00
82.031250	-27.06	140.00	1.00
83.496094	-27.25	141.18	1.00
84.960938	-27.28	141.77	1.00
86.425781	-27.45	141.13	1.00
87.890625	-27.46	142.07	1.00
89.355469	-27.88	141.64	1.00
90.820312	-27.70	143.06	1.00
92.285156	-27.75	142.80	1.00
93.750000	-27.91	144.19	1.00
95.214844	-28.03	143.68	1.00
96.679688	-28.17	144.21	1.00
98.144531	-28.18	144.83	1.00
99.609375	-28.61	145.04	1.00
101.074219	-28.46	145.78	1.00
102.539062	-28.54	146.06	1.00
104.003906	-28.56	146.81	1.00
105.468750	-28.69	146.81	1.00
106.933594	-28.68	146.02	1.00
108.398438	-28.98	148.08	1.00
109.863281	-28.92	147.73	1.00
111.328125	-29.03	148.59	1.00
112.792969	-29.10	149.18	1.00
114.257812	-29.13	149.20	1.00
115.722656	-29.37	149.69	1.00
117.187500	-29.32	150.09	1.00
118.652344	-29.41	150.83	1.00
120.117188	-29.42	151.75	1.00
121.582031	-29.63	151.81	1.00
123.046875	-29.66	152.61	1.00
124.511719	-29.66	152.69	1.00
125.976562	-29.73	152.91	1.00
127.441406	-29.74	153.15	1.00
128.906250	-29.75	154.13	1.00
130.371094	-29.86	154.42	1.00
131.835938	-29.83	154.88	1.00
133.300781	-29.96	155.23	1.00
134.765625	-29.98	155.69	1.00
136.230469	-30.03	156.71	1.00
137.695312	-30.18	157.01	1.00
139.160156	-30.18	158.00	1.00
140.625000	-30.23	158.28	1.00
143.554688	-30.32	159.52	1.00
