	bell 13k5 sharp		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-26.00	-150.98	0.98
2.929688	-25.71	-155.69	1.00
4.394531	-25.33	-161.42	1.00
5.859375	-25.12	-164.79	1.00
7.324219	-24.98	-167.71	1.00
8.789062	-24.80	-170.75	1.00
10.253906	-24.82	-171.56	1.00
11.718750	-24.82	-172.57	1.00
13.183594	-24.76	-172.83	1.00
14.648438	-24.85	-174.03	1.00
16.113281	-24.82	-174.20	1.00
17.578125	-24.75	-174.41	1.00
19.042969	-24.77	-174.98	1.00
20.507812	-24.78	-175.42	1.00
21.972656	-24.73	-175.19	1.00
23.437500	-24.74	-175.84	1.00
24.902344	-24.76	-175.71	1.00
26.367188	-24.66	-176.11	1.00
27.832031	-24.77	-176.40	1.00
29.296875	-24.77	-176.43	1.00
30.761719	-24.71	-176.75	1.00
32.226562	-24.70	-176.72	1.00
33.691406	-24.72	-176.68	1.00
35.156250	-24.72	-176.73	1.00
36.621094	-24.73	-177.05	1.00
38.085938	-24.74	-176.81	1.00
39.550781	-24.74	-176.74	1.00
41.015625	-24.69	-176.86	1.00
42.480469	-24.71	-177.13	1.00
43.945312	-24.72	-177.04	1.00
45.410156	-24.72	-177.32	1.00
46.875000	-24.69	-177.14	1.00
48.339844	-24.76	-177.20	1.00
49.804688	-24.78	-177.37	1.00
51.269531	-24.74	-177.31	1.00
52.734375	-24.73	-177.34	1.00
54.199219	-24.73	-177.34	1.00
55.664062	-24.72	-177.19	1.00
57.128906	-24.71	-177.19	1.00
58.593750	-24.76	-176.96	1.00
60.058594	-24.72	-177.33	1.00
61.523438	-24.71	-177.19	1.00
62.988281	-24.69	-177.19	1.00
64.453125	-24.69	-177.33	1.00
65.917969	-24.71	-177.23	1.00
67.382812	-24.71	-177.44	1.00
68.847656	-24.69	-177.23	1.00
70.312500	-24.69	-177.26	1.00
71.777344	-24.72	-177.28	1.00
73.242188	-24.74	-177.26	1.00
