	att 10k		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-26.68	-145.19	0.99
2.929688	-26.28	-146.78	0.99
4.394531	-25.45	-159.47	1.00
5.859375	-24.99	-165.66	1.00
7.324219	-24.95	-168.26	1.00
8.789062	-24.86	-170.43	1.00
10.253906	-24.88	-171.81	1.00
11.718750	-24.81	-173.15	1.00
13.183594	-24.85	-173.59	1.00
14.648438	-24.81	-174.20	1.00
16.113281	-24.91	-175.01	1.00
17.578125	-24.73	-175.87	1.00
19.042969	-24.73	-176.19	1.00
20.507812	-24.74	-176.41	1.00
21.972656	-24.78	-176.58	1.00
23.437500	-24.79	-176.97	1.00
24.902344	-24.83	-177.11	1.00
26.367188	-24.84	-177.49	1.00
27.832031	-24.81	-177.77	1.00
29.296875	-24.72	-178.11	1.00
30.761719	-24.71	-178.53	1.00
32.226562	-24.65	-178.85	1.00
33.691406	-24.72	-178.46	1.00
35.156250	-24.70	-179.10	1.00
36.621094	-24.70	-178.64	1.00
38.085938	-24.73	-179.46	1.00
39.550781	-24.76	-179.32	1.00
41.015625	-24.69	-179.51	1.00
42.480469	-24.73	-180.00	1.00
43.945312	-24.73	-179.65	1.00
45.410156	-24.71	179.94	1.00
46.875000	-24.73	179.84	1.00
48.339844	-24.74	179.84	1.00
49.804688	-24.73	179.84	1.00
51.269531	-24.73	179.63	1.00
52.734375	-24.73	179.69	1.00
54.199219	-24.73	179.41	1.00
55.664062	-24.72	179.32	1.00
57.128906	-24.75	179.22	1.00
58.593750	-24.73	179.04	1.00
60.058594	-24.74	178.85	1.00
61.523438	-24.73	178.78	1.00
62.988281	-24.74	178.71	1.00
64.453125	-24.72	178.66	1.00
65.917969	-24.70	178.51	1.00
67.382812	-24.73	178.62	1.00
68.847656	-24.71	178.50	1.00
70.312500	-24.76	178.68	1.00
71.777344	-24.72	178.06	1.00
73.242188	-24.72	178.28	1.00
74.707031	-24.74	177.84	1.00
76.171875	-24.72	177.79	1.00
77.636719	-24.70	177.91	1.00
79.101562	-24.74	177.62	1.00
80.566406	-24.73	177.53	1.00
82.031250	-24.75	177.52	1.00
83.496094	-24.73	177.49	1.00
84.960938	-24.76	177.43	1.00
86.425781	-24.78	177.28	1.00
87.890625	-24.74	177.08	1.00
89.355469	-24.74	177.00	1.00
90.820312	-24.74	176.92	1.00
92.285156	-24.78	176.97	1.00
93.750000	-24.75	176.84	1.00
95.214844	-24.74	176.55	1.00
96.679688	-24.74	176.72	1.00
98.144531	-24.74	176.74	1.00
99.609375	-24.76	176.91	1.00
101.074219	-24.78	176.45	1.00
102.539062	-24.76	176.28	1.00
104.003906	-24.75	176.29	1.00
105.468750	-24.73	176.26	1.00
106.933594	-24.75	176.02	1.00
108.398438	-24.76	176.01	1.00
109.863281	-24.75	175.97	1.00
111.328125	-24.75	175.89	1.00
112.792969	-24.78	175.93	1.00
114.257812	-24.74	175.95	1.00
115.722656	-24.73	175.61	1.00
117.187500	-24.77	175.77	1.00
118.652344	-24.78	175.51	1.00
120.117188	-24.77	175.44	1.00
121.582031	-24.76	175.41	1.00
123.046875	-24.79	175.33	1.00
124.511719	-24.77	175.29	1.00
125.976562	-24.76	175.25	1.00
127.441406	-24.75	175.21	1.00
128.906250	-24.75	174.77	1.00
130.371094	-24.79	175.00	1.00
131.835938	-24.79	174.88	1.00
133.300781	-24.78	174.77	1.00
134.765625	-24.77	174.71	1.00
136.230469	-24.76	174.67	1.00
137.695312	-24.79	174.66	1.00
139.160156	-24.78	174.63	1.00
140.625000	-24.78	174.61	1.00
143.554688	-24.80	174.68	1.00
146.484375	-24.77	174.24	1.00
149.414062	-24.79	174.25	1.00
152.343750	-24.77	174.09	1.00
155.273438	-24.79	173.85	1.00
158.203125	-24.79	173.71	1.00
161.132812	-24.80	173.58	1.00
164.062500	-24.82	173.52	1.00
166.992188	-24.81	173.18	1.00
169.921875	-24.81	173.14	1.00
172.851562	-24.84	173.19	1.00
175.781250	-24.83	172.98	1.00
178.710938	-24.81	172.86	1.00
181.640625	-24.81	172.69	1.00
184.570312	-24.84	172.85	1.00
187.500000	-24.85	172.52	1.00
190.429688	-24.84	172.38	1.00
193.359375	-24.84	172.25	1.00
196.289062	-24.83	171.96	1.00
199.218750	-24.83	171.91	1.00
202.148438	-24.88	171.89	1.00
205.078125	-24.86	171.81	1.00
208.007812	-24.86	171.65	1.00
210.937500	-24.87	171.43	1.00
213.867188	-24.86	171.36	1.00
216.796875	-24.88	171.23	1.00
219.726562	-24.86	171.08	1.00
222.656250	-24.88	171.10	1.00
225.585938	-24.89	170.85	1.00
228.515625	-24.88	170.75	1.00
231.445312	-24.88	170.56	1.00
234.375000	-24.89	170.53	1.00
237.304688	-24.89	170.25	1.00
240.234375	-24.91	170.18	1.00
243.164062	-24.90	170.13	1.00
246.093750	-24.94	170.04	1.00
249.023438	-24.94	169.85	1.00
251.953125	-24.93	169.81	1.00
