	att 20 Hz		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-35.94	-156.63	0.98
2.929688	-35.65	-153.93	0.99
4.394531	-34.31	-166.82	1.00
5.859375	-33.69	-168.31	1.00
7.324219	-33.49	-168.78	1.00
8.789062	-33.72	-171.39	1.00
10.253906	-33.77	-172.12	1.00
11.718750	-33.63	-172.15	1.00
13.183594	-33.64	-175.73	1.00
14.648438	-33.87	-173.02	1.00
16.113281	-34.01	-172.70	1.00
17.578125	-33.64	-172.91	1.00
19.042969	-33.89	-171.62	1.00
20.507812	-33.81	-173.61	1.00
21.972656	-33.68	-173.70	1.00
23.437500	-33.64	-170.47	1.00
24.902344	-33.66	-173.62	1.00
26.367188	-33.82	-172.65	1.00
27.832031	-33.67	-172.52	1.00
29.296875	-33.72	-171.26	1.00
30.761719	-33.68	-171.61	1.00
32.226562	-33.73	-171.65	1.00
33.691406	-33.62	-171.49	1.00
35.156250	-33.75	-171.34	1.00
36.621094	-33.67	-170.71	1.00
38.085938	-33.63	-170.93	1.00
39.550781	-33.65	-170.71	1.00
41.015625	-33.67	-170.61	1.00
42.480469	-33.64	-170.39	1.00
43.945312	-33.67	-170.38	1.00
45.410156	-33.60	-169.73	1.00
46.875000	-33.56	-169.00	1.00
48.339844	-33.50	-169.00	1.00
49.804688	-33.48	-169.05	1.00
51.269531	-33.63	-169.55	1.00
52.734375	-33.74	-168.67	1.00
54.199219	-33.46	-168.70	1.00
55.664062	-33.48	-167.91	1.00
57.128906	-33.46	-168.26	1.00
58.593750	-33.49	-167.62	1.00
60.058594	-33.43	-167.46	1.00
61.523438	-33.41	-166.74	1.00
62.988281	-33.43	-167.00	1.00
64.453125	-33.41	-166.42	1.00
65.917969	-33.36	-166.27	1.00
67.382812	-33.39	-165.78	1.00
68.847656	-33.26	-166.06	1.00
70.312500	-33.33	-165.33	1.00
71.777344	-33.28	-165.59	1.00
73.242188	-33.31	-165.36	1.00
74.707031	-33.34	-165.22	1.00
76.171875	-33.25	-164.08	1.00
77.636719	-33.25	-164.49	1.00
79.101562	-33.24	-164.12	1.00
80.566406	-33.20	-163.88	1.00
82.031250	-33.13	-163.75	1.00
83.496094	-33.15	-163.72	1.00
84.960938	-33.14	-163.15	1.00
86.425781	-33.09	-163.11	1.00
87.890625	-33.12	-162.89	1.00
89.355469	-33.03	-162.15	1.00
90.820312	-33.04	-162.58	1.00
92.285156	-32.99	-161.75	1.00
93.750000	-32.98	-161.60	1.00
95.214844	-32.93	-161.92	1.00
96.679688	-32.95	-161.69	1.00
98.144531	-32.92	-161.36	1.00
99.609375	-32.91	-161.54	1.00
101.074219	-32.74	-162.30	1.00
102.539062	-32.92	-160.65	1.00
104.003906	-32.81	-160.18	1.00
105.468750	-32.78	-160.07	1.00
106.933594	-32.76	-159.90	1.00
108.398438	-32.75	-159.72	1.00
109.863281	-32.72	-159.66	1.00
111.328125	-32.71	-159.56	1.00
112.792969	-32.66	-159.20	1.00
114.257812	-32.64	-158.95	1.00
115.722656	-32.63	-158.99	1.00
117.187500	-32.59	-159.00	1.00
118.652344	-32.58	-158.48	1.00
120.117188	-32.57	-158.31	1.00
121.582031	-32.54	-158.47	1.00
123.046875	-32.53	-158.29	1.00
124.511719	-32.46	-157.74	1.00
125.976562	-32.44	-157.68	1.00
127.441406	-32.43	-157.64	1.00
128.906250	-32.38	-157.21	1.00
130.371094	-32.37	-157.12	1.00
131.835938	-32.36	-157.02	1.00
133.300781	-32.35	-156.82	1.00
134.765625	-32.28	-156.50	1.00
136.230469	-32.29	-156.40	1.00
137.695312	-32.26	-156.12	1.00
139.160156	-32.24	-155.98	1.00
140.625000	-32.20	-155.90	1.00
143.554688	-32.13	-155.54	1.00
146.484375	-32.07	-155.10	1.00
149.414062	-32.04	-155.11	1.00
152.343750	-31.97	-154.67	1.00
155.273438	-31.95	-154.40	1.00
158.203125	-31.86	-154.05	1.00
161.132812	-31.80	-153.79	1.00
164.062500	-31.73	-153.76	1.00
166.992188	-31.71	-153.33	1.00
169.921875	-31.68	-152.98	1.00
172.851562	-31.62	-152.60	1.00
175.781250	-31.53	-152.35	1.00
178.710938	-31.50	-152.57	1.00
181.640625	-31.42	-151.98	1.00
184.570312	-31.37	-151.91	1.00
187.500000	-31.32	-151.76	1.00
190.429688	-31.24	-151.80	1.00
193.359375	-31.18	-151.33	1.00
196.289062	-31.15	-151.04	1.00
199.218750	-31.07	-151.26	1.00
202.148438	-30.98	-151.04	1.00
205.078125	-31.00	-150.56	1.00
208.007812	-30.93	-150.26	1.00
210.937500	-30.89	-150.73	1.00
213.867188	-30.81	-150.07	1.00
216.796875	-30.77	-150.01	1.00
219.726562	-30.73	-149.59	1.00
222.656250	-30.66	-149.63	1.00
225.585938	-30.62	-149.40	1.00
228.515625	-30.56	-149.22	1.00
231.445312	-30.53	-149.02	1.00
234.375000	-30.46	-148.76	1.00
237.304688	-30.38	-148.73	1.00
240.234375	-30.36	-148.87	1.00
243.164062	-30.30	-148.48	1.00
246.093750	-30.26	-148.55	1.00
249.023438	-30.21	-148.45	1.00
251.953125	-30.15	-148.38	1.00
254.882812	-30.10	-148.27	1.00
257.812500	-30.05	-148.29	1.00
260.742188	-29.99	-148.20	1.00
263.671875	-29.94	-148.17	1.00
266.601562	-29.92	-148.15	1.00
269.531250	-29.88	-147.89	1.00
272.460938	-29.81	-147.75	1.00
275.390625	-29.75	-147.71	1.00
278.320312	-29.73	-147.61	1.00
281.250000	-29.67	-147.63	1.00
287.109375	-29.61	-147.49	1.00
292.968750	-29.43	-147.39	1.00
298.828125	-29.38	-147.08	1.00
304.687500	-29.29	-146.80	1.00
310.546875	-29.23	-146.99	1.00
316.406250	-29.09	-146.95	1.00
322.265625	-29.04	-146.99	1.00
328.125000	-28.99	-146.99	1.00
333.984375	-28.84	-146.87	1.00
339.843750	-28.72	-146.58	1.00
345.703125	-28.69	-146.90	1.00
351.562500	-28.65	-146.81	1.00
357.421875	-28.52	-146.63	1.00
363.281250	-28.48	-147.15	1.00
369.140625	-28.38	-146.87	1.00
