	att 20 Hz		
375.000000	-28.31	-146.88	1.00
380.859375	-28.26	-147.02	1.00
386.718750	-28.18	-146.76	1.00
392.578125	-28.10	-146.66	1.00
398.437500	-28.02	-146.89	1.00
404.296875	-27.98	-146.98	1.00
410.156250	-27.91	-147.07	1.00
416.015625	-27.82	-147.15	1.00
421.875000	-27.77	-147.17	1.00
427.734375	-27.70	-147.20	1.00
433.593750	-27.64	-147.26	1.00
439.453125	-27.54	-147.17	1.00
445.312500	-27.48	-147.14	1.00
451.171875	-27.50	-147.31	1.00
457.031250	-27.38	-147.38	1.00
462.890625	-27.32	-147.48	1.00
468.750000	-27.27	-147.70	1.00
474.609375	-27.23	-147.68	1.00
480.468750	-27.17	-147.80	1.00
486.328125	-27.16	-147.84	1.00
492.187500	-27.04	-148.11	1.00
498.046875	-27.00	-148.07	1.00
503.906250	-26.95	-148.37	1.00
509.765625	-26.92	-148.38	1.00
515.625000	-26.85	-148.46	1.00
521.484375	-26.80	-148.38	1.00
527.343750	-26.74	-148.56	1.00
533.203125	-26.68	-148.73	1.00
539.062500	-26.68	-148.80	1.00
544.921875	-26.65	-148.98	1.00
550.781250	-26.58	-148.97	1.00
556.640625	-26.53	-149.10	1.00
562.500000	-26.47	-149.35	1.00
574.218750	-26.41	-149.46	1.00
585.937500	-26.31	-149.61	1.00
597.656250	-26.16	-149.78	1.00
609.375000	-26.16	-150.22	1.00
621.093750	-26.07	-150.32	1.00
632.812500	-25.96	-150.72	1.00
644.531250	-26.00	-150.74	1.00
656.250000	-25.85	-151.42	1.00
667.968750	-25.79	-151.21	1.00
679.687500	-25.74	-151.64	1.00
691.406250	-25.72	-151.67	1.00
703.125000	-25.62	-152.02	1.00
714.843750	-25.54	-152.07	1.00
726.562500	-25.51	-152.53	1.00
738.281250	-25.45	-152.94	1.00
750.000000	-25.37	-153.15	1.00
761.718750	-25.39	-153.43	1.00
773.437500	-25.27	-153.13	1.00
785.156250	-25.26	-153.55	1.00
796.875000	-25.17	-153.89	1.00
808.593750	-25.19	-154.13	1.00
820.312500	-25.12	-154.03	1.00
832.031250	-25.06	-154.55	1.00
843.750000	-25.02	-154.46	1.00
855.468750	-24.95	-155.08	1.00
867.187500	-24.98	-154.95	1.00
878.906250	-24.96	-155.22	1.00
890.625000	-24.89	-155.76	1.00
902.343750	-24.84	-155.79	1.00
914.062500	-24.81	-155.78	1.00
925.781250	-24.77	-156.19	1.00
937.500000	-24.76	-156.30	1.00
949.218750	-24.69	-156.51	1.00
960.937500	-24.66	-156.60	1.00
972.656250	-24.64	-157.04	1.00
984.375000	-24.61	-157.13	1.00
996.093750	-24.58	-157.29	1.00
1007.812500	-24.58	-157.47	1.00
1019.531250	-24.52	-157.79	1.00
1031.250000	-24.52	-157.83	1.00
1042.968750	-24.48	-158.02	1.00
1054.687500	-24.49	-158.21	1.00
1066.406250	-24.43	-158.39	1.00
1078.125000	-24.41	-158.49	1.00
1089.843750	-24.38	-158.57	1.00
1101.562500	-24.38	-158.88	1.00
1113.281250	-24.33	-158.92	1.00
1125.000000	-24.32	-159.35	1.00
1148.437500	-24.27	-159.65	1.00
1171.875000	-24.22	-160.08	1.00
1195.312500	-24.19	-160.20	1.00
1218.750000	-24.22	-160.32	1.00
1242.187500	-24.13	-161.08	1.00
1265.625000	-24.11	-161.10	1.00
1289.062500	-24.06	-161.47	1.00
1312.500000	-24.01	-161.53	1.00
1335.937500	-24.03	-161.97	1.00
1359.375000	-24.00	-161.93	1.00
1382.812500	-23.97	-162.43	1.00
1406.250000	-23.95	-162.69	1.00
1429.687500	-23.87	-162.90	1.00
1453.125000	-23.88	-162.79	1.00
1476.562500	-23.92	-163.37	1.00
1500.000000	-23.83	-163.71	1.00
1523.437500	-23.83	-163.96	1.00
1546.875000	-23.81	-164.28	1.00
1570.312500	-23.77	-164.33	1.00
1593.750000	-23.80	-164.32	1.00
1617.187500	-23.73	-164.61	1.00
1640.625000	-23.68	-164.50	1.00
1664.062500	-23.73	-165.26	1.00
1687.500000	-23.72	-165.29	1.00
1710.937500	-23.66	-165.51	1.00
1734.375000	-23.64	-165.42	1.00
1757.812500	-23.63	-166.04	1.00
1781.250000	-23.64	-166.08	1.00
1804.687500	-23.65	-166.27	1.00
1828.125000	-23.60	-166.40	1.00
1851.562500	-23.60	-166.33	1.00
1875.000000	-23.58	-166.87	1.00
1898.437500	-23.59	-166.75	1.00
1921.875000	-23.58	-166.96	1.00
1945.312500	-23.54	-167.12	1.00
1968.750000	-23.56	-167.27	1.00
1992.187500	-23.55	-167.26	1.00
2015.625000	-23.51	-167.64	1.00
2039.062500	-23.52	-167.72	1.00
2062.500000	-23.57	-167.78	1.00
2085.937500	-23.53	-168.21	1.00
2109.375000	-23.55	-168.24	1.00
2132.812500	-23.49	-168.19	1.00
2156.250000	-23.46	-168.35	1.00
2179.687500	-23.49	-168.65	1.00
2203.125000	-23.45	-168.70	1.00
2226.562500	-23.45	-168.94	1.00
2250.000000	-23.45	-169.04	1.00
2296.875000	-23.43	-169.08	1.00
2343.750000	-23.43	-169.37	1.00
2390.625000	-23.43	-169.78	1.00
2437.500000	-23.39	-169.82	1.00
2484.375000	-23.40	-169.97	1.00
2531.250000	-23.39	-170.25	1.00
2578.125000	-23.37	-170.25	1.00
2625.000000	-23.37	-170.57	1.00
2671.875000	-23.37	-170.86	1.00
2718.750000	-23.37	-170.88	1.00
2765.625000	-23.35	-171.14	1.00
2812.500000	-23.32	-171.25	1.00
2859.375000	-23.35	-171.29	1.00
2906.250000	-23.31	-171.65	1.00
2953.125000	-23.30	-171.74	1.00
3000.000000	-23.31	-171.59	1.00
3046.875000	-23.31	-172.20	1.00
3093.750000	-23.31	-172.16	1.00
3140.625000	-23.29	-172.46	1.00
3187.500000	-23.27	-172.45	1.00
3234.375000	-23.29	-172.66	1.00
3281.250000	-23.28	-172.77	1.00
3328.125000	-23.27	-172.82	1.00
3375.000000	-23.25	-173.06	1.00
3421.875000	-23.27	-173.12	1.00
3468.750000	-23.24	-173.28	1.00
3515.625000	-23.27	-173.23	1.00
3562.500000	-23.26	-173.54	1.00
3609.375000	-23.25	-173.57	1.00
3656.250000	-23.24	-173.61	1.00
3703.125000	-23.25	-173.89	1.00
3750.000000	-23.25	-173.87	1.00
3796.875000	-23.24	-173.94	1.00
3843.750000	-23.23	-174.09	1.00
3890.625000	-23.24	-174.18	1.00
3937.500000	-23.25	-174.15	1.00
3984.375000	-23.23	-174.34	1.00
4031.250000	-23.22	-174.44	1.00
4078.125000	-23.24	-174.49	1.00
4125.000000	-23.22	-174.52	1.00
4171.875000	-23.22	-174.77	1.00
4218.750000	-23.21	-174.77	1.00
4265.625000	-23.22	-174.80	1.00
4312.500000	-23.22	-174.92	1.00
4359.375000	-23.22	-175.06	1.00
4406.250000	-23.21	-175.05	1.00
4453.125000	-23.21	-175.16	1.00
4500.000000	-23.21	-175.19	1.00
4593.750000	-23.20	-175.31	1.00
4687.500000	-23.19	-175.39	1.00
4781.250000	-23.20	-175.66	1.00
4875.000000	-23.18	-175.91	1.00
4968.750000	-23.16	-175.92	1.00
5062.500000	-23.19	-176.03	1.00
5156.250000	-23.17	-176.27	1.00
5250.000000	-23.17	-176.25	1.00
5343.750000	-23.19	-176.45	1.00
5437.500000	-23.20	-176.56	1.00
5531.250000	-23.20	-176.72	1.00
5625.000000	-23.18	-176.76	1.00
5718.750000	-23.17	-176.86	1.00
5812.500000	-23.17	-176.93	1.00
5906.250000	-23.17	-177.08	1.00
6000.000000	-23.17	-177.18	1.00
6093.750000	-23.17	-177.28	1.00
6187.500000	-23.17	-177.35	1.00
6281.250000	-23.15	-177.40	1.00
6375.000000	-23.17	-177.52	1.00
6468.750000	-23.17	-177.66	1.00
6562.500000	-23.19	-177.67	1.00
6656.250000	-23.17	-177.80	1.00
6750.000000	-23.16	-177.90	1.00
6843.750000	-23.18	-177.94	1.00
6937.500000	-23.17	-177.99	1.00
7031.250000	-23.17	-178.04	1.00
7125.000000	-23.15	-178.19	1.00
7218.750000	-23.15	-178.28	1.00
7312.500000	-23.17	-178.41	1.00
7406.250000	-23.14	-178.39	1.00
7500.000000	-23.17	-178.47	1.00
7593.750000	-23.16	-178.49	1.00
7687.500000	-23.16	-178.63	1.00
7781.250000	-23.17	-178.67	1.00
7875.000000	-23.17	-178.72	1.00
7968.750000	-23.17	-178.85	1.00
8062.500000	-23.15	-178.82	1.00
8156.250000	-23.15	-179.04	1.00
8250.000000	-23.16	-179.03	1.00
8343.750000	-23.17	-179.02	1.00
8437.500000	-23.15	-179.10	1.00
8531.250000	-23.15	-179.17	1.00
8625.000000	-23.15	-179.28	1.00
8718.750000	-23.16	-179.31	1.00
8812.500000	-23.16	-179.37	1.00
8906.250000	-23.15	-179.46	1.00
9000.000000	-23.16	-179.52	1.00
9187.500000	-23.16	-179.61	1.00
9375.000000	-23.16	-179.70	1.00
9562.500000	-23.19	-179.78	1.00
9750.000000	-23.15	-179.97	1.00
9937.500000	-23.16	179.94	1.00
10125.000000	-23.15	179.87	1.00
10312.500000	-23.17	179.71	1.00
10500.000000	-23.18	179.63	1.00
10687.500000	-23.15	179.54	1.00
10875.000000	-23.18	179.55	1.00
11062.500000	-23.17	179.31	1.00
11250.000000	-23.16	179.37	1.00
11437.500000	-23.16	179.13	1.00
11625.000000	-23.18	179.05	1.00
11812.500000	-23.16	179.02	1.00
12000.000000	-23.17	179.02	1.00
12187.500000	-23.18	178.84	1.00
12375.000000	-23.17	178.79	1.00
12562.500000	-23.17	178.76	1.00
12750.000000	-23.16	178.57	1.00
12937.500000	-23.19	178.48	1.00
13125.000000	-23.17	178.44	1.00
13312.500000	-23.19	178.31	1.00
13500.000000	-23.18	178.31	1.00
13687.500000	-23.18	178.17	1.00
13875.000000	-23.17	178.17	1.00
14062.500000	-23.17	178.13	1.00
14250.000000	-23.17	178.00	1.00
14437.500000	-23.17	177.92	1.00
14625.000000	-23.19	177.87	1.00
14812.500000	-23.18	177.78	1.00
15000.000000	-23.18	177.73	1.00
15187.500000	-23.19	177.63	1.00
15375.000000	-23.20	177.56	1.00
15562.500000	-23.19	177.58	1.00
15750.000000	-23.18	177.44	1.00
15937.500000	-23.18	177.37	1.00
16125.000000	-23.20	177.32	1.00
16312.500000	-23.20	177.31	1.00
16500.000000	-23.18	177.13	1.00
16687.500000	-23.19	177.04	1.00
16875.000000	-23.20	176.91	1.00
17062.500000	-23.19	176.95	1.00
17250.000000	-23.20	176.87	1.00
17437.500000	-23.20	176.85	1.00
17625.000000	-23.20	176.78	1.00
17812.500000	-23.20	176.72	1.00
18000.000000	-23.20	176.60	1.00
18187.500000	-23.21	176.58	1.00
18375.000000	-23.20	176.54	1.00
18562.500000	-23.21	176.49	1.00
18750.000000	-23.20	176.42	1.00
18937.500000	-23.20	176.38	1.00
19125.000000	-23.20	176.32	1.00
19312.500000	-23.21	176.20	1.00
19500.000000	-23.21	176.18	1.00
19687.500000	-23.21	176.15	1.00
19875.000000	-23.21	176.09	1.00
20062.500000	-23.21	175.96	1.00
20250.000000	-23.22	175.88	1.00
20437.500000	-23.22	175.83	1.00
20625.000000	-23.22	175.75	1.00
20812.500000	-23.23	175.73	1.00
21000.000000	-23.23	175.69	1.00
21187.500000	-23.22	175.63	1.00
21375.000000	-23.22	175.57	1.00
21562.500000	-23.22	175.51	1.00
21750.000000	-23.23	175.43	1.00
21937.500000	-23.23	175.40	1.00
22125.000000	-23.24	175.31	1.00
22312.500000	-23.25	175.33	1.00
22500.000000	-23.24	175.21	1.00
22687.500000	-23.24	175.16	1.00
22875.000000	-23.23	175.08	1.00
23062.500000	-23.24	175.00	1.00
23250.000000	-23.25	175.06	1.00
23437.500000	-23.27	175.21	1.00
23625.000000	-23.32	175.83	1.00
23812.500000	-23.38	176.97	1.00
