	boost 20 Hz		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-15.08	-157.28	0.99
2.929688	-14.72	-161.88	0.99
4.394531	-14.36	-170.64	0.99
5.859375	-14.12	-176.70	0.99
7.324219	-14.16	177.90	1.00
8.789062	-14.22	175.11	1.00
10.253906	-14.31	172.23	1.00
11.718750	-14.23	171.07	1.00
13.183594	-14.58	166.59	1.00
14.648438	-14.63	166.15	1.00
16.113281	-14.89	162.69	1.00
17.578125	-15.01	161.81	1.00
19.042969	-15.08	160.94	1.00
20.507812	-15.39	158.35	1.00
21.972656	-15.55	157.27	1.00
23.437500	-15.70	156.21	1.00
24.902344	-15.87	155.86	1.00
26.367188	-16.10	154.18	1.00
27.832031	-16.29	153.38	1.00
29.296875	-16.44	153.07	1.00
30.761719	-16.64	151.78	1.00
32.226562	-16.87	151.28	1.00
33.691406	-17.08	150.87	1.00
35.156250	-17.15	149.68	1.00
36.621094	-17.50	149.20	1.00
38.085938	-17.57	149.07	1.00
39.550781	-17.69	148.80	1.00
41.015625	-17.91	148.52	1.00
42.480469	-18.11	148.11	1.00
43.945312	-18.27	147.83	1.00
45.410156	-18.44	147.65	1.00
46.875000	-18.55	147.56	1.00
48.339844	-18.65	147.54	1.00
49.804688	-18.82	147.11	1.00
51.269531	-19.00	147.31	1.00
52.734375	-19.10	147.23	1.00
54.199219	-19.21	147.35	1.00
55.664062	-19.35	147.14	1.00
57.128906	-19.42	147.51	1.00
58.593750	-19.68	147.11	1.00
60.058594	-19.82	147.29	1.00
61.523438	-19.85	147.38	1.00
62.988281	-19.93	147.59	1.00
64.453125	-20.15	147.47	1.00
65.917969	-20.23	147.39	1.00
67.382812	-20.31	147.69	1.00
68.847656	-20.41	147.70	1.00
70.312500	-20.51	147.97	1.00
71.777344	-20.50	147.87	1.00
73.242188	-20.71	148.07	1.00
74.707031	-20.77	148.18	1.00
76.171875	-20.89	148.07	1.00
77.636719	-20.98	148.80	1.00
79.101562	-21.03	148.75	1.00
80.566406	-21.12	149.17	1.00
82.031250	-21.14	149.13	1.00
83.496094	-21.30	149.01	1.00
84.960938	-21.34	149.51	1.00
86.425781	-21.44	149.84	1.00
87.890625	-21.48	150.12	1.00
89.355469	-21.54	150.05	1.00
90.820312	-21.73	150.15	1.00
92.285156	-21.70	150.35	1.00
93.750000	-21.70	151.38	1.00
95.214844	-21.82	150.75	1.00
96.679688	-21.81	150.86	1.00
98.144531	-21.96	151.27	1.00
99.609375	-21.91	151.02	1.00
101.074219	-22.10	151.47	1.00
102.539062	-22.10	151.65	1.00
104.003906	-22.12	152.11	1.00
105.468750	-22.19	152.12	1.00
106.933594	-22.21	152.52	1.00
108.398438	-22.32	152.39	1.00
109.863281	-22.34	152.64	1.00
111.328125	-22.38	153.07	1.00
112.792969	-22.43	153.22	1.00
114.257812	-22.49	153.25	1.00
115.722656	-22.49	153.60	1.00
117.187500	-22.57	153.72	1.00
118.652344	-22.57	154.55	1.00
120.117188	-22.60	153.94	1.00
121.582031	-22.68	154.11	1.00
123.046875	-22.72	154.17	1.00
124.511719	-22.75	154.52	1.00
125.976562	-22.77	154.81	1.00
127.441406	-22.82	155.01	1.00
128.906250	-22.86	155.00	1.00
130.371094	-22.83	155.20	1.00
131.835938	-22.89	155.62	1.00
133.300781	-22.94	155.80	1.00
134.765625	-22.98	155.80	1.00
136.230469	-23.01	156.07	1.00
137.695312	-23.04	156.30	1.00
139.160156	-23.07	156.47	1.00
140.625000	-23.10	156.62	1.00
143.554688	-23.09	156.90	1.00
146.484375	-23.15	157.23	1.00
149.414062	-23.31	157.99	1.00
