	rta plana		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
416.015625	-24.69	-178.92	1.00
421.875000	-24.70	-178.91	1.00
427.734375	-24.69	-178.91	1.00
433.593750	-24.69	-178.93	1.00
439.453125	-24.71	-178.94	1.00
445.312500	-24.69	-178.86	1.00
451.171875	-24.68	-178.88	1.00
457.031250	-24.69	-178.88	1.00
462.890625	-24.69	-178.86	1.00
468.750000	-24.69	-178.82	1.00
474.609375	-24.69	-178.92	1.00
480.468750	-24.68	-178.84	1.00
486.328125	-24.69	-178.83	1.00
492.187500	-24.68	-178.84	1.00
498.046875	-24.69	-178.82	1.00
503.906250	-24.69	-178.83	1.00
509.765625	-24.69	-178.80	1.00
515.625000	-24.69	-178.77	1.00
521.484375	-24.69	-178.72	1.00
527.343750	-24.68	-178.76	1.00
533.203125	-24.68	-178.76	1.00
539.062500	-24.69	-178.78	1.00
544.921875	-24.68	-178.74	1.00
550.781250	-24.68	-178.72	1.00
556.640625	-24.68	-178.69	1.00
562.500000	-24.68	-178.66	1.00
574.218750	-24.68	-178.67	1.00
585.937500	-24.68	-178.67	1.00
597.656250	-24.68	-178.70	1.00
609.375000	-24.68	-178.59	1.00
621.093750	-24.67	-178.61	1.00
632.812500	-24.67	-178.61	1.00
644.531250	-24.67	-178.64	1.00
656.250000	-24.68	-178.60	1.00
667.968750	-24.67	-178.53	1.00
679.687500	-24.66	-178.54	1.00
691.406250	-24.67	-178.51	1.00
703.125000	-24.65	-178.47	1.00
714.843750	-24.67	-178.49	1.00
726.562500	-24.65	-178.49	1.00
738.281250	-24.67	-178.48	1.00
750.000000	-24.66	-178.42	1.00
761.718750	-24.66	-178.40	1.00
773.437500	-24.66	-178.34	1.00
785.156250	-24.66	-178.34	1.00
796.875000	-24.66	-178.37	1.00
808.593750	-24.66	-178.27	1.00
820.312500	-24.65	-178.28	1.00
832.031250	-24.65	-178.35	1.00
843.750000	-24.66	-178.27	1.00
855.468750	-24.65	-178.25	1.00
867.187500	-24.65	-178.22	1.00
878.906250	-24.65	-178.21	1.00
890.625000	-24.64	-178.15	1.00
902.343750	-24.64	-178.18	1.00
914.062500	-24.64	-178.10	1.00
925.781250	-24.65	-178.11	1.00
937.500000	-24.64	-178.10	1.00
949.218750	-24.63	-178.09	1.00
960.937500	-24.64	-178.09	1.00
972.656250	-24.63	-178.03	1.00
984.375000	-24.64	-178.03	1.00
996.093750	-24.63	-178.01	1.00
1007.812500	-24.63	-178.00	1.00
1019.531250	-24.63	-177.95	1.00
1031.250000	-24.62	-177.94	1.00
1042.968750	-24.62	-177.93	1.00
1054.687500	-24.62	-177.94	1.00
1066.406250	-24.62	-177.91	1.00
1078.125000	-24.61	-177.88	1.00
1089.843750	-24.61	-177.85	1.00
1101.562500	-24.61	-177.84	1.00
1113.281250	-24.61	-177.82	1.00
1125.000000	-24.61	-177.81	1.00
1148.437500	-24.60	-177.81	1.00
1171.875000	-24.60	-177.79	1.00
1195.312500	-24.60	-177.74	1.00
1218.750000	-24.59	-177.69	1.00
1242.187500	-24.59	-177.66	1.00
1265.625000	-24.58	-177.69	1.00
1289.062500	-24.59	-177.59	1.00
1312.500000	-24.58	-177.55	1.00
1335.937500	-24.57	-177.52	1.00
1359.375000	-24.57	-177.45	1.00
1382.812500	-24.57	-177.47	1.00
1406.250000	-24.56	-177.36	1.00
1429.687500	-24.56	-177.40	1.00
1453.125000	-24.55	-177.34	1.00
1476.562500	-24.55	-177.34	1.00
1500.000000	-24.55	-177.26	1.00
1523.437500	-24.54	-177.25	1.00
1546.875000	-24.54	-177.23	1.00
1570.312500	-24.53	-177.20	1.00
1593.750000	-24.52	-177.17	1.00
1617.187500	-24.54	-177.11	1.00
1640.625000	-24.51	-177.12	1.00
1664.062500	-24.51	-177.08	1.00
1687.500000	-24.51	-177.03	1.00
1710.937500	-24.51	-177.03	1.00
1734.375000	-24.50	-177.06	1.00
1757.812500	-24.49	-176.97	1.00
1781.250000	-24.49	-177.00	1.00
1804.687500	-24.48	-176.93	1.00
1828.125000	-24.48	-176.87	1.00
1851.562500	-24.48	-176.89	1.00
1875.000000	-24.47	-176.87	1.00
1898.437500	-24.47	-176.85	1.00
1921.875000	-24.46	-176.81	1.00
1945.312500	-24.46	-176.76	1.00
1968.750000	-24.45	-176.78	1.00
1992.187500	-24.45	-176.73	1.00
2015.625000	-24.45	-176.79	1.00
2039.062500	-24.43	-176.73	1.00
2062.500000	-24.43	-176.68	1.00
2085.937500	-24.42	-176.65	1.00
2109.375000	-24.42	-176.63	1.00
2132.812500	-24.42	-176.61	1.00
2156.250000	-24.41	-176.60	1.00
2179.687500	-24.41	-176.55	1.00
2203.125000	-24.40	-176.56	1.00
2226.562500	-24.39	-176.58	1.00
2250.000000	-24.39	-176.55	1.00
2296.875000	-24.39	-176.52	1.00
2343.750000	-24.37	-176.44	1.00
2390.625000	-24.36	-176.44	1.00
2437.500000	-24.35	-176.35	1.00
2484.375000	-24.34	-176.36	1.00
2531.250000	-24.32	-176.35	1.00
2578.125000	-24.32	-176.29	1.00
2625.000000	-24.31	-176.28	1.00
2671.875000	-24.30	-176.29	1.00
2718.750000	-24.29	-176.27	1.00
2765.625000	-24.28	-176.24	1.00
2812.500000	-24.26	-176.23	1.00
2859.375000	-24.26	-176.21	1.00
2906.250000	-24.24	-176.21	1.00
2953.125000	-24.24	-176.16	1.00
3000.000000	-24.23	-176.17	1.00
3046.875000	-24.22	-176.10	1.00
3093.750000	-24.21	-176.15	1.00
3140.625000	-24.20	-176.11	1.00
3187.500000	-24.19	-176.10	1.00
3234.375000	-24.17	-176.11	1.00
3281.250000	-24.17	-176.08	1.00
3328.125000	-24.16	-176.10	1.00
3375.000000	-24.15	-176.13	1.00
3421.875000	-24.14	-176.13	1.00
3468.750000	-24.14	-176.07	1.00
3515.625000	-24.12	-176.11	1.00
3562.500000	-24.11	-176.08	1.00
3609.375000	-24.10	-176.08	1.00
3656.250000	-24.09	-176.07	1.00
3703.125000	-24.08	-176.07	1.00
3750.000000	-24.07	-176.09	1.00
3796.875000	-24.06	-176.10	1.00
3843.750000	-24.05	-176.12	1.00
3890.625000	-24.04	-176.10	1.00
3937.500000	-24.03	-176.14	1.00
3984.375000	-24.03	-176.13	1.00
4031.250000	-24.01	-176.11	1.00
4078.125000	-24.01	-176.10	1.00
4125.000000	-24.00	-176.14	1.00
4171.875000	-23.99	-176.12	1.00
4218.750000	-23.99	-176.13	1.00
4265.625000	-23.98	-176.18	1.00
4312.500000	-23.97	-176.18	1.00
4359.375000	-23.96	-176.18	1.00
4406.250000	-23.95	-176.21	1.00
4453.125000	-23.95	-176.23	1.00
4500.000000	-23.94	-176.27	1.00
4593.750000	-23.92	-176.26	1.00
4687.500000	-23.91	-176.31	1.00
4781.250000	-23.89	-176.31	1.00
4875.000000	-23.88	-176.38	1.00
4968.750000	-23.86	-176.43	1.00
5062.500000	-23.85	-176.39	1.00
5156.250000	-23.84	-176.46	1.00
5250.000000	-23.82	-176.52	1.00
5343.750000	-23.81	-176.58	1.00
