	att 60 Hz		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-35.27	-152.17	0.99
2.929688	-34.67	-156.46	1.00
4.394531	-34.36	-161.85	1.00
5.859375	-33.81	-168.17	1.00
7.324219	-34.16	-171.49	1.00
8.789062	-33.75	-171.42	1.00
10.253906	-33.95	-173.69	1.00
11.718750	-33.81	-174.65	1.00
13.183594	-33.61	-175.64	1.00
14.648438	-33.68	-174.74	1.00
16.113281	-33.71	-175.84	1.00
17.578125	-33.78	-176.67	1.00
19.042969	-33.85	-176.60	1.00
20.507812	-33.70	-176.72	1.00
21.972656	-33.80	-175.61	1.00
23.437500	-33.82	-175.89	1.00
24.902344	-33.70	-176.03	1.00
26.367188	-33.75	-176.70	1.00
27.832031	-33.74	-176.08	1.00
29.296875	-33.85	-176.41	1.00
30.761719	-33.81	-175.97	1.00
32.226562	-33.76	-175.21	1.00
33.691406	-33.82	-175.91	1.00
35.156250	-33.83	-176.70	1.00
36.621094	-33.75	-176.17	1.00
38.085938	-33.78	-176.28	1.00
39.550781	-33.73	-176.53	1.00
41.015625	-33.69	-176.57	1.00
42.480469	-33.83	-175.73	1.00
43.945312	-33.77	-176.38	1.00
45.410156	-33.81	-176.19	1.00
46.875000	-33.76	-175.89	1.00
48.339844	-33.72	-175.86	1.00
49.804688	-33.62	-174.26	1.00
51.269531	-33.69	-176.01	1.00
52.734375	-33.70	-176.06	1.00
54.199219	-33.67	-175.67	1.00
55.664062	-33.67	-175.85	1.00
57.128906	-33.86	-175.44	1.00
58.593750	-33.73	-175.07	1.00
60.058594	-33.80	-175.57	1.00
61.523438	-33.73	-175.60	1.00
62.988281	-33.75	-175.68	1.00
64.453125	-33.77	-176.07	1.00
65.917969	-33.77	-175.50	1.00
67.382812	-33.76	-175.50	1.00
68.847656	-33.73	-175.23	1.00
70.312500	-33.78	-175.20	1.00
71.777344	-33.69	-175.02	1.00
73.242188	-33.75	-175.34	1.00
74.707031	-33.71	-174.77	1.00
76.171875	-33.69	-174.82	1.00
77.636719	-33.78	-174.80	1.00
79.101562	-33.79	-174.79	1.00
80.566406	-33.84	-174.17	1.00
82.031250	-33.76	-174.69	1.00
83.496094	-33.59	-174.70	1.00
84.960938	-33.71	-173.69	1.00
86.425781	-33.78	-174.39	1.00
87.890625	-33.76	-174.42	1.00
89.355469	-33.69	-174.30	1.00
90.820312	-33.70	-174.30	1.00
92.285156	-33.71	-174.24	1.00
93.750000	-33.73	-174.05	1.00
95.214844	-33.72	-174.05	1.00
96.679688	-33.68	-173.97	1.00
98.144531	-33.69	-174.05	1.00
99.609375	-33.68	-172.06	1.00
