	bell 9k2 broad		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
416.015625	-24.13	-164.65	1.00
421.875000	-24.12	-164.44	1.00
427.734375	-24.12	-164.25	1.00
433.593750	-24.10	-164.07	1.00
439.453125	-24.09	-163.97	1.00
445.312500	-24.08	-163.66	1.00
451.171875	-24.05	-163.59	1.00
457.031250	-24.06	-163.38	1.00
462.890625	-24.03	-163.03	1.00
468.750000	-24.01	-163.18	1.00
474.609375	-24.00	-162.89	1.00
480.468750	-24.00	-162.69	1.00
486.328125	-24.00	-162.38	1.00
492.187500	-23.96	-162.34	1.00
498.046875	-23.94	-162.09	1.00
503.906250	-23.93	-161.87	1.00
509.765625	-23.93	-161.71	1.00
515.625000	-23.90	-161.68	1.00
521.484375	-23.88	-161.40	1.00
527.343750	-23.87	-161.27	1.00
533.203125	-23.84	-161.26	1.00
539.062500	-23.83	-161.05	1.00
544.921875	-23.81	-160.75	1.00
550.781250	-23.79	-160.68	1.00
556.640625	-23.78	-160.52	1.00
562.500000	-23.75	-160.39	1.00
574.218750	-23.74	-159.93	1.00
585.937500	-23.69	-159.66	1.00
597.656250	-23.67	-159.41	1.00
609.375000	-23.63	-159.08	1.00
621.093750	-23.61	-158.74	1.00
632.812500	-23.56	-158.31	1.00
644.531250	-23.57	-158.24	1.00
656.250000	-23.48	-157.86	1.00
667.968750	-23.47	-157.46	1.00
679.687500	-23.43	-156.88	1.00
691.406250	-23.39	-157.03	1.00
703.125000	-23.38	-156.52	1.00
714.843750	-23.31	-156.51	1.00
726.562500	-23.27	-156.37	1.00
738.281250	-23.25	-155.72	1.00
750.000000	-23.21	-155.67	1.00
761.718750	-23.19	-155.39	1.00
773.437500	-23.16	-154.77	1.00
785.156250	-23.14	-154.48	1.00
796.875000	-23.07	-154.22	1.00
808.593750	-23.04	-154.08	1.00
820.312500	-23.01	-153.95	1.00
832.031250	-22.95	-153.67	1.00
843.750000	-22.92	-153.37	1.00
855.468750	-22.87	-153.07	1.00
867.187500	-22.86	-153.02	1.00
878.906250	-22.80	-152.66	1.00
890.625000	-22.75	-152.42	1.00
902.343750	-22.70	-152.28	1.00
914.062500	-22.69	-151.93	1.00
925.781250	-22.66	-151.82	1.00
937.500000	-22.61	-151.52	1.00
949.218750	-22.56	-151.22	1.00
960.937500	-22.53	-151.09	1.00
972.656250	-22.49	-150.88	1.00
984.375000	-22.43	-150.67	1.00
996.093750	-22.41	-150.50	1.00
1007.812500	-22.36	-150.52	1.00
1019.531250	-22.32	-150.13	1.00
1031.250000	-22.29	-149.95	1.00
1042.968750	-22.27	-149.63	1.00
1054.687500	-22.21	-149.44	1.00
1066.406250	-22.16	-149.20	1.00
1078.125000	-22.09	-149.14	1.00
1089.843750	-22.08	-148.94	1.00
1101.562500	-22.05	-148.59	1.00
1113.281250	-22.00	-148.61	1.00
1125.000000	-21.93	-148.40	1.00
1148.437500	-21.82	-148.12	1.00
1171.875000	-21.80	-147.95	1.00
1195.312500	-21.76	-147.31	1.00
1218.750000	-21.62	-147.16	1.00
1242.187500	-21.54	-146.92	1.00
1265.625000	-21.46	-146.61	1.00
1289.062500	-21.40	-146.34	1.00
1312.500000	-21.34	-145.80	1.00
1335.937500	-21.21	-145.87	1.00
1359.375000	-21.17	-145.82	1.00
1382.812500	-21.06	-145.34	1.00
1406.250000	-21.02	-145.00	1.00
1429.687500	-20.97	-144.97	1.00
1453.125000	-20.89	-144.06	1.00
1476.562500	-20.78	-144.08	1.00
1500.000000	-20.71	-144.21	1.00
1523.437500	-20.60	-143.69	1.00
1546.875000	-20.54	-143.73	1.00
1570.312500	-20.47	-143.42	1.00
1593.750000	-20.37	-143.30	1.00
1617.187500	-20.38	-143.37	1.00
1640.625000	-20.23	-143.05	1.00
1664.062500	-20.16	-142.86	1.00
1687.500000	-20.11	-142.86	1.00
1710.937500	-19.98	-142.60	1.00
1734.375000	-19.89	-142.14	1.00
1757.812500	-19.86	-142.43	1.00
1781.250000	-19.75	-142.38	1.00
1804.687500	-19.74	-142.31	1.00
1828.125000	-19.65	-141.78	1.00
1851.562500	-19.60	-141.99	1.00
1875.000000	-19.53	-141.75	1.00
1898.437500	-19.41	-141.63	1.00
1921.875000	-19.35	-141.49	1.00
1945.312500	-19.31	-141.51	1.00
1968.750000	-19.23	-141.48	1.00
1992.187500	-19.17	-141.29	1.00
2015.625000	-19.08	-141.46	1.00
2039.062500	-19.05	-141.33	1.00
2062.500000	-18.94	-141.13	1.00
2085.937500	-18.87	-141.17	1.00
2109.375000	-18.79	-141.28	1.00
2132.812500	-18.73	-141.29	1.00
2156.250000	-18.71	-141.30	1.00
2179.687500	-18.64	-141.03	1.00
2203.125000	-18.58	-141.11	1.00
2226.562500	-18.53	-141.18	1.00
2250.000000	-18.42	-140.97	1.00
2296.875000	-18.33	-140.84	1.00
2343.750000	-18.20	-141.14	1.00
2390.625000	-18.06	-140.99	1.00
2437.500000	-17.93	-140.80	1.00
2484.375000	-17.84	-141.18	1.00
2531.250000	-17.74	-140.91	1.00
2578.125000	-17.61	-141.11	1.00
2625.000000	-17.48	-141.21	1.00
2671.875000	-17.37	-141.15	1.00
2718.750000	-17.28	-141.24	1.00
2765.625000	-17.16	-141.52	1.00
2812.500000	-17.09	-141.74	1.00
2859.375000	-16.92	-141.71	1.00
2906.250000	-16.85	-141.88	1.00
2953.125000	-16.77	-142.18	1.00
3000.000000	-16.65	-142.49	1.00
3046.875000	-16.58	-142.50	1.00
3093.750000	-16.49	-142.64	1.00
3140.625000	-16.39	-143.08	1.00
3187.500000	-16.28	-142.80	1.00
3234.375000	-16.14	-143.04	1.00
3281.250000	-16.13	-143.31	1.00
3328.125000	-15.99	-143.60	1.00
3375.000000	-15.91	-143.73	1.00
3421.875000	-15.88	-143.45	1.00
3468.750000	-15.77	-144.11	1.00
3515.625000	-15.69	-144.59	1.00
3562.500000	-15.60	-144.78	1.00
3609.375000	-15.52	-144.99	1.00
3656.250000	-15.45	-145.25	1.00
3703.125000	-15.36	-145.46	1.00
3750.000000	-15.27	-145.59	1.00
3796.875000	-15.25	-146.10	1.00
3843.750000	-15.14	-146.32	1.00
3890.625000	-15.11	-146.34	1.00
3937.500000	-15.02	-146.62	1.00
3984.375000	-14.93	-147.01	1.00
4031.250000	-14.88	-147.27	1.00
4078.125000	-14.87	-147.57	1.00
4125.000000	-14.76	-147.61	1.00
4171.875000	-14.71	-148.14	1.00
4218.750000	-14.64	-148.39	1.00
4265.625000	-14.56	-148.60	1.00
4312.500000	-14.49	-148.68	1.00
4359.375000	-14.45	-149.16	1.00
4406.250000	-14.41	-149.48	1.00
4453.125000	-14.37	-149.66	1.00
4500.000000	-14.32	-149.93	1.00
4593.750000	-14.17	-150.62	1.00
4687.500000	-14.13	-151.02	1.00
4781.250000	-14.01	-151.94	1.00
4875.000000	-13.90	-152.16	1.00
4968.750000	-13.83	-152.64	1.00
5062.500000	-13.75	-153.64	1.00
5156.250000	-13.71	-154.10	1.00
5250.000000	-13.60	-154.71	1.00
5343.750000	-13.55	-155.28	1.00
5437.500000	-13.44	-156.12	1.00
5531.250000	-13.43	-156.55	1.00
5625.000000	-13.34	-157.23	1.00
5718.750000	-13.30	-157.54	1.00
5812.500000	-13.26	-158.31	1.00
5906.250000	-13.19	-158.79	1.00
