	bell 3k7 sharp		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-26.90	-147.08	0.99
2.929688	-25.95	-154.64	1.00
4.394531	-25.77	-156.61	1.00
5.859375	-25.28	-165.56	1.00
7.324219	-25.05	-168.06	1.00
8.789062	-24.76	-169.78	1.00
10.253906	-24.81	-170.22	1.00
11.718750	-24.96	-170.90	1.00
13.183594	-24.72	-173.54	1.00
14.648438	-24.83	-172.76	1.00
16.113281	-24.83	-172.53	1.00
17.578125	-24.95	-172.66	1.00
19.042969	-24.77	-173.83	1.00
20.507812	-24.70	-174.20	1.00
21.972656	-24.76	-174.39	1.00
23.437500	-24.73	-174.65	1.00
24.902344	-24.73	-174.58	1.00
26.367188	-24.66	-175.16	1.00
27.832031	-24.67	-175.01	1.00
29.296875	-24.85	-174.18	1.00
30.761719	-24.73	-174.71	1.00
32.226562	-24.67	-174.55	1.00
33.691406	-24.69	-174.38	1.00
35.156250	-24.73	-174.53	1.00
36.621094	-24.75	-174.72	1.00
38.085938	-24.70	-174.68	1.00
39.550781	-24.72	-174.84	1.00
41.015625	-24.72	-174.74	1.00
42.480469	-24.75	-174.83	1.00
43.945312	-24.70	-174.28	1.00
45.410156	-24.71	-174.57	1.00
46.875000	-24.71	-174.46	1.00
48.339844	-24.66	-174.32	1.00
49.804688	-24.73	-174.30	1.00
51.269531	-24.74	-174.29	1.00
52.734375	-24.70	-174.09	1.00
54.199219	-24.69	-174.01	1.00
55.664062	-24.68	-173.99	1.00
57.128906	-24.68	-173.94	1.00
58.593750	-24.68	-174.11	1.00
60.058594	-24.70	-173.80	1.00
61.523438	-24.66	-173.76	1.00
62.988281	-24.69	-173.95	1.00
64.453125	-24.66	-174.01	1.00
65.917969	-24.66	-173.33	1.00
67.382812	-24.69	-173.48	1.00
68.847656	-24.67	-173.31	1.00
70.312500	-24.66	-173.30	1.00
71.777344	-24.67	-173.10	1.00
73.242188	-24.68	-173.13	1.00
74.707031	-24.65	-173.11	1.00
76.171875	-24.66	-173.07	1.00
77.636719	-24.67	-173.22	1.00
79.101562	-24.69	-172.82	1.00
80.566406	-24.66	-172.38	1.00
82.031250	-24.65	-172.84	1.00
83.496094	-24.65	-172.57	1.00
84.960938	-24.65	-172.40	1.00
86.425781	-24.64	-172.41	1.00
87.890625	-24.63	-172.10	1.00
89.355469	-24.63	-172.11	1.00
90.820312	-24.64	-172.09	1.00
92.285156	-24.66	-171.83	1.00
93.750000	-24.68	-171.92	1.00
95.214844	-24.63	-171.82	1.00
96.679688	-24.63	-171.71	1.00
98.144531	-24.63	-171.60	1.00
99.609375	-24.61	-171.58	1.00
101.074219	-24.59	-171.47	1.00
102.539062	-24.62	-171.30	1.00
104.003906	-24.61	-171.11	1.00
105.468750	-24.60	-171.11	1.00
106.933594	-24.58	-170.93	1.00
108.398438	-24.61	-170.95	1.00
109.863281	-24.58	-171.08	1.00
111.328125	-24.60	-170.74	1.00
112.792969	-24.60	-170.71	1.00
114.257812	-24.58	-170.50	1.00
115.722656	-24.58	-170.40	1.00
117.187500	-24.61	-170.15	1.00
118.652344	-24.58	-170.21	1.00
120.117188	-24.58	-170.15	1.00
121.582031	-24.57	-170.07	1.00
123.046875	-24.58	-169.93	1.00
124.511719	-24.57	-169.82	1.00
125.976562	-24.56	-169.66	1.00
127.441406	-24.56	-169.56	1.00
128.906250	-24.56	-169.56	1.00
130.371094	-24.56	-169.48	1.00
131.835938	-24.57	-169.30	1.00
133.300781	-24.55	-169.30	1.00
134.765625	-24.54	-169.15	1.00
136.230469	-24.54	-169.06	1.00
137.695312	-24.54	-168.92	1.00
139.160156	-24.53	-168.72	1.00
140.625000	-24.53	-168.63	1.00
143.554688	-24.51	-168.53	1.00
146.484375	-24.51	-168.41	1.00
149.414062	-24.52	-168.06	1.00
152.343750	-24.50	-167.96	1.00
155.273438	-24.49	-167.72	1.00
158.203125	-24.46	-167.54	1.00
161.132812	-24.47	-167.31	1.00
164.062500	-24.46	-167.19	1.00
166.992188	-24.46	-167.03	1.00
169.921875	-24.45	-166.74	1.00
172.851562	-24.45	-166.54	1.00
175.781250	-24.45	-166.24	1.00
178.710938	-24.44	-165.99	1.00
181.640625	-24.41	-165.90	1.00
184.570312	-24.39	-165.84	1.00
187.500000	-24.38	-165.36	1.00
190.429688	-24.38	-165.41	1.00
193.359375	-24.38	-165.01	1.00
196.289062	-24.36	-164.92	1.00
199.218750	-24.37	-164.61	1.00
202.148438	-24.34	-164.59	1.00
205.078125	-24.34	-164.36	1.00
208.007812	-24.33	-164.11	1.00
210.937500	-24.31	-163.85	1.00
213.867188	-24.31	-163.81	1.00
216.796875	-24.30	-163.41	1.00
