	bell 9k2 sharp		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-26.04	-151.08	0.98
2.929688	-25.74	-156.15	1.00
4.394531	-25.32	-161.18	1.00
5.859375	-25.03	-164.93	1.00
7.324219	-24.97	-167.46	1.00
8.789062	-24.82	-170.65	1.00
10.253906	-24.82	-171.37	1.00
11.718750	-24.82	-172.41	1.00
13.183594	-24.76	-172.66	1.00
14.648438	-24.85	-173.71	1.00
16.113281	-24.81	-173.90	1.00
17.578125	-24.75	-174.10	1.00
19.042969	-24.76	-174.55	1.00
20.507812	-24.76	-175.02	1.00
21.972656	-24.73	-174.69	1.00
23.437500	-24.74	-175.29	1.00
24.902344	-24.75	-175.22	1.00
26.367188	-24.64	-175.52	1.00
27.832031	-24.76	-175.81	1.00
29.296875	-24.76	-175.80	1.00
30.761719	-24.70	-176.16	1.00
32.226562	-24.68	-176.13	1.00
33.691406	-24.71	-175.99	1.00
35.156250	-24.71	-175.98	1.00
36.621094	-24.72	-176.30	1.00
38.085938	-24.73	-176.04	1.00
39.550781	-24.73	-176.00	1.00
41.015625	-24.68	-176.03	1.00
42.480469	-24.70	-176.33	1.00
43.945312	-24.71	-176.24	1.00
45.410156	-24.71	-176.53	1.00
46.875000	-24.70	-176.14	1.00
48.339844	-24.75	-176.18	1.00
49.804688	-24.78	-176.28	1.00
51.269531	-24.71	-176.22	1.00
52.734375	-24.72	-176.26	1.00
54.199219	-24.72	-176.16	1.00
55.664062	-24.70	-176.08	1.00
57.128906	-24.70	-176.05	1.00
58.593750	-24.73	-176.01	1.00
60.058594	-24.70	-176.15	1.00
61.523438	-24.69	-175.94	1.00
62.988281	-24.67	-175.96	1.00
64.453125	-24.60	-175.92	1.00
65.917969	-24.69	-175.84	1.00
67.382812	-24.69	-176.07	1.00
68.847656	-24.67	-175.89	1.00
70.312500	-24.66	-175.88	1.00
71.777344	-24.70	-175.82	1.00
73.242188	-24.71	-175.75	1.00
74.707031	-24.70	-175.79	1.00
