	bell 3k7 broad		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-26.37	-147.95	0.99
2.929688	-26.29	-146.38	0.99
4.394531	-25.34	-161.98	1.00
5.859375	-25.24	-164.04	1.00
7.324219	-24.87	-167.67	1.00
8.789062	-24.87	-169.50	1.00
10.253906	-24.94	-170.95	1.00
11.718750	-24.75	-171.62	1.00
13.183594	-24.68	-172.62	1.00
14.648438	-24.78	-172.83	1.00
16.113281	-24.85	-172.76	1.00
17.578125	-24.73	-173.68	1.00
19.042969	-24.80	-173.61	1.00
20.507812	-24.77	-174.23	1.00
21.972656	-24.74	-174.34	1.00
23.437500	-24.75	-174.32	1.00
24.902344	-24.77	-174.39	1.00
26.367188	-24.76	-174.43	1.00
27.832031	-24.68	-174.76	1.00
29.296875	-24.71	-174.23	1.00
30.761719	-24.73	-174.54	1.00
32.226562	-24.72	-174.58	1.00
33.691406	-24.71	-174.80	1.00
35.156250	-24.74	-174.57	1.00
36.621094	-24.71	-174.44	1.00
38.085938	-24.68	-174.83	1.00
39.550781	-24.72	-174.71	1.00
41.015625	-24.71	-174.66	1.00
42.480469	-24.71	-174.61	1.00
43.945312	-24.72	-174.50	1.00
45.410156	-24.68	-174.58	1.00
46.875000	-24.70	-174.24	1.00
48.339844	-24.67	-174.31	1.00
49.804688	-24.71	-174.28	1.00
51.269531	-24.72	-174.38	1.00
52.734375	-24.75	-174.16	1.00
54.199219	-24.68	-174.08	1.00
55.664062	-24.67	-174.12	1.00
57.128906	-24.67	-174.32	1.00
58.593750	-24.68	-174.18	1.00
60.058594	-24.68	-173.91	1.00
61.523438	-24.68	-173.82	1.00
62.988281	-24.69	-173.87	1.00
64.453125	-24.67	-173.77	1.00
65.917969	-24.66	-173.69	1.00
67.382812	-24.69	-173.47	1.00
68.847656	-24.64	-173.32	1.00
70.312500	-24.65	-173.15	1.00
71.777344	-24.65	-173.30	1.00
73.242188	-24.66	-173.10	1.00
74.707031	-24.67	-172.92	1.00
76.171875	-24.68	-172.84	1.00
77.636719	-24.66	-173.02	1.00
79.101562	-24.66	-172.85	1.00
80.566406	-24.62	-172.87	1.00
82.031250	-24.63	-172.78	1.00
83.496094	-24.64	-172.60	1.00
84.960938	-24.63	-172.47	1.00
86.425781	-24.62	-172.40	1.00
87.890625	-24.60	-172.30	1.00
89.355469	-24.60	-171.87	1.00
90.820312	-24.63	-172.19	1.00
92.285156	-24.61	-172.00	1.00
93.750000	-24.61	-171.94	1.00
95.214844	-24.61	-171.89	1.00
96.679688	-24.61	-171.84	1.00
98.144531	-24.60	-171.63	1.00
99.609375	-24.60	-171.57	1.00
101.074219	-24.53	-171.69	1.00
102.539062	-24.60	-171.43	1.00
104.003906	-24.58	-171.21	1.00
105.468750	-24.58	-171.13	1.00
106.933594	-24.57	-171.09	1.00
108.398438	-24.57	-170.90	1.00
109.863281	-24.57	-170.85	1.00
111.328125	-24.56	-170.82	1.00
112.792969	-24.57	-170.63	1.00
114.257812	-24.55	-170.44	1.00
115.722656	-24.55	-170.46	1.00
117.187500	-24.54	-170.42	1.00
118.652344	-24.54	-170.33	1.00
120.117188	-24.55	-170.18	1.00
121.582031	-24.54	-170.15	1.00
123.046875	-24.54	-170.05	1.00
124.511719	-24.52	-169.88	1.00
125.976562	-24.52	-169.85	1.00
127.441406	-24.53	-169.82	1.00
128.906250	-24.52	-169.58	1.00
130.371094	-24.50	-169.51	1.00
131.835938	-24.51	-169.39	1.00
133.300781	-24.50	-169.30	1.00
134.765625	-24.51	-169.26	1.00
136.230469	-24.50	-169.13	1.00
137.695312	-24.50	-168.97	1.00
139.160156	-24.50	-168.87	1.00
140.625000	-24.49	-168.78	1.00
143.554688	-24.47	-168.59	1.00
146.484375	-24.44	-168.29	1.00
149.414062	-24.45	-168.22	1.00
152.343750	-24.44	-167.99	1.00
155.273438	-24.44	-167.84	1.00
158.203125	-24.41	-167.64	1.00
161.132812	-24.40	-167.32	1.00
164.062500	-24.39	-167.33	1.00
166.992188	-24.39	-166.96	1.00
169.921875	-24.38	-166.93	1.00
172.851562	-24.37	-166.66	1.00
175.781250	-24.36	-166.37	1.00
178.710938	-24.33	-166.44	1.00
181.640625	-24.34	-165.97	1.00
184.570312	-24.32	-165.88	1.00
187.500000	-24.31	-165.64	1.00
190.429688	-24.29	-165.48	1.00
193.359375	-24.28	-165.36	1.00
196.289062	-24.27	-165.06	1.00
199.218750	-24.28	-164.84	1.00
202.148438	-24.23	-164.70	1.00
205.078125	-24.24	-164.52	1.00
208.007812	-24.22	-164.38	1.00
210.937500	-24.18	-164.28	1.00
213.867188	-24.19	-164.01	1.00
216.796875	-24.18	-163.89	1.00
219.726562	-24.17	-163.50	1.00
222.656250	-24.15	-163.39	1.00
225.585938	-24.14	-163.23	1.00
228.515625	-24.11	-163.10	1.00
231.445312	-24.10	-162.89	1.00
234.375000	-24.09	-162.72	1.00
237.304688	-24.08	-162.45	1.00
240.234375	-24.07	-162.34	1.00
243.164062	-24.08	-162.09	1.00
246.093750	-24.04	-161.85	1.00
249.023438	-24.03	-161.76	1.00
251.953125	-24.03	-161.72	1.00
254.882812	-23.99	-161.44	1.00
257.812500	-23.98	-161.25	1.00
260.742188	-23.96	-161.08	1.00
263.671875	-23.95	-160.88	1.00
266.601562	-23.93	-160.71	1.00
269.531250	-23.93	-160.55	1.00
272.460938	-23.91	-160.32	1.00
275.390625	-23.88	-160.18	1.00
278.320312	-23.87	-160.10	1.00
281.250000	-23.85	-159.95	1.00
287.109375	-23.83	-159.61	1.00
292.968750	-23.78	-158.93	1.00
298.828125	-23.76	-158.89	1.00
304.687500	-23.73	-158.38	1.00
310.546875	-23.67	-158.25	1.00
316.406250	-23.65	-157.69	1.00
322.265625	-23.62	-157.52	1.00
328.125000	-23.59	-157.30	1.00
333.984375	-23.54	-156.95	1.00
339.843750	-23.51	-156.44	1.00
345.703125	-23.47	-156.30	1.00
351.562500	-23.46	-155.93	1.00
357.421875	-23.41	-155.61	1.00
363.281250	-23.35	-155.47	1.00
369.140625	-23.30	-155.02	1.00
375.000000	-23.28	-154.83	1.00
380.859375	-23.25	-154.64	1.00
386.718750	-23.22	-154.22	1.00
392.578125	-23.19	-153.90	1.00
398.437500	-23.12	-153.56	1.00
404.296875	-23.09	-153.43	1.00
410.156250	-23.06	-153.31	1.00
416.015625	-23.01	-153.09	1.00
421.875000	-22.96	-152.67	1.00
427.734375	-22.93	-152.37	1.00
433.593750	-22.88	-152.03	1.00
439.453125	-22.81	-151.77	1.00
445.312500	-22.82	-151.29	1.00
451.171875	-22.79	-151.42	1.00
457.031250	-22.73	-151.02	1.00
462.890625	-22.68	-150.70	1.00
468.750000	-22.63	-150.59	1.00
474.609375	-22.62	-150.49	1.00
480.468750	-22.58	-150.11	1.00
486.328125	-22.55	-149.98	1.00
492.187500	-22.43	-149.88	1.00
498.046875	-22.44	-149.61	1.00
503.906250	-22.39	-149.35	1.00
509.765625	-22.36	-149.11	1.00
515.625000	-22.31	-148.97	1.00
521.484375	-22.28	-148.54	1.00
527.343750	-22.26	-148.47	1.00
533.203125	-22.17	-148.36	1.00
539.062500	-22.15	-147.99	1.00
544.921875	-22.12	-148.01	1.00
550.781250	-22.05	-147.65	1.00
556.640625	-22.03	-147.50	1.00
562.500000	-21.97	-147.31	1.00
574.218750	-21.91	-146.89	1.00
585.937500	-21.80	-146.52	1.00
597.656250	-21.69	-145.99	1.00
609.375000	-21.65	-145.98	1.00
621.093750	-21.55	-145.52	1.00
632.812500	-21.45	-145.15	1.00
644.531250	-21.42	-145.14	1.00
656.250000	-21.26	-144.62	1.00
667.968750	-21.21	-144.31	1.00
679.687500	-21.16	-144.37	1.00
691.406250	-21.04	-143.84	1.00
703.125000	-20.98	-143.71	1.00
714.843750	-20.88	-143.53	1.00
726.562500	-20.81	-143.19	1.00
738.281250	-20.72	-143.00	1.00
750.000000	-20.60	-142.90	1.00
761.718750	-20.57	-143.00	1.00
773.437500	-20.46	-142.34	1.00
785.156250	-20.43	-142.07	1.00
796.875000	-20.25	-142.13	1.00
808.593750	-20.22	-141.89	1.00
820.312500	-20.17	-141.59	1.00
832.031250	-20.03	-141.66	1.00
843.750000	-19.97	-141.48	1.00
855.468750	-19.89	-141.30	1.00
867.187500	-19.83	-141.08	1.00
878.906250	-19.76	-141.11	1.00
890.625000	-19.65	-141.16	1.00
902.343750	-19.59	-140.68	1.00
914.062500	-19.50	-140.50	1.00
925.781250	-19.44	-140.43	1.00
937.500000	-19.36	-140.33	1.00
949.218750	-19.26	-140.43	1.00
960.937500	-19.20	-140.05	1.00
972.656250	-19.13	-140.16	1.00
984.375000	-19.02	-140.27	1.00
996.093750	-18.95	-140.26	1.00
1007.812500	-18.93	-140.09	1.00
1019.531250	-18.81	-140.06	1.00
1031.250000	-18.76	-140.01	1.00
1042.968750	-18.69	-139.96	1.00
1054.687500	-18.60	-139.80	1.00
1066.406250	-18.53	-139.76	1.00
1078.125000	-18.47	-139.73	1.00
1089.843750	-18.42	-139.65	1.00
1101.562500	-18.33	-139.79	1.00
1113.281250	-18.24	-139.76	1.00
1125.000000	-18.17	-139.87	1.00
1148.437500	-18.02	-140.22	1.00
1171.875000	-17.99	-139.70	1.00
1195.312500	-17.80	-139.94	1.00
1218.750000	-17.72	-139.84	1.00
1242.187500	-17.48	-140.16	1.00
1265.625000	-17.37	-139.86	1.00
1289.062500	-17.23	-140.53	1.00
1312.500000	-17.10	-140.12	1.00
1335.937500	-17.04	-140.67	1.00
1359.375000	-16.90	-140.22	1.00
1382.812500	-16.74	-140.73	1.00
1406.250000	-16.68	-140.90	1.00
1429.687500	-16.50	-141.08	1.00
1453.125000	-16.48	-140.55	1.00
1476.562500	-16.40	-141.39	1.00
1500.000000	-16.17	-141.77	1.00
1523.437500	-16.11	-142.10	1.00
1546.875000	-15.96	-142.33	1.00
1570.312500	-15.91	-142.54	1.00
1593.750000	-15.81	-142.38	1.00
1617.187500	-15.63	-142.74	1.00
1640.625000	-15.50	-142.79	1.00
1664.062500	-15.46	-143.69	1.00
1687.500000	-15.40	-144.01	1.00
1710.937500	-15.28	-144.07	1.00
1734.375000	-15.20	-144.14	1.00
1757.812500	-15.06	-144.99	1.00
1781.250000	-15.02	-145.06	1.00
1804.687500	-14.95	-145.79	1.00
1828.125000	-14.83	-145.70	1.00
1851.562500	-14.74	-145.67	1.00
1875.000000	-14.66	-146.47	1.00
1898.437500	-14.57	-146.79	1.00
1921.875000	-14.50	-147.01	1.00
1945.312500	-14.40	-147.47	1.00
1968.750000	-14.35	-147.68	1.00
1992.187500	-14.32	-147.88	1.00
2015.625000	-14.18	-148.67	1.00
2039.062500	-14.15	-149.15	1.00
2062.500000	-14.15	-149.43	1.00
2085.937500	-14.04	-150.34	1.00
2109.375000	-13.99	-150.26	1.00
2132.812500	-13.87	-150.63	1.00
2156.250000	-13.80	-151.04	1.00
2179.687500	-13.76	-151.38	1.00
2203.125000	-13.68	-151.79	1.00
2226.562500	-13.59	-151.97	1.00
2250.000000	-13.56	-152.65	1.00
2296.875000	-13.47	-153.28	1.00
2343.750000	-13.34	-154.32	1.00
2390.625000	-13.33	-155.41	1.00
2437.500000	-13.12	-155.47	1.00
2484.375000	-13.12	-156.61	1.00
2531.250000	-13.00	-157.48	1.00
2578.125000	-12.93	-158.10	1.00
2625.000000	-12.90	-159.37	1.00
2671.875000	-12.79	-160.06	1.00
2718.750000	-12.78	-160.97	1.00
2765.625000	-12.69	-161.81	1.00
2812.500000	-12.60	-162.54	1.00
2859.375000	-12.62	-163.05	1.00
2906.250000	-12.53	-164.31	1.00
2953.125000	-12.50	-164.90	1.00
3000.000000	-12.47	-165.86	1.00
3046.875000	-12.49	-166.47	1.00
3093.750000	-12.42	-167.42	1.00
3140.625000	-12.40	-168.03	1.00
3187.500000	-12.35	-168.84	1.00
3234.375000	-12.43	-169.66	1.00
3281.250000	-12.33	-170.20	1.00
3328.125000	-12.33	-170.84	1.00
3375.000000	-12.32	-171.82	1.00
3421.875000	-12.32	-172.44	1.00
3468.750000	-12.30	-173.16	1.00
3515.625000	-12.32	-173.58	1.00
3562.500000	-12.35	-174.57	1.00
3609.375000	-12.33	-175.12	1.00
3656.250000	-12.33	-175.63	1.00
3703.125000	-12.33	-176.40	1.00
3750.000000	-12.38	-177.12	1.00
3796.875000	-12.37	-177.42	1.00
3843.750000	-12.38	-178.00	1.00
3890.625000	-12.41	-178.62	1.00
3937.500000	-12.41	-179.31	1.00
3984.375000	-12.43	-179.85	1.00
4031.250000	-12.46	179.76	1.00
4078.125000	-12.50	179.14	1.00
4125.000000	-12.51	178.84	1.00
4171.875000	-12.53	178.32	1.00
4218.750000	-12.55	177.80	1.00
4265.625000	-12.55	177.54	1.00
4312.500000	-12.62	176.86	1.00
4359.375000	-12.63	176.32	1.00
4406.250000	-12.65	175.93	1.00
4453.125000	-12.67	175.59	1.00
4500.000000	-12.70	175.32	1.00
4593.750000	-12.75	174.52	1.00
4687.500000	-12.83	173.88	1.00
4781.250000	-12.91	173.01	1.00
4875.000000	-12.92	172.21	1.00
4968.750000	-13.01	171.52	1.00
5062.500000	-13.07	170.91	1.00
5156.250000	-13.12	170.26	1.00
5250.000000	-13.18	169.98	1.00
5343.750000	-13.27	169.24	1.00
5437.500000	-13.33	168.85	1.00
5531.250000	-13.40	168.28	1.00
5625.000000	-13.44	167.85	1.00
5718.750000	-13.52	167.49	1.00
5812.500000	-13.55	167.00	1.00
5906.250000	-13.64	166.47	1.00
6000.000000	-13.70	166.24	1.00
6093.750000	-13.76	165.83	1.00
6187.500000	-13.81	165.63	1.00
6281.250000	-13.85	165.25	1.00
6375.000000	-13.94	164.96	1.00
6468.750000	-13.99	164.48	1.00
6562.500000	-14.09	164.47	1.00
6656.250000	-14.11	164.02	1.00
6750.000000	-14.14	163.77	1.00
6843.750000	-14.22	163.56	1.00
6937.500000	-14.29	163.50	1.00
7031.250000	-14.33	163.30	1.00
7125.000000	-14.37	162.88	1.00
7218.750000	-14.43	162.77	1.00
7312.500000	-14.48	162.60	1.00
7406.250000	-14.54	162.28	1.00
7500.000000	-14.57	162.28	1.00
7593.750000	-14.63	162.14	1.00
7687.500000	-14.68	161.74	1.00
7781.250000	-14.71	161.67	1.00
7875.000000	-14.76	161.63	1.00
7968.750000	-14.81	161.34	1.00
8062.500000	-14.86	161.24	1.00
8156.250000	-14.89	161.10	1.00
8250.000000	-14.93	161.02	1.00
8343.750000	-14.97	160.94	1.00
8437.500000	-15.02	160.97	1.00
8531.250000	-15.06	160.74	1.00
8625.000000	-15.09	160.66	1.00
8718.750000	-15.13	160.53	1.00
8812.500000	-15.18	160.43	1.00
8906.250000	-15.20	160.25	1.00
9000.000000	-15.26	160.23	1.00
9187.500000	-15.32	160.06	1.00
9375.000000	-15.40	159.89	1.00
9562.500000	-15.49	159.80	1.00
9750.000000	-15.52	159.68	1.00
9937.500000	-15.61	159.61	1.00
10125.000000	-15.65	159.33	1.00
10312.500000	-15.70	159.31	1.00
10500.000000	-15.78	159.10	1.00
10687.500000	-15.82	159.02	1.00
10875.000000	-15.92	159.15	1.00
11062.500000	-15.95	158.89	1.00
11250.000000	-15.99	158.94	1.00
11437.500000	-16.07	158.75	1.00
11625.000000	-16.09	158.79	1.00
11812.500000	-16.16	158.74	1.00
12000.000000	-16.18	158.61	1.00
12187.500000	-16.25	158.60	1.00
12375.000000	-16.29	158.39	1.00
12562.500000	-16.32	158.53	1.00
12750.000000	-16.37	158.41	1.00
12937.500000	-16.40	158.46	1.00
13125.000000	-16.44	158.24	1.00
13312.500000	-16.51	158.23	1.00
13500.000000	-16.54	158.33	1.00
13687.500000	-16.57	158.22	1.00
13875.000000	-16.61	158.14	1.00
14062.500000	-16.64	158.17	1.00
14250.000000	-16.67	158.09	1.00
14437.500000	-16.72	158.10	1.00
14625.000000	-16.75	158.09	1.00
14812.500000	-16.79	157.97	1.00
15000.000000	-16.82	157.89	1.00
15187.500000	-16.84	158.03	1.00
15375.000000	-16.88	157.94	1.00
15562.500000	-16.91	157.95	1.00
15750.000000	-16.94	157.88	1.00
15937.500000	-16.96	157.86	1.00
16125.000000	-16.99	157.86	1.00
16312.500000	-17.01	157.82	1.00
16500.000000	-17.05	157.65	1.00
16687.500000	-17.08	157.65	1.00
16875.000000	-17.12	157.51	1.00
17062.500000	-17.13	157.63	1.00
17250.000000	-17.17	157.63	1.00
17437.500000	-17.19	157.54	1.00
17625.000000	-17.22	157.53	1.00
17812.500000	-17.24	157.56	1.00
18000.000000	-17.26	157.47	1.00
18187.500000	-17.29	157.51	1.00
18375.000000	-17.31	157.47	1.00
18562.500000	-17.34	157.46	1.00
18750.000000	-17.36	157.45	1.00
18937.500000	-17.39	157.36	1.00
19125.000000	-17.40	157.34	1.00
19312.500000	-17.43	157.30	1.00
19500.000000	-17.45	157.32	1.00
19687.500000	-17.46	157.28	1.00
19875.000000	-17.49	157.26	1.00
20062.500000	-17.53	157.16	1.00
20250.000000	-17.54	157.18	1.00
20437.500000	-17.57	157.08	1.00
20625.000000	-17.58	157.02	1.00
20812.500000	-17.61	157.10	1.00
21000.000000	-17.63	157.07	1.00
21187.500000	-17.64	157.08	1.00
21375.000000	-17.66	157.01	1.00
21562.500000	-17.68	156.98	1.00
21750.000000	-17.72	156.88	1.00
21937.500000	-17.73	156.89	1.00
22125.000000	-17.76	156.86	1.00
22312.500000	-17.78	156.88	1.00
22500.000000	-17.79	156.80	1.00
22687.500000	-17.81	156.83	1.00
22875.000000	-17.81	156.71	1.00
23062.500000	-17.83	156.67	1.00
23250.000000	-17.87	156.81	1.00
23437.500000	-18.02	157.46	1.00
23625.000000	-18.41	159.85	1.00
23812.500000	-19.04	165.01	0.99
