	att 100 Hz		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-36.00	-151.93	0.99
2.929688	-34.68	-164.49	1.00
4.394531	-34.20	-165.38	1.00
5.859375	-33.65	-167.44	1.00
7.324219	-34.32	-171.84	1.00
8.789062	-34.08	-173.61	1.00
10.253906	-34.02	-174.07	1.00
11.718750	-33.78	-175.25	1.00
13.183594	-33.64	-176.10	1.00
14.648438	-33.59	-174.51	1.00
16.113281	-33.74	-175.19	1.00
17.578125	-33.80	-177.08	1.00
19.042969	-33.97	-177.60	1.00
20.507812	-33.82	-177.15	1.00
21.972656	-33.80	-176.31	1.00
23.437500	-33.80	-176.13	1.00
24.902344	-33.72	-176.28	1.00
26.367188	-33.70	-176.42	1.00
27.832031	-33.74	-176.52	1.00
29.296875	-33.75	-177.56	1.00
30.761719	-33.83	-176.77	1.00
32.226562	-33.94	-177.15	1.00
33.691406	-33.85	-176.93	1.00
35.156250	-33.85	-177.97	1.00
36.621094	-33.76	-177.03	1.00
38.085938	-33.78	-176.84	1.00
39.550781	-33.66	-177.72	1.00
41.015625	-33.66	-177.70	1.00
42.480469	-33.81	-176.28	1.00
43.945312	-33.78	-177.86	1.00
45.410156	-33.82	-177.17	1.00
46.875000	-33.83	-177.17	1.00
48.339844	-33.91	-177.04	1.00
49.804688	-33.81	-177.47	1.00
51.269531	-33.80	-177.43	1.00
52.734375	-33.67	-177.47	1.00
54.199219	-33.63	-177.22	1.00
55.664062	-33.75	-177.12	1.00
57.128906	-33.83	-176.43	1.00
58.593750	-33.76	-176.40	1.00
60.058594	-33.82	-177.37	1.00
61.523438	-33.71	-177.05	1.00
62.988281	-33.77	-177.13	1.00
64.453125	-33.86	-178.14	1.00
65.917969	-33.79	-177.05	1.00
67.382812	-33.78	-177.12	1.00
68.847656	-33.78	-176.76	1.00
70.312500	-33.80	-176.87	1.00
71.777344	-33.71	-176.30	1.00
73.242188	-33.75	-177.11	1.00
74.707031	-33.72	-176.75	1.00
76.171875	-33.71	-176.83	1.00
77.636719	-33.82	-176.48	1.00
79.101562	-33.82	-176.56	1.00
80.566406	-33.86	-176.90	1.00
82.031250	-33.80	-176.62	1.00
83.496094	-33.60	-176.53	1.00
84.960938	-33.64	-175.57	1.00
86.425781	-33.81	-176.63	1.00
87.890625	-33.78	-176.56	1.00
89.355469	-33.80	-176.88	1.00
90.820312	-33.77	-176.60	1.00
92.285156	-33.78	-176.64	1.00
93.750000	-33.78	-176.24	1.00
95.214844	-33.77	-176.48	1.00
96.679688	-33.74	-176.26	1.00
98.144531	-33.74	-176.21	1.00
99.609375	-34.01	-176.10	1.00
101.074219	-34.06	-176.37	1.00
102.539062	-33.79	-176.11	1.00
104.003906	-33.77	-176.25	1.00
105.468750	-33.74	-175.93	1.00
106.933594	-33.73	-175.98	1.00
108.398438	-33.73	-175.99	1.00
109.863281	-33.71	-176.03	1.00
111.328125	-33.77	-175.68	1.00
112.792969	-33.75	-175.76	1.00
114.257812	-33.78	-175.93	1.00
115.722656	-33.76	-175.71	1.00
117.187500	-33.76	-175.74	1.00
118.652344	-33.73	-175.70	1.00
120.117188	-33.67	-175.80	1.00
121.582031	-33.72	-175.49	1.00
123.046875	-33.74	-175.39	1.00
124.511719	-33.73	-175.45	1.00
125.976562	-33.73	-175.43	1.00
127.441406	-33.76	-175.28	1.00
128.906250	-33.72	-175.28	1.00
130.371094	-33.72	-175.30	1.00
131.835938	-33.73	-175.20	1.00
133.300781	-33.74	-175.20	1.00
134.765625	-33.74	-175.23	1.00
136.230469	-33.73	-175.24	1.00
137.695312	-33.76	-174.92	1.00
139.160156	-33.73	-175.02	1.00
140.625000	-33.76	-174.95	1.00
143.554688	-33.73	-174.79	1.00
146.484375	-33.75	-174.99	1.00
149.414062	-33.70	-174.53	1.00
152.343750	-33.71	-174.63	1.00
155.273438	-33.71	-174.51	1.00
158.203125	-33.69	-174.49	1.00
161.132812	-33.71	-174.31	1.00
164.062500	-33.72	-174.18	1.00
166.992188	-33.71	-174.20	1.00
