	ECM8000_TF_0_135		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-26.02	-158.49	0.55
5.859375	-17.49	159.41	0.78
8.789063	-11.13	142.74	0.67
11.718750	-8.72	117.71	0.93
14.648438	-9.05	124.87	0.90
17.578125	-6.07	110.82	0.94
20.507813	-4.69	90.71	0.94
23.437500	-3.77	78.30	0.71
26.367188	-2.91	88.29	0.66
29.296875	-2.59	48.33	0.65
32.226563	-3.10	33.18	0.81
35.156250	-0.78	49.85	0.85
38.085938	-2.17	46.04	0.97
41.015625	-2.62	44.55	0.98
43.945313	-1.64	40.09	0.98
46.875000	-1.53	39.99	0.98
49.804688	-1.06	35.44	1.00
52.734375	-1.16	35.99	1.00
55.664063	-1.04	34.48	1.00
58.593750	-0.96	32.41	1.00
61.523438	-1.16	31.59	1.00
64.453125	-1.21	30.02	1.00
67.382813	-1.18	27.23	1.00
70.312500	-1.13	26.54	1.00
73.242188	-1.11	25.96	1.00
76.171875	-1.05	25.13	1.00
79.101563	-0.98	23.68	1.00
82.031250	-0.99	22.53	1.00
84.960938	-1.06	22.26	1.00
87.890625	-0.83	20.56	1.00
90.820313	-0.88	19.89	1.00
93.750000	-1.13	19.64	1.00
96.679688	-1.12	19.54	1.00
99.609375	-1.08	18.82	1.00
102.539063	-1.00	18.70	1.00
105.468750	-0.93	17.49	1.00
108.398438	-0.93	16.50	1.00
111.328125	-0.89	16.01	1.00
114.257813	-0.88	15.52	1.00
117.187500	-0.85	15.05	1.00
120.117188	-0.86	14.81	1.00
123.046875	-0.84	14.57	1.00
125.976563	-0.80	14.11	1.00
128.906250	-0.77	13.58	1.00
131.835938	-0.78	13.29	1.00
134.765625	-0.81	12.85	1.00
137.695313	-0.82	12.49	1.00
140.625000	-0.79	12.00	1.00
143.554688	-0.75	11.50	1.00
146.484375	-0.73	11.04	1.00
149.414063	-0.72	10.63	1.00
152.343750	-0.74	10.37	1.00
155.273438	-0.80	9.90	1.00
158.203125	-0.92	9.51	1.00
161.132813	-0.91	9.88	1.00
