	ECM8000_TF_0_150		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-28.86	-171.14	0.91
5.859375	-24.35	-178.97	0.90
8.789063	-15.41	147.00	0.88
11.718750	-10.24	132.52	0.97
14.648438	-7.42	101.45	0.96
17.578125	-6.87	99.02	0.99
20.507813	-6.64	95.82	0.96
23.437500	-4.02	79.02	0.98
26.367188	-2.68	71.50	0.99
29.296875	-2.29	67.62	0.98
32.226563	-2.76	59.93	0.99
35.156250	-2.05	51.61	1.00
38.085938	-1.87	51.55	1.00
41.015625	-1.83	50.34	1.00
43.945313	-1.64	45.94	1.00
46.875000	-1.76	43.06	1.00
49.804688	-1.56	39.72	1.00
52.734375	-1.30	38.08	1.00
55.664063	-1.28	36.36	1.00
58.593750	-1.60	34.23	1.00
61.523438	-1.35	30.43	1.00
64.453125	-1.11	29.32	1.00
67.382813	-1.00	28.99	1.00
70.312500	-1.15	26.58	1.00
73.242188	-1.11	25.85	1.00
76.171875	-1.08	24.85	1.00
79.101563	-1.05	23.98	1.00
82.031250	-1.02	22.46	1.00
84.960938	-0.95	22.11	1.00
87.890625	-0.91	21.49	1.00
90.820313	-1.08	19.71	1.00
93.750000	-1.11	18.81	1.00
96.679688	-1.07	18.38	1.00
99.609375	-1.03	19.08	1.00
102.539063	-0.93	18.34	1.00
105.468750	-0.82	17.52	1.00
108.398438	-0.80	16.47	1.00
111.328125	-0.93	16.46	1.00
114.257813	-0.92	15.69	1.00
117.187500	-0.96	15.38	1.00
120.117188	-0.91	14.89	1.00
123.046875	-0.88	14.45	1.00
125.976563	-0.85	14.12	1.00
128.906250	-0.82	13.79	1.00
131.835938	-0.87	13.16	1.00
134.765625	-0.82	12.79	1.00
137.695313	-0.81	12.52	1.00
140.625000	-0.77	12.12	1.00
143.554688	-0.73	11.79	1.00
146.484375	-0.72	11.37	1.00
149.414063	-0.71	10.94	1.00
152.343750	-0.68	10.26	1.00
155.273438	-0.67	9.75	1.00
158.203125	-0.81	9.83	1.00
161.132813	-0.85	9.98	1.00
164.062500	-0.81	10.16	1.00
166.992188	-0.74	9.71	1.00
169.921875	-0.69	8.85	1.00
172.851563	-0.69	8.02	1.00
175.781250	-0.74	7.49	1.00
178.710938	-0.79	7.75	1.00
181.640625	-0.82	7.85	1.00
184.570313	-0.80	7.74	1.00
187.500000	-0.77	7.54	1.00
190.429688	-0.73	7.11	1.00
193.359375	-0.75	6.60	1.00
196.289063	-0.76	6.09	1.00
199.218750	-0.78	5.75	1.00
202.148438	-0.80	5.56	1.00
205.078125	-0.85	5.39	1.00
208.007813	-0.95	5.49	1.00
210.937500	-1.02	5.84	1.00
213.867188	-1.03	6.08	1.00
216.796875	-0.99	6.05	1.00
219.726563	-0.94	5.98	1.00
222.656250	-0.93	5.73	1.00
225.585938	-0.95	5.39	1.00
228.515625	-0.96	5.10	1.00
231.445313	-0.95	4.95	1.00
234.375000	-0.93	4.90	1.00
237.304688	-0.90	4.59	1.00
240.234375	-0.88	4.49	1.00
243.164063	-0.88	4.38	1.00
246.093750	-0.90	4.24	1.00
249.023438	-0.90	4.03	1.00
251.953125	-0.89	3.76	1.00
254.882813	-0.89	3.52	1.00
257.812500	-0.91	3.37	1.00
260.742188	-0.93	3.38	1.00
263.671875	-0.94	3.40	1.00
266.601563	-0.93	3.46	1.00
269.531250	-0.92	3.50	1.00
272.460938	-0.90	3.47	1.00
275.390625	-0.88	3.38	1.00
278.320313	-0.87	3.32	1.00
281.250000	-0.86	3.19	1.00
284.179688	-0.83	3.05	1.00
287.109375	-0.78	2.83	1.00
290.039063	-0.76	2.50	1.00
292.968750	-0.75	2.10	1.00
295.898438	-0.77	1.70	1.00
298.828125	-0.83	1.40	1.00
301.757813	-0.91	1.32	1.00
304.687500	-0.96	1.31	1.00
307.617188	-0.98	1.37	1.00
310.546875	-0.98	1.46	1.00
313.476563	-0.98	1.51	1.00
316.406250	-0.97	1.54	1.00
319.335938	-0.96	1.59	1.00
322.265625	-0.95	1.58	1.00
325.195313	-0.92	1.55	1.00
328.125000	-0.90	1.45	1.00
331.054688	-0.88	1.30	1.00
333.984375	-0.86	1.07	1.00
336.914063	-0.86	0.77	1.00
339.843750	-0.87	0.39	1.00
342.773438	-0.90	0.01	1.00
345.703125	-0.95	-0.18	1.00
348.632813	-0.99	0.03	1.00
351.562500	-0.99	0.15	1.00
354.492188	-0.97	0.17	1.00
357.421875	-0.95	0.16	1.00
360.351563	-0.93	0.17	1.00
363.281250	-0.91	0.10	1.00
366.210938	-0.90	-0.05	1.00
369.140625	-0.89	-0.21	1.00
372.070313	-0.90	-0.34	1.00
375.000000	-0.91	-0.42	1.00
377.929688	-0.94	-0.44	1.00
380.859375	-0.98	-0.38	1.00
383.789063	-1.00	-0.26	1.00
386.718750	-1.01	-0.16	1.00
389.648438	-1.00	-0.06	1.00
392.578125	-1.00	0.07	1.00
395.507813	-0.98	0.14	1.00
398.437500	-0.97	0.13	1.00
401.367188	-0.97	0.14	1.00
404.296875	-0.96	0.13	1.00
407.226563	-0.94	0.08	1.00
410.156250	-0.91	0.03	1.00
413.085938	-0.89	-0.06	1.00
416.015625	-0.88	-0.21	1.00
418.945313	-0.86	-0.43	1.00
421.875000	-0.84	-0.67	1.00
424.804688	-0.82	-0.85	1.00
427.734375	-0.82	-1.09	1.00
430.664063	-0.83	-1.33	1.00
433.593750	-0.85	-1.50	1.00
436.523438	-0.86	-1.53	1.00
439.453125	-0.86	-1.52	1.00
