	ECM8000_TF_0_15		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-28.25	179.88	0.88
5.859375	-21.85	157.45	0.83
8.789063	-13.52	137.56	0.93
11.718750	-10.40	125.45	0.96
14.648438	-7.21	108.68	0.98
17.578125	-6.02	102.71	0.99
20.507813	-5.97	98.79	0.97
23.437500	-4.62	75.71	0.99
26.367188	-4.18	72.16	0.98
29.296875	-2.54	68.39	0.98
32.226563	-2.09	59.74	0.99
35.156250	-2.22	53.60	0.99
38.085938	-1.90	47.80	0.99
41.015625	-2.01	48.32	0.99
43.945313	-1.46	42.86	0.99
46.875000	-1.10	39.14	1.00
49.804688	-1.22	37.34	1.00
52.734375	-1.28	37.00	1.00
55.664063	-1.32	36.40	1.00
58.593750	-1.34	33.47	1.00
61.523438	-1.11	32.26	1.00
64.453125	-1.01	30.24	1.00
67.382813	-1.00	28.95	1.00
70.312500	-1.07	27.65	1.00
73.242188	-1.04	27.12	1.00
76.171875	-0.83	26.10	1.00
79.101563	-0.85	24.27	1.00
82.031250	-0.83	23.41	1.00
84.960938	-0.88	22.83	1.00
87.890625	-0.86	21.61	1.00
90.820313	-0.84	21.23	1.00
93.750000	-0.88	20.57	1.00
96.679688	-0.80	19.83	1.00
99.609375	-0.77	19.39	1.00
102.539063	-0.75	19.00	1.00
105.468750	-0.70	18.16	1.00
108.398438	-0.67	17.49	1.00
111.328125	-0.64	17.02	1.00
114.257813	-0.63	16.87	1.00
117.187500	-0.66	16.24	1.00
120.117188	-0.66	15.57	1.00
123.046875	-0.64	15.31	1.00
125.976563	-0.61	14.83	1.00
128.906250	-0.58	14.39	1.00
131.835938	-0.60	14.00	1.00
134.765625	-0.64	13.91	1.00
137.695313	-0.61	13.38	1.00
140.625000	-0.62	12.98	1.00
143.554688	-0.61	12.72	1.00
146.484375	-0.61	12.28	1.00
149.414063	-0.59	11.66	1.00
152.343750	-0.60	11.34	1.00
155.273438	-0.60	10.94	1.00
158.203125	-0.60	11.11	1.00
161.132813	-0.59	11.06	1.00
164.062500	-0.58	10.75	1.00
166.992188	-0.55	10.35	1.00
169.921875	-0.54	9.94	1.00
172.851563	-0.55	9.45	1.00
175.781250	-0.58	9.23	1.00
178.710938	-0.59	8.89	1.00
181.640625	-0.59	8.69	1.00
184.570313	-0.58	8.60	1.00
187.500000	-0.58	8.36	1.00
190.429688	-0.58	8.01	1.00
