	ECM8000_TF_0_75		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-26.74	168.36	0.81
5.859375	-18.84	174.27	0.90
8.789063	-15.77	155.67	0.88
11.718750	-10.51	126.21	0.93
14.648438	-6.60	104.44	0.98
17.578125	-6.21	102.82	1.00
20.507813	-6.07	93.57	0.98
23.437500	-4.16	83.10	0.99
26.367188	-3.25	80.02	0.99
29.296875	-3.52	66.19	0.98
32.226563	-3.07	56.65	0.98
35.156250	-2.00	51.64	0.99
38.085938	-1.93	49.36	1.00
41.015625	-1.99	46.65	0.99
43.945313	-1.70	43.12	0.99
46.875000	-1.51	39.74	1.00
49.804688	-1.54	39.89	1.00
52.734375	-1.41	38.28	1.00
55.664063	-1.47	34.65	1.00
58.593750	-1.21	33.39	1.00
61.523438	-1.08	29.49	1.00
64.453125	-1.14	29.83	1.00
67.382813	-1.23	29.28	1.00
70.312500	-1.14	27.50	1.00
73.242188	-1.04	26.52	1.00
76.171875	-0.92	25.64	1.00
79.101563	-0.91	24.85	1.00
82.031250	-0.95	23.24	1.00
84.960938	-0.90	22.55	1.00
87.890625	-0.81	21.41	1.00
90.820313	-0.86	19.85	1.00
93.750000	-0.89	21.06	1.00
96.679688	-0.87	19.82	1.00
99.609375	-0.86	19.17	1.00
102.539063	-0.84	18.58	1.00
105.468750	-0.82	18.23	1.00
108.398438	-0.78	17.21	1.00
111.328125	-0.73	16.91	1.00
114.257813	-0.81	16.65	1.00
117.187500	-0.79	15.81	1.00
120.117188	-0.74	15.38	1.00
123.046875	-0.73	15.07	1.00
125.976563	-0.72	14.63	1.00
128.906250	-0.69	14.30	1.00
131.835938	-0.70	13.70	1.00
134.765625	-0.69	13.24	1.00
137.695313	-0.69	12.88	1.00
140.625000	-0.72	12.61	1.00
143.554688	-0.75	12.33	1.00
146.484375	-0.70	11.79	1.00
149.414063	-0.69	11.44	1.00
152.343750	-0.68	11.21	1.00
155.273438	-0.67	10.86	1.00
158.203125	-0.76	10.63	1.00
161.132813	-0.73	10.82	1.00
164.062500	-0.69	10.78	1.00
166.992188	-0.66	10.26	1.00
169.921875	-0.68	9.53	1.00
172.851563	-0.68	9.15	1.00
175.781250	-0.75	8.72	1.00
178.710938	-0.74	8.57	1.00
181.640625	-0.74	8.29	1.00
184.570313	-0.73	8.29	1.00
187.500000	-0.71	8.05	1.00
190.429688	-0.70	7.61	1.00
193.359375	-0.71	7.41	1.00
196.289063	-0.76	7.13	1.00
199.218750	-0.79	6.91	1.00
202.148438	-0.80	6.67	1.00
205.078125	-0.82	6.56	1.00
208.007813	-0.84	6.44	1.00
210.937500	-0.86	6.46	1.00
213.867188	-0.86	6.55	1.00
216.796875	-0.86	6.59	1.00
219.726563	-0.87	6.55	1.00
222.656250	-0.87	6.49	1.00
225.585938	-0.87	6.45	1.00
228.515625	-0.89	6.36	1.00
231.445313	-0.88	6.47	1.00
234.375000	-0.87	6.44	1.00
237.304688	-0.85	6.31	1.00
240.234375	-0.84	6.08	1.00
243.164063	-0.84	5.91	1.00
246.093750	-0.84	5.78	1.00
249.023438	-0.85	5.66	1.00
251.953125	-0.84	5.53	1.00
254.882813	-0.83	5.36	1.00
257.812500	-0.83	5.18	1.00
260.742188	-0.84	5.03	1.00
263.671875	-0.84	4.91	1.00
266.601563	-0.83	4.83	1.00
269.531250	-0.83	4.83	1.00
272.460938	-0.82	4.79	1.00
275.390625	-0.82	4.69	1.00
278.320313	-0.82	4.66	1.00
281.250000	-0.80	4.66	1.00
284.179688	-0.79	4.54	1.00
287.109375	-0.79	4.35	1.00
290.039063	-0.78	4.13	1.00
292.968750	-0.79	3.86	1.00
295.898438	-0.82	3.65	1.00
298.828125	-0.85	3.53	1.00
301.757813	-0.88	3.53	1.00
304.687500	-0.90	3.54	1.00
307.617188	-0.91	3.59	1.00
310.546875	-0.91	3.64	1.00
313.476563	-0.91	3.66	1.00
316.406250	-0.91	3.62	1.00
319.335938	-0.91	3.55	1.00
322.265625	-0.88	3.43	1.00
325.195313	-0.86	3.31	1.00
328.125000	-0.81	3.22	1.00
331.054688	-0.77	3.19	1.00
333.984375	-0.74	2.96	1.00
336.914063	-0.72	2.58	1.00
339.843750	-0.75	2.46	1.00
342.773438	-0.78	2.37	1.00
345.703125	-0.81	2.36	1.00
348.632813	-0.82	2.37	1.00
351.562500	-0.83	2.44	1.00
354.492188	-0.83	2.52	1.00
357.421875	-0.84	2.52	1.00
360.351563	-0.83	2.48	1.00
363.281250	-0.83	2.37	1.00
366.210938	-0.84	2.23	1.00
369.140625	-0.84	2.09	1.00
372.070313	-0.85	1.98	1.00
375.000000	-0.87	1.95	1.00
377.929688	-0.88	1.95	1.00
380.859375	-0.89	1.98	1.00
383.789063	-0.89	2.03	1.00
386.718750	-0.90	2.10	1.00
389.648438	-0.90	2.15	1.00
392.578125	-0.88	2.20	1.00
395.507813	-0.86	2.22	1.00
398.437500	-0.84	2.23	1.00
401.367188	-0.82	2.13	1.00
404.296875	-0.81	2.01	1.00
407.226563	-0.80	1.92	1.00
410.156250	-0.77	1.86	1.00
413.085938	-0.76	1.74	1.00
416.015625	-0.75	1.53	1.00
418.945313	-0.74	1.31	1.00
421.875000	-0.75	1.11	1.00
424.804688	-0.77	0.90	1.00
427.734375	-0.80	0.79	1.00
430.664063	-0.83	0.63	1.00
433.593750	-0.85	0.48	1.00
436.523438	-0.86	0.43	1.00
439.453125	-0.87	0.37	1.00
442.382813	-0.87	0.26	1.00
445.312500	-0.88	0.15	1.00
448.242188	-0.89	0.04	1.00
451.171875	-0.90	-0.02	1.00
454.101563	-0.91	-0.06	1.00
457.031250	-0.91	-0.06	1.00
459.960938	-0.93	-0.07	1.00
462.890625	-0.95	-0.06	1.00
465.820313	-0.98	-0.05	1.00
468.750000	-1.01	-0.02	1.00
471.679688	-1.04	0.05	1.00
474.609375	-1.06	0.13	1.00
477.539063	-1.07	0.22	1.00
480.468750	-1.08	0.29	1.00
483.398438	-1.08	0.34	1.00
486.328125	-1.08	0.34	1.00
489.257813	-1.08	0.35	1.00
492.187500	-1.08	0.38	1.00
495.117188	-1.09	0.45	1.00
498.046875	-1.11	0.57	1.00
500.976563	-1.12	0.69	1.00
503.906250	-1.11	0.80	0.99
506.835938	-1.10	0.95	1.00
509.765625	-1.08	1.09	1.00
512.695313	-1.06	1.15	1.00
515.625000	-1.04	1.16	1.00
518.554688	-1.03	1.17	1.00
521.484375	-1.03	1.20	1.00
524.414063	-1.02	1.28	1.00
527.343750	-1.01	1.33	1.00
530.273438	-1.01	1.37	1.00
533.203125	-0.99	1.38	1.00
536.132813	-0.98	1.37	1.00
539.062500	-0.96	1.33	1.00
541.992188	-0.95	1.27	1.00
544.921875	-0.93	1.17	1.00
547.851563	-0.92	1.02	1.00
550.781250	-0.91	0.85	1.00
553.710938	-0.90	0.67	1.00
556.640625	-0.90	0.52	1.00
559.570313	-0.89	0.41	1.00
562.500000	-0.89	0.32	1.00
565.429688	-0.88	0.26	1.00
568.359375	-0.88	0.21	1.00
571.289063	-0.87	0.15	1.00
574.218750	-0.86	0.04	1.00
577.148438	-0.86	-0.10	1.00
580.078125	-0.86	-0.26	1.00
583.007813	-0.86	-0.40	1.00
585.937500	-0.86	-0.53	1.00
588.867188	-0.88	-0.63	1.00
591.796875	-0.90	-0.65	1.00
594.726563	-0.91	-0.63	1.00
597.656250	-0.91	-0.59	1.00
600.585938	-0.90	-0.58	1.00
603.515625	-0.89	-0.57	1.00
606.445313	-0.87	-0.63	1.00
609.375000	-0.85	-0.73	1.00
612.304688	-0.83	-0.87	1.00
615.234375	-0.81	-1.00	1.00
618.164063	-0.78	-1.14	1.00
621.093750	-0.77	-1.28	1.00
624.023438	-0.76	-1.49	1.00
626.953125	-0.75	-1.65	1.00
629.882813	-0.74	-1.80	1.00
632.812500	-0.74	-1.90	1.00
635.742188	-0.74	-1.97	1.00
638.671875	-0.75	-2.01	1.00
641.601563	-0.77	-1.99	1.00
644.531250	-0.78	-1.98	1.00
647.460938	-0.79	-1.97	1.00
650.390625	-0.80	-1.98	1.00
653.320313	-0.81	-2.00	1.00
656.250000	-0.82	-2.05	1.00
659.179688	-0.82	-2.13	1.00
662.109375	-0.83	-2.19	1.00
665.039063	-0.84	-2.27	1.00
667.968750	-0.84	-2.33	1.00
670.898438	-0.84	-2.39	1.00
673.828125	-0.84	-2.43	1.00
676.757813	-0.84	-2.45	1.00
679.687500	-0.84	-2.45	1.00
682.617188	-0.84	-2.48	1.00
685.546875	-0.83	-2.54	1.00
688.476563	-0.83	-2.61	1.00
691.406250	-0.83	-2.65	1.00
694.335938	-0.84	-2.57	1.00
697.265625	-0.85	-2.46	1.00
700.195313	-0.87	-2.39	1.00
703.125000	-0.88	-2.33	1.00
706.054688	-0.90	-2.28	1.00
708.984375	-0.90	-2.26	1.00
711.914063	-0.90	-2.27	1.00
714.843750	-0.90	-2.26	1.00
717.773438	-0.92	-2.32	1.00
720.703125	-0.94	-2.42	1.00
723.632813	-0.97	-2.51	1.00
726.562500	-1.01	-2.58	1.00
729.492188	-1.04	-2.64	1.00
732.421875	-1.07	-2.70	1.00
735.351563	-1.10	-2.74	1.00
738.281250	-1.14	-2.75	1.00
741.210938	-1.17	-2.75	1.00
744.140625	-1.19	-2.70	1.00
747.070313	-1.19	-2.68	1.00
750.000000	-1.19	-2.70	1.00
752.929688	-1.18	-2.76	1.00
755.859375	-1.18	-2.84	1.00
758.789063	-1.18	-2.89	1.00
761.718750	-1.19	-2.92	1.00
764.648438	-1.19	-2.93	1.00
767.578125	-1.20	-2.92	1.00
770.507813	-1.20	-2.91	1.00
773.437500	-1.20	-2.91	1.00
776.367188	-1.21	-2.90	1.00
779.296875	-1.21	-2.86	1.00
782.226563	-1.21	-2.78	1.00
785.156250	-1.21	-2.70	1.00
788.085938	-1.20	-2.63	1.00
791.015625	-1.19	-2.58	1.00
793.945313	-1.19	-2.54	1.00
796.875000	-1.18	-2.51	1.00
799.804688	-1.17	-2.49	1.00
802.734375	-1.16	-2.50	1.00
805.664063	-1.15	-2.52	1.00
808.593750	-1.14	-2.54	1.00
811.523438	-1.13	-2.56	1.00
814.453125	-1.12	-2.59	1.00
817.382813	-1.11	-2.64	1.00
820.312500	-1.10	-2.71	1.00
823.242188	-1.10	-2.79	1.00
826.171875	-1.09	-2.87	1.00
829.101563	-1.08	-2.96	1.00
832.031250	-1.08	-3.06	1.00
834.960938	-1.07	-3.16	1.00
837.890625	-1.07	-3.29	1.00
840.820313	-1.08	-3.42	1.00
843.750000	-1.09	-3.54	1.00
846.679688	-1.12	-3.67	1.00
849.609375	-1.15	-3.80	1.00
852.539063	-1.18	-3.91	1.00
855.468750	-1.22	-3.95	1.00
858.398438	-1.26	-4.00	1.00
861.328125	-1.29	-4.03	1.00
864.257813	-1.33	-4.03	1.00
867.187500	-1.38	-4.02	0.99
870.117188	-1.41	-3.96	1.00
873.046875	-1.44	-3.87	0.99
875.976563	-1.46	-3.74	0.99
878.906250	-1.49	-3.55	0.99
881.835938	-1.53	-3.36	1.00
884.765625	-1.56	-3.11	0.99
887.695313	-1.59	-2.81	0.99
890.625000	-1.61	-2.49	0.98
893.554688	-1.61	-2.24	0.99
896.484375	-1.60	-2.04	1.00
899.414063	-1.58	-1.91	1.00
902.343750	-1.55	-1.83	1.00
905.273438	-1.53	-1.78	1.00
908.203125	-1.50	-1.75	1.00
911.132813	-1.48	-1.74	1.00
914.062500	-1.47	-1.72	1.00
916.992188	-1.45	-1.69	1.00
919.921875	-1.43	-1.70	1.00
922.851563	-1.40	-1.73	1.00
925.781250	-1.38	-1.78	1.00
928.710938	-1.36	-1.84	1.00
931.640625	-1.34	-1.91	1.00
934.570313	-1.32	-2.00	1.00
937.500000	-1.30	-2.11	1.00
940.429688	-1.28	-2.23	1.00
943.359375	-1.26	-2.37	1.00
946.289063	-1.24	-2.52	1.00
949.218750	-1.23	-2.68	1.00
952.148438	-1.22	-2.86	1.00
955.078125	-1.21	-3.05	1.00
958.007813	-1.22	-3.24	1.00
960.937500	-1.23	-3.42	1.00
963.867188	-1.24	-3.59	1.00
966.796875	-1.25	-3.74	1.00
969.726563	-1.27	-3.82	1.00
972.656250	-1.30	-3.83	1.00
975.585938	-1.32	-3.76	1.00
978.515625	-1.33	-3.69	1.00
981.445313	-1.34	-3.63	1.00
984.375000	-1.35	-3.59	1.00
987.304688	-1.36	-3.56	1.00
990.234375	-1.36	-3.52	1.00
993.164063	-1.37	-3.49	1.00
