	ECM8000_TF_0_30		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
515.625000	-0.97	2.51	1.00
518.554688	-0.96	2.51	1.00
521.484375	-0.95	2.50	1.00
524.414063	-0.93	2.50	1.00
527.343750	-0.92	2.54	1.00
530.273438	-0.91	2.59	1.00
533.203125	-0.89	2.63	1.00
536.132813	-0.87	2.62	1.00
539.062500	-0.85	2.56	1.00
541.992188	-0.83	2.48	1.00
544.921875	-0.82	2.41	1.00
547.851563	-0.80	2.31	1.00
550.781250	-0.79	2.21	1.00
553.710938	-0.79	2.09	1.00
556.640625	-0.78	1.95	1.00
559.570313	-0.79	1.84	1.00
562.500000	-0.79	1.75	1.00
565.429688	-0.80	1.66	1.00
568.359375	-0.80	1.56	1.00
571.289063	-0.80	1.46	1.00
574.218750	-0.81	1.37	1.00
577.148438	-0.82	1.28	1.00
580.078125	-0.83	1.24	1.00
583.007813	-0.84	1.21	1.00
585.937500	-0.85	1.20	1.00
588.867188	-0.85	1.23	1.00
591.796875	-0.85	1.23	1.00
594.726563	-0.84	1.21	1.00
597.656250	-0.83	1.21	1.00
600.585938	-0.82	1.18	1.00
603.515625	-0.82	1.14	1.00
606.445313	-0.81	1.08	1.00
609.375000	-0.81	1.00	1.00
612.304688	-0.80	0.92	1.00
615.234375	-0.80	0.84	1.00
618.164063	-0.80	0.78	1.00
621.093750	-0.80	0.71	1.00
624.023438	-0.80	0.59	1.00
626.953125	-0.80	0.41	1.00
629.882813	-0.80	0.31	1.00
632.812500	-0.81	0.25	1.00
635.742188	-0.83	0.21	1.00
638.671875	-0.85	0.21	1.00
641.601563	-0.87	0.23	1.00
644.531250	-0.89	0.26	1.00
647.460938	-0.90	0.24	1.00
650.390625	-0.91	0.24	1.00
653.320313	-0.92	0.24	1.00
656.250000	-0.92	0.23	1.00
659.179688	-0.93	0.19	1.00
662.109375	-0.94	0.13	1.00
665.039063	-0.95	0.09	1.00
667.968750	-0.96	0.06	1.00
670.898438	-0.97	0.04	1.00
673.828125	-0.98	-0.02	1.00
676.757813	-0.99	-0.04	1.00
679.687500	-0.99	-0.04	1.00
682.617188	-1.00	-0.03	1.00
685.546875	-1.01	-0.02	1.00
688.476563	-1.02	-0.03	1.00
691.406250	-1.02	-0.00	1.00
694.335938	-1.03	0.03	1.00
697.265625	-1.03	0.09	1.00
700.195313	-1.04	0.16	1.00
703.125000	-1.04	0.23	1.00
706.054688	-1.03	0.31	1.00
708.984375	-1.03	0.36	1.00
711.914063	-1.02	0.39	1.00
714.843750	-1.01	0.38	1.00
717.773438	-1.01	0.33	1.00
720.703125	-1.01	0.28	1.00
723.632813	-1.01	0.23	1.00
726.562500	-1.01	0.20	1.00
729.492188	-1.02	0.16	1.00
732.421875	-1.02	0.13	1.00
735.351563	-1.03	0.11	1.00
738.281250	-1.04	0.11	1.00
741.210938	-1.04	0.16	1.00
744.140625	-1.04	0.25	1.00
747.070313	-1.04	0.35	1.00
750.000000	-1.03	0.41	1.00
752.929688	-1.03	0.43	1.00
755.859375	-1.03	0.43	1.00
758.789063	-1.03	0.43	1.00
761.718750	-1.03	0.44	1.00
764.648438	-1.03	0.47	1.00
767.578125	-1.03	0.49	1.00
770.507813	-1.03	0.51	1.00
773.437500	-1.03	0.52	1.00
776.367188	-1.03	0.53	1.00
779.296875	-1.03	0.53	1.00
782.226563	-1.02	0.57	1.00
785.156250	-1.00	0.58	1.00
788.085938	-0.99	0.57	1.00
791.015625	-0.97	0.53	1.00
793.945313	-0.95	0.46	1.00
796.875000	-0.93	0.35	1.00
799.804688	-0.92	0.23	1.00
802.734375	-0.91	0.13	1.00
805.664063	-0.91	0.04	1.00
808.593750	-0.90	-0.04	1.00
811.523438	-0.90	-0.13	1.00
814.453125	-0.90	-0.23	1.00
817.382813	-0.89	-0.34	1.00
820.312500	-0.89	-0.45	1.00
823.242188	-0.89	-0.57	1.00
826.171875	-0.89	-0.67	1.00
829.101563	-0.89	-0.79	1.00
832.031250	-0.89	-0.93	1.00
834.960938	-0.90	-1.09	1.00
837.890625	-0.90	-1.23	1.00
840.820313	-0.92	-1.38	1.00
843.750000	-0.93	-1.54	1.00
846.679688	-0.95	-1.70	1.00
849.609375	-0.97	-1.87	1.00
852.539063	-1.00	-2.02	1.00
855.468750	-1.03	-2.12	1.00
858.398438	-1.06	-2.18	1.00
861.328125	-1.10	-2.20	1.00
864.257813	-1.14	-2.21	1.00
867.187500	-1.18	-2.18	1.00
870.117188	-1.22	-2.11	1.00
873.046875	-1.26	-1.98	1.00
875.976563	-1.30	-1.82	1.00
878.906250	-1.33	-1.61	1.00
881.835938	-1.36	-1.36	1.00
884.765625	-1.38	-1.09	1.00
887.695313	-1.40	-0.78	1.00
890.625000	-1.40	-0.49	1.00
893.554688	-1.41	-0.24	1.00
896.484375	-1.40	-0.03	1.00
899.414063	-1.39	0.15	1.00
902.343750	-1.37	0.29	1.00
905.273438	-1.36	0.39	1.00
908.203125	-1.34	0.47	1.00
911.132813	-1.32	0.54	1.00
914.062500	-1.31	0.60	1.00
916.992188	-1.29	0.67	1.00
919.921875	-1.27	0.73	1.00
922.851563	-1.25	0.75	1.00
925.781250	-1.24	0.77	1.00
928.710938	-1.22	0.78	1.00
931.640625	-1.21	0.77	1.00
934.570313	-1.19	0.76	1.00
937.500000	-1.18	0.73	1.00
940.429688	-1.16	0.69	1.00
943.359375	-1.15	0.63	1.00
946.289063	-1.14	0.57	1.00
949.218750	-1.13	0.50	1.00
952.148438	-1.12	0.43	1.00
955.078125	-1.12	0.35	1.00
958.007813	-1.12	0.27	1.00
960.937500	-1.12	0.20	1.00
963.867188	-1.12	0.13	1.00
966.796875	-1.13	0.07	1.00
969.726563	-1.13	0.03	1.00
972.656250	-1.14	-0.00	1.00
975.585938	-1.14	-0.01	1.00
978.515625	-1.15	-0.01	1.00
981.445313	-1.15	0.00	1.00
984.375000	-1.15	0.02	1.00
987.304688	-1.15	0.02	1.00
990.234375	-1.15	0.03	1.00
993.164063	-1.15	0.04	1.00
996.093750	-1.16	0.04	1.00
999.023438	-1.16	0.04	1.00
1001.953125	-1.16	0.05	1.00
1004.882813	-1.17	0.09	1.00
1007.812500	-1.17	0.13	1.00
1010.742188	-1.17	0.18	1.00
1013.671875	-1.17	0.24	1.00
1016.601563	-1.17	0.31	1.00
1019.531250	-1.16	0.36	1.00
1022.460938	-1.15	0.39	1.00
1025.390625	-1.14	0.40	1.00
1028.320313	-1.13	0.40	1.00
1031.250000	-1.12	0.38	1.00
1034.179688	-1.12	0.36	1.00
1037.109375	-1.11	0.33	1.00
1040.039063	-1.10	0.30	1.00
1042.968750	-1.09	0.26	1.00
1045.898438	-1.09	0.22	1.00
1048.828125	-1.08	0.17	1.00
1051.757813	-1.07	0.13	1.00
1054.687500	-1.07	0.09	1.00
1057.617188	-1.07	0.05	1.00
1060.546875	-1.06	0.01	1.00
1063.476563	-1.06	-0.02	1.00
1066.406250	-1.06	-0.05	1.00
1069.335938	-1.06	-0.08	1.00
1072.265625	-1.06	-0.11	1.00
1075.195313	-1.06	-0.15	1.00
1078.125000	-1.05	-0.20	1.00
1081.054688	-1.06	-0.25	1.00
1083.984375	-1.06	-0.29	1.00
1086.914063	-1.06	-0.32	1.00
1089.843750	-1.07	-0.34	1.00
1092.773438	-1.08	-0.35	1.00
1095.703125	-1.08	-0.34	1.00
1098.632813	-1.09	-0.35	1.00
1101.562500	-1.10	-0.36	1.00
1104.492188	-1.11	-0.37	1.00
1107.421875	-1.12	-0.38	1.00
1110.351563	-1.12	-0.40	1.00
1113.281250	-1.13	-0.39	1.00
1116.210938	-1.14	-0.36	1.00
1119.140625	-1.14	-0.36	1.00
1122.070313	-1.15	-0.37	1.00
1125.000000	-1.16	-0.40	1.00
1127.929688	-1.17	-0.44	1.00
1130.859375	-1.18	-0.48	1.00
1133.789063	-1.19	-0.51	1.00
1136.718750	-1.20	-0.53	1.00
1139.648438	-1.22	-0.53	1.00
1142.578125	-1.24	-0.50	1.00
1145.507813	-1.25	-0.47	1.00
1148.437500	-1.25	-0.41	1.00
1151.367188	-1.26	-0.36	1.00
1154.296875	-1.26	-0.31	1.00
1157.226563	-1.26	-0.27	1.00
1160.156250	-1.27	-0.23	1.00
1163.085938	-1.27	-0.19	1.00
1166.015625	-1.27	-0.15	1.00
1168.945313	-1.27	-0.11	1.00
1171.875000	-1.27	-0.08	1.00
1174.804688	-1.27	-0.03	1.00
1177.734375	-1.27	0.01	1.00
1180.664063	-1.27	0.06	1.00
1183.593750	-1.27	0.11	1.00
1186.523438	-1.27	0.15	1.00
1189.453125	-1.27	0.19	1.00
1192.382813	-1.27	0.23	1.00
1195.312500	-1.26	0.27	1.00
1198.242188	-1.26	0.31	1.00
1201.171875	-1.26	0.35	1.00
1204.101563	-1.25	0.38	1.00
1207.031250	-1.25	0.40	1.00
1209.960938	-1.24	0.41	1.00
1212.890625	-1.23	0.41	1.00
1215.820313	-1.22	0.41	1.00
1218.750000	-1.21	0.38	1.00
1221.679688	-1.20	0.34	1.00
1224.609375	-1.19	0.28	1.00
1227.539063	-1.19	0.21	1.00
1230.468750	-1.19	0.15	1.00
1233.398438	-1.19	0.10	1.00
1236.328125	-1.18	0.06	1.00
1239.257813	-1.18	0.02	1.00
1242.187500	-1.18	-0.03	1.00
1245.117188	-1.18	-0.09	1.00
1248.046875	-1.18	-0.14	1.00
1250.976563	-1.18	-0.17	1.00
1253.906250	-1.18	-0.20	1.00
1256.835938	-1.18	-0.22	1.00
1259.765625	-1.18	-0.24	1.00
1262.695313	-1.18	-0.28	1.00
1265.625000	-1.18	-0.31	1.00
1268.554688	-1.18	-0.36	1.00
1271.484375	-1.18	-0.39	1.00
1274.414063	-1.19	-0.43	1.00
1277.343750	-1.19	-0.46	1.00
1280.273438	-1.20	-0.49	1.00
1283.203125	-1.21	-0.50	1.00
1286.132813	-1.21	-0.52	1.00
1289.062500	-1.22	-0.53	1.00
1291.992188	-1.23	-0.54	1.00
1294.921875	-1.23	-0.56	1.00
1297.851563	-1.24	-0.59	1.00
1300.781250	-1.24	-0.62	1.00
1303.710938	-1.25	-0.63	1.00
1306.640625	-1.26	-0.62	1.00
1309.570313	-1.27	-0.59	1.00
1312.500000	-1.27	-0.56	1.00
