	ECM8000_TF_0_90		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-25.69	-167.25	0.95
5.859375	-20.89	168.45	0.90
8.789063	-15.82	149.48	0.90
11.718750	-8.23	118.92	0.95
14.648438	-7.60	105.28	0.99
17.578125	-7.11	103.63	0.99
20.507813	-5.49	89.87	0.99
23.437500	-3.63	77.79	0.99
26.367188	-3.15	74.24	0.99
29.296875	-2.25	65.47	0.98
32.226563	-2.98	58.06	0.99
35.156250	-2.46	55.90	1.00
38.085938	-1.66	53.16	1.00
41.015625	-1.72	50.73	0.99
43.945313	-1.62	44.92	1.00
46.875000	-1.23	42.19	1.00
49.804688	-1.27	39.07	1.00
52.734375	-1.30	37.18	1.00
55.664063	-1.28	35.46	1.00
58.593750	-1.22	32.78	1.00
61.523438	-1.23	30.57	1.00
64.453125	-1.11	29.80	1.00
67.382813	-1.16	28.54	1.00
70.312500	-1.17	26.59	1.00
73.242188	-1.10	26.19	1.00
76.171875	-1.04	24.78	1.00
79.101563	-0.99	24.21	1.00
82.031250	-0.98	22.75	1.00
84.960938	-0.96	22.36	1.00
87.890625	-0.86	20.78	1.00
90.820313	-1.10	20.75	1.00
93.750000	-1.01	19.82	1.00
96.679688	-0.92	19.03	1.00
99.609375	-0.86	18.61	1.00
102.539063	-0.89	18.64	1.00
105.468750	-0.88	18.48	1.00
108.398438	-0.85	16.80	1.00
111.328125	-0.84	16.91	1.00
114.257813	-0.78	16.10	1.00
117.187500	-0.76	15.46	1.00
120.117188	-0.81	15.27	1.00
123.046875	-0.76	14.92	1.00
125.976563	-0.74	14.34	1.00
128.906250	-0.75	13.94	1.00
131.835938	-0.70	13.50	1.00
134.765625	-0.76	13.29	1.00
137.695313	-0.75	12.87	1.00
140.625000	-0.73	12.50	1.00
143.554688	-0.71	11.87	1.00
146.484375	-0.70	11.24	1.00
149.414063	-0.69	11.18	1.00
152.343750	-0.69	10.94	1.00
155.273438	-0.72	10.68	1.00
158.203125	-0.77	10.40	1.00
161.132813	-0.74	10.48	1.00
164.062500	-0.70	10.49	1.00
166.992188	-0.66	10.11	1.00
169.921875	-0.63	9.40	1.00
172.851563	-0.67	8.69	1.00
175.781250	-0.69	8.26	1.00
178.710938	-0.73	8.00	1.00
181.640625	-0.73	7.87	1.00
184.570313	-0.72	7.89	1.00
187.500000	-0.69	7.68	1.00
190.429688	-0.68	7.42	1.00
193.359375	-0.71	7.05	1.00
196.289063	-0.74	6.72	1.00
199.218750	-0.78	6.43	1.00
202.148438	-0.81	6.20	1.00
205.078125	-0.84	5.98	1.00
208.007813	-0.89	5.85	1.00
210.937500	-0.94	6.03	1.00
213.867188	-0.95	6.27	1.00
216.796875	-0.93	6.30	1.00
219.726563	-0.91	6.18	1.00
222.656250	-0.90	6.00	1.00
225.585938	-0.90	5.87	1.00
228.515625	-0.89	5.74	1.00
231.445313	-0.88	5.69	1.00
234.375000	-0.87	5.63	1.00
237.304688	-0.85	5.44	1.00
240.234375	-0.84	5.24	1.00
243.164063	-0.84	5.07	1.00
246.093750	-0.84	4.97	1.00
249.023438	-0.84	4.93	1.00
251.953125	-0.84	4.83	1.00
254.882813	-0.84	4.72	1.00
