	ECM8000_TF_0_165		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-27.92	-164.95	0.73
5.859375	-21.11	155.46	0.73
8.789063	-13.51	142.24	0.92
11.718750	-10.83	129.98	0.94
14.648438	-7.13	101.83	0.98
17.578125	-5.89	98.63	0.99
20.507813	-5.09	100.95	0.98
23.437500	-3.94	79.30	0.98
26.367188	-2.92	67.01	0.98
29.296875	-2.53	62.75	0.99
32.226563	-2.39	55.61	0.99
35.156250	-2.01	51.52	0.99
38.085938	-1.86	48.31	1.00
41.015625	-1.81	48.41	0.99
43.945313	-1.65	40.90	1.00
46.875000	-1.41	41.74	1.00
49.804688	-1.26	37.15	1.00
52.734375	-1.28	37.01	1.00
55.664063	-1.56	34.95	1.00
58.593750	-1.25	33.05	1.00
61.523438	-1.00	32.54	1.00
64.453125	-1.05	32.60	1.00
67.382813	-1.16	27.78	1.00
70.312500	-1.27	27.45	1.00
73.242188	-1.10	25.30	1.00
76.171875	-1.11	25.42	1.00
79.101563	-0.88	23.74	1.00
82.031250	-0.98	22.72	1.00
84.960938	-0.90	22.09	1.00
87.890625	-0.79	20.92	1.00
90.820313	-0.92	19.01	1.00
93.750000	-1.20	18.53	1.00
96.679688	-1.16	18.83	1.00
99.609375	-0.99	18.77	1.00
102.539063	-0.97	18.27	1.00
105.468750	-0.92	17.58	1.00
108.398438	-0.93	17.13	1.00
111.328125	-0.87	16.83	1.00
114.257813	-0.85	15.29	1.00
117.187500	-0.89	15.08	1.00
120.117188	-0.91	14.72	1.00
123.046875	-0.90	14.41	1.00
125.976563	-0.87	13.93	1.00
128.906250	-0.85	13.63	1.00
131.835938	-0.83	13.55	1.00
134.765625	-0.86	13.01	1.00
137.695313	-0.82	12.69	1.00
140.625000	-0.77	12.31	1.00
143.554688	-0.78	11.77	1.00
146.484375	-0.76	11.32	1.00
149.414063	-0.72	10.93	1.00
152.343750	-0.66	10.32	1.00
155.273438	-0.66	9.58	1.00
158.203125	-0.77	9.26	1.00
161.132813	-0.82	9.77	1.00
164.062500	-0.79	9.95	1.00
166.992188	-0.71	9.46	1.00
169.921875	-0.67	8.86	1.00
172.851563	-0.69	8.34	1.00
175.781250	-0.79	7.58	1.00
178.710938	-0.85	7.47	1.00
181.640625	-0.90	7.81	1.00
184.570313	-0.84	7.69	1.00
187.500000	-0.76	7.26	1.00
190.429688	-0.74	6.99	1.00
193.359375	-0.75	6.62	1.00
196.289063	-0.77	6.32	1.00
199.218750	-0.80	5.95	1.00
202.148438	-0.84	5.60	1.00
205.078125	-0.90	5.17	1.00
208.007813	-0.97	4.87	1.00
210.937500	-1.04	4.97	1.00
213.867188	-1.06	5.24	1.00
216.796875	-1.01	5.27	1.00
219.726563	-0.97	5.29	1.00
222.656250	-0.94	5.15	1.00
225.585938	-0.93	5.09	1.00
228.515625	-0.94	5.01	1.00
231.445313	-0.96	4.97	1.00
234.375000	-0.94	4.88	1.00
237.304688	-0.91	4.79	1.00
240.234375	-0.90	4.58	1.00
243.164063	-0.89	4.38	1.00
246.093750	-0.89	4.15	1.00
249.023438	-0.89	3.94	1.00
251.953125	-0.89	3.74	1.00
254.882813	-0.88	3.56	1.00
257.812500	-0.90	3.46	1.00
260.742188	-0.92	3.40	1.00
263.671875	-0.93	3.37	1.00
266.601563	-0.92	3.37	1.00
269.531250	-0.91	3.37	1.00
272.460938	-0.89	3.31	1.00
275.390625	-0.87	3.18	1.00
278.320313	-0.85	3.00	1.00
281.250000	-0.84	2.77	1.00
284.179688	-0.82	2.59	1.00
287.109375	-0.80	2.37	1.00
290.039063	-0.78	2.10	1.00
292.968750	-0.78	1.84	1.00
295.898438	-0.79	1.66	1.00
298.828125	-0.82	1.49	1.00
301.757813	-0.84	1.25	1.00
304.687500	-0.86	1.17	1.00
307.617188	-0.88	1.26	1.00
310.546875	-0.89	1.23	1.00
313.476563	-0.90	1.09	1.00
316.406250	-0.93	0.99	1.00
319.335938	-0.95	1.01	1.00
322.265625	-0.95	1.04	1.00
325.195313	-0.95	1.04	1.00
328.125000	-0.95	0.97	1.00
331.054688	-0.92	0.81	1.00
333.984375	-0.89	0.52	1.00
336.914063	-0.89	0.15	1.00
339.843750	-0.90	-0.25	1.00
342.773438	-0.93	-0.47	1.00
345.703125	-0.97	-0.56	1.00
348.632813	-1.03	-0.54	1.00
351.562500	-1.05	-0.46	1.00
354.492188	-1.06	-0.39	1.00
357.421875	-1.06	-0.40	1.00
360.351563	-1.06	-0.39	1.00
363.281250	-1.05	-0.41	1.00
366.210938	-1.04	-0.46	1.00
369.140625	-1.05	-0.53	1.00
372.070313	-1.07	-0.55	1.00
375.000000	-1.10	-0.46	1.00
377.929688	-1.11	-0.34	1.00
380.859375	-1.11	-0.20	1.00
383.789063	-1.10	-0.16	1.00
386.718750	-1.08	-0.15	1.00
389.648438	-1.07	-0.14	1.00
392.578125	-1.06	-0.18	1.00
395.507813	-1.05	-0.24	1.00
398.437500	-1.03	-0.30	1.00
