	ECM8000_TF_0_45		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-29.14	-176.30	0.83
5.859375	-20.58	170.97	0.86
8.789063	-15.54	151.06	0.85
11.718750	-9.79	117.21	0.97
14.648438	-5.87	101.31	0.98
17.578125	-5.91	100.96	1.00
20.507813	-5.52	97.32	0.99
23.437500	-3.94	74.00	0.98
26.367188	-4.14	73.36	0.99
29.296875	-2.36	66.80	0.99
32.226563	-1.96	58.07	0.99
35.156250	-1.82	53.70	1.00
38.085938	-1.86	49.82	1.00
41.015625	-2.03	45.31	1.00
43.945313	-1.44	43.98	0.99
46.875000	-1.56	41.57	1.00
49.804688	-1.18	37.03	1.00
52.734375	-1.19	36.71	1.00
55.664063	-1.25	34.62	1.00
58.593750	-1.14	32.52	1.00
61.523438	-1.11	32.82	1.00
64.453125	-1.11	31.41	1.00
67.382813	-1.08	28.72	1.00
70.312500	-0.95	28.05	1.00
73.242188	-0.95	27.55	1.00
76.171875	-0.86	25.13	1.00
79.101563	-0.79	24.24	1.00
82.031250	-0.82	23.03	1.00
84.960938	-0.80	22.72	1.00
87.890625	-0.78	21.45	1.00
90.820313	-0.76	21.60	1.00
93.750000	-0.86	19.90	1.00
96.679688	-0.77	19.83	1.00
99.609375	-0.76	19.98	1.00
102.539063	-0.69	18.96	1.00
105.468750	-0.70	18.11	1.00
108.398438	-0.68	17.93	1.00
111.328125	-0.66	16.72	1.00
114.257813	-0.69	16.42	1.00
117.187500	-0.69	15.80	1.00
120.117188	-0.67	15.60	1.00
123.046875	-0.67	15.14	1.00
125.976563	-0.66	14.74	1.00
128.906250	-0.61	14.26	1.00
131.835938	-0.58	13.82	1.00
134.765625	-0.61	13.57	1.00
137.695313	-0.65	13.27	1.00
140.625000	-0.63	12.95	1.00
143.554688	-0.62	12.69	1.00
146.484375	-0.60	12.45	1.00
149.414063	-0.60	11.88	1.00
152.343750	-0.62	11.56	1.00
155.273438	-0.64	11.03	1.00
158.203125	-0.65	10.92	1.00
161.132813	-0.67	10.81	1.00
164.062500	-0.63	10.70	1.00
166.992188	-0.59	10.31	1.00
169.921875	-0.57	9.85	1.00
172.851563	-0.58	9.36	1.00
175.781250	-0.59	9.03	1.00
178.710938	-0.62	8.87	1.00
181.640625	-0.61	8.72	1.00
184.570313	-0.60	8.53	1.00
187.500000	-0.60	8.22	1.00
190.429688	-0.59	7.86	1.00
193.359375	-0.63	7.49	1.00
196.289063	-0.68	7.35	1.00
199.218750	-0.71	7.34	1.00
202.148438	-0.70	7.20	1.00
205.078125	-0.70	6.96	1.00
208.007813	-0.73	6.81	1.00
210.937500	-0.77	6.79	1.00
213.867188	-0.78	7.01	1.00
216.796875	-0.76	7.02	1.00
219.726563	-0.74	6.85	1.00
222.656250	-0.73	6.68	1.00
225.585938	-0.73	6.45	1.00
228.515625	-0.74	6.19	1.00
231.445313	-0.74	6.19	1.00
234.375000	-0.73	6.20	1.00
237.304688	-0.72	6.12	1.00
240.234375	-0.72	6.00	1.00
243.164063	-0.72	5.84	1.00
246.093750	-0.73	5.76	1.00
249.023438	-0.73	5.67	1.00
251.953125	-0.72	5.56	1.00
254.882813	-0.72	5.45	1.00
257.812500	-0.71	5.35	1.00
260.742188	-0.71	5.20	1.00
263.671875	-0.72	5.06	1.00
266.601563	-0.74	4.92	1.00
269.531250	-0.76	4.82	1.00
272.460938	-0.78	4.73	1.00
275.390625	-0.79	4.69	1.00
278.320313	-0.80	4.67	1.00
281.250000	-0.81	4.57	1.00
284.179688	-0.80	4.49	1.00
287.109375	-0.79	4.38	1.00
290.039063	-0.78	4.31	1.00
292.968750	-0.76	4.20	1.00
295.898438	-0.77	3.98	1.00
298.828125	-0.80	3.86	1.00
301.757813	-0.82	3.91	1.00
304.687500	-0.83	4.06	1.00
307.617188	-0.84	4.16	1.00
310.546875	-0.82	4.19	1.00
313.476563	-0.81	4.17	1.00
316.406250	-0.80	4.19	1.00
319.335938	-0.79	4.23	1.00
322.265625	-0.77	4.29	1.00
325.195313	-0.73	4.27	1.00
328.125000	-0.69	4.15	1.00
