	ECM8000_TF_0_120		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-25.01	-175.80	0.91
5.859375	-21.09	176.87	0.92
8.789063	-14.97	142.60	0.86
11.718750	-9.18	122.76	0.95
14.648438	-6.36	101.04	0.98
17.578125	-5.86	97.98	0.99
20.507813	-5.69	90.26	0.97
23.437500	-4.08	74.12	0.98
26.367188	-3.20	75.55	0.98
29.296875	-2.64	68.99	0.99
32.226563	-2.34	58.90	0.99
35.156250	-2.04	54.49	0.99
38.085938	-1.69	45.30	0.99
41.015625	-1.34	44.40	1.00
43.945313	-1.19	40.59	1.00
46.875000	-1.20	40.40	1.00
49.804688	-1.19	38.97	1.00
52.734375	-1.06	35.90	1.00
55.664063	-1.24	34.26	1.00
58.593750	-1.29	33.74	1.00
61.523438	-1.03	30.44	1.00
64.453125	-1.02	30.45	1.00
67.382813	-1.13	29.51	1.00
70.312500	-1.20	26.09	1.00
73.242188	-1.13	25.03	1.00
76.171875	-1.13	23.45	1.00
79.101563	-1.00	23.11	1.00
82.031250	-0.95	21.74	1.00
84.960938	-0.92	21.83	1.00
87.890625	-0.77	21.46	1.00
90.820313	-0.90	19.71	1.00
93.750000	-1.21	18.12	1.00
96.679688	-1.08	18.45	1.00
99.609375	-0.92	18.24	1.00
102.539063	-0.94	17.39	1.00
105.468750	-0.77	17.40	1.00
108.398438	-0.76	15.98	1.00
111.328125	-0.83	16.27	1.00
114.257813	-0.88	15.17	1.00
117.187500	-0.82	14.67	1.00
120.117188	-0.87	13.92	1.00
123.046875	-0.78	13.87	1.00
125.976563	-0.73	13.52	1.00
128.906250	-0.75	13.07	1.00
131.835938	-0.74	12.65	1.00
134.765625	-0.71	12.23	1.00
137.695313	-0.73	12.01	1.00
140.625000	-0.69	11.67	1.00
143.554688	-0.65	10.92	1.00
146.484375	-0.63	10.71	1.00
149.414063	-0.62	10.41	1.00
152.343750	-0.59	10.06	1.00
155.273438	-0.61	9.42	1.00
158.203125	-0.72	9.61	1.00
