	ECM8000_TF_0_60		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-24.16	-159.58	0.92
5.859375	-18.59	174.33	0.90
8.789063	-16.10	150.92	0.92
11.718750	-12.06	119.01	0.95
14.648438	-7.06	100.66	0.97
17.578125	-6.17	101.75	0.99
20.507813	-4.89	86.93	0.98
23.437500	-4.01	79.05	0.99
26.367188	-4.02	76.02	0.99
29.296875	-2.95	67.16	0.99
32.226563	-2.38	57.68	0.99
35.156250	-1.95	53.63	0.99
38.085938	-2.13	47.94	0.99
41.015625	-1.71	47.31	0.99
43.945313	-1.37	45.66	0.99
46.875000	-1.39	41.81	1.00
49.804688	-1.57	39.52	1.00
52.734375	-1.36	37.71	1.00
55.664063	-1.26	34.88	1.00
58.593750	-1.21	33.54	1.00
61.523438	-1.39	31.78	1.00
64.453125	-1.08	29.25	1.00
67.382813	-1.11	29.25	1.00
70.312500	-0.98	26.73	1.00
73.242188	-1.06	25.71	1.00
76.171875	-1.03	25.59	1.00
79.101563	-0.85	23.64	1.00
82.031250	-0.92	22.79	1.00
84.960938	-0.91	22.76	1.00
87.890625	-0.81	20.96	1.00
90.820313	-0.85	20.38	1.00
93.750000	-1.02	18.76	1.00
96.679688	-0.98	18.81	1.00
99.609375	-0.94	18.91	1.00
102.539063	-0.97	19.24	1.00
105.468750	-0.84	18.27	1.00
108.398438	-0.85	17.41	1.00
111.328125	-0.87	16.62	1.00
114.257813	-0.79	16.57	1.00
117.187500	-0.78	16.01	1.00
120.117188	-0.72	15.30	1.00
123.046875	-0.72	15.01	1.00
125.976563	-0.68	14.53	1.00
128.906250	-0.66	13.98	1.00
131.835938	-0.68	13.61	1.00
134.765625	-0.71	13.10	1.00
137.695313	-0.75	12.73	1.00
140.625000	-0.72	12.39	1.00
143.554688	-0.70	12.13	1.00
146.484375	-0.69	11.78	1.00
149.414063	-0.69	11.32	1.00
152.343750	-0.68	11.09	1.00
155.273438	-0.69	10.76	1.00
158.203125	-0.74	10.38	1.00
161.132813	-0.70	10.61	1.00
164.062500	-0.67	10.54	1.00
166.992188	-0.64	10.18	1.00
169.921875	-0.63	9.63	1.00
172.851563	-0.64	9.00	1.00
175.781250	-0.68	8.59	1.00
178.710938	-0.70	8.43	1.00
181.640625	-0.72	8.36	1.00
184.570313	-0.72	8.19	1.00
187.500000	-0.70	7.91	1.00
190.429688	-0.68	7.59	1.00
193.359375	-0.68	6.99	1.00
196.289063	-0.71	6.87	1.00
199.218750	-0.74	6.69	1.00
202.148438	-0.77	6.40	1.00
205.078125	-0.82	5.98	1.00
208.007813	-0.89	5.85	1.00
210.937500	-0.93	6.09	1.00
213.867188	-0.92	6.37	1.00
216.796875	-0.91	6.57	1.00
219.726563	-0.90	6.59	1.00
222.656250	-0.89	6.42	1.00
225.585938	-0.87	6.28	1.00
228.515625	-0.87	6.21	1.00
231.445313	-0.86	6.12	1.00
234.375000	-0.84	6.05	1.00
237.304688	-0.83	5.89	1.00
240.234375	-0.81	5.70	1.00
243.164063	-0.81	5.56	1.00
246.093750	-0.81	5.44	1.00
249.023438	-0.82	5.30	1.00
251.953125	-0.82	5.15	1.00
254.882813	-0.83	5.04	1.00
257.812500	-0.83	4.94	1.00
260.742188	-0.84	4.88	1.00
263.671875	-0.84	4.78	1.00
266.601563	-0.85	4.63	1.00
269.531250	-0.85	4.47	1.00
272.460938	-0.85	4.35	1.00
275.390625	-0.84	4.26	1.00
278.320313	-0.84	4.17	1.00
281.250000	-0.83	4.08	1.00
284.179688	-0.81	4.00	1.00
287.109375	-0.80	3.84	1.00
290.039063	-0.78	3.60	1.00
292.968750	-0.78	3.32	1.00
295.898438	-0.79	3.12	1.00
298.828125	-0.81	2.97	1.00
301.757813	-0.84	2.94	1.00
304.687500	-0.86	2.96	1.00
307.617188	-0.87	3.00	1.00
310.546875	-0.87	3.00	1.00
313.476563	-0.88	2.95	1.00
316.406250	-0.89	2.92	1.00
319.335938	-0.90	2.93	1.00
322.265625	-0.91	2.96	1.00
325.195313	-0.90	2.97	1.00
328.125000	-0.88	2.91	1.00
331.054688	-0.85	2.83	1.00
333.984375	-0.83	2.70	1.00
336.914063	-0.81	2.47	1.00
339.843750	-0.81	2.21	1.00
342.773438	-0.82	2.00	1.00
345.703125	-0.84	1.89	1.00
348.632813	-0.88	1.91	1.00
351.562500	-0.90	1.96	1.00
354.492188	-0.91	1.98	1.00
357.421875	-0.89	1.99	1.00
360.351563	-0.87	1.96	1.00
363.281250	-0.86	1.89	1.00
366.210938	-0.86	1.78	1.00
369.140625	-0.85	1.69	1.00
372.070313	-0.85	1.61	1.00
375.000000	-0.86	1.52	1.00
377.929688	-0.88	1.55	1.00
380.859375	-0.88	1.66	1.00
383.789063	-0.90	1.80	1.00
386.718750	-0.90	1.80	1.00
389.648438	-0.88	1.80	1.00
392.578125	-0.86	1.77	1.00
395.507813	-0.84	1.72	1.00
398.437500	-0.82	1.66	1.00
401.367188	-0.81	1.62	1.00
404.296875	-0.81	1.49	1.00
407.226563	-0.79	1.36	1.00
410.156250	-0.77	1.32	1.00
413.085938	-0.76	1.23	1.00
416.015625	-0.75	1.07	1.00
418.945313	-0.74	0.84	1.00
421.875000	-0.75	0.59	1.00
424.804688	-0.76	0.31	1.00
427.734375	-0.77	-0.01	1.00
430.664063	-0.78	-0.25	1.00
433.593750	-0.80	-0.48	1.00
436.523438	-0.81	-0.63	1.00
439.453125	-0.83	-0.69	1.00
442.382813	-0.83	-0.77	1.00
445.312500	-0.83	-0.88	1.00
448.242188	-0.83	-1.01	1.00
451.171875	-0.85	-1.17	1.00
454.101563	-0.89	-1.31	1.00
457.031250	-0.91	-1.41	1.00
459.960938	-0.93	-1.52	1.00
462.890625	-0.96	-1.57	1.00
465.820313	-0.99	-1.57	1.00
468.750000	-1.03	-1.50	1.00
471.679688	-1.07	-1.42	1.00
474.609375	-1.09	-1.31	1.00
477.539063	-1.11	-1.18	1.00
480.468750	-1.12	-1.07	1.00
483.398438	-1.13	-1.00	1.00
486.328125	-1.13	-0.97	1.00
489.257813	-1.14	-0.98	1.00
492.187500	-1.16	-0.93	1.00
495.117188	-1.18	-0.85	1.00
498.046875	-1.19	-0.74	1.00
500.976563	-1.20	-0.57	1.00
503.906250	-1.21	-0.25	1.00
506.835938	-1.20	0.03	1.00
509.765625	-1.18	0.26	1.00
512.695313	-1.16	0.37	1.00
515.625000	-1.14	0.44	1.00
518.554688	-1.12	0.49	1.00
521.484375	-1.09	0.49	1.00
524.414063	-1.07	0.45	1.00
527.343750	-1.05	0.42	1.00
530.273438	-1.03	0.43	1.00
533.203125	-1.00	0.40	1.00
536.132813	-0.96	0.33	1.00
539.062500	-0.93	0.22	1.00
541.992188	-0.92	0.05	1.00
544.921875	-0.91	-0.10	1.00
547.851563	-0.90	-0.24	1.00
550.781250	-0.91	-0.33	1.00
553.710938	-0.91	-0.44	1.00
556.640625	-0.92	-0.56	1.00
559.570313	-0.93	-0.68	1.00
562.500000	-0.95	-0.83	1.00
565.429688	-0.97	-0.98	1.00
568.359375	-1.00	-1.19	1.00
571.289063	-1.02	-1.42	1.00
574.218750	-1.03	-1.67	0.99
577.148438	-1.05	-1.68	1.00
580.078125	-1.07	-1.61	1.00
583.007813	-1.08	-1.54	1.00
585.937500	-1.10	-1.44	1.00
588.867188	-1.12	-1.34	1.00
591.796875	-1.13	-1.20	1.00
594.726563	-1.10	-1.08	1.00
597.656250	-1.07	-0.95	1.00
600.585938	-1.06	-0.89	1.00
603.515625	-1.04	-0.87	1.00
606.445313	-1.01	-0.89	1.00
609.375000	-0.99	-0.94	1.00
612.304688	-0.97	-1.03	1.00
615.234375	-0.96	-1.10	1.00
618.164063	-0.94	-1.17	1.00
621.093750	-0.92	-1.26	1.00
624.023438	-0.90	-1.35	1.00
626.953125	-0.90	-1.44	1.00
629.882813	-0.89	-1.57	1.00
632.812500	-0.90	-1.64	1.00
635.742188	-0.91	-1.66	1.00
638.671875	-0.92	-1.63	0.99
641.601563	-0.93	-1.66	1.00
644.531250	-0.93	-1.76	1.00
647.460938	-0.93	-1.86	1.00
650.390625	-0.94	-1.97	1.00
653.320313	-0.94	-2.08	1.00
656.250000	-0.95	-2.21	1.00
659.179688	-0.96	-2.33	1.00
662.109375	-0.97	-2.43	1.00
665.039063	-0.98	-2.52	1.00
667.968750	-0.99	-2.60	1.00
