	SM57_TF_0_45		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-58.62	-164.64	0.66
5.859375	-50.87	168.74	0.83
8.789063	-41.96	149.30	0.59
11.718750	-39.41	156.97	0.59
14.648438	-29.77	160.81	0.96
17.578125	-29.43	160.23	0.99
20.507813	-29.48	160.67	0.95
23.437500	-31.38	138.71	0.88
26.367188	-30.93	137.23	0.81
29.296875	-19.45	139.22	0.93
32.226563	-20.08	139.75	0.91
35.156250	-22.12	146.72	0.97
38.085938	-22.99	148.52	0.95
41.015625	-22.01	147.98	0.86
43.945313	-17.35	116.38	0.96
46.875000	-17.04	109.62	0.97
49.804688	-14.60	120.54	0.96
52.734375	-14.99	126.63	0.99
55.664063	-12.85	121.81	0.98
58.593750	-11.97	108.76	0.99
61.523438	-12.02	114.79	0.94
64.453125	-11.06	109.50	0.94
67.382813	-9.61	99.51	0.98
70.312500	-8.37	98.67	0.99
73.242188	-7.51	102.17	0.99
76.171875	-7.64	95.52	0.99
79.101563	-7.61	92.80	0.99
82.031250	-6.17	85.47	0.99
84.960938	-6.47	87.81	1.00
87.890625	-7.69	95.78	0.99
90.820313	-3.67	88.01	0.97
93.750000	-3.14	71.15	0.99
96.679688	-4.20	61.00	1.00
99.609375	-4.70	60.80	1.00
102.539063	-5.44	61.71	1.00
105.468750	-5.26	71.22	0.99
108.398438	-4.79	72.00	0.99
111.328125	-3.05	60.61	0.99
114.257813	-3.66	56.49	1.00
117.187500	-3.68	54.59	1.00
120.117188	-3.36	51.73	1.00
123.046875	-3.35	50.46	1.00
125.976563	-3.18	48.38	1.00
128.906250	-3.30	43.11	1.00
131.835938	-3.96	40.13	1.00
134.765625	-4.27	40.62	1.00
137.695313	-4.37	41.54	1.00
140.625000	-4.36	42.85	1.00
143.554688	-4.35	43.45	1.00
146.484375	-4.11	43.83	1.00
149.414063	-3.98	45.74	0.99
152.343750	-3.73	47.89	0.99
155.273438	-3.43	47.50	0.98
158.203125	-3.33	41.17	0.94
161.132813	-3.64	35.16	0.98
164.062500	-3.71	29.31	0.99
166.992188	-3.99	33.53	0.99
169.921875	-3.81	36.82	0.98
172.851563	-3.45	36.10	0.99
175.781250	-3.36	32.11	0.98
178.710938	-3.83	28.67	0.99
181.640625	-3.98	25.40	0.99
184.570313	-4.32	26.11	0.99
187.500000	-4.56	26.60	1.00
190.429688	-4.76	26.92	0.99
193.359375	-4.90	28.31	0.97
196.289063	-4.49	29.15	0.98
199.218750	-4.01	27.82	0.99
202.148438	-3.62	27.94	0.99
205.078125	-3.30	27.01	0.98
208.007813	-3.05	24.69	0.98
210.937500	-3.35	16.21	0.97
213.867188	-3.78	13.02	0.98
216.796875	-4.23	15.10	0.98
219.726563	-4.68	16.88	0.98
222.656250	-4.75	18.46	0.97
225.585938	-4.58	20.08	0.97
228.515625	-4.44	21.19	0.99
231.445313	-4.54	20.70	0.98
234.375000	-4.62	20.21	0.99
237.304688	-4.82	20.56	0.99
240.234375	-4.94	20.68	0.99
243.164063	-4.99	21.45	0.98
246.093750	-4.81	21.30	0.98
249.023438	-4.49	21.41	0.99
251.953125	-4.08	21.89	0.99
254.882813	-3.81	21.78	1.00
257.812500	-3.71	20.70	1.00
260.742188	-3.75	19.52	1.00
263.671875	-3.73	18.49	1.00
266.601563	-3.85	17.81	1.00
269.531250	-4.03	17.42	1.00
272.460938	-4.15	17.92	1.00
