	SM57_TF_0_120		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-59.78	142.48	0.38
5.859375	-53.51	-166.91	0.49
8.789063	-41.00	171.88	0.63
11.718750	-38.05	126.35	0.65
14.648438	-35.02	-175.87	0.97
17.578125	-34.42	-173.59	0.98
20.507813	-33.97	174.32	0.88
23.437500	-26.26	171.18	0.90
26.367188	-27.07	167.11	0.90
29.296875	-32.84	-116.79	0.70
32.226563	-30.96	131.47	0.41
35.156250	-23.18	150.66	0.93
38.085938	-21.73	140.60	0.95
41.015625	-22.74	124.43	0.94
43.945313	-21.76	160.84	0.88
46.875000	-18.20	174.18	0.63
49.804688	-17.00	147.18	0.71
52.734375	-18.15	131.30	0.95
55.664063	-18.29	96.89	0.97
58.593750	-21.06	126.41	0.96
61.523438	-21.33	119.55	0.97
64.453125	-19.56	114.40	0.90
67.382813	-25.30	173.72	0.47
70.312500	-21.53	171.65	0.93
73.242188	-21.28	161.37	0.96
76.171875	-16.84	146.30	0.97
79.101563	-16.54	139.11	0.99
82.031250	-15.83	126.06	0.98
84.960938	-14.98	109.27	0.97
87.890625	-15.70	81.95	0.91
90.820313	-17.73	56.21	0.77
93.750000	-14.00	-172.80	0.76
96.679688	-13.65	164.47	0.96
99.609375	-12.75	158.22	0.99
102.539063	-11.75	140.71	0.98
105.468750	-12.45	116.56	0.99
108.398438	-13.23	118.81	0.99
111.328125	-11.69	119.09	0.98
114.257813	-11.78	115.96	0.99
117.187500	-13.36	110.60	0.99
120.117188	-12.86	105.01	0.99
123.046875	-12.09	102.03	1.00
125.976563	-11.95	96.51	1.00
128.906250	-11.20	91.66	0.99
131.835938	-10.66	81.75	0.99
134.765625	-11.56	78.66	0.99
137.695313	-12.23	76.89	0.99
140.625000	-12.57	72.78	0.99
143.554688	-12.81	70.56	0.99
146.484375	-13.11	63.67	0.98
149.414063	-12.84	53.46	0.98
152.343750	-12.70	52.09	0.96
155.273438	-12.68	70.55	0.64
158.203125	-11.26	94.58	0.57
161.132813	-9.71	87.52	0.95
164.062500	-9.57	72.25	0.98
166.992188	-9.69	63.79	0.97
169.921875	-10.44	56.53	0.98
172.851563	-11.57	50.07	0.97
175.781250	-12.75	51.34	0.95
178.710938	-13.26	61.00	0.94
181.640625	-12.88	64.91	0.99
184.570313	-11.87	61.36	0.98
187.500000	-11.39	57.21	0.98
190.429688	-11.51	48.97	0.99
193.359375	-12.25	40.96	0.99
196.289063	-12.89	34.68	1.00
199.218750	-13.62	30.24	1.00
202.148438	-14.58	27.47	0.97
205.078125	-16.00	30.52	0.86
208.007813	-17.27	45.25	0.57
210.937500	-15.81	60.48	0.81
213.867188	-14.55	62.28	0.98
216.796875	-14.08	58.40	0.98
219.726563	-13.87	52.67	0.98
222.656250	-14.07	51.51	0.97
225.585938	-14.28	52.59	0.95
228.515625	-13.58	58.32	0.86
231.445313	-12.81	60.66	0.97
234.375000	-12.33	56.13	0.98
237.304688	-12.23	49.06	0.99
240.234375	-12.58	41.13	0.98
243.164063	-13.23	33.62	0.97
246.093750	-14.14	31.89	0.97
249.023438	-14.86	31.52	0.98
251.953125	-15.40	34.55	0.96
254.882813	-15.60	41.99	0.95
257.812500	-15.37	44.40	0.99
260.742188	-14.84	44.96	0.99
263.671875	-14.15	45.70	0.95
266.601563	-13.46	44.29	0.98
269.531250	-13.08	40.09	0.98
272.460938	-12.91	36.41	0.99
275.390625	-12.90	32.94	0.99
278.320313	-12.80	29.17	0.99
281.250000	-12.88	24.33	0.99
284.179688	-13.10	18.50	0.99
287.109375	-13.54	13.29	0.99
290.039063	-14.33	8.74	0.99
292.968750	-15.34	8.04	0.82
295.898438	-16.79	22.84	0.25
298.828125	-17.39	37.24	0.81
301.757813	-17.45	43.08	0.90
304.687500	-17.45	44.94	0.95
307.617188	-17.25	45.77	0.98
310.546875	-16.99	44.47	0.97
313.476563	-16.91	42.12	0.98
316.406250	-17.00	42.81	0.81
319.335938	-17.25	48.33	0.63
322.265625	-16.89	50.49	0.82
325.195313	-16.63	49.26	0.92
328.125000	-16.60	46.46	0.90
331.054688	-16.76	48.41	0.84
333.984375	-16.54	50.98	0.95
336.914063	-16.28	52.60	0.95
339.843750	-15.97	54.94	0.91
342.773438	-14.94	56.40	0.91
345.703125	-14.05	56.73	0.98
348.632813	-13.33	53.35	0.96
351.562500	-12.94	49.68	0.99
354.492188	-12.87	45.88	0.99
357.421875	-13.05	42.28	0.99
360.351563	-13.39	39.30	0.99
363.281250	-13.79	37.28	0.99
366.210938	-14.26	36.19	0.99
369.140625	-14.66	36.42	0.99
372.070313	-14.82	37.36	0.95
375.000000	-14.63	38.49	0.96
377.929688	-14.42	38.59	0.99
380.859375	-14.37	37.95	0.99
383.789063	-14.41	37.73	1.00
386.718750	-14.45	37.66	1.00
389.648438	-14.49	37.55	1.00
392.578125	-14.51	37.58	1.00
395.507813	-14.53	37.93	1.00
398.437500	-14.56	38.41	0.99
401.367188	-14.43	39.44	0.98
