	SM57_TF_0_135		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-52.21	177.80	0.61
5.859375	-51.88	-173.13	0.82
8.789063	-43.27	-156.95	0.71
11.718750	-40.67	172.50	0.87
14.648438	-34.99	-177.26	0.97
17.578125	-34.44	-174.06	0.99
20.507813	-34.24	179.64	0.82
23.437500	-26.19	-172.18	0.90
26.367188	-24.86	-169.95	0.93
29.296875	-24.73	-69.58	0.61
32.226563	-24.97	-53.24	0.51
35.156250	-22.47	145.30	0.87
38.085938	-22.58	138.95	0.94
41.015625	-19.31	129.30	0.84
43.945313	-21.17	134.32	0.91
46.875000	-18.61	153.81	0.93
49.804688	-18.31	159.80	0.88
52.734375	-17.82	124.54	0.97
55.664063	-19.40	117.91	0.97
58.593750	-21.71	115.51	0.98
61.523438	-20.05	116.83	0.97
64.453125	-19.18	106.19	0.83
67.382813	-22.86	128.35	0.48
70.312500	-23.13	170.02	0.88
73.242188	-21.61	163.13	0.94
76.171875	-17.48	152.83	0.97
79.101563	-16.75	137.52	0.99
82.031250	-16.12	127.59	0.99
84.960938	-15.97	108.60	0.96
87.890625	-16.81	74.77	0.92
90.820313	-15.97	31.17	0.61
93.750000	-17.26	-142.45	0.68
96.679688	-15.24	-174.03	0.89
99.609375	-14.48	157.32	0.99
102.539063	-13.41	144.15	0.98
105.468750	-13.38	143.40	0.99
108.398438	-13.01	129.11	0.99
111.328125	-12.62	116.57	0.99
114.257813	-12.23	110.10	0.99
117.187500	-12.50	104.77	0.99
120.117188	-12.96	106.43	0.99
123.046875	-13.38	105.55	0.99
125.976563	-13.61	100.04	1.00
128.906250	-12.69	96.87	0.99
131.835938	-11.95	88.59	0.99
134.765625	-12.63	81.36	0.98
137.695313	-13.42	80.60	0.98
140.625000	-13.20	73.21	0.99
143.554688	-12.69	71.02	0.98
146.484375	-13.09	64.14	0.96
149.414063	-13.12	61.29	0.94
152.343750	-12.40	68.43	0.82
155.273438	-11.81	78.56	0.27
158.203125	-10.54	136.04	0.50
161.132813	-10.42	92.95	0.92
164.062500	-10.28	80.61	0.99
166.992188	-10.64	69.92	0.98
169.921875	-11.41	63.55	0.97
172.851563	-13.20	59.47	0.97
175.781250	-14.45	63.91	0.94
178.710938	-14.52	74.68	0.87
181.640625	-13.26	75.21	0.97
184.570313	-12.36	68.76	0.98
187.500000	-11.77	57.21	0.99
190.429688	-11.82	51.15	0.99
193.359375	-12.20	45.45	0.98
196.289063	-12.90	39.34	0.98
199.218750	-13.83	32.07	0.96
202.148438	-14.86	25.59	0.90
205.078125	-16.20	25.61	0.75
208.007813	-16.04	42.70	0.42
210.937500	-14.92	54.69	0.85
213.867188	-13.93	54.10	0.97
216.796875	-13.64	51.09	0.99
219.726563	-13.69	47.11	0.99
222.656250	-14.07	45.35	0.97
225.585938	-14.24	49.10	0.85
228.515625	-13.60	52.09	0.72
231.445313	-12.65	51.75	0.68
234.375000	-12.32	43.83	0.74
237.304688	-11.96	38.85	0.87
240.234375	-12.01	36.20	0.87
243.164063	-12.38	29.50	0.91
246.093750	-12.97	23.31	0.91
249.023438	-13.65	17.44	0.89
251.953125	-14.70	15.82	0.85
254.882813	-16.25	21.27	0.73
257.812500	-16.67	31.44	0.85
260.742188	-16.77	39.87	0.95
263.671875	-16.40	45.36	0.93
266.601563	-15.35	48.83	0.97
269.531250	-14.40	48.57	0.98
272.460938	-13.57	45.61	0.97
275.390625	-13.22	37.29	0.96
278.320313	-13.04	29.96	0.96
281.250000	-12.90	21.28	0.98
284.179688	-12.70	11.09	0.97
287.109375	-12.78	3.65	0.95
290.039063	-13.01	-2.12	0.96
292.968750	-13.42	-5.16	0.93
295.898438	-13.76	-2.73	0.85
298.828125	-13.70	17.39	0.25
301.757813	-13.56	62.55	0.27
304.687500	-13.69	77.50	0.09
307.617188	-13.88	74.00	0.33
310.546875	-14.19	71.08	0.82
313.476563	-14.41	62.99	0.81
316.406250	-14.82	57.48	0.92
319.335938	-15.23	53.93	0.79
322.265625	-15.81	54.18	0.87
325.195313	-16.01	56.68	0.79
328.125000	-16.07	61.12	0.61
331.054688	-15.80	62.61	0.92
333.984375	-15.57	59.81	0.93
336.914063	-15.52	56.64	0.96
339.843750	-15.81	54.88	0.93
342.773438	-15.74	54.64	0.88
345.703125	-14.77	54.83	0.85
348.632813	-14.23	51.51	0.97
351.562500	-14.08	46.67	0.99
354.492188	-14.26	42.16	0.99
357.421875	-14.61	38.58	0.98
360.351563	-15.09	37.49	0.95
363.281250	-15.57	37.39	0.98
366.210938	-15.89	37.98	0.98
369.140625	-16.16	39.04	0.94
372.070313	-16.30	41.40	0.92
375.000000	-16.22	43.00	0.96
377.929688	-16.17	43.11	0.95
380.859375	-16.12	42.39	0.93
383.789063	-16.03	43.40	0.90
386.718750	-16.03	43.22	0.96
389.648438	-16.02	43.17	0.94
392.578125	-15.96	43.09	0.91
395.507813	-15.91	41.51	0.95
398.437500	-15.69	39.79	0.80
401.367188	-15.25	40.41	0.77
404.296875	-15.03	40.58	0.91
407.226563	-14.96	39.87	0.97
410.156250	-15.00	39.35	0.99
413.085938	-15.06	39.43	0.98
416.015625	-15.08	39.48	0.98
418.945313	-15.12	38.85	0.98
421.875000	-15.17	38.11	0.98
424.804688	-15.26	38.39	0.98
427.734375	-15.28	39.39	0.93
430.664063	-15.17	40.76	0.86
433.593750	-14.77	41.16	0.73
436.523438	-14.50	40.20	0.84
439.453125	-14.25	36.91	0.85
442.382813	-14.11	35.02	0.97
445.312500	-13.95	32.99	0.98
448.242188	-13.88	31.19	0.96
451.171875	-13.86	29.48	0.97
454.101563	-13.94	29.17	0.97
457.031250	-14.09	30.22	0.91
459.960938	-14.30	30.18	0.84
462.890625	-14.31	31.79	0.79
465.820313	-14.16	34.06	0.80
468.750000	-13.97	35.90	0.79
471.679688	-13.62	36.59	0.83
474.609375	-13.26	36.33	0.81
477.539063	-13.03	34.58	0.81
480.468750	-12.85	30.77	0.88
483.398438	-12.76	23.82	0.85
486.328125	-12.71	18.44	0.82
489.257813	-12.67	15.92	0.84
492.187500	-12.69	15.37	0.61
495.117188	-12.73	16.24	0.66
498.046875	-12.86	18.02	0.80
500.976563	-13.14	21.73	0.66
503.906250	-13.56	24.75	0.82
506.835938	-13.89	28.08	0.76
509.765625	-14.09	31.12	0.66
512.695313	-14.25	34.49	0.86
515.625000	-14.26	36.94	0.87
518.554688	-14.16	38.39	0.89
521.484375	-14.05	38.79	0.97
524.414063	-13.96	37.97	0.96
527.343750	-13.90	36.28	0.94
530.273438	-13.81	34.78	0.96
533.203125	-13.76	33.07	0.97
536.132813	-13.67	31.50	0.91
539.062500	-13.56	29.94	0.92
541.992188	-13.43	27.93	0.97
544.921875	-13.31	26.00	0.97
547.851563	-13.21	24.73	0.93
550.781250	-13.15	24.42	0.84
553.710938	-13.12	26.36	0.68
556.640625	-13.09	29.99	0.51
559.570313	-12.91	33.66	0.82
562.500000	-12.69	35.99	0.93
565.429688	-12.49	36.32	0.91
568.359375	-12.29	35.59	0.91
571.289063	-12.08	34.71	0.91
574.218750	-11.93	33.50	0.81
577.148438	-11.89	32.27	0.80
580.078125	-12.01	31.82	0.78
583.007813	-12.17	31.45	0.92
585.937500	-12.35	31.52	0.93
588.867188	-12.47	31.82	0.84
591.796875	-12.44	32.67	0.69
594.726563	-12.42	33.53	0.83
597.656250	-12.41	34.30	0.96
600.585938	-12.42	35.14	0.98
603.515625	-12.42	35.53	0.97
606.445313	-12.42	35.22	0.96
609.375000	-12.38	34.83	0.94
612.304688	-12.31	34.63	0.95
615.234375	-12.28	34.35	0.82
618.164063	-12.30	33.95	0.62
621.093750	-12.31	33.55	0.73
624.023438	-12.27	32.95	0.78
626.953125	-12.21	33.26	0.83
629.882813	-12.13	33.28	0.83
632.812500	-12.02	33.58	0.62
635.742188	-11.87	33.19	0.81
638.671875	-11.70	32.84	0.91
641.601563	-11.60	32.35	0.97
644.531250	-11.54	31.40	0.98
647.460938	-11.49	30.40	0.99
650.390625	-11.46	29.58	0.98
653.320313	-11.44	28.75	0.95
656.250000	-11.40	27.84	0.94
659.179688	-11.35	26.71	0.97
662.109375	-11.31	25.75	0.99
665.039063	-11.31	24.79	0.97
667.968750	-11.32	24.10	0.97
670.898438	-11.32	23.81	0.91
673.828125	-11.31	23.37	0.89
676.757813	-11.26	22.51	0.86
679.687500	-11.20	21.17	0.60
682.617188	-11.20	19.80	0.71
685.546875	-11.16	18.31	0.93
688.476563	-11.19	17.88	0.96
691.406250	-11.27	17.50	0.98
694.335938	-11.37	17.40	0.97
697.265625	-11.49	17.37	0.92
700.195313	-11.58	17.42	0.95
703.125000	-11.62	17.60	0.92
