	SM57_TF_0_150		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
512.695313	-17.58	53.56	0.60
515.625000	-17.04	60.14	0.19
518.554688	-16.36	65.21	0.46
521.484375	-15.84	65.67	0.76
524.414063	-15.49	64.68	0.86
527.343750	-15.20	63.00	0.74
530.273438	-15.07	61.30	0.77
533.203125	-15.02	59.86	0.89
536.132813	-14.98	58.14	0.95
539.062500	-15.01	56.52	0.92
541.992188	-15.14	54.83	0.74
544.921875	-15.30	53.90	0.34
547.851563	-15.47	52.67	0.67
550.781250	-15.58	52.19	0.79
553.710938	-15.61	51.70	0.63
556.640625	-15.52	51.82	0.43
559.570313	-15.36	52.68	0.55
562.500000	-15.24	52.59	0.90
565.429688	-15.20	51.19	0.88
568.359375	-15.24	49.12	0.94
571.289063	-15.38	47.91	0.95
574.218750	-15.65	45.79	0.95
577.148438	-15.95	44.34	0.96
580.078125	-16.21	43.53	0.95
583.007813	-16.40	43.88	0.86
585.937500	-16.53	45.64	0.57
588.867188	-16.51	48.05	0.08
591.796875	-16.37	50.91	0.71
594.726563	-16.16	51.80	0.89
597.656250	-15.92	51.55	0.93
600.585938	-15.64	50.88	0.96
603.515625	-15.45	49.68	0.97
606.445313	-15.32	48.51	0.96
609.375000	-15.24	47.52	0.90
612.304688	-15.22	46.79	0.91
615.234375	-15.24	46.56	0.93
618.164063	-15.22	47.19	0.87
621.093750	-15.15	49.28	0.70
624.023438	-14.97	52.35	0.38
626.953125	-14.71	54.08	0.84
629.882813	-14.44	54.66	0.79
632.812500	-14.12	54.70	0.91
635.742188	-13.83	53.54	0.88
638.671875	-13.65	51.47	0.94
641.601563	-13.53	48.89	0.96
644.531250	-13.49	46.08	0.97
647.460938	-13.51	43.33	0.98
650.390625	-13.60	40.76	0.96
653.320313	-13.72	38.71	0.97
656.250000	-13.85	37.04	0.95
659.179688	-14.00	35.45	0.96
662.109375	-14.13	33.72	0.98
665.039063	-14.29	32.16	0.99
667.968750	-14.48	30.88	0.98
670.898438	-14.65	30.07	0.92
673.828125	-14.77	29.09	0.97
676.757813	-14.82	27.88	0.98
679.687500	-14.90	26.42	0.95
682.617188	-15.00	24.50	0.97
685.546875	-15.17	22.93	0.97
688.476563	-15.36	21.73	0.99
691.406250	-15.56	20.94	0.98
694.335938	-15.78	20.16	0.99
697.265625	-16.02	19.46	0.96
700.195313	-16.23	19.07	0.92
703.125000	-16.40	19.10	0.78
706.054688	-16.45	19.56	0.83
708.984375	-16.36	19.88	0.89
711.914063	-16.28	20.06	0.99
714.843750	-16.27	19.57	0.97
717.773438	-16.36	18.78	0.97
720.703125	-16.55	18.15	0.94
723.632813	-16.77	17.93	0.96
726.562500	-16.98	18.21	0.90
729.492188	-17.14	19.12	0.86
732.421875	-17.25	20.47	0.94
735.351563	-17.33	22.54	0.94
