	SM57_TF_0_165		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-55.52	-161.68	0.54
5.859375	-51.20	-160.79	0.77
8.789063	-46.52	-163.91	0.85
11.718750	-39.30	-178.18	0.95
14.648438	-40.86	-164.27	0.95
17.578125	-42.03	-166.58	0.94
20.507813	-34.48	179.09	0.75
23.437500	-26.04	170.98	0.58
26.367188	-26.53	-171.87	0.59
29.296875	-30.21	-126.31	0.15
32.226563	-28.22	102.92	0.47
35.156250	-21.77	128.15	0.95
38.085938	-21.21	133.57	0.99
41.015625	-21.11	136.95	0.97
43.945313	-22.48	145.24	0.98
46.875000	-20.80	140.67	0.97
49.804688	-19.41	131.39	0.99
52.734375	-18.73	122.46	0.98
55.664063	-20.27	102.68	0.91
58.593750	-22.59	103.98	0.96
61.523438	-20.44	107.64	0.95
64.453125	-20.87	67.69	0.89
67.382813	-22.05	-30.71	0.19
70.312500	-29.16	-146.12	0.73
73.242188	-29.27	-163.88	0.83
76.171875	-21.78	-166.66	0.93
79.101563	-18.79	173.99	0.95
82.031250	-16.94	159.02	0.92
84.960938	-17.09	111.39	0.86
87.890625	-14.71	41.54	0.80
90.820313	-13.14	15.61	0.80
93.750000	-10.69	-89.67	0.70
96.679688	-12.86	176.16	0.95
99.609375	-13.77	164.34	0.99
102.539063	-17.32	140.05	0.91
105.468750	-21.01	114.32	0.90
108.398438	-19.20	144.66	0.48
111.328125	-13.07	158.84	0.85
114.257813	-13.70	138.88	0.94
117.187500	-15.61	132.39	0.96
120.117188	-15.40	138.31	0.97
123.046875	-16.16	130.11	0.98
125.976563	-16.09	129.55	0.98
128.906250	-13.29	120.22	0.98
131.835938	-12.92	116.51	0.99
134.765625	-14.40	105.08	0.98
137.695313	-15.11	94.10	0.99
140.625000	-15.69	87.21	0.99
143.554688	-16.23	76.15	0.99
146.484375	-16.27	65.99	0.98
149.414063	-15.64	45.51	0.93
152.343750	-14.21	25.04	0.92
155.273438	-11.53	-58.48	0.58
158.203125	-8.59	-166.51	0.50
161.132813	-8.82	118.38	0.93
164.062500	-10.31	93.30	0.97
166.992188	-12.02	72.79	0.97
169.921875	-13.38	62.18	0.97
172.851563	-15.81	60.72	0.83
175.781250	-18.74	89.50	0.47
178.710938	-16.96	112.34	0.84
181.640625	-15.17	105.22	0.93
184.570313	-13.99	89.61	0.98
187.500000	-13.63	76.80	0.98
190.429688	-14.07	62.27	0.97
193.359375	-15.06	52.87	0.98
196.289063	-15.93	42.51	0.98
199.218750	-16.45	32.75	0.97
202.148438	-16.79	21.48	0.76
205.078125	-16.87	23.86	0.75
208.007813	-16.01	74.47	0.54
210.937500	-15.08	84.01	0.87
213.867188	-14.81	77.14	0.95
216.796875	-14.54	67.39	0.93
219.726563	-14.99	54.14	0.96
222.656250	-16.01	44.64	0.95
225.585938	-17.35	41.99	0.88
228.515625	-17.79	45.82	0.15
231.445313	-16.95	55.69	0.80
234.375000	-16.18	56.61	0.93
237.304688	-16.03	45.74	0.97
240.234375	-15.99	35.57	0.89
243.164063	-16.37	26.61	0.88
246.093750	-17.14	19.66	0.95
249.023438	-17.95	14.40	0.98
251.953125	-18.76	16.16	0.90
254.882813	-19.56	37.48	0.67
257.812500	-19.52	71.71	0.69
260.742188	-18.52	79.61	0.84
263.671875	-17.41	82.78	0.72
266.601563	-16.21	75.75	0.91
269.531250	-15.53	63.24	0.93
272.460938	-15.14	52.70	0.96
275.390625	-15.09	39.58	0.91
278.320313	-15.02	24.74	0.94
281.250000	-14.81	8.40	0.96
284.179688	-14.78	-6.37	0.99
287.109375	-14.95	-20.89	0.96
290.039063	-15.64	-36.42	0.98
292.968750	-16.50	-52.52	0.93
295.898438	-17.49	-70.46	0.89
298.828125	-18.48	-87.54	0.62
301.757813	-19.08	-104.21	0.57
304.687500	-19.56	-133.96	0.81
307.617188	-20.16	-167.67	0.80
310.546875	-20.92	154.02	0.84
313.476563	-21.69	138.12	0.57
316.406250	-22.32	137.96	0.36
319.335938	-22.79	142.97	0.90
322.265625	-22.88	137.68	0.83
325.195313	-22.72	134.99	0.84
328.125000	-22.20	134.60	0.64
331.054688	-20.84	137.23	0.79
333.984375	-19.68	134.31	0.85
336.914063	-18.69	132.75	0.69
339.843750	-17.43	131.84	0.70
342.773438	-16.18	127.88	0.85
345.703125	-15.38	117.97	0.89
348.632813	-15.25	104.88	0.97
351.562500	-15.53	95.01	0.97
354.492188	-16.10	86.44	0.99
357.421875	-16.73	79.58	0.98
360.351563	-17.37	73.89	0.96
363.281250	-18.06	69.57	0.94
366.210938	-18.79	68.09	0.88
369.140625	-19.18	71.09	0.37
372.070313	-19.33	75.50	0.75
375.000000	-19.27	73.31	0.94
377.929688	-19.32	70.83	0.97
380.859375	-19.43	69.05	0.88
383.789063	-19.48	66.74	0.88
386.718750	-19.57	64.26	0.99
389.648438	-19.67	63.44	0.97
392.578125	-19.71	64.12	0.93
395.507813	-19.48	67.76	0.76
398.437500	-19.05	74.15	0.57
401.367188	-18.33	81.99	0.69
404.296875	-17.84	82.52	0.95
407.226563	-17.60	79.64	0.95
410.156250	-17.50	74.98	0.98
413.085938	-17.40	71.02	0.97
416.015625	-17.37	68.15	0.97
418.945313	-17.38	65.60	0.98
421.875000	-17.43	62.74	0.97
424.804688	-17.51	61.99	0.89
427.734375	-17.47	63.97	0.59
430.664063	-16.94	64.21	0.94
433.593750	-16.35	61.02	0.95
436.523438	-15.94	54.44	0.97
439.453125	-15.77	47.15	0.98
442.382813	-15.88	42.18	0.99
445.312500	-16.21	38.50	0.96
448.242188	-16.76	36.45	0.94
451.171875	-17.37	38.24	0.61
454.101563	-17.76	41.45	0.84
457.031250	-17.98	42.91	0.92
459.960938	-18.06	43.16	0.90
462.890625	-18.04	44.01	0.69
465.820313	-17.84	45.47	0.67
468.750000	-17.43	45.34	0.81
471.679688	-17.07	43.87	0.93
474.609375	-16.77	40.76	0.95
477.539063	-16.64	34.47	0.96
480.468750	-16.70	28.77	0.81
483.398438	-16.89	25.82	0.87
486.328125	-17.21	23.95	0.94
489.257813	-17.65	25.91	0.60
492.187500	-18.11	30.39	0.43
495.117188	-18.57	36.48	0.49
498.046875	-18.96	42.61	0.15
500.976563	-19.39	48.77	0.60
503.906250	-19.68	53.77	0.68
506.835938	-19.71	58.35	0.69
509.765625	-19.52	61.16	0.59
512.695313	-19.25	64.66	0.30
515.625000	-18.92	68.13	0.26
518.554688	-18.58	65.25	0.65
521.484375	-18.26	65.58	0.67
524.414063	-17.93	64.66	0.61
527.343750	-17.48	65.03	0.79
530.273438	-17.05	63.52	0.62
533.203125	-16.79	60.41	0.61
536.132813	-16.65	58.04	0.73
539.062500	-16.52	57.57	0.72
541.992188	-16.33	57.91	0.81
544.921875	-16.18	58.91	0.87
547.851563	-15.98	61.20	0.86
550.781250	-15.65	64.33	0.61
553.710938	-15.23	69.23	0.19
556.640625	-14.91	75.44	0.47
559.570313	-14.70	79.48	0.67
562.500000	-14.63	80.10	0.84
565.429688	-14.63	78.71	0.87
568.359375	-14.75	76.48	0.87
571.289063	-14.93	74.81	0.88
574.218750	-15.12	74.45	0.86
577.148438	-15.35	74.96	0.76
580.078125	-15.54	75.74	0.85
583.007813	-15.65	78.15	0.79
585.937500	-15.60	82.06	0.43
588.867188	-15.28	85.58	0.76
591.796875	-14.97	86.62	0.88
594.726563	-14.70	85.81	0.93
597.656250	-14.50	83.24	0.95
600.585938	-14.37	79.83	0.96
603.515625	-14.31	76.40	0.94
606.445313	-14.27	73.72	0.90
609.375000	-14.19	71.66	0.87
612.304688	-14.15	69.69	0.77
615.234375	-14.07	68.20	0.69
618.164063	-13.95	68.70	0.50
621.093750	-13.68	70.39	0.16
624.023438	-13.35	71.61	0.59
626.953125	-13.22	69.33	0.92
629.882813	-13.13	66.17	0.94
632.812500	-13.07	62.35	0.98
635.742188	-13.04	58.97	0.99
638.671875	-13.03	55.39	0.98
641.601563	-13.10	51.96	0.98
644.531250	-13.26	48.75	0.99
647.460938	-13.52	46.02	0.98
650.390625	-13.82	43.77	0.99
653.320313	-14.12	41.76	0.99
656.250000	-14.39	39.98	0.99
659.179688	-14.62	38.20	0.99
662.109375	-14.85	36.43	0.98
665.039063	-15.10	34.74	0.98
