	SM57_TF_0_30		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-57.74	132.16	0.49
5.859375	-51.43	179.62	0.50
8.789063	-42.39	171.90	0.63
11.718750	-42.28	150.25	0.93
14.648438	-30.67	156.86	0.93
17.578125	-29.26	159.46	0.99
20.507813	-29.25	157.61	0.97
23.437500	-25.37	140.88	0.93
26.367188	-24.69	136.41	0.90
29.296875	-20.89	155.70	0.88
32.226563	-21.44	137.48	0.93
35.156250	-22.15	140.77	0.97
38.085938	-20.48	138.62	0.97
41.015625	-19.86	138.94	0.97
43.945313	-17.16	124.34	0.94
46.875000	-15.90	105.98	0.97
49.804688	-14.47	106.26	0.98
52.734375	-15.11	128.87	0.99
55.664063	-15.51	109.98	0.99
58.593750	-15.21	112.76	0.98
61.523438	-11.18	111.67	0.99
64.453125	-10.66	111.00	0.99
67.382813	-7.20	100.76	0.98
70.312500	-7.13	100.51	1.00
73.242188	-6.38	96.96	1.00
76.171875	-5.51	92.41	1.00
79.101563	-5.78	83.99	1.00
82.031250	-5.88	82.78	1.00
84.960938	-6.43	85.41	0.99
87.890625	-5.37	85.59	0.98
90.820313	-2.84	93.93	0.96
93.750000	-2.23	76.26	0.98
96.679688	-3.23	61.50	1.00
99.609375	-4.00	59.40	1.00
102.539063	-4.69	60.53	1.00
105.468750	-4.42	66.14	1.00
108.398438	-3.55	69.26	0.98
111.328125	-2.49	57.36	0.99
114.257813	-2.80	51.99	1.00
117.187500	-2.98	54.80	1.00
120.117188	-2.74	49.84	1.00
123.046875	-2.77	49.71	1.00
125.976563	-2.36	48.56	1.00
128.906250	-2.24	45.50	1.00
131.835938	-2.85	40.74	1.00
134.765625	-3.23	40.63	1.00
137.695313	-3.42	41.67	1.00
140.625000	-3.49	42.44	1.00
143.554688	-3.29	44.10	1.00
146.484375	-3.25	43.67	1.00
149.414063	-3.44	43.14	1.00
152.343750	-3.47	43.92	1.00
155.273438	-2.83	46.72	0.99
158.203125	-2.04	41.01	0.94
161.132813	-2.67	33.88	0.98
164.062500	-3.03	31.47	0.99
166.992188	-3.11	33.39	0.99
169.921875	-2.93	36.47	0.99
172.851563	-2.74	34.86	0.97
175.781250	-2.24	28.32	0.98
178.710938	-2.27	22.96	0.99
181.640625	-2.63	19.69	0.99
184.570313	-3.03	19.43	0.99
187.500000	-3.34	20.22	1.00
190.429688	-3.51	21.60	0.99
193.359375	-3.48	24.91	1.00
196.289063	-3.17	28.11	1.00
199.218750	-2.88	27.00	1.00
202.148438	-2.37	25.72	0.99
205.078125	-2.07	23.26	0.98
208.007813	-1.98	19.08	0.99
210.937500	-2.57	15.84	0.97
213.867188	-3.52	15.63	0.99
216.796875	-3.85	15.57	0.99
219.726563	-3.89	15.67	0.98
222.656250	-3.85	17.10	0.99
225.585938	-3.68	17.71	0.97
228.515625	-3.61	18.39	0.96
231.445313	-3.65	19.06	0.98
234.375000	-3.80	20.06	0.99
237.304688	-3.80	22.13	0.99
240.234375	-3.70	24.53	1.00
243.164063	-3.59	25.45	1.00
246.093750	-3.44	26.14	1.00
249.023438	-3.27	26.13	1.00
251.953125	-2.97	25.44	1.00
254.882813	-2.63	23.77	1.00
257.812500	-2.41	21.53	1.00
260.742188	-2.33	19.00	1.00
263.671875	-2.43	16.56	1.00
266.601563	-2.64	14.41	1.00
269.531250	-3.01	14.08	0.99
272.460938	-3.30	14.31	1.00
275.390625	-3.49	15.37	1.00
278.320313	-3.62	17.42	1.00
281.250000	-3.71	19.42	1.00
284.179688	-3.54	20.69	1.00
287.109375	-3.15	21.25	1.00
290.039063	-2.72	21.11	0.99
292.968750	-2.29	19.48	0.98
295.898438	-2.06	16.91	0.98
298.828125	-2.04	15.20	0.99
301.757813	-2.09	14.61	0.99
304.687500	-2.11	14.22	1.00
307.617188	-2.18	13.48	0.99
310.546875	-2.40	12.73	1.00
313.476563	-2.59	12.59	1.00
316.406250	-2.75	13.08	1.00
319.335938	-2.84	13.75	1.00
322.265625	-2.81	14.48	1.00
325.195313	-2.72	15.03	1.00
328.125000	-2.58	15.40	1.00
331.054688	-2.39	15.68	1.00
333.984375	-2.21	16.00	1.00
336.914063	-2.00	15.83	1.00
339.843750	-1.89	14.97	0.99
342.773438	-1.84	13.43	0.93
345.703125	-2.06	8.07	0.89
348.632813	-2.51	6.56	0.96
351.562500	-2.88	5.73	0.99
354.492188	-3.16	6.07	0.99
357.421875	-3.37	6.69	1.00
360.351563	-3.51	7.67	1.00
363.281250	-3.56	9.10	1.00
366.210938	-3.46	10.14	1.00
369.140625	-3.32	10.40	1.00
372.070313	-3.25	9.97	1.00
375.000000	-3.23	9.52	1.00
377.929688	-3.21	9.47	1.00
380.859375	-3.25	9.78	0.99
383.789063	-3.25	10.30	0.99
386.718750	-3.19	10.76	0.99
389.648438	-3.10	10.96	0.99
392.578125	-3.02	11.15	0.95
395.507813	-2.90	11.39	0.95
398.437500	-2.69	11.54	0.98
401.367188	-2.52	11.09	0.99
404.296875	-2.44	10.66	0.99
407.226563	-2.48	9.88	0.97
410.156250	-2.64	9.03	0.98
413.085938	-2.76	8.47	0.99
416.015625	-2.83	8.09	0.99
418.945313	-2.88	8.09	1.00
421.875000	-2.92	8.19	1.00
424.804688	-2.95	8.36	0.99
427.734375	-2.97	8.38	1.00
430.664063	-2.98	8.50	0.99
433.593750	-3.00	8.56	0.99
436.523438	-3.05	8.48	1.00
439.453125	-3.08	8.70	1.00
442.382813	-3.06	9.04	1.00
445.312500	-3.00	9.34	1.00
448.242188	-2.93	9.42	1.00
451.171875	-2.84	9.21	1.00
454.101563	-2.78	8.57	0.99
457.031250	-2.80	7.61	0.99
459.960938	-2.90	6.88	1.00
462.890625	-2.99	6.50	1.00
465.820313	-3.09	6.40	1.00
468.750000	-3.20	6.51	1.00
471.679688	-3.31	7.04	1.00
474.609375	-3.40	7.95	1.00
477.539063	-3.42	8.90	1.00
480.468750	-3.35	9.66	1.00
483.398438	-3.22	10.16	0.99
486.328125	-3.10	10.16	0.99
489.257813	-3.07	9.76	1.00
492.187500	-3.09	9.41	0.99
495.117188	-3.13	9.38	1.00
498.046875	-3.13	9.62	0.99
500.976563	-3.09	9.91	0.99
503.906250	-3.07	9.98	0.99
506.835938	-3.12	10.12	0.98
509.765625	-3.18	10.28	0.99
512.695313	-3.21	10.37	0.99
515.625000	-3.22	10.40	0.99
518.554688	-3.19	10.46	0.98
521.484375	-3.14	10.17	0.98
524.414063	-3.06	9.87	1.00
527.343750	-2.98	9.69	1.00
530.273438	-2.88	9.48	1.00
533.203125	-2.82	9.11	0.99
536.132813	-2.78	8.70	1.00
