	SM57_TF_0_90		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-57.59	-171.22	0.64
5.859375	-48.62	-173.67	0.78
8.789063	-36.93	151.72	0.70
11.718750	-34.96	103.32	0.56
14.648438	-32.51	163.46	0.80
17.578125	-30.53	173.73	0.97
20.507813	-31.91	169.60	0.89
23.437500	-26.62	109.49	0.86
26.367188	-28.00	102.83	0.69
29.296875	-26.38	130.02	0.84
32.226563	-23.11	122.60	0.95
35.156250	-21.60	136.40	0.96
38.085938	-22.09	141.45	0.99
41.015625	-20.81	132.40	0.97
43.945313	-19.20	128.06	0.97
46.875000	-18.09	122.66	0.97
49.804688	-15.92	108.35	0.98
52.734375	-15.65	124.00	1.00
55.664063	-15.08	120.52	0.99
58.593750	-15.12	105.76	1.00
61.523438	-15.29	107.11	0.99
64.453125	-12.92	105.69	0.98
67.382813	-12.96	102.32	1.00
70.312500	-12.71	102.03	1.00
73.242188	-11.51	100.20	0.99
76.171875	-10.77	88.93	0.99
79.101563	-10.34	86.74	1.00
82.031250	-10.24	84.97	1.00
84.960938	-9.75	85.73	1.00
87.890625	-9.36	84.44	1.00
90.820313	-8.28	78.83	0.98
93.750000	-9.71	63.31	0.99
96.679688	-10.12	63.04	0.99
99.609375	-10.03	66.79	0.99
102.539063	-9.20	75.81	1.00
105.468750	-8.82	76.48	1.00
108.398438	-7.54	72.42	0.99
111.328125	-6.96	62.85	1.00
114.257813	-7.39	59.02	1.00
117.187500	-7.46	58.38	1.00
120.117188	-7.38	56.25	1.00
123.046875	-7.17	53.78	1.00
125.976563	-7.01	50.09	1.00
128.906250	-7.35	47.26	1.00
131.835938	-7.60	45.60	1.00
134.765625	-7.79	46.61	1.00
137.695313	-7.73	46.86	1.00
140.625000	-7.45	45.04	1.00
143.554688	-7.19	44.56	1.00
146.484375	-7.06	44.91	1.00
149.414063	-7.01	43.33	1.00
152.343750	-7.01	42.01	1.00
155.273438	-6.99	40.18	1.00
158.203125	-7.02	35.98	0.99
161.132813	-6.98	34.55	1.00
164.062500	-7.17	35.91	1.00
166.992188	-6.89	37.02	1.00
169.921875	-6.58	35.96	1.00
172.851563	-6.19	32.02	1.00
175.781250	-6.26	29.52	1.00
178.710938	-6.64	27.78	1.00
181.640625	-7.10	28.41	1.00
184.570313	-7.31	28.92	1.00
187.500000	-7.18	29.50	1.00
190.429688	-6.88	27.12	1.00
193.359375	-6.70	25.49	1.00
196.289063	-6.72	23.64	1.00
199.218750	-6.99	22.17	1.00
202.148438	-7.35	21.22	1.00
205.078125	-7.53	21.45	1.00
208.007813	-7.67	20.93	1.00
210.937500	-7.89	19.16	1.00
213.867188	-7.90	19.28	1.00
216.796875	-7.86	19.72	1.00
219.726563	-7.85	19.71	1.00
222.656250	-7.87	19.81	1.00
225.585938	-7.86	19.53	1.00
228.515625	-7.95	19.46	1.00
231.445313	-7.98	19.81	1.00
234.375000	-7.83	20.03	1.00
237.304688	-7.55	19.36	1.00
240.234375	-7.46	17.75	1.00
243.164063	-7.55	16.38	1.00
246.093750	-7.68	15.50	1.00
249.023438	-7.78	15.00	1.00
251.953125	-7.89	14.56	1.00
254.882813	-8.06	14.11	1.00
257.812500	-8.27	13.87	1.00
260.742188	-8.48	13.84	1.00
263.671875	-8.72	14.49	0.99
266.601563	-8.84	15.38	0.99
269.531250	-8.82	16.22	1.00
272.460938	-8.67	17.44	1.00
275.390625	-8.45	18.34	1.00
278.320313	-8.17	18.61	1.00
281.250000	-7.95	17.75	1.00
284.179688	-7.88	16.48	1.00
287.109375	-7.96	15.17	1.00
290.039063	-8.13	14.80	0.99
292.968750	-8.25	14.49	0.99
295.898438	-8.34	14.11	0.99
298.828125	-8.19	13.37	0.99
301.757813	-8.03	13.39	0.98
304.687500	-7.92	14.20	0.96
307.617188	-7.83	14.81	0.99
310.546875	-7.81	15.69	0.99
313.476563	-7.84	15.79	1.00
316.406250	-7.83	15.72	1.00
319.335938	-7.78	15.97	1.00
322.265625	-7.71	16.61	0.99
325.195313	-7.51	16.28	0.99
328.125000	-7.42	15.26	0.99
331.054688	-7.38	14.30	1.00
333.984375	-7.40	13.78	1.00
336.914063	-7.43	13.30	1.00
339.843750	-7.48	12.85	1.00
342.773438	-7.55	12.39	1.00
345.703125	-7.62	12.43	1.00
348.632813	-7.64	12.69	1.00
351.562500	-7.63	12.86	1.00
354.492188	-7.59	12.66	1.00
357.421875	-7.59	12.30	1.00
360.351563	-7.63	12.10	1.00
363.281250	-7.66	12.02	1.00
366.210938	-7.67	11.94	1.00
369.140625	-7.68	11.88	1.00
372.070313	-7.70	11.78	1.00
375.000000	-7.72	11.86	1.00
377.929688	-7.70	11.94	1.00
380.859375	-7.66	11.99	1.00
383.789063	-7.59	11.93	1.00
386.718750	-7.52	11.65	1.00
389.648438	-7.45	11.27	1.00
392.578125	-7.36	10.85	0.99
395.507813	-7.24	10.21	0.99
398.437500	-7.23	9.40	0.99
401.367188	-7.27	8.24	0.99
404.296875	-7.38	7.62	0.99
407.226563	-7.49	7.03	1.00
410.156250	-7.57	6.56	1.00
413.085938	-7.64	6.39	0.99
416.015625	-7.71	6.36	0.99
418.945313	-7.77	6.13	1.00
421.875000	-7.84	5.81	1.00
424.804688	-7.93	5.63	0.99
427.734375	-8.00	5.70	0.99
430.664063	-7.98	5.92	0.99
433.593750	-8.02	6.17	0.99
436.523438	-8.10	6.55	1.00
439.453125	-8.22	7.10	0.99
442.382813	-8.31	7.54	1.00
445.312500	-8.36	7.82	1.00
448.242188	-8.44	7.84	1.00
451.171875	-8.53	7.93	1.00
454.101563	-8.62	7.95	1.00
457.031250	-8.69	8.09	1.00
459.960938	-8.77	8.53	0.99
462.890625	-8.88	9.21	1.00
465.820313	-8.92	10.04	0.99
468.750000	-8.93	11.11	0.99
471.679688	-8.88	12.36	0.99
474.609375	-8.78	13.27	0.98
477.539063	-8.63	14.41	0.99
480.468750	-8.44	15.24	0.98
483.398438	-8.25	16.14	0.99
486.328125	-8.13	16.53	0.99
489.257813	-8.02	16.60	0.98
492.187500	-7.97	16.32	0.99
495.117188	-7.97	16.06	0.99
498.046875	-8.00	15.77	0.99
500.976563	-8.03	15.50	0.95
503.906250	-8.05	15.52	0.96
506.835938	-8.09	15.72	0.98
509.765625	-8.13	15.89	0.99
512.695313	-8.20	15.86	0.97
515.625000	-8.26	16.13	0.97
518.554688	-8.25	16.46	0.85
521.484375	-8.21	16.50	0.93
524.414063	-8.18	15.93	0.96
527.343750	-8.15	15.18	0.93
530.273438	-8.13	14.17	0.90
533.203125	-8.12	13.27	0.95
536.132813	-8.12	12.26	0.98
539.062500	-8.14	11.11	0.98
541.992188	-8.15	10.03	0.98
544.921875	-8.17	9.15	0.97
547.851563	-8.18	8.70	0.96
550.781250	-8.18	8.37	0.95
553.710938	-8.23	8.03	0.92
556.640625	-8.30	7.75	0.95
559.570313	-8.36	7.18	0.96
562.500000	-8.44	6.75	0.96
565.429688	-8.50	6.11	0.85
568.359375	-8.49	5.60	0.83
571.289063	-8.48	5.05	0.87
574.218750	-8.50	4.17	0.93
577.148438	-8.57	3.29	0.89
580.078125	-8.67	2.74	0.81
583.007813	-8.78	2.37	0.90
585.937500	-8.87	2.46	0.95
588.867188	-8.97	2.96	0.95
591.796875	-9.03	3.90	0.81
594.726563	-9.05	5.22	0.75
597.656250	-9.07	5.99	0.88
600.585938	-9.04	6.75	0.86
603.515625	-8.98	7.40	0.76
606.445313	-8.88	7.82	0.70
609.375000	-8.73	8.11	0.86
612.304688	-8.61	7.85	0.94
615.234375	-8.53	7.24	0.95
618.164063	-8.47	6.47	0.97
621.093750	-8.43	5.49	0.96
624.023438	-8.39	4.81	0.95
626.953125	-8.34	4.24	0.88
629.882813	-8.31	3.99	0.86
632.812500	-8.29	4.11	0.94
