	SM57_TF_0_75		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-54.25	-163.78	0.86
5.859375	-50.82	-171.35	0.71
8.789063	-42.55	170.58	0.53
11.718750	-38.36	108.00	0.79
14.648438	-31.53	172.05	0.97
17.578125	-31.03	171.38	0.99
20.507813	-31.70	169.67	0.95
23.437500	-32.25	87.90	0.79
26.367188	-30.96	126.03	0.65
29.296875	-22.44	149.17	0.95
32.226563	-22.17	131.11	0.95
35.156250	-22.26	148.11	0.98
38.085938	-21.85	138.70	0.98
41.015625	-20.30	135.11	0.99
43.945313	-18.56	130.00	0.99
46.875000	-18.31	123.96	0.95
49.804688	-15.69	120.33	0.96
52.734375	-15.37	123.95	0.99
55.664063	-14.86	115.78	0.99
58.593750	-13.42	102.46	0.99
61.523438	-13.91	99.04	0.99
64.453125	-12.63	107.22	0.98
67.382813	-11.87	103.63	1.00
70.312500	-10.86	99.98	1.00
73.242188	-9.89	99.95	0.99
76.171875	-9.06	91.18	0.99
79.101563	-9.03	83.11	1.00
82.031250	-9.16	84.51	1.00
84.960938	-9.22	84.25	1.00
87.890625	-8.02	82.94	0.99
90.820313	-7.94	86.56	0.99
93.750000	-6.81	63.71	0.99
96.679688	-8.04	66.34	1.00
99.609375	-7.88	68.40	1.00
102.539063	-7.91	69.02	1.00
105.468750	-6.73	74.80	1.00
108.398438	-6.34	71.98	0.99
111.328125	-5.82	61.51	0.99
114.257813	-5.85	57.70	1.00
117.187500	-5.88	57.19	1.00
120.117188	-5.74	56.64	1.00
123.046875	-5.77	53.10	1.00
125.976563	-5.51	49.74	1.00
128.906250	-5.69	44.44	1.00
131.835938	-6.08	42.60	1.00
134.765625	-6.44	42.55	1.00
137.695313	-6.39	44.90	1.00
140.625000	-6.18	44.18	1.00
143.554688	-6.04	44.87	1.00
146.484375	-5.97	47.27	1.00
149.414063	-5.89	45.98	1.00
152.343750	-5.59	45.14	1.00
155.273438	-4.94	44.46	0.99
158.203125	-4.70	38.72	0.98
161.132813	-4.80	31.94	0.99
164.062500	-5.23	31.22	0.99
166.992188	-5.43	32.58	1.00
169.921875	-5.44	33.15	1.00
172.851563	-5.00	32.53	0.99
175.781250	-4.86	30.88	0.99
178.710938	-5.15	28.04	0.97
181.640625	-5.58	27.00	0.99
184.570313	-5.96	27.34	1.00
187.500000	-6.17	27.67	1.00
190.429688	-6.19	27.47	0.99
193.359375	-5.99	27.38	0.99
196.289063	-5.91	26.45	1.00
199.218750	-5.89	25.46	1.00
202.148438	-5.93	25.04	1.00
205.078125	-5.95	25.15	0.99
208.007813	-5.95	23.82	0.99
210.937500	-6.29	21.64	0.97
213.867188	-6.43	23.26	0.97
216.796875	-6.61	24.69	0.95
219.726563	-6.69	25.97	0.95
222.656250	-6.88	26.13	0.93
225.585938	-7.00	25.31	0.94
228.515625	-7.00	23.51	0.96
231.445313	-6.75	21.80	0.99
234.375000	-6.51	21.43	1.00
237.304688	-6.25	20.53	1.00
240.234375	-6.18	18.35	0.99
243.164063	-6.19	17.22	0.99
246.093750	-6.16	16.55	1.00
249.023438	-6.13	15.88	1.00
251.953125	-6.09	15.25	1.00
254.882813	-6.06	14.47	1.00
257.812500	-6.10	14.24	1.00
260.742188	-6.15	14.00	1.00
263.671875	-6.31	13.10	1.00
266.601563	-6.50	12.69	1.00
269.531250	-6.64	12.93	1.00
272.460938	-6.70	13.15	1.00
275.390625	-6.74	13.11	1.00
278.320313	-6.80	12.79	0.99
281.250000	-6.81	12.95	0.99
284.179688	-6.84	12.77	0.99
287.109375	-6.82	11.79	1.00
290.039063	-6.83	10.95	0.99
292.968750	-6.94	11.82	0.99
295.898438	-7.04	13.03	1.00
298.828125	-7.09	14.48	1.00
301.757813	-7.10	16.13	0.99
304.687500	-7.07	17.42	0.99
307.617188	-7.05	17.88	1.00
310.546875	-7.06	17.93	1.00
313.476563	-7.10	18.16	1.00
316.406250	-7.04	18.54	1.00
319.335938	-6.86	19.08	1.00
322.265625	-6.64	19.54	0.99
325.195313	-6.41	19.61	0.99
328.125000	-6.18	19.09	0.99
