	ECM8000_TF_45_45		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-22.37	-157.18	0.98
5.859375	-20.25	164.31	0.98
8.789063	-14.98	142.91	0.95
11.718750	-9.33	124.91	0.99
14.648438	-8.97	121.13	0.99
17.578125	-5.96	98.09	1.00
20.507813	-5.94	89.77	1.00
23.437500	-5.77	77.90	1.00
26.367188	-4.08	70.29	0.99
29.296875	-4.71	65.62	0.99
32.226563	-4.33	56.35	0.98
35.156250	-1.60	52.47	1.00
38.085938	-1.60	48.49	1.00
41.015625	-1.29	48.40	1.00
43.945313	-1.88	43.41	0.99
46.875000	-1.24	41.50	1.00
49.804688	-1.22	38.47	1.00
52.734375	-1.13	37.62	1.00
55.664063	-0.98	36.16	1.00
58.593750	-0.71	33.87	1.00
61.523438	-0.65	31.63	1.00
64.453125	-0.66	29.84	1.00
67.382813	-0.83	28.44	1.00
70.312500	-0.74	28.29	1.00
73.242188	-0.58	27.77	1.00
76.171875	-0.43	24.61	1.00
79.101563	-0.48	24.00	1.00
82.031250	-0.47	23.52	1.00
84.960938	-0.51	22.11	1.00
87.890625	-0.50	22.15	1.00
90.820313	-0.50	20.67	1.00
93.750000	-0.57	19.03	1.00
96.679688	-0.55	18.98	1.00
99.609375	-0.49	18.21	1.00
102.539063	-0.47	18.32	1.00
105.468750	-0.47	18.05	1.00
108.398438	-0.37	17.44	1.00
111.328125	-0.40	16.58	1.00
114.257813	-0.47	15.99	1.00
117.187500	-0.42	15.58	1.00
120.117188	-0.37	15.18	1.00
123.046875	-0.37	14.78	1.00
125.976563	-0.37	14.59	1.00
128.906250	-0.36	14.14	1.00
131.835938	-0.31	13.45	1.00
134.765625	-0.31	13.24	1.00
137.695313	-0.36	12.69	1.00
140.625000	-0.40	12.13	1.00
143.554688	-0.31	11.80	1.00
146.484375	-0.29	11.62	1.00
149.414063	-0.28	11.53	1.00
152.343750	-0.29	11.39	1.00
155.273438	-0.33	11.11	1.00
158.203125	-0.43	11.03	1.00
161.132813	-0.41	10.81	1.00
164.062500	-0.34	10.47	1.00
