	ECM8000_TF_45_15		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-25.31	-147.12	0.96
5.859375	-20.50	-161.95	0.91
8.789063	-20.13	156.90	0.77
11.718750	-10.52	127.31	0.99
14.648438	-7.51	104.30	0.99
17.578125	-5.53	98.35	1.00
20.507813	-7.85	99.07	0.94
23.437500	-9.36	87.47	0.88
26.367188	-8.33	76.66	0.88
29.296875	-15.53	48.93	0.73
32.226563	-2.03	59.33	1.00
35.156250	-1.82	53.69	1.00
38.085938	-1.71	50.08	1.00
41.015625	-1.57	49.97	1.00
43.945313	-1.39	44.22	1.00
46.875000	-1.29	41.92	1.00
49.804688	-1.11	38.41	1.00
52.734375	-1.01	35.86	1.00
55.664063	-0.94	35.33	1.00
58.593750	-0.77	33.37	1.00
61.523438	-0.69	33.63	1.00
64.453125	-0.83	30.06	1.00
67.382813	-0.73	28.31	1.00
70.312500	-0.77	28.10	1.00
73.242188	-0.76	26.42	1.00
76.171875	-0.72	25.80	1.00
79.101563	-0.71	24.29	1.00
82.031250	-0.64	22.41	1.00
84.960938	-0.58	22.08	1.00
87.890625	-0.59	22.15	1.00
90.820313	-0.51	21.39	1.00
93.750000	-0.57	19.90	1.00
96.679688	-0.60	19.86	1.00
99.609375	-0.63	19.43	1.00
102.539063	-0.57	19.00	1.00
105.468750	-0.46	18.45	1.00
108.398438	-0.40	16.91	1.00
111.328125	-0.39	16.75	1.00
114.257813	-0.41	16.48	1.00
117.187500	-0.44	16.23	1.00
120.117188	-0.41	15.63	1.00
123.046875	-0.41	14.69	1.00
125.976563	-0.37	14.46	1.00
128.906250	-0.38	13.90	1.00
131.835938	-0.36	13.67	1.00
134.765625	-0.41	13.20	1.00
137.695313	-0.42	12.93	1.00
140.625000	-0.45	12.84	1.00
143.554688	-0.45	12.62	1.00
146.484375	-0.45	12.14	1.00
149.414063	-0.37	12.10	1.00
152.343750	-0.35	11.63	1.00
155.273438	-0.37	11.08	1.00
158.203125	-0.39	10.93	1.00
161.132813	-0.40	10.81	1.00
164.062500	-0.38	10.66	1.00
166.992188	-0.36	10.48	1.00
169.921875	-0.33	10.05	1.00
172.851563	-0.33	9.47	1.00
175.781250	-0.34	9.11	1.00
178.710938	-0.38	8.87	1.00
181.640625	-0.37	8.86	1.00
184.570313	-0.36	8.74	1.00
187.500000	-0.36	8.42	1.00
190.429688	-0.35	8.05	1.00
193.359375	-0.38	7.80	1.00
196.289063	-0.42	7.49	1.00
199.218750	-0.44	7.33	1.00
202.148438	-0.46	7.24	1.00
205.078125	-0.46	7.17	1.00
208.007813	-0.47	7.08	1.00
210.937500	-0.47	7.20	1.00
213.867188	-0.51	7.26	1.00
216.796875	-0.52	7.10	1.00
219.726563	-0.52	6.72	1.00
222.656250	-0.50	6.52	1.00
225.585938	-0.52	6.25	1.00
228.515625	-0.53	5.99	1.00
231.445313	-0.52	5.93	1.00
234.375000	-0.53	5.86	1.00
237.304688	-0.55	5.72	1.00
240.234375	-0.55	5.69	1.00
243.164063	-0.54	5.66	1.00
246.093750	-0.53	5.64	1.00
249.023438	-0.52	5.63	1.00
251.953125	-0.51	5.58	1.00
254.882813	-0.50	5.48	1.00
257.812500	-0.50	5.32	1.00
260.742188	-0.49	5.24	1.00
263.671875	-0.47	5.19	1.00
266.601563	-0.49	5.14	1.00
269.531250	-0.51	5.04	1.00
272.460938	-0.52	4.93	1.00
275.390625	-0.53	4.72	1.00
278.320313	-0.53	4.63	1.00
281.250000	-0.52	4.53	1.00
284.179688	-0.53	4.43	1.00
287.109375	-0.53	4.33	1.00
290.039063	-0.53	4.41	1.00
292.968750	-0.53	4.39	1.00
295.898438	-0.55	4.33	1.00
298.828125	-0.56	4.29	1.00
301.757813	-0.57	4.31	1.00
304.687500	-0.57	4.42	1.00
307.617188	-0.57	4.52	1.00
310.546875	-0.57	4.46	1.00
313.476563	-0.56	4.25	1.00
316.406250	-0.55	4.10	1.00
319.335938	-0.53	3.97	1.00
322.265625	-0.51	3.89	1.00
325.195313	-0.50	3.79	1.00
328.125000	-0.50	3.69	1.00
331.054688	-0.50	3.61	1.00
333.984375	-0.49	3.57	1.00
336.914063	-0.49	3.44	1.00
339.843750	-0.50	3.25	1.00
