	ECM8000_TF_0_0		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1286.132813	-1.23	-1.70	1.00
1289.062500	-1.24	-1.76	1.00
1291.992188	-1.25	-1.81	1.00
1294.921875	-1.26	-1.86	1.00
1297.851563	-1.28	-1.91	1.00
1300.781250	-1.29	-1.94	1.00
1303.710938	-1.31	-1.95	1.00
1306.640625	-1.32	-1.94	1.00
1309.570313	-1.34	-1.91	1.00
1312.500000	-1.35	-1.88	1.00
1315.429688	-1.36	-1.86	1.00
1318.359375	-1.37	-1.84	1.00
1321.289063	-1.38	-1.82	1.00
1324.218750	-1.39	-1.80	1.00
1327.148438	-1.39	-1.77	1.00
1330.078125	-1.39	-1.75	1.00
1333.007813	-1.39	-1.73	1.00
1335.937500	-1.40	-1.72	1.00
1338.867188	-1.40	-1.70	1.00
1341.796875	-1.40	-1.70	1.00
1344.726563	-1.40	-1.69	1.00
1347.656250	-1.41	-1.69	1.00
1350.585938	-1.41	-1.69	1.00
1353.515625	-1.41	-1.69	1.00
1356.445313	-1.42	-1.69	1.00
1359.375000	-1.42	-1.70	1.00
1362.304688	-1.42	-1.70	1.00
1365.234375	-1.43	-1.70	1.00
1368.164063	-1.44	-1.69	1.00
1371.093750	-1.45	-1.67	1.00
1374.023438	-1.45	-1.64	1.00
1376.953125	-1.46	-1.61	1.00
1379.882813	-1.46	-1.58	1.00
1382.812500	-1.47	-1.54	1.00
1385.742188	-1.48	-1.50	1.00
1388.671875	-1.48	-1.45	1.00
1391.601563	-1.48	-1.40	1.00
1394.531250	-1.48	-1.36	1.00
1397.460938	-1.48	-1.32	1.00
1400.390625	-1.48	-1.28	1.00
1403.320313	-1.48	-1.24	1.00
1406.250000	-1.48	-1.20	1.00
1409.179688	-1.48	-1.14	1.00
1412.109375	-1.48	-1.06	1.00
1415.039063	-1.48	-1.00	1.00
1417.968750	-1.47	-0.95	1.00
1420.898438	-1.46	-0.92	1.00
1423.828125	-1.46	-0.89	1.00
1426.757813	-1.45	-0.87	1.00
1429.687500	-1.45	-0.85	1.00
1432.617188	-1.45	-0.82	1.00
1435.546875	-1.44	-0.79	1.00
1438.476563	-1.44	-0.76	1.00
1441.406250	-1.43	-0.73	1.00
1444.335938	-1.43	-0.70	1.00
1447.265625	-1.42	-0.66	1.00
1450.195313	-1.41	-0.62	1.00
1453.125000	-1.40	-0.59	1.00
1456.054688	-1.39	-0.56	1.00
1458.984375	-1.38	-0.53	1.00
1461.914063	-1.37	-0.51	1.00
1464.843750	-1.35	-0.49	1.00
1467.773438	-1.34	-0.50	1.00
1470.703125	-1.33	-0.53	1.00
1473.632813	-1.31	-0.58	1.00
1476.562500	-1.30	-0.64	1.00
1479.492188	-1.29	-0.71	1.00
1482.421875	-1.28	-0.78	1.00
1485.351563	-1.28	-0.84	1.00
1488.281250	-1.27	-0.89	1.00
1491.210938	-1.27	-0.94	1.00
1494.140625	-1.27	-0.99	1.00
1497.070313	-1.26	-1.03	1.00
1500.000000	-1.26	-1.08	1.00
1502.929688	-1.26	-1.13	1.00
1505.859375	-1.26	-1.17	1.00
1508.789063	-1.26	-1.20	1.00
1511.718750	-1.26	-1.23	1.00
1514.648438	-1.27	-1.26	1.00
1517.578125	-1.27	-1.29	1.00
1520.507813	-1.27	-1.31	1.00
1523.437500	-1.28	-1.32	1.00
1526.367188	-1.28	-1.32	1.00
1529.296875	-1.28	-1.32	1.00
1532.226563	-1.28	-1.33	1.00
1535.156250	-1.29	-1.34	1.00
1538.085938	-1.29	-1.35	1.00
1541.015625	-1.30	-1.36	1.00
1543.945313	-1.30	-1.37	1.00
1546.875000	-1.31	-1.37	1.00
1549.804688	-1.33	-1.37	1.00
1552.734375	-1.34	-1.35	1.00
1555.664063	-1.35	-1.32	1.00
1558.593750	-1.37	-1.28	1.00
1561.523438	-1.38	-1.22	1.00
1564.453125	-1.39	-1.14	1.00
1567.382813	-1.41	-1.05	0.99
1570.312500	-1.42	-0.94	0.99
1573.242188	-1.43	-0.81	1.00
1576.171875	-1.43	-0.70	0.99
1579.101563	-1.43	-0.60	1.00
1582.031250	-1.44	-0.49	1.00
1584.960938	-1.44	-0.36	0.99
1587.890625	-1.43	-0.25	1.00
1590.820313	-1.43	-0.15	0.99
1593.750000	-1.43	-0.09	0.99
1596.679688	-1.42	-0.04	1.00
1599.609375	-1.42	0.01	1.00
1602.539063	-1.41	0.04	1.00
1605.468750	-1.41	0.08	1.00
1608.398438	-1.41	0.10	1.00
1611.328125	-1.40	0.13	1.00
1614.257813	-1.40	0.16	1.00
1617.187500	-1.40	0.18	1.00
1620.117188	-1.40	0.19	1.00
1623.046875	-1.40	0.21	1.00
1625.976563	-1.39	0.24	1.00
1628.906250	-1.39	0.25	1.00
1631.835938	-1.39	0.26	1.00
1634.765625	-1.38	0.28	1.00
1637.695313	-1.37	0.29	1.00
1640.625000	-1.36	0.31	1.00
1643.554688	-1.35	0.33	1.00
