	SM57_TF_0_180		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
509.765625	-21.67	48.33	0.93
512.695313	-21.53	50.01	0.82
515.625000	-21.47	54.59	0.67
518.554688	-21.20	60.12	0.38
521.484375	-20.84	61.58	0.72
524.414063	-20.44	61.29	0.68
527.343750	-20.08	61.62	0.52
530.273438	-19.59	64.10	0.11
533.203125	-19.05	65.64	0.35
536.132813	-18.65	67.89	0.61
539.062500	-18.40	68.83	0.80
541.992188	-18.23	68.57	0.80
544.921875	-18.08	68.11	0.80
547.851563	-17.88	68.88	0.72
550.781250	-17.55	70.44	0.63
553.710938	-17.09	73.50	0.51
556.640625	-16.57	78.50	0.51
559.570313	-16.08	80.74	0.89
562.500000	-15.81	75.88	0.97
565.429688	-15.72	70.88	0.97
568.359375	-15.71	65.74	0.98
571.289063	-15.75	60.83	0.98
574.218750	-15.83	56.23	0.98
577.148438	-15.94	51.97	0.96
580.078125	-16.08	48.23	0.81
583.007813	-16.25	46.06	0.75
585.937500	-16.32	44.58	0.86
588.867188	-16.30	44.83	0.54
591.796875	-16.15	47.30	0.15
594.726563	-15.88	49.63	0.54
597.656250	-15.59	51.29	0.82
600.585938	-15.43	50.69	0.90
603.515625	-15.44	48.85	0.92
606.445313	-15.59	47.85	0.89
609.375000	-15.81	46.66	0.96
612.304688	-16.09	46.29	0.89
615.234375	-16.43	46.64	0.93
618.164063	-16.73	48.25	0.83
621.093750	-16.95	51.30	0.44
624.023438	-16.85	54.57	0.61
626.953125	-16.57	56.97	0.85
629.882813	-16.27	57.57	0.86
632.812500	-15.97	57.29	0.94
635.742188	-15.67	56.06	0.96
638.671875	-15.42	53.87	0.96
641.601563	-15.28	51.37	0.98
644.531250	-15.25	48.25	0.99
647.460938	-15.28	45.61	0.98
650.390625	-15.36	43.42	0.97
653.320313	-15.43	41.49	0.97
656.250000	-15.47	39.64	0.97
659.179688	-15.54	37.51	0.96
662.109375	-15.63	35.35	0.96
665.039063	-15.79	33.09	0.94
667.968750	-15.97	31.70	0.94
670.898438	-16.16	31.16	0.90
673.828125	-16.27	31.19	0.82
676.757813	-16.25	31.58	0.90
679.687500	-16.09	31.79	0.87
682.617188	-15.94	30.89	0.96
685.546875	-15.83	29.62	0.97
688.476563	-15.80	28.20	0.96
691.406250	-15.83	26.99	0.96
694.335938	-15.87	26.16	0.97
697.265625	-15.90	25.41	0.97
700.195313	-15.91	25.14	0.96
703.125000	-15.84	25.26	0.73
706.054688	-15.65	25.41	0.88
708.984375	-15.41	24.61	0.94
711.914063	-15.13	22.93	0.95
714.843750	-14.91	20.47	0.97
717.773438	-14.73	17.82	0.98
720.703125	-14.61	15.48	0.99
723.632813	-14.54	13.96	0.87
726.562500	-14.46	12.98	0.86
729.492188	-14.42	13.95	0.77
732.421875	-14.38	15.24	0.68
735.351563	-14.35	16.73	0.17
738.281250	-14.33	17.73	0.74
741.210938	-14.31	19.55	0.82
744.140625	-14.24	22.48	0.77
747.070313	-14.06	26.40	0.77
750.000000	-13.85	31.27	0.69
752.929688	-13.66	36.64	0.35
755.859375	-13.49	41.79	0.37
758.789063	-13.36	44.87	0.37
761.718750	-13.33	46.61	0.39
764.648438	-13.24	47.00	0.63
767.578125	-13.14	46.99	0.87
770.507813	-13.02	46.31	0.88
773.437500	-12.89	45.70	0.89
776.367188	-12.72	45.38	0.46
779.296875	-12.54	44.57	0.72
782.226563	-12.41	43.32	0.83
785.156250	-12.33	42.14	0.89
788.085938	-12.27	41.04	0.89
791.015625	-12.23	40.27	0.92
793.945313	-12.21	39.10	0.94
796.875000	-12.20	37.47	0.96
799.804688	-12.23	35.90	0.93
802.734375	-12.28	34.38	0.75
805.664063	-12.33	33.22	0.73
808.593750	-12.41	32.63	0.81
811.523438	-12.52	31.96	0.90
814.453125	-12.61	31.06	0.95
817.382813	-12.72	29.94	0.96
820.312500	-12.86	28.22	0.97
823.242188	-13.00	26.61	0.98
826.171875	-13.14	25.09	0.98
829.101563	-13.29	23.74	0.94
832.031250	-13.44	22.69	0.92
834.960938	-13.56	21.84	0.88
837.890625	-13.62	21.00	0.96
840.820313	-13.66	20.18	0.97
843.750000	-13.69	19.24	0.91
846.679688	-13.74	18.13	0.89
849.609375	-13.80	16.83	0.91
852.539063	-13.87	15.59	0.98
855.468750	-13.95	14.16	0.95
858.398438	-14.06	12.50	0.97
861.328125	-14.18	11.19	0.93
864.257813	-14.26	9.99	0.90
867.187500	-14.33	8.82	0.95
870.117188	-14.42	7.94	0.96
873.046875	-14.51	7.10	0.94
875.976563	-14.58	6.49	0.90
878.906250	-14.62	6.18	0.80
881.835938	-14.67	6.19	0.85
884.765625	-14.72	6.48	0.91
887.695313	-14.71	6.96	0.89
890.625000	-14.70	7.80	0.60
893.554688	-14.67	8.82	0.69
896.484375	-14.63	9.60	0.93
899.414063	-14.58	9.68	0.97
902.343750	-14.53	9.18	0.96
905.273438	-14.52	8.30	0.98
908.203125	-14.55	7.15	0.98
911.132813	-14.64	6.01	0.99
914.062500	-14.75	5.14	0.98
916.992188	-14.90	4.70	0.94
919.921875	-15.05	4.62	0.95
922.851563	-15.18	5.01	0.89
925.781250	-15.29	5.94	0.69
928.710938	-15.32	6.84	0.70
931.640625	-15.27	7.74	0.57
934.570313	-15.13	8.61	0.94
937.500000	-14.96	8.85	0.99
940.429688	-14.78	8.77	0.99
943.359375	-14.59	8.39	0.99
946.289063	-14.40	7.73	0.99
949.218750	-14.21	6.79	0.99
952.148438	-14.04	5.58	0.97
955.078125	-13.89	4.23	0.97
958.007813	-13.76	2.94	0.97
960.937500	-13.67	1.77	0.94
963.867188	-13.59	0.95	0.98
966.796875	-13.56	1.14	0.97
969.726563	-13.58	2.68	0.82
972.656250	-13.65	6.03	0.58
975.585938	-13.77	10.23	0.62
978.515625	-13.84	14.25	0.81
981.445313	-13.90	17.21	0.88
984.375000	-13.94	19.12	0.94
987.304688	-13.96	20.22	0.90
990.234375	-13.96	20.47	0.91
993.164063	-14.00	20.26	0.95
996.093750	-14.06	19.70	0.95
999.023438	-14.11	19.26	0.97
1001.953125	-14.16	19.00	0.91
1004.882813	-14.20	18.69	0.91
1007.812500	-14.26	18.34	0.95
1010.742188	-14.31	18.14	0.87
1013.671875	-14.36	18.04	0.98
1016.601563	-14.40	17.71	0.95
1019.531250	-14.41	17.32	0.93
1022.460938	-14.39	17.11	0.78
1025.390625	-14.31	16.97	0.79
1028.320313	-14.21	16.48	0.88
1031.250000	-14.15	15.98	0.94
1034.179688	-14.11	15.03	0.98
1037.109375	-14.07	13.91	0.98
1040.039063	-14.04	12.68	0.99
1042.968750	-14.01	11.29	0.99
1045.898438	-14.02	9.79	0.97
1048.828125	-14.07	8.30	0.94
1051.757813	-14.14	6.94	0.94
1054.687500	-14.20	5.84	0.97
1057.617188	-14.27	4.77	0.98
1060.546875	-14.34	3.88	0.96
1063.476563	-14.41	3.08	0.97
1066.406250	-14.48	2.48	0.95
1069.335938	-14.54	2.08	0.91
1072.265625	-14.57	1.74	0.94
1075.195313	-14.57	1.46	0.92
1078.125000	-14.55	1.03	0.98
1081.054688	-14.54	0.41	0.99
1083.984375	-14.54	-0.38	0.99
1086.914063	-14.56	-1.30	0.99
1089.843750	-14.60	-2.24	0.99
1092.773438	-14.65	-3.09	0.98
1095.703125	-14.72	-3.82	0.99
1098.632813	-14.78	-4.50	0.97
1101.562500	-14.84	-5.13	0.97
1104.492188	-14.91	-5.47	0.98
1107.421875	-15.00	-5.51	0.96
1110.351563	-15.07	-5.19	0.92
1113.281250	-15.12	-4.58	0.36
1116.210938	-15.12	-4.30	0.79
