	SM57_PROX_20_BASS_REFLEX_SIN_LANA		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
5815.429688	-5.54	-155.59	0.63
5818.359375	-5.55	-155.79	0.80
5821.289063	-5.56	-156.00	0.80
5824.218750	-5.57	-156.23	0.56
5827.148438	-5.59	-156.47	0.69
5830.078125	-5.60	-156.72	0.80
5833.007813	-5.61	-156.98	0.60
5835.937500	-5.62	-157.24	0.53
5838.867188	-5.63	-157.50	0.63
5841.796875	-5.65	-157.76	0.68
5844.726563	-5.66	-158.01	0.72
5847.656250	-5.67	-158.26	0.76
5850.585938	-5.68	-158.51	0.64
5853.515625	-5.70	-158.77	0.60
5856.445313	-5.71	-159.04	0.51
5859.375000	-5.72	-159.31	0.50
5862.304688	-5.73	-159.59	0.46
5865.234375	-5.75	-159.86	0.77
5868.164063	-5.76	-160.13	0.61
5871.093750	-5.77	-160.40	0.79
5874.023438	-5.78	-160.66	0.51
5876.953125	-5.80	-160.94	0.80
5879.882813	-5.81	-161.20	0.67
5882.812500	-5.82	-161.45	0.41
5885.742188	-5.84	-161.70	0.19
5888.671875	-5.85	-161.95	0.10
5891.601563	-5.87	-162.19	0.10
5894.531250	-5.88	-162.44	0.38
5897.460938	-5.90	-162.71	0.42
5900.390625	-5.91	-163.00	0.43
5903.320313	-5.93	-163.30	0.48
5906.250000	-5.95	-163.60	0.16
5909.179688	-5.96	-163.92	0.18
5912.109375	-5.98	-164.23	0.08
5915.039063	-5.99	-164.55	0.13
5917.968750	-6.01	-164.87	0.28
5920.898438	-6.02	-165.19	0.40
5923.828125	-6.03	-165.53	0.60
5926.757813	-6.05	-165.85	0.35
5929.687500	-6.06	-166.18	0.27
5932.617188	-6.07	-166.50	0.23
5935.546875	-6.09	-166.82	0.28
5938.476563	-6.10	-167.14	0.47
5941.406250	-6.12	-167.46	0.27
5944.335938	-6.13	-167.78	0.22
5947.265625	-6.15	-168.09	0.18
5950.195313	-6.17	-168.41	0.65
5953.125000	-6.18	-168.72	0.76
5956.054688	-6.20	-169.05	0.61
5958.984375	-6.21	-169.37	0.58
5961.914063	-6.23	-169.69	0.53
5964.843750	-6.24	-170.01	0.40
5967.773438	-6.26	-170.32	0.21
5970.703125	-6.28	-170.63	0.17
5973.632813	-6.29	-170.94	0.14
5976.562500	-6.31	-171.25	0.53
5979.492188	-6.32	-171.56	0.32
5982.421875	-6.34	-171.88	0.36
5985.351563	-6.35	-172.21	0.45
5988.281250	-6.36	-172.55	0.62
5991.210938	-6.38	-172.88	0.58
5994.140625	-6.39	-173.19	0.75
5997.070313	-6.40	-173.50	0.68
6000.000000	-6.41	-173.80	0.32
6002.929688	-6.42	-174.08	0.35
6005.859375	-6.43	-174.36	0.35
6008.789063	-6.44	-174.63	0.36
6011.718750	-6.45	-174.90	0.24
6014.648438	-6.46	-175.18	0.18
6017.578125	-6.47	-175.46	0.62
6020.507813	-6.48	-175.75	0.70
6023.437500	-6.48	-176.03	0.49
6026.367188	-6.49	-176.32	0.70
6029.296875	-6.49	-176.61	0.47
6032.226563	-6.50	-176.90	0.53
6035.156250	-6.50	-177.20	0.36
6038.085938	-6.50	-177.48	0.50
6041.015625	-6.51	-177.75	0.33
6043.945313	-6.51	-178.01	0.43
6046.875000	-6.51	-178.28	0.88
6049.804688	-6.50	-178.54	0.65
6052.734375	-6.50	-178.80	0.36
6055.664063	-6.50	-179.05	0.55
6058.593750	-6.50	-179.28	0.53
6061.523438	-6.49	-179.49	0.18
6064.453125	-6.49	-179.69	0.33
6067.382813	-6.48	-179.90	0.36
6070.312500	-6.48	179.88	0.58
6073.242188	-6.47	179.66	0.69
6076.171875	-6.46	179.45	0.63
6079.101563	-6.45	179.24	0.64
6082.031250	-6.45	179.04	0.61
6084.960938	-6.44	178.86	0.61
6087.890625	-6.43	178.68	0.61
6090.820313	-6.43	178.49	0.72
6093.750000	-6.42	178.31	0.74
6096.679688	-6.42	178.13	0.87
6099.609375	-6.41	177.95	0.90
6102.539063	-6.41	177.75	0.93
6105.468750	-6.40	177.54	0.98
6108.398438	-6.40	177.31	0.69
6111.328125	-6.39	177.06	0.28
6114.257813	-6.39	176.83	0.13
6117.187500	-6.39	176.61	0.35
6120.117188	-6.39	176.40	0.62
6123.046875	-6.38	176.19	0.57
6125.976563	-6.38	175.98	0.58
6128.906250	-6.38	175.77	0.66
6131.835938	-6.38	175.56	0.67
6134.765625	-6.38	175.37	0.53
6137.695313	-6.37	175.17	0.23
6140.625000	-6.37	174.98	0.26
6143.554688	-6.37	174.80	0.36
6146.484375	-6.37	174.65	0.43
6149.414063	-6.37	174.53	0.48
6152.343750	-6.37	174.42	0.53
6155.273438	-6.37	174.33	0.17
6158.203125	-6.36	174.23	0.24
6161.132813	-6.36	174.12	0.07
6164.062500	-6.36	174.02	0.21
6166.992188	-6.35	173.90	0.37
6169.921875	-6.35	173.80	0.12
6172.851563	-6.34	173.70	0.39
6175.781250	-6.34	173.61	0.72
6178.710938	-6.34	173.50	0.77
6181.640625	-6.33	173.38	0.56
6184.570313	-6.33	173.25	0.46
6187.500000	-6.33	173.13	0.24
6190.429688	-6.33	173.01	0.03
6193.359375	-6.32	172.90	0.16
6196.289063	-6.32	172.79	0.20
6199.218750	-6.32	172.68	0.33
6202.148438	-6.31	172.57	0.28
6205.078125	-6.31	172.47	0.14
6208.007813	-6.31	172.37	0.04
6210.937500	-6.31	172.28	0.05
6213.867188	-6.31	172.20	0.16
6216.796875	-6.31	172.13	0.27
6219.726563	-6.31	172.04	0.24
6222.656250	-6.31	171.94	0.03
6225.585938	-6.31	171.84	0.28
6228.515625	-6.31	171.73	0.50
6231.445313	-6.31	171.63	0.57
6234.375000	-6.31	171.54	0.72
6237.304688	-6.31	171.52	0.50
6240.234375	-6.31	171.50	0.28
6243.164063	-6.31	171.48	0.32
6246.093750	-6.31	171.45	0.23
6249.023438	-6.31	171.40	0.16
6251.953125	-6.31	171.36	0.04
6254.882813	-6.31	171.31	0.33
6257.812500	-6.31	171.27	0.28
6260.742188	-6.31	171.23	0.27
6263.671875	-6.32	171.21	0.19
6266.601563	-6.32	171.19	0.35
6269.531250	-6.32	171.19	0.30
6272.460938	-6.32	171.22	0.10
6275.390625	-6.32	171.26	0.07
6278.320313	-6.32	171.30	0.09
6281.250000	-6.32	171.34	0.07
6284.179688	-6.32	171.37	0.24
6287.109375	-6.32	171.40	0.39
6290.039063	-6.33	171.41	0.47
6292.968750	-6.33	171.42	0.43
6295.898438	-6.33	171.44	0.34
6298.828125	-6.33	171.46	0.26
6301.757813	-6.33	171.47	0.38
6304.687500	-6.33	171.46	0.29
6307.617188	-6.33	171.45	0.01
6310.546875	-6.34	171.44	0.06
6313.476563	-6.34	171.44	0.10
6316.406250	-6.34	171.45	0.18
6319.335938	-6.34	171.46	0.40
6322.265625	-6.34	171.47	0.66
6325.195313	-6.34	171.50	0.48
6328.125000	-6.35	171.53	0.25
6331.054688	-6.35	171.53	0.44
6333.984375	-6.35	171.52	0.51
6336.914063	-6.35	171.50	0.58
6339.843750	-6.36	171.47	0.48
6342.773438	-6.36	171.41	0.30
6345.703125	-6.36	171.34	0.13
6348.632813	-6.37	171.27	0.12
6351.562500	-6.37	171.17	0.29
6354.492188	-6.38	171.04	0.36
6357.421875	-6.38	170.89	0.71
6360.351563	-6.39	170.75	0.77
6363.281250	-6.39	170.64	0.70
6366.210938	-6.40	170.54	0.39
6369.140625	-6.40	170.43	0.14
6372.070313	-6.41	170.31	0.20
6375.000000	-6.41	170.20	0.25
6377.929688	-6.42	170.07	0.11
6380.859375	-6.42	169.95	0.18
6383.789063	-6.43	169.84	0.23
6386.718750	-6.44	169.74	0.34
6389.648438	-6.44	169.65	0.33
6392.578125	-6.45	169.57	0.37
6395.507813	-6.45	169.48	0.53
6398.437500	-6.46	169.41	0.31
6401.367188	-6.47	169.37	0.20
6404.296875	-6.47	169.33	0.22
6407.226563	-6.48	169.31	0.30
6410.156250	-6.49	169.28	0.24
6413.085938	-6.50	169.25	0.37
6416.015625	-6.51	169.24	0.48
6418.945313	-6.52	169.23	0.44
6421.875000	-6.53	169.24	0.17
6424.804688	-6.54	169.21	0.13
6427.734375	-6.55	169.17	0.32
6430.664063	-6.56	169.11	0.24
6433.593750	-6.58	169.01	0.18
6436.523438	-6.59	168.91	0.14
6439.453125	-6.60	168.79	0.18
6442.382813	-6.61	168.67	0.31
6445.312500	-6.63	168.53	0.46
6448.242188	-6.64	168.36	0.36
6451.171875	-6.65	168.18	0.28
6454.101563	-6.66	168.01	0.42
6457.031250	-6.67	167.86	0.37
6459.960938	-6.68	167.72	0.19
6462.890625	-6.69	167.57	0.66
6465.820313	-6.70	167.43	0.42
6468.750000	-6.71	167.28	0.54
6471.679688	-6.72	167.08	0.67
6474.609375	-6.73	166.86	0.76
6477.539063	-6.74	166.62	0.69
6480.468750	-6.75	166.35	0.55
6483.398438	-6.76	166.07	0.29
6486.328125	-6.77	165.77	0.19
6489.257813	-6.78	165.44	0.39
6492.187500	-6.78	165.09	0.38
6495.117188	-6.79	164.71	0.40
6498.046875	-6.80	164.29	0.33
6500.976563	-6.80	163.86	0.42
6503.906250	-6.81	163.41	0.42
6506.835938	-6.82	162.95	0.29
6509.765625	-6.83	162.49	0.34
6512.695313	-6.84	162.03	0.54
6515.625000	-6.84	161.57	0.49
6518.554688	-6.85	161.12	0.54
6521.484375	-6.86	160.67	0.69
6524.414063	-6.87	160.22	0.56
6527.343750	-6.88	159.77	0.57
6530.273438	-6.88	159.34	0.56
6533.203125	-6.89	158.94	0.51
6536.132813	-6.90	158.55	0.45
6539.062500	-6.91	158.17	0.47
6541.992188	-6.92	157.79	0.27
6544.921875	-6.93	157.40	0.31
6547.851563	-6.94	157.05	0.59
6550.781250	-6.96	156.76	0.57
6553.710938	-6.97	156.50	0.49
6556.640625	-6.98	156.24	0.39
6559.570313	-7.00	155.95	0.25
6562.500000	-7.02	155.67	0.35
6565.429688	-7.03	155.36	0.45
6568.359375	-7.05	155.05	0.37
6571.289063	-7.07	154.74	0.50
6574.218750	-7.09	154.46	0.55
6577.148438	-7.11	154.19	0.42
6580.078125	-7.13	153.87	0.27
6583.007813	-7.15	153.52	0.14
6585.937500	-7.17	153.14	0.20
6588.867188	-7.19	152.74	0.39
6591.796875	-7.21	152.34	0.43
6594.726563	-7.23	151.94	0.42
6597.656250	-7.25	151.55	0.34
6600.585938	-7.26	151.18	0.75
6603.515625	-7.28	150.82	0.83
6606.445313	-7.30	150.50	0.67
6609.375000	-7.32	150.20	0.44
6612.304688	-7.34	149.89	0.36
6615.234375	-7.35	149.58	0.47
6618.164063	-7.37	149.25	0.71
6621.093750	-7.38	148.94	0.78
6624.023438	-7.40	148.65	0.60
6626.953125	-7.41	148.38	0.53
6629.882813	-7.42	148.14	0.54
6632.812500	-7.43	147.89	0.39
6635.742188	-7.44	147.65	0.48
6638.671875	-7.46	147.43	0.43
6641.601563	-7.47	147.22	0.36
6644.531250	-7.48	147.01	0.45
6647.460938	-7.49	146.81	0.50
6650.390625	-7.50	146.63	0.35
6653.320313	-7.51	146.42	0.48
6656.250000	-7.52	146.14	0.56
6659.179688	-7.54	145.78	0.35
6662.109375	-7.54	145.44	0.68
6665.039063	-7.55	145.07	0.65
6667.968750	-7.57	144.70	0.79
6670.898438	-7.58	144.30	0.88
6673.828125	-7.59	143.84	0.87
6676.757813	-7.59	143.33	0.69
6679.687500	-7.60	142.75	0.08
6682.617188	-7.61	142.17	0.48
6685.546875	-7.62	141.61	0.34
6688.476563	-7.63	141.07	0.21
6691.406250	-7.64	140.53	0.20
6694.335938	-7.65	139.96	0.17
6697.265625	-7.66	139.36	0.04
6700.195313	-7.67	138.77	0.09
6703.125000	-7.67	138.14	0.24
6706.054688	-7.68	137.47	0.08
6708.984375	-7.69	136.77	0.22
6711.914063	-7.70	136.05	0.25
6714.843750	-7.71	135.33	0.24
6717.773438	-7.72	134.59	0.29
6720.703125	-7.73	133.83	0.34
6723.632813	-7.74	133.02	0.22
6726.562500	-7.75	132.20	0.28
6729.492188	-7.76	131.36	0.05
6732.421875	-7.77	130.48	0.34
6735.351563	-7.78	129.57	0.38
6738.281250	-7.79	128.64	0.28
6741.210938	-7.80	127.69	0.15
6744.140625	-7.81	126.75	0.04
6747.070313	-7.82	125.80	0.21
6750.000000	-7.83	124.84	0.57
6752.929688	-7.84	123.85	0.57
6755.859375	-7.85	122.85	0.57
6758.789063	-7.86	121.88	0.50
6761.718750	-7.86	120.93	0.29
6764.648438	-7.87	119.97	0.19
6767.578125	-7.88	118.97	0.16
6770.507813	-7.89	117.93	0.25
6773.437500	-7.90	116.85	0.51
6776.367188	-7.91	115.72	0.46
6779.296875	-7.91	114.53	0.26
6782.226563	-7.92	113.32	0.38
6785.156250	-7.93	112.14	0.49
6788.085938	-7.94	110.99	0.57
6791.015625	-7.94	109.89	0.49
6793.945313	-7.95	108.81	0.21
6796.875000	-7.96	107.71	0.06
6799.804688	-7.97	106.57	0.09
6802.734375	-7.97	105.42	0.12
6805.664063	-7.98	104.26	0.13
6808.593750	-7.98	103.10	0.37
6811.523438	-7.99	101.92	0.44
6814.453125	-7.99	100.72	0.40
6817.382813	-8.00	99.48	0.43
6820.312500	-8.01	98.23	0.43
6823.242188	-8.01	97.00	0.28
6826.171875	-8.02	95.79	0.24
6829.101563	-8.02	94.61	0.37
6832.031250	-8.03	93.41	0.41
6834.960938	-8.03	92.20	0.11
6837.890625	-8.03	90.96	0.28
6840.820313	-8.03	89.68	0.42
6843.750000	-8.04	88.39	0.60
6846.679688	-8.04	87.08	0.62
6849.609375	-8.04	85.75	0.35
6852.539063	-8.03	84.42	0.24
6855.468750	-8.03	83.09	0.30
6858.398438	-8.03	81.78	0.52
6861.328125	-8.02	80.47	0.63
6864.257813	-8.02	79.15	0.08
6867.187500	-8.01	77.84	0.38
6870.117188	-8.01	76.58	0.57
6873.046875	-8.01	75.36	0.58
6875.976563	-8.00	74.18	0.50
6878.906250	-8.00	73.01	0.28
6881.835938	-8.00	71.87	0.35
6884.765625	-7.99	70.77	0.32
6887.695313	-7.99	69.68	0.46
6890.625000	-7.98	68.62	0.57
6893.554688	-7.98	67.61	0.46
6896.484375	-7.98	66.64	0.36
6899.414063	-7.97	65.70	0.71
6902.343750	-7.97	64.80	0.75
6905.273438	-7.96	63.95	0.79
6908.203125	-7.96	63.18	0.64
6911.132813	-7.96	62.43	0.72
6914.062500	-7.95	61.71	0.27
6916.992188	-7.95	61.01	0.07
6919.921875	-7.95	60.33	0.17
6922.851563	-7.94	59.62	0.36
6925.781250	-7.94	58.90	0.45
6928.710938	-7.93	58.18	0.41
6931.640625	-7.92	57.47	0.45
6934.570313	-7.91	56.74	0.32
6937.500000	-7.90	56.03	0.44
6940.429688	-7.89	55.32	0.45
6943.359375	-7.89	54.57	0.47
6946.289063	-7.88	53.83	0.49
6949.218750	-7.87	53.14	0.48
6952.148438	-7.86	52.50	0.45
6955.078125	-7.84	51.89	0.61
6958.007813	-7.83	51.30	0.71
6960.937500	-7.82	50.71	0.75
6963.867188	-7.81	50.12	0.63
6966.796875	-7.80	49.54	0.38
6969.726563	-7.79	48.95	0.22
6972.656250	-7.78	48.36	0.35
6975.585938	-7.76	47.78	0.32
6978.515625	-7.75	47.21	0.40
6981.445313	-7.74	46.64	0.12
6984.375000	-7.73	46.10	0.62
6987.304688	-7.72	45.57	0.76
6990.234375	-7.71	45.07	0.84
6993.164063	-7.70	44.60	0.79
6996.093750	-7.69	44.15	0.34
6999.023438	-7.67	43.71	0.44
7001.953125	-7.66	43.30	0.17
7004.882813	-7.65	42.89	0.35
7007.812500	-7.64	42.50	0.22
7010.742188	-7.62	42.11	0.46
7013.671875	-7.61	41.70	0.62
7016.601563	-7.59	41.27	0.56
7019.531250	-7.58	40.81	0.60
7022.460938	-7.57	40.35	0.73
7025.390625	-7.55	39.90	0.77
7028.320313	-7.54	39.47	0.78
7031.250000	-7.53	39.07	0.67
7034.179688	-7.51	38.69	0.42
7037.109375	-7.50	38.30	0.37
7040.039063	-7.48	37.93	0.51
7042.968750	-7.47	37.56	0.84
7045.898438	-7.46	37.21	0.85
7048.828125	-7.44	36.89	0.73
7051.757813	-7.43	36.59	0.68
7054.687500	-7.42	36.31	0.69
7057.617188	-7.40	36.05	0.60
7060.546875	-7.39	35.81	0.57
7063.476563	-7.38	35.56	0.59
7066.406250	-7.37	35.32	0.47
7069.335938	-7.35	35.08	0.60
7072.265625	-7.34	34.84	0.45
7075.195313	-7.33	34.59	0.47
7078.125000	-7.32	34.35	0.23
7081.054688	-7.31	34.08	0.22
7083.984375	-7.30	33.78	0.17
7086.914063	-7.29	33.47	0.47
7089.843750	-7.28	33.17	0.77
7092.773438	-7.27	32.88	0.83
7095.703125	-7.27	32.61	0.80
7098.632813	-7.26	32.36	0.69
7101.562500	-7.25	32.13	0.52
7104.492188	-7.24	31.90	0.34
7107.421875	-7.23	31.68	0.44
7110.351563	-7.23	31.46	0.55
7113.281250	-7.22	31.24	0.67
7116.210938	-7.21	31.05	0.49
7119.140625	-7.20	30.85	0.30
7122.070313	-7.20	30.64	0.37
7125.000000	-7.19	30.42	0.42
7127.929688	-7.18	30.19	0.74
7130.859375	-7.18	29.91	0.58
7133.789063	-7.17	29.59	0.46
7136.718750	-7.16	29.28	0.57
7139.648438	-7.16	28.96	0.49
7142.578125	-7.15	28.60	0.09
7145.507813	-7.14	28.24	0.49
7148.437500	-7.13	27.91	0.38
7151.367188	-7.13	27.60	0.55
7154.296875	-7.12	27.30	0.48
7157.226563	-7.11	27.02	0.28
7160.156250	-7.11	26.75	0.12
7163.085938	-7.10	26.48	0.45
7166.015625	-7.09	26.23	0.40
7168.945313	-7.08	26.02	0.42
7171.875000	-7.08	25.82	0.34
7174.804688	-7.07	25.63	0.29
7177.734375	-7.06	25.44	0.35
7180.664063	-7.06	25.26	0.32
7183.593750	-7.05	25.06	0.49
7186.523438	-7.04	24.84	0.37
7189.453125	-7.03	24.61	0.20
7192.382813	-7.03	24.34	0.16
7195.312500	-7.02	24.05	0.22
7198.242188	-7.02	23.73	0.18
7201.171875	-7.01	23.39	0.17
7204.101563	-7.00	23.02	0.16
7207.031250	-7.00	22.62	0.36
7209.960938	-6.99	22.22	0.63
7212.890625	-6.98	21.84	0.70
7215.820313	-6.98	21.46	0.79
7218.750000	-6.97	21.09	0.87
7221.679688	-6.97	20.78	0.74
7224.609375	-6.96	20.47	0.75
7227.539063	-6.95	20.18	0.90
7230.468750	-6.95	19.93	0.68
7233.398438	-6.94	19.67	0.53
7236.328125	-6.94	19.43	0.50
7239.257813	-6.94	19.18	0.46
7242.187500	-6.93	18.94	0.57
7245.117188	-6.93	18.74	0.46
7248.046875	-6.93	18.58	0.63
7250.976563	-6.93	18.47	0.66
7253.906250	-6.92	18.39	0.70
7256.835938	-6.92	18.36	0.53
7259.765625	-6.92	18.35	0.60
7262.695313	-6.92	18.27	0.41
7265.625000	-6.91	18.20	0.13
7268.554688	-6.91	18.12	0.12
7271.484375	-6.90	18.02	0.19
7274.414063	-6.90	17.92	0.24
7277.343750	-6.90	17.81	0.35
7280.273438	-6.89	17.65	0.24
7283.203125	-6.89	17.48	0.61
7286.132813	-6.89	17.37	0.51
7289.062500	-6.89	17.35	0.56
7291.992188	-6.88	17.36	0.52
7294.921875	-6.88	17.42	0.34
7297.851563	-6.88	17.52	0.31
7300.781250	-6.87	17.69	0.21
7303.710938	-6.87	17.93	0.37
7306.640625	-6.86	18.14	0.37
7309.570313	-6.86	18.33	0.56
7312.500000	-6.85	18.42	0.64
7315.429688	-6.85	18.53	0.32
7318.359375	-6.84	18.69	0.69
7321.289063	-6.83	18.92	0.66
7324.218750	-6.82	19.17	0.51
7327.148438	-6.82	19.36	0.60
7330.078125	-6.81	19.32	0.47
7333.007813	-6.80	19.12	0.30
7335.937500	-6.79	18.78	0.41
7338.867188	-6.78	18.13	0.23
7341.796875	-6.77	17.29	0.33
7344.726563	-6.77	16.29	0.52
7347.656250	-6.76	15.17	0.70
7350.585938	-6.75	14.02	0.53
7353.515625	-6.75	12.60	0.60
7356.445313	-6.74	10.83	0.61
7359.375000	-6.73	8.39	0.70
7362.304688	-6.72	4.65	0.72
7365.234375	-6.71	-4.50	0.59
7368.164063	-6.71	-89.19	0.57
7371.093750	-6.70	-153.57	0.29
7374.023438	-6.69	-160.76	0.11
7376.953125	-6.68	-163.39	0.13
7379.882813	-6.67	-164.84	0.30
7382.812500	-6.66	-165.84	0.64
7385.742188	-6.65	-166.83	0.47
7388.671875	-6.64	-167.70	0.15
7391.601563	-6.63	-168.35	0.28
7394.531250	-6.62	-168.83	0.09
7397.460938	-6.61	-169.17	0.17
7400.390625	-6.60	-169.36	0.24
7403.320313	-6.59	-169.42	0.12
7406.250000	-6.57	-169.39	0.43
7409.179688	-6.56	-169.43	0.15
7412.109375	-6.55	-169.50	0.31
7415.039063	-6.54	-169.63	0.35
7417.968750	-6.53	-169.76	0.24
7420.898438	-6.52	-169.86	0.14
7423.828125	-6.50	-169.91	0.03
7426.757813	-6.49	-169.93	0.10
7429.687500	-6.48	-169.96	0.09
7432.617188	-6.47	-169.99	0.46
7435.546875	-6.46	-169.95	0.41
7438.476563	-6.45	-169.84	0.25
7441.406250	-6.44	-169.76	0.53
7444.335938	-6.43	-169.77	0.24
7447.265625	-6.42	-169.80	0.10
7450.195313	-6.42	-169.84	0.11
7453.125000	-6.41	-169.86	0.46
7456.054688	-6.40	-169.83	0.53
7458.984375	-6.39	-169.76	0.48
7461.914063	-6.39	-169.61	0.29
7464.843750	-6.38	-169.44	0.07
7467.773438	-6.38	-169.28	0.20
7470.703125	-6.37	-169.11	0.41
7473.632813	-6.37	-168.92	0.24
7476.562500	-6.36	-168.72	0.31
7479.492188	-6.35	-168.55	0.30
7482.421875	-6.35	-168.40	0.40
7485.351563	-6.34	-168.28	0.58
7488.281250	-6.34	-168.23	0.45
7491.210938	-6.34	-168.23	0.40
7494.140625	-6.33	-168.26	0.57
7497.070313	-6.33	-168.33	0.37
7500.000000	-6.33	-168.42	0.23
7502.929688	-6.32	-168.52	0.17
7505.859375	-6.32	-168.63	0.34
7508.789063	-6.32	-168.70	0.73
7511.718750	-6.31	-168.71	0.67
7514.648438	-6.31	-168.64	0.40
7517.578125	-6.31	-168.56	0.28
7520.507813	-6.31	-168.49	0.31
7523.437500	-6.31	-168.46	0.28
7526.367188	-6.31	-168.46	0.24
7529.296875	-6.31	-168.48	0.36
7532.226563	-6.30	-168.53	0.43
7535.156250	-6.30	-168.61	0.24
7538.085938	-6.30	-168.69	0.20
7541.015625	-6.30	-168.79	0.13
7543.945313	-6.30	-168.92	0.20
7546.875000	-6.30	-169.08	0.47
7549.804688	-6.30	-169.24	0.60
7552.734375	-6.30	-169.39	0.52
7555.664063	-6.30	-169.54	0.34
7558.593750	-6.30	-169.69	0.19
7561.523438	-6.30	-169.82	0.26
7564.453125	-6.30	-169.94	0.36
7567.382813	-6.30	-170.03	0.50
7570.312500	-6.30	-170.11	0.55
7573.242188	-6.30	-170.17	0.37
7576.171875	-6.30	-170.24	0.42
7579.101563	-6.30	-170.32	0.48
7582.031250	-6.30	-170.42	0.54
7584.960938	-6.30	-170.53	0.63
7587.890625	-6.30	-170.68	0.47
7590.820313	-6.30	-170.85	0.42
7593.750000	-6.30	-171.04	0.33
7596.679688	-6.31	-171.23	0.41
7599.609375	-6.31	-171.44	0.27
7602.539063	-6.31	-171.66	0.55
7605.468750	-6.31	-171.84	0.64
7608.398438	-6.32	-172.00	0.57
7611.328125	-6.32	-172.14	0.57
7614.257813	-6.32	-172.27	0.69
7617.187500	-6.33	-172.42	0.61
7620.117188	-6.33	-172.58	0.50
7623.046875	-6.34	-172.72	0.37
7625.976563	-6.35	-172.86	0.28
7628.906250	-6.35	-172.99	0.91
7631.835938	-6.36	-173.10	0.67
7634.765625	-6.36	-173.19	0.35
7637.695313	-6.37	-173.27	0.52
7640.625000	-6.37	-173.35	0.72
7643.554688	-6.38	-173.47	0.80
7646.484375	-6.38	-173.62	0.60
7649.414063	-6.39	-173.77	0.64
7652.343750	-6.39	-173.93	0.47
7655.273438	-6.40	-174.11	0.40
7658.203125	-6.41	-174.28	0.52
7661.132813	-6.41	-174.48	0.16
7664.062500	-6.42	-174.67	0.16
7666.992188	-6.43	-174.86	0.66
7669.921875	-6.44	-175.02	0.57
7672.851563	-6.44	-175.18	0.45
7675.781250	-6.45	-175.33	0.35
7678.710938	-6.46	-175.48	0.52
7681.640625	-6.47	-175.61	0.45
7684.570313	-6.48	-175.72	0.15
7687.500000	-6.49	-175.82	0.34
7690.429688	-6.49	-175.93	0.36
7693.359375	-6.50	-176.04	0.56
7696.289063	-6.51	-176.15	0.72
7699.218750	-6.52	-176.25	0.82
7702.148438	-6.53	-176.35	0.55
7705.078125	-6.54	-176.45	0.32
7708.007813	-6.55	-176.54	0.39
7710.937500	-6.56	-176.61	0.57
7713.867188	-6.57	-176.68	0.68
7716.796875	-6.58	-176.75	0.65
7719.726563	-6.59	-176.82	0.67
7722.656250	-6.60	-176.89	0.56
7725.585938	-6.61	-176.96	0.39
7728.515625	-6.62	-177.02	0.56
7731.445313	-6.62	-177.09	0.66
7734.375000	-6.63	-177.14	0.67
7737.304688	-6.64	-177.17	0.46
7740.234375	-6.65	-177.21	0.51
7743.164063	-6.65	-177.25	0.68
7746.093750	-6.66	-177.30	0.79
7749.023438	-6.66	-177.34	0.74
7751.953125	-6.67	-177.39	0.71
7754.882813	-6.68	-177.43	0.58
7757.812500	-6.68	-177.47	0.50
7760.742188	-6.69	-177.53	0.66
7763.671875	-6.69	-177.60	0.59
7766.601563	-6.70	-177.68	0.27
7769.531250	-6.70	-177.77	0.36
7772.460938	-6.71	-177.85	0.33
7775.390625	-6.71	-177.93	0.04
7778.320313	-6.71	-178.02	0.19
7781.250000	-6.72	-178.11	0.45
7784.179688	-6.72	-178.21	0.20
7787.109375	-6.72	-178.31	0.06
7790.039063	-6.73	-178.41	0.38
7792.968750	-6.73	-178.52	0.46
7795.898438	-6.73	-178.65	0.23
7798.828125	-6.74	-178.78	0.15
7801.757813	-6.74	-178.91	0.42
7804.687500	-6.74	-179.04	0.53
7807.617188	-6.74	-179.16	0.62
7810.546875	-6.74	-179.29	0.70
7813.476563	-6.74	-179.41	0.72
7816.406250	-6.75	-179.52	0.53
7819.335938	-6.75	-179.64	0.33
7822.265625	-6.75	-179.74	0.41
7825.195313	-6.75	-179.84	0.32
7828.125000	-6.75	-179.92	0.37
7831.054688	-6.76	-179.98	0.43
7833.984375	-6.76	179.95	0.47
7836.914063	-6.76	179.87	0.51
7839.843750	-6.76	179.79	0.53
7842.773438	-6.76	179.71	0.64
7845.703125	-6.77	179.63	0.74
7848.632813	-6.77	179.55	0.80
7851.562500	-6.77	179.48	0.84
7854.492188	-6.77	179.42	0.84
7857.421875	-6.78	179.37	0.81
7860.351563	-6.78	179.31	0.75
7863.281250	-6.79	179.24	0.45
7866.210938	-6.79	179.18	0.14
7869.140625	-6.80	179.11	0.44
7872.070313	-6.81	179.04	0.09
7875.000000	-6.81	178.96	0.33
7877.929688	-6.82	178.87	0.39
7880.859375	-6.83	178.78	0.56
7883.789063	-6.84	178.67	0.15
7886.718750	-6.85	178.56	0.21
7889.648438	-6.85	178.44	0.22
7892.578125	-6.86	178.33	0.63
7895.507813	-6.87	178.21	0.27
7898.437500	-6.88	178.10	0.65
7901.367188	-6.89	178.00	0.30
7904.296875	-6.90	177.92	0.14
7907.226563	-6.91	177.83	0.12
7910.156250	-6.92	177.74	0.49
7913.085938	-6.93	177.65	0.67
7916.015625	-6.94	177.58	0.29
7918.945313	-6.95	177.48	0.71
7921.875000	-6.96	177.33	0.69
