	SM57_PROX_100MM		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
5736.328125	-6.45	-154.42	0.59
5739.257813	-6.45	-154.29	0.53
5742.187500	-6.45	-154.17	0.53
5745.117188	-6.45	-154.06	0.53
5748.046875	-6.46	-153.95	0.65
5750.976563	-6.46	-153.84	0.67
5753.906250	-6.46	-153.75	0.51
5756.835938	-6.46	-153.67	0.65
5759.765625	-6.46	-153.59	0.54
5762.695313	-6.46	-153.53	0.39
5765.625000	-6.47	-153.48	0.43
5768.554688	-6.47	-153.45	0.57
5771.484375	-6.47	-153.43	0.65
5774.414063	-6.47	-153.44	0.59
5777.343750	-6.47	-153.48	0.51
5780.273438	-6.48	-153.52	0.56
5783.203125	-6.48	-153.57	0.70
5786.132813	-6.48	-153.63	0.47
5789.062500	-6.48	-153.70	0.47
5791.992188	-6.49	-153.77	0.56
5794.921875	-6.49	-153.84	0.65
5797.851563	-6.49	-153.92	0.47
5800.781250	-6.49	-154.00	0.41
5803.710938	-6.50	-154.07	0.40
5806.640625	-6.50	-154.14	0.55
5809.570313	-6.50	-154.22	0.71
5812.500000	-6.50	-154.32	0.73
5815.429688	-6.50	-154.42	0.63
5818.359375	-6.50	-154.54	0.80
5821.289063	-6.51	-154.68	0.75
5824.218750	-6.51	-154.82	0.52
5827.148438	-6.51	-154.99	0.70
5830.078125	-6.51	-155.17	0.91
5833.007813	-6.51	-155.37	0.69
5835.937500	-6.52	-155.59	0.55
5838.867188	-6.52	-155.82	0.67
5841.796875	-6.52	-156.06	0.78
5844.726563	-6.52	-156.30	0.81
5847.656250	-6.53	-156.54	0.75
5850.585938	-6.53	-156.79	0.85
5853.515625	-6.53	-157.03	0.75
5856.445313	-6.53	-157.28	0.77
5859.375000	-6.54	-157.54	0.72
5862.304688	-6.54	-157.81	0.66
5865.234375	-6.54	-158.08	0.89
5868.164063	-6.54	-158.35	0.64
5871.093750	-6.55	-158.61	0.80
5874.023438	-6.55	-158.89	0.41
5876.953125	-6.55	-159.18	0.46
5879.882813	-6.56	-159.47	0.58
5882.812500	-6.56	-159.79	0.68
5885.742188	-6.56	-160.11	0.32
5888.671875	-6.57	-160.44	0.49
5891.601563	-6.57	-160.78	0.31
5894.531250	-6.57	-161.15	0.42
5897.460938	-6.57	-161.53	0.44
5900.390625	-6.58	-161.94	0.44
5903.320313	-6.58	-162.35	0.52
5906.250000	-6.58	-162.78	0.43
5909.179688	-6.59	-163.21	0.16
5912.109375	-6.59	-163.63	0.09
5915.039063	-6.59	-164.05	0.19
5917.968750	-6.59	-164.46	0.27
5920.898438	-6.60	-164.88	0.44
5923.828125	-6.60	-165.31	0.39
5926.757813	-6.60	-165.73	0.22
5929.687500	-6.60	-166.15	0.15
5932.617188	-6.60	-166.57	0.08
5935.546875	-6.61	-166.99	0.53
5938.476563	-6.61	-167.41	0.89
5941.406250	-6.61	-167.84	0.44
5944.335938	-6.62	-168.26	0.47
5947.265625	-6.62	-168.67	0.35
5950.195313	-6.62	-169.09	0.72
5953.125000	-6.62	-169.51	0.87
5956.054688	-6.63	-169.94	0.76
5958.984375	-6.63	-170.40	0.47
5961.914063	-6.63	-170.88	0.38
5964.843750	-6.64	-171.37	0.37
5967.773438	-6.64	-171.86	0.56
5970.703125	-6.65	-172.37	0.88
5973.632813	-6.65	-172.88	0.73
5976.562500	-6.65	-173.39	0.36
5979.492188	-6.66	-173.90	0.26
5982.421875	-6.66	-174.43	0.25
5985.351563	-6.67	-174.98	0.15
5988.281250	-6.67	-175.51	0.61
5991.210938	-6.68	-176.03	0.71
5994.140625	-6.68	-176.52	0.78
5997.070313	-6.68	-177.00	0.74
6000.000000	-6.69	-177.47	0.72
6002.929688	-6.69	-177.94	0.71
6005.859375	-6.70	-178.40	0.64
6008.789063	-6.70	-178.87	0.67
6011.718750	-6.70	-179.33	0.55
6014.648438	-6.71	-179.77	0.39
6017.578125	-6.71	179.79	0.71
6020.507813	-6.72	179.35	0.75
6023.437500	-6.72	178.92	0.63
6026.367188	-6.72	178.49	0.79
6029.296875	-6.73	178.07	0.53
6032.226563	-6.73	177.65	0.92
6035.156250	-6.73	177.24	0.92
6038.085938	-6.74	176.85	0.95
6041.015625	-6.74	176.48	0.68
6043.945313	-6.74	176.12	0.45
6046.875000	-6.75	175.76	0.85
6049.804688	-6.75	175.40	0.78
6052.734375	-6.75	175.05	0.68
6055.664063	-6.76	174.72	0.88
6058.593750	-6.76	174.41	0.80
6061.523438	-6.76	174.13	0.21
6064.453125	-6.77	173.86	0.47
6067.382813	-6.77	173.59	0.70
6070.312500	-6.77	173.31	0.70
6073.242188	-6.77	173.03	0.81
6076.171875	-6.78	172.75	0.75
6079.101563	-6.78	172.48	0.71
6082.031250	-6.78	172.21	0.72
6084.960938	-6.78	171.94	0.82
6087.890625	-6.79	171.67	0.79
6090.820313	-6.79	171.39	0.86
6093.750000	-6.79	171.11	0.90
6096.679688	-6.80	170.82	0.96
6099.609375	-6.80	170.54	0.95
6102.539063	-6.80	170.24	0.95
6105.468750	-6.81	169.92	0.98
6108.398438	-6.81	169.58	0.80
6111.328125	-6.81	169.23	0.83
6114.257813	-6.82	168.89	0.87
6117.187500	-6.82	168.57	0.67
6120.117188	-6.83	168.26	0.64
6123.046875	-6.83	167.96	0.62
6125.976563	-6.84	167.65	0.60
6128.906250	-6.84	167.33	0.74
6131.835938	-6.85	167.01	0.73
6134.765625	-6.85	166.70	0.40
6137.695313	-6.86	166.41	0.36
6140.625000	-6.86	166.12	0.41
6143.554688	-6.87	165.86	0.34
6146.484375	-6.87	165.61	0.50
6149.414063	-6.88	165.38	0.47
6152.343750	-6.88	165.17	0.57
6155.273438	-6.89	164.95	0.54
6158.203125	-6.90	164.74	0.34
6161.132813	-6.90	164.53	0.60
6164.062500	-6.91	164.35	0.13
6166.992188	-6.91	164.16	0.65
6169.921875	-6.92	164.00	0.36
6172.851563	-6.92	163.84	0.31
6175.781250	-6.93	163.69	0.42
6178.710938	-6.93	163.53	0.35
6181.640625	-6.94	163.36	0.56
6184.570313	-6.94	163.19	0.63
6187.500000	-6.95	163.02	0.35
6190.429688	-6.95	162.86	0.65
6193.359375	-6.96	162.70	0.61
6196.289063	-6.96	162.54	0.80
6199.218750	-6.97	162.40	0.78
6202.148438	-6.97	162.27	0.75
6205.078125	-6.98	162.14	0.70
6208.007813	-6.98	162.00	0.86
6210.937500	-6.99	161.88	0.81
6213.867188	-6.99	161.76	0.77
6216.796875	-7.00	161.65	0.58
6219.726563	-7.01	161.53	0.47
6222.656250	-7.01	161.41	0.43
6225.585938	-7.02	161.29	0.47
6228.515625	-7.02	161.16	0.50
6231.445313	-7.03	161.03	0.57
6234.375000	-7.04	160.91	0.72
6237.304688	-7.04	160.83	0.44
6240.234375	-7.05	160.76	0.38
6243.164063	-7.05	160.68	0.42
6246.093750	-7.06	160.58	0.38
6249.023438	-7.06	160.47	0.36
6251.953125	-7.07	160.37	0.33
6254.882813	-7.08	160.26	0.49
6257.812500	-7.08	160.17	0.53
6260.742188	-7.09	160.08	0.69
6263.671875	-7.09	160.00	0.70
6266.601563	-7.10	159.94	0.73
6269.531250	-7.11	159.89	0.28
6272.460938	-7.11	159.87	0.10
6275.390625	-7.12	159.85	0.07
6278.320313	-7.12	159.84	0.23
6281.250000	-7.13	159.82	0.26
6284.179688	-7.13	159.80	0.55
6287.109375	-7.14	159.79	0.48
6290.039063	-7.15	159.77	0.53
6292.968750	-7.15	159.74	0.49
6295.898438	-7.16	159.73	0.43
6298.828125	-7.16	159.71	0.24
6301.757813	-7.17	159.70	0.34
6304.687500	-7.17	159.68	0.35
6307.617188	-7.18	159.67	0.55
6310.546875	-7.18	159.66	0.68
6313.476563	-7.19	159.67	0.66
6316.406250	-7.19	159.68	0.64
6319.335938	-7.20	159.70	0.45
6322.265625	-7.20	159.71	0.57
6325.195313	-7.21	159.72	0.75
6328.125000	-7.22	159.73	0.55
6331.054688	-7.22	159.73	0.53
6333.984375	-7.23	159.70	0.53
6336.914063	-7.23	159.67	0.60
6339.843750	-7.24	159.62	0.50
6342.773438	-7.24	159.56	0.31
6345.703125	-7.25	159.48	0.24
6348.632813	-7.25	159.41	0.12
6351.562500	-7.26	159.31	0.29
6354.492188	-7.27	159.19	0.36
6357.421875	-7.27	159.05	0.71
6360.351563	-7.28	158.91	0.89
6363.281250	-7.28	158.78	0.47
6366.210938	-7.29	158.64	0.19
6369.140625	-7.30	158.49	0.07
6372.070313	-7.30	158.33	0.28
6375.000000	-7.31	158.17	0.06
6377.929688	-7.32	158.01	0.29
6380.859375	-7.32	157.85	0.53
6383.789063	-7.33	157.72	0.31
6386.718750	-7.34	157.59	0.34
6389.648438	-7.34	157.47	0.33
6392.578125	-7.35	157.34	0.37
6395.507813	-7.36	157.22	0.57
6398.437500	-7.36	157.12	0.43
6401.367188	-7.37	157.05	0.34
6404.296875	-7.38	156.99	0.10
6407.226563	-7.39	156.94	0.15
6410.156250	-7.39	156.90	0.13
6413.085938	-7.40	156.87	0.21
6416.015625	-7.41	156.88	0.35
6418.945313	-7.42	156.92	0.43
6421.875000	-7.42	156.99	0.14
6424.804688	-7.43	157.06	0.13
6427.734375	-7.44	157.11	0.32
6430.664063	-7.45	157.13	0.24
6433.593750	-7.46	157.15	0.18
6436.523438	-7.47	157.15	0.14
6439.453125	-7.48	157.14	0.18
6442.382813	-7.49	157.13	0.35
6445.312500	-7.49	157.10	0.47
6448.242188	-7.50	157.04	0.45
6451.171875	-7.51	156.99	0.27
6454.101563	-7.52	156.94	0.31
6457.031250	-7.53	156.89	0.17
6459.960938	-7.54	156.85	0.27
6462.890625	-7.54	156.81	0.48
6465.820313	-7.55	156.75	0.39
6468.750000	-7.56	156.67	0.52
6471.679688	-7.57	156.55	0.68
6474.609375	-7.58	156.39	0.77
6477.539063	-7.58	156.20	0.66
6480.468750	-7.59	156.00	0.53
6483.398438	-7.60	155.76	0.29
6486.328125	-7.61	155.51	0.19
6489.257813	-7.61	155.23	0.37
6492.187500	-7.62	154.91	0.34
6495.117188	-7.63	154.58	0.33
6498.046875	-7.63	154.22	0.18
6500.976563	-7.64	153.85	0.41
6503.906250	-7.65	153.46	0.44
6506.835938	-7.66	153.04	0.27
6509.765625	-7.66	152.63	0.08
6512.695313	-7.67	152.21	0.26
6515.625000	-7.68	151.79	0.39
6518.554688	-7.68	151.37	0.43
6521.484375	-7.69	150.95	0.72
6524.414063	-7.70	150.53	0.53
6527.343750	-7.70	150.10	0.47
6530.273438	-7.71	149.68	0.51
6533.203125	-7.72	149.28	0.50
6536.132813	-7.72	148.89	0.40
6539.062500	-7.73	148.49	0.62
6541.992188	-7.74	148.08	0.75
6544.921875	-7.74	147.67	0.72
6547.851563	-7.75	147.29	0.58
6550.781250	-7.76	146.93	0.53
6553.710938	-7.77	146.58	0.45
6556.640625	-7.77	146.23	0.36
6559.570313	-7.78	145.88	0.36
6562.500000	-7.79	145.56	0.38
6565.429688	-7.80	145.25	0.50
6568.359375	-7.81	144.94	0.50
6571.289063	-7.82	144.64	0.44
6574.218750	-7.82	144.34	0.48
6577.148438	-7.83	144.05	0.58
6580.078125	-7.84	143.72	0.56
6583.007813	-7.85	143.39	0.51
6585.937500	-7.86	143.07	0.64
6588.867188	-7.87	142.78	0.50
6591.796875	-7.88	142.49	0.64
6594.726563	-7.89	142.23	0.47
6597.656250	-7.89	141.98	0.54
6600.585938	-7.90	141.74	0.48
6603.515625	-7.91	141.50	0.86
6606.445313	-7.92	141.30	0.79
6609.375000	-7.93	141.13	0.61
6612.304688	-7.94	140.98	0.64
6615.234375	-7.94	140.86	0.64
6618.164063	-7.95	140.76	0.62
6621.093750	-7.96	140.66	0.72
6624.023438	-7.97	140.59	0.61
6626.953125	-7.97	140.56	0.49
6629.882813	-7.98	140.55	0.36
6632.812500	-7.99	140.56	0.44
6635.742188	-8.00	140.59	0.42
6638.671875	-8.00	140.65	0.43
6641.601563	-8.01	140.73	0.32
6644.531250	-8.02	140.82	0.41
6647.460938	-8.02	140.93	0.49
6650.390625	-8.03	141.08	0.29
6653.320313	-8.04	141.20	0.51
6656.250000	-8.04	141.20	0.65
6659.179688	-8.05	141.09	0.72
6662.109375	-8.06	140.92	0.65
6665.039063	-8.06	140.74	0.64
6667.968750	-8.07	140.55	0.79
6670.898438	-8.08	140.32	0.88
6673.828125	-8.08	140.00	0.85
6676.757813	-8.09	139.61	0.71
6679.687500	-8.10	139.13	0.40
6682.617188	-8.10	138.60	0.32
6685.546875	-8.11	138.02	0.28
6688.476563	-8.12	137.45	0.41
6691.406250	-8.12	136.86	0.46
6694.335938	-8.13	136.28	0.32
6697.265625	-8.13	135.67	0.20
6700.195313	-8.14	135.03	0.06
6703.125000	-8.15	134.37	0.02
6706.054688	-8.15	133.67	0.11
6708.984375	-8.16	132.94	0.22
6711.914063	-8.17	132.15	0.22
6714.843750	-8.17	131.35	0.10
6717.773438	-8.18	130.56	0.19
6720.703125	-8.19	129.76	0.10
6723.632813	-8.19	128.93	0.29
6726.562500	-8.20	127.99	0.12
6729.492188	-8.21	127.01	0.14
6732.421875	-8.21	125.93	0.13
6735.351563	-8.22	124.76	0.26
6738.281250	-8.23	123.53	0.16
6741.210938	-8.23	122.27	0.26
6744.140625	-8.24	121.03	0.24
6747.070313	-8.25	119.79	0.21
6750.000000	-8.25	118.46	0.16
6752.929688	-8.26	117.11	0.21
6755.859375	-8.26	115.72	0.29
6758.789063	-8.27	114.33	0.49
6761.718750	-8.28	112.95	0.17
6764.648438	-8.28	111.54	0.24
6767.578125	-8.29	110.05	0.27
6770.507813	-8.29	108.42	0.32
6773.437500	-8.30	106.68	0.41
6776.367188	-8.30	104.81	0.44
6779.296875	-8.30	102.78	0.33
6782.226563	-8.31	100.63	0.22
6785.156250	-8.31	98.42	0.55
6788.085938	-8.31	96.23	0.44
6791.015625	-8.32	94.02	0.41
6793.945313	-8.32	91.76	0.15
6796.875000	-8.32	89.31	0.09
6799.804688	-8.33	86.79	0.05
6802.734375	-8.33	84.20	0.14
6805.664063	-8.33	81.55	0.03
6808.593750	-8.34	78.86	0.10
6811.523438	-8.34	76.07	0.24
6814.453125	-8.34	73.16	0.17
6817.382813	-8.34	70.23	0.43
6820.312500	-8.34	67.35	0.51
6823.242188	-8.35	64.56	0.40
6826.171875	-8.35	61.91	0.29
6829.101563	-8.35	59.35	0.39
6832.031250	-8.35	56.88	0.41
6834.960938	-8.35	54.54	0.30
6837.890625	-8.35	52.32	0.21
6840.820313	-8.35	50.15	0.07
6843.750000	-8.35	48.08	0.30
6846.679688	-8.35	46.08	0.45
6849.609375	-8.35	44.13	0.37
6852.539063	-8.35	42.30	0.42
6855.468750	-8.35	40.62	0.26
6858.398438	-8.35	39.08	0.26
6861.328125	-8.35	37.61	0.49
6864.257813	-8.35	36.19	0.11
6867.187500	-8.34	34.82	0.40
6870.117188	-8.34	33.56	0.57
6873.046875	-8.34	32.43	0.56
6875.976563	-8.34	31.40	0.57
6878.906250	-8.34	30.46	0.63
6881.835938	-8.34	29.61	0.27
6884.765625	-8.33	28.84	0.46
6887.695313	-8.33	28.15	0.42
6890.625000	-8.33	27.53	0.14
6893.554688	-8.32	26.95	0.43
6896.484375	-8.32	26.39	0.57
6899.414063	-8.32	25.86	0.37
6902.343750	-8.31	25.38	0.66
6905.273438	-8.31	24.98	0.78
6908.203125	-8.31	24.64	0.65
6911.132813	-8.30	24.31	0.81
6914.062500	-8.30	24.02	0.65
6916.992188	-8.30	23.77	0.36
6919.921875	-8.29	23.53	0.32
6922.851563	-8.29	23.26	0.57
6925.781250	-8.28	22.99	0.35
6928.710938	-8.28	22.71	0.49
6931.640625	-8.27	22.50	0.39
6934.570313	-8.27	22.32	0.36
6937.500000	-8.26	22.16	0.31
6940.429688	-8.26	21.98	0.34
6943.359375	-8.25	21.73	0.27
6946.289063	-8.24	21.46	0.72
6949.218750	-8.24	21.22	0.73
6952.148438	-8.23	21.00	0.60
6955.078125	-8.23	20.79	0.73
6958.007813	-8.22	20.59	0.71
6960.937500	-8.21	20.37	0.71
6963.867188	-8.21	20.14	0.63
6966.796875	-8.20	19.90	0.35
6969.726563	-8.19	19.64	0.19
6972.656250	-8.19	19.38	0.23
6975.585938	-8.18	19.10	0.32
6978.515625	-8.18	18.82	0.40
6981.445313	-8.17	18.52	0.15
6984.375000	-8.16	18.26	0.18
6987.304688	-8.16	18.00	0.52
6990.234375	-8.15	17.78	0.79
6993.164063	-8.14	17.54	0.73
6996.093750	-8.14	17.30	0.28
6999.023438	-8.13	17.07	0.55
7001.953125	-8.13	16.86	0.24
7004.882813	-8.12	16.67	0.38
7007.812500	-8.11	16.48	0.61
7010.742188	-8.11	16.30	0.69
7013.671875	-8.10	16.10	0.57
7016.601563	-8.09	15.91	0.62
7019.531250	-8.09	15.73	0.74
7022.460938	-8.08	15.56	0.77
7025.390625	-8.07	15.41	0.79
7028.320313	-8.07	15.28	0.78
7031.250000	-8.06	15.18	0.67
7034.179688	-8.05	15.08	0.46
7037.109375	-8.05	15.00	0.30
7040.039063	-8.04	14.95	0.45
7042.968750	-8.03	14.89	0.81
7045.898438	-8.02	14.82	0.85
7048.828125	-8.02	14.73	0.73
7051.757813	-8.01	14.66	0.54
7054.687500	-8.00	14.60	0.68
7057.617188	-8.00	14.54	0.77
7060.546875	-7.99	14.49	0.36
7063.476563	-7.98	14.43	0.24
7066.406250	-7.98	14.37	0.28
7069.335938	-7.97	14.32	0.28
7072.265625	-7.97	14.28	0.58
7075.195313	-7.96	14.25	0.58
7078.125000	-7.95	14.22	0.24
7081.054688	-7.95	14.15	0.13
7083.984375	-7.94	14.05	0.19
7086.914063	-7.94	13.96	0.48
7089.843750	-7.93	13.86	0.75
7092.773438	-7.92	13.79	0.82
7095.703125	-7.92	13.71	0.77
7098.632813	-7.91	13.67	0.60
7101.562500	-7.91	13.64	0.56
7104.492188	-7.90	13.64	0.47
7107.421875	-7.90	13.64	0.43
7110.351563	-7.89	13.63	0.44
7113.281250	-7.88	13.61	0.55
7116.210938	-7.88	13.58	0.49
7119.140625	-7.87	13.54	0.23
7122.070313	-7.87	13.46	0.42
7125.000000	-7.87	13.38	0.47
7127.929688	-7.86	13.26	0.76
7130.859375	-7.86	13.08	0.65
7133.789063	-7.85	12.87	0.54
7136.718750	-7.85	12.64	0.74
7139.648438	-7.84	12.36	0.66
7142.578125	-7.84	12.00	0.05
7145.507813	-7.83	11.64	0.50
7148.437500	-7.83	11.30	0.39
7151.367188	-7.83	10.96	0.53
7154.296875	-7.82	10.64	0.60
7157.226563	-7.82	10.35	0.76
7160.156250	-7.81	10.10	0.57
7163.085938	-7.81	9.87	0.58
7166.015625	-7.80	9.68	0.73
7168.945313	-7.80	9.53	0.73
7171.875000	-7.80	9.41	0.71
7174.804688	-7.79	9.32	0.51
7177.734375	-7.79	9.22	0.33
7180.664063	-7.78	9.14	0.42
7183.593750	-7.78	9.01	0.52
7186.523438	-7.77	8.89	0.43
7189.453125	-7.77	8.74	0.42
7192.382813	-7.76	8.60	0.54
7195.312500	-7.76	8.47	0.67
7198.242188	-7.75	8.36	0.32
7201.171875	-7.75	8.25	0.48
7204.101563	-7.75	8.14	0.19
7207.031250	-7.74	8.02	0.35
7209.960938	-7.73	7.91	0.67
7212.890625	-7.73	7.81	0.79
7215.820313	-7.72	7.71	0.72
7218.750000	-7.72	7.58	0.84
7221.679688	-7.71	7.48	0.74
7224.609375	-7.71	7.37	0.75
7227.539063	-7.70	7.27	0.75
7230.468750	-7.70	7.21	0.72
7233.398438	-7.70	7.19	0.64
7236.328125	-7.69	7.22	0.52
7239.257813	-7.69	7.27	0.46
7242.187500	-7.68	7.34	0.59
7245.117188	-7.68	7.43	0.37
7248.046875	-7.67	7.51	0.44
7250.976563	-7.67	7.60	0.53
7253.906250	-7.66	7.71	0.52
7256.835938	-7.66	7.81	0.52
7259.765625	-7.65	7.86	0.62
7262.695313	-7.65	7.79	0.12
7265.625000	-7.64	7.71	0.38
7268.554688	-7.64	7.60	0.51
7271.484375	-7.63	7.58	0.62
7274.414063	-7.63	7.68	0.47
7277.343750	-7.62	7.82	0.34
7280.273438	-7.62	7.97	0.46
7283.203125	-7.62	8.16	0.61
7286.132813	-7.61	8.44	0.50
7289.062500	-7.61	8.84	0.55
7291.992188	-7.60	9.30	0.52
7294.921875	-7.60	9.88	0.34
7297.851563	-7.59	10.56	0.31
7300.781250	-7.59	11.40	0.21
7303.710938	-7.58	12.45	0.36
7306.640625	-7.57	13.58	0.40
7309.570313	-7.57	14.86	0.66
7312.500000	-7.56	16.24	0.76
7315.429688	-7.56	17.84	0.32
7318.359375	-7.55	19.80	0.72
7321.289063	-7.55	22.31	0.58
7324.218750	-7.54	25.39	0.51
7327.148438	-7.53	29.05	0.47
7330.078125	-7.53	33.44	0.22
7333.007813	-7.52	38.99	0.21
7335.937500	-7.51	46.22	0.51
7338.867188	-7.51	55.14	0.32
7341.796875	-7.50	66.32	0.33
7344.726563	-7.49	80.20	0.64
7347.656250	-7.49	96.01	0.66
7350.585938	-7.48	111.66	0.53
7353.515625	-7.47	124.88	0.60
7356.445313	-7.47	134.89	0.54
7359.375000	-7.46	142.27	0.69
7362.304688	-7.45	147.57	0.74
7365.234375	-7.45	151.32	0.57
7368.164063	-7.44	154.14	0.55
7371.093750	-7.43	156.27	0.29
7374.023438	-7.42	158.08	0.17
7376.953125	-7.42	159.61	0.29
7379.882813	-7.41	160.95	0.30
7382.812500	-7.40	162.05	0.60
7385.742188	-7.40	162.93	0.40
7388.671875	-7.39	163.62	0.14
7391.601563	-7.38	164.22	0.36
7394.531250	-7.38	164.74	0.16
7397.460938	-7.37	165.22	0.13
7400.390625	-7.36	165.68	0.22
7403.320313	-7.35	166.13	0.10
7406.250000	-7.35	166.58	0.42
7409.179688	-7.34	166.95	0.16
7412.109375	-7.33	167.26	0.26
7415.039063	-7.32	167.51	0.21
7417.968750	-7.32	167.74	0.28
7420.898438	-7.31	167.94	0.17
7423.828125	-7.30	168.14	0.11
7426.757813	-7.30	168.35	0.26
7429.687500	-7.29	168.55	0.41
7432.617188	-7.28	168.77	0.62
7435.546875	-7.28	169.04	0.50
7438.476563	-7.27	169.35	0.18
7441.406250	-7.26	169.63	0.32
7444.335938	-7.26	169.88	0.14
7447.265625	-7.25	170.13	0.19
7450.195313	-7.25	170.36	0.38
7453.125000	-7.24	170.61	0.48
7456.054688	-7.23	170.88	0.63
7458.984375	-7.23	171.14	0.54
7461.914063	-7.22	171.44	0.29
7464.843750	-7.22	171.74	0.19
7467.773438	-7.21	172.03	0.15
7470.703125	-7.21	172.32	0.23
7473.632813	-7.20	172.61	0.34
7476.562500	-7.20	172.88	0.27
7479.492188	-7.19	173.14	0.20
7482.421875	-7.19	173.40	0.31
7485.351563	-7.18	173.62	0.50
7488.281250	-7.18	173.79	0.50
7491.210938	-7.17	173.92	0.22
7494.140625	-7.17	174.03	0.45
7497.070313	-7.16	174.12	0.19
7500.000000	-7.16	174.21	0.26
7502.929688	-7.15	174.30	0.17
7505.859375	-7.15	174.38	0.79
7508.789063	-7.14	174.50	0.88
7511.718750	-7.14	174.68	0.77
7514.648438	-7.13	174.92	0.63
7517.578125	-7.13	175.19	0.08
7520.507813	-7.12	175.45	0.37
7523.437500	-7.12	175.68	0.44
7526.367188	-7.11	175.88	0.26
7529.296875	-7.11	176.06	0.47
7532.226563	-7.11	176.20	0.58
7535.156250	-7.10	176.30	0.44
7538.085938	-7.10	176.39	0.21
7541.015625	-7.09	176.49	0.13
7543.945313	-7.09	176.55	0.20
7546.875000	-7.09	176.58	0.49
7549.804688	-7.08	176.60	0.65
7552.734375	-7.08	176.61	0.51
7555.664063	-7.08	176.63	0.21
7558.593750	-7.07	176.64	0.31
7561.523438	-7.07	176.67	0.35
7564.453125	-7.06	176.70	0.36
7567.382813	-7.06	176.75	0.50
7570.312500	-7.06	176.79	0.56
7573.242188	-7.05	176.84	0.52
7576.171875	-7.05	176.89	0.37
7579.101563	-7.05	176.92	0.43
7582.031250	-7.04	176.93	0.44
7584.960938	-7.04	176.94	0.51
7587.890625	-7.04	176.91	0.36
7590.820313	-7.03	176.87	0.40
7593.750000	-7.03	176.82	0.33
7596.679688	-7.03	176.77	0.38
7599.609375	-7.02	176.69	0.27
7602.539063	-7.02	176.61	0.55
7605.468750	-7.02	176.55	0.64
7608.398438	-7.02	176.50	0.57
7611.328125	-7.01	176.46	0.57
7614.257813	-7.01	176.41	0.70
7617.187500	-7.01	176.34	0.63
7620.117188	-7.01	176.26	0.52
7623.046875	-7.01	176.19	0.37
7625.976563	-7.00	176.12	0.30
7628.906250	-7.00	176.07	0.91
7631.835938	-7.00	176.03	0.74
7634.765625	-7.00	176.00	0.41
7637.695313	-7.00	175.97	0.55
7640.625000	-7.00	175.93	0.72
7643.554688	-6.99	175.86	0.84
7646.484375	-6.99	175.77	0.76
7649.414063	-6.99	175.66	0.79
7652.343750	-6.99	175.53	0.69
7655.273438	-6.99	175.39	0.74
7658.203125	-6.99	175.24	0.45
7661.132813	-6.99	175.06	0.37
7664.062500	-6.99	174.89	0.16
7666.992188	-6.99	174.73	0.66
7669.921875	-6.99	174.58	0.71
7672.851563	-6.99	174.44	0.57
7675.781250	-6.99	174.30	0.22
7678.710938	-6.99	174.17	0.36
7681.640625	-6.98	174.05	0.33
7684.570313	-6.99	173.96	0.10
7687.500000	-6.99	173.88	0.34
7690.429688	-6.99	173.79	0.36
7693.359375	-6.99	173.69	0.62
7696.289063	-6.99	173.60	0.75
7699.218750	-6.99	173.50	0.88
7702.148438	-6.99	173.39	0.66
7705.078125	-6.99	173.27	0.29
7708.007813	-6.99	173.16	0.41
7710.937500	-6.99	173.07	0.61
7713.867188	-6.99	172.98	0.71
7716.796875	-6.99	172.90	0.71
7719.726563	-7.00	172.82	0.77
7722.656250	-7.00	172.73	0.71
7725.585938	-7.00	172.63	0.43
7728.515625	-7.00	172.54	0.61
7731.445313	-7.00	172.44	0.59
7734.375000	-7.00	172.36	0.67
7737.304688	-7.00	172.28	0.50
7740.234375	-7.00	172.20	0.48
7743.164063	-7.00	172.12	0.68
7746.093750	-7.00	172.03	0.64
7749.023438	-7.00	171.93	0.65
7751.953125	-7.00	171.83	0.70
7754.882813	-7.00	171.74	0.55
7757.812500	-7.00	171.63	0.52
7760.742188	-7.00	171.53	0.59
7763.671875	-7.00	171.40	0.47
7766.601563	-7.00	171.27	0.16
7769.531250	-7.00	171.13	0.51
7772.460938	-7.00	171.02	0.49
7775.390625	-7.00	170.93	0.25
7778.320313	-7.00	170.83	0.26
7781.250000	-7.00	170.73	0.23
7784.179688	-7.00	170.62	0.03
7787.109375	-7.00	170.51	0.18
7790.039063	-7.00	170.39	0.41
7792.968750	-7.00	170.25	0.34
7795.898438	-7.00	170.10	0.02
7798.828125	-7.00	169.94	0.14
7801.757813	-7.00	169.77	0.44
7804.687500	-7.00	169.62	0.51
7807.617188	-7.00	169.46	0.50
7810.546875	-7.00	169.30	0.68
7813.476563	-6.99	169.13	0.62
7816.406250	-6.99	168.95	0.49
7819.335938	-6.99	168.77	0.25
7822.265625	-6.99	168.60	0.44
7825.195313	-6.99	168.44	0.50
7828.125000	-6.99	168.30	0.56
7831.054688	-6.99	168.18	0.52
7833.984375	-6.99	168.06	0.46
7836.914063	-6.99	167.93	0.59
7839.843750	-6.99	167.81	0.63
7842.773438	-6.99	167.68	0.45
7845.703125	-6.99	167.56	0.76
7848.632813	-6.99	167.42	0.75
7851.562500	-6.99	167.28	0.66
7854.492188	-6.99	167.16	0.88
7857.421875	-6.99	167.05	0.83
7860.351563	-6.99	166.93	0.54
7863.281250	-6.99	166.78	0.36
7866.210938	-6.99	166.61	0.17
7869.140625	-6.99	166.44	0.61
