	SM57_PROX_100MM		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
506.835938	-5.07	0.91	0.97
509.765625	-5.38	2.49	1.00
512.695313	-5.66	4.02	1.00
515.625000	-5.92	5.30	1.00
518.554688	-6.14	6.36	1.00
521.484375	-6.33	7.31	0.99
524.414063	-6.51	8.18	0.98
527.343750	-6.67	8.93	0.99
530.273438	-6.81	9.58	0.99
533.203125	-6.94	9.97	0.97
536.132813	-7.06	10.32	0.98
539.062500	-7.17	10.34	0.98
541.992188	-7.28	10.20	0.99
544.921875	-7.37	9.88	1.00
547.851563	-7.45	9.50	1.00
550.781250	-7.53	9.19	0.99
553.710938	-7.60	9.06	1.00
556.640625	-7.66	8.92	0.99
559.570313	-7.71	8.76	1.00
562.500000	-7.76	8.56	1.00
565.429688	-7.80	8.30	0.99
568.359375	-7.83	8.02	1.00
571.289063	-7.85	7.82	0.99
574.218750	-7.87	7.72	0.97
577.148438	-7.88	7.59	0.97
580.078125	-7.89	7.26	0.98
583.007813	-7.89	6.70	0.99
585.937500	-7.88	5.97	0.99
588.867188	-7.87	5.25	0.99
591.796875	-7.86	4.54	1.00
594.726563	-7.84	3.88	1.00
597.656250	-7.82	3.36	0.99
600.585938	-7.80	3.01	0.99
603.515625	-7.77	2.81	0.99
606.445313	-7.73	2.78	0.98
609.375000	-7.70	2.79	0.99
612.304688	-7.66	2.91	0.98
615.234375	-7.62	3.10	0.98
618.164063	-7.58	3.37	0.98
621.093750	-7.54	3.76	0.98
624.023438	-7.49	4.23	0.99
626.953125	-7.43	4.64	0.98
629.882813	-7.38	5.02	0.98
632.812500	-7.33	5.27	0.99
635.742188	-7.29	5.34	0.98
638.671875	-7.26	5.20	0.97
641.601563	-7.22	4.88	0.97
644.531250	-7.19	4.47	0.97
647.460938	-7.15	3.95	0.98
650.390625	-7.11	3.25	0.98
653.320313	-7.07	2.53	0.98
656.250000	-7.03	1.63	0.98
659.179688	-7.00	0.73	0.98
662.109375	-6.98	-0.11	0.98
665.039063	-6.95	-0.81	0.99
667.968750	-6.93	-1.44	1.00
670.898438	-6.91	-2.13	1.00
673.828125	-6.89	-2.79	0.99
676.757813	-6.87	-3.45	0.99
679.687500	-6.86	-4.04	0.99
682.617188	-6.85	-4.62	0.95
685.546875	-6.85	-5.30	0.96
688.476563	-6.85	-5.71	0.98
691.406250	-6.86	-5.96	0.92
694.335938	-6.86	-6.08	0.98
697.265625	-6.87	-6.33	0.95
700.195313	-6.88	-6.35	0.96
703.125000	-6.89	-6.43	0.96
706.054688	-6.89	-6.55	0.95
708.984375	-6.89	-6.84	0.94
711.914063	-6.88	-7.31	0.94
714.843750	-6.87	-7.87	0.93
717.773438	-6.86	-8.30	0.93
720.703125	-6.85	-8.44	0.96
723.632813	-6.85	-8.59	0.96
726.562500	-6.84	-8.64	0.97
729.492188	-6.84	-8.80	0.98
732.421875	-6.83	-8.86	0.98
735.351563	-6.83	-8.82	0.98
738.281250	-6.82	-8.73	0.96
741.210938	-6.82	-8.71	0.96
744.140625	-6.82	-8.85	0.94
747.070313	-6.82	-9.21	0.97
750.000000	-6.81	-9.71	0.99
752.929688	-6.81	-10.17	0.98
755.859375	-6.82	-10.61	0.97
758.789063	-6.82	-11.12	0.97
761.718750	-6.82	-11.72	0.97
764.648438	-6.82	-12.23	0.94
767.578125	-6.82	-12.49	0.96
770.507813	-6.81	-12.75	0.96
773.437500	-6.79	-13.05	0.95
776.367188	-6.78	-13.61	0.97
779.296875	-6.75	-14.20	0.98
782.226563	-6.73	-14.71	0.97
785.156250	-6.70	-15.23	0.97
788.085938	-6.68	-15.64	0.98
791.015625	-6.64	-15.94	0.98
793.945313	-6.60	-16.13	0.99
796.875000	-6.57	-16.24	0.99
