	SM57_PROX_200MM		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-40.81	167.38	0.27
5.859375	-33.79	174.34	0.32
8.789063	-26.82	-162.29	0.36
11.718750	-26.61	133.84	0.44
14.648438	-28.43	144.02	0.64
17.578125	-30.33	131.33	0.77
20.507813	-23.54	26.91	0.46
23.437500	-24.52	144.87	0.94
26.367188	-21.88	130.70	0.95
29.296875	-16.85	103.05	0.92
32.226563	-14.12	100.71	0.99
35.156250	-12.15	98.14	0.99
38.085938	-10.12	94.86	0.98
41.015625	-9.73	99.35	0.98
43.945313	-8.37	86.02	1.00
46.875000	-8.08	84.41	1.00
49.804688	-7.90	85.25	1.00
52.734375	-7.55	87.36	0.99
55.664063	-6.30	87.09	0.99
58.593750	-5.76	81.10	1.00
61.523438	-5.05	78.82	1.00
64.453125	-4.58	77.09	1.00
67.382813	-3.86	73.86	1.00
70.312500	-3.54	70.94	1.00
73.242188	-3.30	70.75	1.00
76.171875	-2.92	67.44	1.00
79.101563	-2.32	65.75	1.00
82.031250	-2.00	65.98	1.00
84.960938	-1.65	65.77	1.00
87.890625	-1.07	60.16	0.99
90.820313	-0.80	52.72	1.00
93.750000	-0.71	49.70	1.00
96.679688	-0.71	47.35	1.00
99.609375	-0.67	46.97	1.00
102.539063	-0.61	46.39	1.00
105.468750	-0.52	46.35	1.00
108.398438	-0.41	41.73	1.00
111.328125	-0.39	37.79	1.00
114.257813	-0.38	36.81	1.00
117.187500	-0.39	35.98	1.00
120.117188	-0.35	35.29	1.00
123.046875	-0.30	35.32	1.00
125.976563	-0.22	35.11	1.00
128.906250	-0.08	35.42	1.00
131.835938	0.15	35.59	1.00
134.765625	0.34	30.13	1.00
137.695313	0.38	26.79	1.00
140.625000	0.36	24.75	1.00
143.554688	0.35	24.06	1.00
146.484375	0.35	22.78	1.00
149.414063	0.34	21.89	1.00
152.343750	0.33	20.43	1.00
155.273438	0.26	17.45	1.00
158.203125	0.14	13.89	1.00
161.132813	-0.03	11.96	1.00
164.062500	-0.15	13.10	1.00
166.992188	-0.20	12.94	1.00
169.921875	-0.25	11.76	1.00
172.851563	-0.37	9.11	1.00
175.781250	-0.53	8.25	1.00
178.710938	-0.68	8.00	1.00
181.640625	-0.80	8.33	1.00
184.570313	-0.90	9.58	1.00
187.500000	-0.92	10.33	1.00
190.429688	-0.91	9.71	1.00
193.359375	-0.95	8.62	1.00
196.289063	-1.02	7.85	1.00
199.218750	-1.08	7.28	1.00
202.148438	-1.13	6.32	1.00
205.078125	-1.23	5.39	1.00
208.007813	-1.34	4.80	1.00
210.937500	-1.46	5.46	1.00
213.867188	-1.54	6.96	1.00
216.796875	-1.57	7.94	1.00
219.726563	-1.58	7.38	1.00
222.656250	-1.59	5.54	1.00
225.585938	-1.58	4.41	1.00
228.515625	-1.62	3.71	1.00
231.445313	-1.66	3.56	1.00
234.375000	-1.71	3.81	1.00
237.304688	-1.73	3.98	1.00
240.234375	-1.76	4.35	1.00
243.164063	-1.77	5.05	1.00
246.093750	-1.78	4.94	1.00
249.023438	-1.81	3.96	1.00
251.953125	-1.86	3.28	1.00
254.882813	-1.91	2.90	1.00
257.812500	-1.96	2.87	1.00
260.742188	-1.99	2.58	1.00
263.671875	-2.01	1.97	1.00
266.601563	-2.05	1.80	1.00
269.531250	-2.09	2.29	1.00
272.460938	-2.09	2.48	1.00
275.390625	-2.08	2.47	1.00
278.320313	-2.07	2.08	1.00
281.250000	-2.09	1.31	1.00
284.179688	-2.13	0.40	1.00
287.109375	-2.19	-0.26	1.00
290.039063	-2.26	-0.44	1.00
292.968750	-2.32	-0.06	1.00
295.898438	-2.37	0.39	1.00
298.828125	-2.42	0.92	1.00
301.757813	-2.45	1.46	1.00
304.687500	-2.48	1.97	1.00
307.617188	-2.51	1.98	1.00
310.546875	-2.52	1.63	1.00
313.476563	-2.54	1.54	1.00
316.406250	-2.57	1.63	1.00
319.335938	-2.59	1.49	1.00
322.265625	-2.62	1.42	1.00
325.195313	-2.67	1.43	1.00
328.125000	-2.71	1.65	1.00
331.054688	-2.73	2.22	1.00
333.984375	-2.73	2.47	1.00
336.914063	-2.70	2.35	1.00
339.843750	-2.70	2.39	1.00
342.773438	-2.70	2.59	1.00
345.703125	-2.70	2.56	1.00
348.632813	-2.70	2.29	1.00
351.562500	-2.71	1.98	1.00
354.492188	-2.74	1.51	1.00
357.421875	-2.77	1.51	1.00
360.351563	-2.81	1.80	1.00
363.281250	-2.84	2.31	1.00
366.210938	-2.85	2.85	1.00
369.140625	-2.87	3.34	1.00
372.070313	-2.87	3.69	1.00
375.000000	-2.86	3.80	1.00
377.929688	-2.85	3.64	1.00
380.859375	-2.85	3.42	1.00
383.789063	-2.85	3.15	1.00
386.718750	-2.86	2.80	1.00
389.648438	-2.87	2.50	1.00
392.578125	-2.88	2.46	1.00
395.507813	-2.90	2.51	1.00
398.437500	-2.91	2.65	1.00
401.367188	-2.92	2.90	1.00
404.296875	-2.93	3.23	1.00
407.226563	-2.93	3.36	1.00
410.156250	-2.94	3.26	1.00
413.085938	-2.95	3.24	1.00
416.015625	-2.98	3.36	1.00
418.945313	-3.00	3.77	1.00
421.875000	-3.02	4.35	1.00
424.804688	-3.02	4.96	1.00
427.734375	-3.03	5.32	1.00
430.664063	-3.04	5.49	1.00
433.593750	-3.05	5.50	1.00
436.523438	-3.07	5.54	1.00
439.453125	-3.08	5.69	1.00
442.382813	-3.10	5.92	1.00
445.312500	-3.14	6.27	1.00
448.242188	-3.17	6.81	1.00
451.171875	-3.21	7.32	0.99
454.101563	-3.24	7.65	0.99
457.031250	-3.26	7.65	1.00
459.960938	-3.29	7.43	1.00
462.890625	-3.33	7.09	1.00
465.820313	-3.38	6.53	1.00
468.750000	-3.45	5.86	1.00
471.679688	-3.54	5.39	1.00
474.609375	-3.63	5.02	0.99
477.539063	-3.75	4.74	1.00
480.468750	-3.88	4.47	1.00
483.398438	-4.04	4.14	1.00
486.328125	-4.21	3.94	1.00
489.257813	-4.40	3.76	1.00
492.187500	-4.61	3.46	1.00
495.117188	-4.86	2.97	1.00
498.046875	-5.13	2.33	1.00
500.976563	-5.44	1.52	0.99
503.906250	-5.78	0.27	0.96
506.835938	-6.10	-1.01	0.98
509.765625	-6.40	-2.18	0.97
512.695313	-6.66	-3.03	0.97
515.625000	-6.90	-3.21	0.92
518.554688	-7.09	-2.90	0.90
521.484375	-7.24	-2.49	0.95
524.414063	-7.37	-2.60	0.98
527.343750	-7.46	-3.19	0.87
530.273438	-7.53	-3.72	0.89
533.203125	-7.57	-3.93	0.96
536.132813	-7.61	-3.91	0.97
539.062500	-7.63	-3.89	0.95
541.992188	-7.65	-3.94	0.96
544.921875	-7.68	-4.56	0.96
547.851563	-7.71	-5.15	0.95
550.781250	-7.74	-5.54	0.99
553.710938	-7.80	-5.78	0.98
556.640625	-7.86	-5.95	0.91
559.570313	-7.92	-6.20	0.96
562.500000	-7.98	-6.53	0.96
565.429688	-8.06	-6.71	0.90
568.359375	-8.14	-6.36	0.93
571.289063	-8.22	-6.29	0.88
574.218750	-8.30	-5.93	0.78
577.148438	-8.38	-5.18	0.83
580.078125	-8.46	-4.38	0.86
583.007813	-8.54	-3.36	0.78
585.937500	-8.59	-2.32	0.77
