	SM57_PROX_200MM		
588.867188	-8.59	-1.06	0.56
591.796875	-8.55	1.00	0.65
594.726563	-8.46	3.19	0.83
597.656250	-8.31	5.34	0.87
600.585938	-8.14	7.17	0.83
603.515625	-7.96	9.17	0.90
606.445313	-7.79	11.11	0.86
609.375000	-7.64	13.23	0.83
612.304688	-7.51	15.43	0.84
615.234375	-7.42	16.93	0.74
618.164063	-7.35	17.66	0.64
621.093750	-7.32	16.98	0.79
624.023438	-7.30	15.82	0.84
626.953125	-7.28	14.54	0.75
629.882813	-7.26	13.33	0.67
632.812500	-7.23	12.35	0.76
635.742188	-7.21	11.35	0.81
638.671875	-7.18	10.01	0.89
641.601563	-7.17	8.58	0.90
644.531250	-7.15	7.09	0.86
647.460938	-7.12	5.73	0.64
650.390625	-7.07	4.44	0.71
653.320313	-7.02	3.58	0.81
656.250000	-6.97	3.18	0.89
659.179688	-6.92	2.79	0.93
662.109375	-6.88	2.73	0.83
665.039063	-6.84	2.51	0.95
667.968750	-6.80	2.06	0.95
670.898438	-6.78	1.72	0.97
673.828125	-6.78	1.76	0.96
676.757813	-6.79	2.00	0.97
679.687500	-6.81	2.43	0.98
682.617188	-6.83	3.17	0.95
685.546875	-6.87	4.10	0.89
688.476563	-6.92	5.11	0.74
691.406250	-6.96	6.20	0.70
694.335938	-7.00	7.63	0.92
697.265625	-7.03	9.04	0.98
700.195313	-7.05	10.40	0.95
703.125000	-7.06	11.82	0.91
706.054688	-7.07	13.33	0.88
708.984375	-7.08	14.84	0.88
711.914063	-7.10	16.52	0.80
714.843750	-7.12	18.38	0.90
717.773438	-7.13	20.33	0.93
720.703125	-7.13	22.36	0.80
723.632813	-7.12	24.09	0.72
726.562500	-7.13	24.97	0.70
729.492188	-7.12	25.29	0.82
732.421875	-7.13	25.24	0.89
735.351563	-7.14	24.89	0.84
738.281250	-7.14	24.29	0.82
741.210938	-7.15	23.58	0.86
744.140625	-7.16	22.84	0.89
747.070313	-7.17	22.28	0.90
750.000000	-7.17	21.90	0.94
752.929688	-7.17	21.75	0.91
755.859375	-7.16	21.90	0.89
758.789063	-7.15	22.39	0.93
761.718750	-7.13	23.28	0.91
764.648438	-7.12	24.45	0.93
767.578125	-7.11	25.75	0.88
770.507813	-7.11	27.40	0.69
773.437500	-7.10	28.85	0.81
776.367188	-7.10	30.03	0.83
779.296875	-7.08	31.13	0.73
782.226563	-7.05	32.15	0.75
785.156250	-7.01	33.11	0.81
788.085938	-6.97	34.04	0.58
791.015625	-6.91	34.85	0.60
793.945313	-6.86	35.52	0.74
796.875000	-6.81	35.91	0.74
799.804688	-6.76	36.10	0.75
802.734375	-6.71	36.37	0.83
805.664063	-6.67	36.49	0.85
808.593750	-6.63	36.45	0.88
811.523438	-6.59	36.34	0.90
814.453125	-6.56	36.17	0.88
817.382813	-6.52	36.02	0.88
820.312500	-6.50	35.80	0.93
823.242188	-6.48	35.67	0.91
826.171875	-6.47	35.57	0.92
829.101563	-6.46	35.42	0.87
832.031250	-6.45	35.30	0.81
834.960938	-6.43	35.34	0.92
837.890625	-6.40	35.34	0.95
840.820313	-6.37	35.15	0.95
843.750000	-6.34	34.79	0.93
846.679688	-6.31	34.47	0.95
849.609375	-6.28	34.17	0.90
852.539063	-6.25	33.95	0.90
855.468750	-6.22	33.67	0.87
858.398438	-6.19	33.35	0.82
861.328125	-6.16	32.88	0.79
864.257813	-6.14	32.19	0.88
867.187500	-6.11	31.30	0.95
870.117188	-6.10	30.35	0.97
873.046875	-6.09	29.37	0.98
875.976563	-6.08	28.32	0.98
878.906250	-6.09	27.30	0.96
881.835938	-6.09	26.37	0.95
884.765625	-6.10	25.67	0.92
887.695313	-6.12	25.11	0.82
890.625000	-6.13	24.63	0.91
893.554688	-6.15	24.34	0.89
896.484375	-6.17	24.14	0.89
899.414063	-6.19	23.97	0.88
902.343750	-6.21	23.83	0.89
905.273438	-6.23	23.76	0.85
908.203125	-6.25	23.69	0.82
911.132813	-6.27	23.62	0.80
914.062500	-6.29	23.56	0.81
916.992188	-6.31	23.42	0.87
919.921875	-6.32	23.36	0.95
922.851563	-6.34	23.37	0.96
925.781250	-6.35	23.38	0.97
928.710938	-6.36	23.35	0.93
931.640625	-6.37	23.24	0.83
934.570313	-6.38	22.99	0.69
937.500000	-6.38	22.59	0.65
940.429688	-6.38	22.09	0.78
943.359375	-6.39	21.46	0.88
946.289063	-6.40	20.70	0.90
949.218750	-6.41	19.82	0.91
952.148438	-6.42	18.85	0.90
955.078125	-6.43	17.86	0.92
958.007813	-6.44	16.83	0.91
960.937500	-6.45	15.82	0.88
963.867188	-6.45	14.90	0.85
966.796875	-6.45	14.09	0.85
969.726563	-6.44	13.39	0.86
972.656250	-6.43	12.67	0.86
975.585938	-6.41	11.95	0.95
978.515625	-6.39	11.36	0.91
981.445313	-6.37	10.90	0.93
984.375000	-6.35	10.49	0.96
987.304688	-6.32	10.10	0.96
990.234375	-6.30	9.65	0.97
993.164063	-6.27	9.17	0.96
996.093750	-6.24	8.67	0.97
999.023438	-6.22	8.28	0.94
1001.953125	-6.19	7.86	0.94
1004.882813	-6.16	7.44	0.94
1007.812500	-6.14	7.01	0.95
1010.742188	-6.12	6.53	0.96
1013.671875	-6.10	6.00	0.97
1016.601563	-6.08	5.41	0.97
1019.531250	-6.07	4.82	0.97
1022.460938	-6.06	4.24	0.97
1025.390625	-6.04	3.70	0.97
1028.320313	-6.03	3.25	0.95
1031.250000	-6.02	2.84	0.93
1034.179688	-6.00	2.38	0.96
1037.109375	-5.99	1.95	0.99
1040.039063	-5.98	1.55	0.99
1042.968750	-5.97	1.18	0.98
1045.898438	-5.96	0.85	0.98
1048.828125	-5.95	0.56	0.98
1051.757813	-5.94	0.23	0.98
1054.687500	-5.94	-0.06	0.98
1057.617188	-5.93	-0.28	0.97
1060.546875	-5.92	-0.47	0.96
1063.476563	-5.92	-0.62	0.96
1066.406250	-5.91	-0.71	0.97
1069.335938	-5.90	-0.81	0.98
1072.265625	-5.89	-0.93	0.97
1075.195313	-5.88	-1.03	0.96
1078.125000	-5.87	-1.14	0.98
1081.054688	-5.86	-1.26	0.99
1083.984375	-5.85	-1.36	0.98
1086.914063	-5.84	-1.42	0.98
1089.843750	-5.82	-1.48	0.99
1092.773438	-5.81	-1.53	0.99
1095.703125	-5.80	-1.62	0.99
1098.632813	-5.79	-1.72	0.99
1101.562500	-5.78	-1.82	0.99
1104.492188	-5.77	-1.87	0.98
1107.421875	-5.76	-1.88	0.96
1110.351563	-5.76	-1.88	0.97
1113.281250	-5.76	-1.84	0.97
1116.210938	-5.76	-1.76	0.97
1119.140625	-5.76	-1.66	0.97
1122.070313	-5.76	-1.56	0.94
1125.000000	-5.76	-1.49	0.93
1127.929688	-5.76	-1.45	0.94
1130.859375	-5.76	-1.48	0.93
1133.789063	-5.76	-1.53	0.93
1136.718750	-5.76	-1.58	0.92
1139.648438	-5.76	-1.63	0.91
1142.578125	-5.76	-1.70	0.91
1145.507813	-5.76	-1.81	0.95
1148.437500	-5.77	-1.87	0.93
1151.367188	-5.77	-1.97	0.96
1154.296875	-5.78	-2.04	0.96
1157.226563	-5.79	-2.13	0.96
1160.156250	-5.80	-2.20	0.95
1163.085938	-5.81	-2.27	0.96
1166.015625	-5.82	-2.29	0.95
1168.945313	-5.83	-2.27	0.93
1171.875000	-5.84	-2.24	0.93
1174.804688	-5.85	-2.20	0.97
1177.734375	-5.86	-2.12	0.97
1180.664063	-5.87	-2.02	0.95
1183.593750	-5.88	-1.97	0.93
1186.523438	-5.89	-1.90	0.94
1189.453125	-5.90	-1.81	0.94
1192.382813	-5.91	-1.71	0.94
1195.312500	-5.93	-1.57	0.94
1198.242188	-5.94	-1.39	0.92
1201.171875	-5.95	-1.25	0.90
1204.101563	-5.97	-1.15	0.91
1207.031250	-5.98	-1.17	0.87
1209.960938	-6.00	-1.23	0.93
1212.890625	-6.01	-1.32	0.95
1215.820313	-6.03	-1.46	0.96
1218.750000	-6.04	-1.59	0.91
1221.679688	-6.05	-1.69	0.97
1224.609375	-6.07	-1.80	0.98
1227.539063	-6.08	-1.91	0.96
1230.468750	-6.10	-2.01	0.91
1233.398438	-6.11	-2.09	0.97
1236.328125	-6.12	-2.12	0.98
1239.257813	-6.14	-2.11	0.97
1242.187500	-6.15	-2.11	0.95
1245.117188	-6.17	-2.21	0.92
1248.046875	-6.19	-2.35	0.96
1250.976563	-6.21	-2.50	0.95
1253.906250	-6.24	-2.68	0.96
1256.835938	-6.26	-2.88	0.97
1259.765625	-6.28	-3.11	0.97
1262.695313	-6.30	-3.36	0.94
1265.625000	-6.33	-3.61	0.85
1268.554688	-6.34	-3.96	0.78
1271.484375	-6.36	-4.27	0.82
1274.414063	-6.37	-4.55	0.92
1277.343750	-6.37	-4.78	0.91
1280.273438	-6.38	-5.01	0.92
1283.203125	-6.38	-5.15	0.95
1286.132813	-6.38	-5.21	0.93
1289.062500	-6.38	-5.22	0.87
1291.992188	-6.39	-5.26	0.97
1294.921875	-6.39	-5.36	0.98
1297.851563	-6.40	-5.50	0.96
1300.781250	-6.41	-5.68	0.98
1303.710938	-6.42	-5.89	0.98
1306.640625	-6.43	-6.13	0.98
1309.570313	-6.45	-6.39	0.97
1312.500000	-6.47	-6.68	0.97
1315.429688	-6.49	-6.98	0.97
1318.359375	-6.50	-7.31	0.96
1321.289063	-6.52	-7.68	0.95
1324.218750	-6.54	-8.07	0.98
1327.148438	-6.56	-8.40	0.98
1330.078125	-6.57	-8.71	0.99
1333.007813	-6.59	-9.01	0.99
1335.937500	-6.61	-9.26	0.99
1338.867188	-6.62	-9.45	0.96
1341.796875	-6.64	-9.62	0.91
1344.726563	-6.65	-9.79	0.91
1347.656250	-6.66	-9.90	0.94
1350.585938	-6.68	-10.01	0.94
1353.515625	-6.69	-10.20	0.95
1356.445313	-6.70	-10.37	0.89
1359.375000	-6.71	-10.58	0.95
1362.304688	-6.73	-10.80	0.94
1365.234375	-6.74	-11.01	0.94
1368.164063	-6.76	-11.18	0.94
1371.093750	-6.77	-11.36	0.96
1374.023438	-6.79	-11.56	0.94
1376.953125	-6.81	-11.79	0.92
1379.882813	-6.82	-11.98	0.94
1382.812500	-6.84	-12.11	0.93
1385.742188	-6.86	-12.20	0.94
1388.671875	-6.87	-12.21	0.92
1391.601563	-6.89	-12.17	0.88
1394.531250	-6.91	-12.12	0.94
1397.460938	-6.92	-12.10	0.97
1400.390625	-6.94	-12.08	0.98
1403.320313	-6.97	-12.04	0.98
1406.250000	-6.99	-12.02	0.95
1409.179688	-7.01	-12.04	0.94
1412.109375	-7.03	-12.07	0.88
1415.039063	-7.05	-12.02	0.92
1417.968750	-7.07	-12.01	0.86
1420.898438	-7.09	-12.06	0.77
1423.828125	-7.11	-12.11	0.82
1426.757813	-7.12	-12.12	0.78
1429.687500	-7.13	-12.21	0.75
1432.617188	-7.14	-12.34	0.83
1435.546875	-7.15	-12.45	0.93
1438.476563	-7.15	-12.58	0.91
1441.406250	-7.15	-12.70	0.90
1444.335938	-7.14	-12.77	0.93
1447.265625	-7.14	-12.82	0.97
1450.195313	-7.14	-12.85	0.94
1453.125000	-7.14	-12.81	0.84
1456.054688	-7.14	-12.74	0.84
1458.984375	-7.13	-12.68	0.90
1461.914063	-7.13	-12.67	0.95
1464.843750	-7.13	-12.63	0.91
1467.773438	-7.13	-12.65	0.96
1470.703125	-7.13	-12.64	0.94
1473.632813	-7.14	-12.62	0.91
1476.562500	-7.14	-12.61	0.86
1479.492188	-7.15	-12.65	0.86
1482.421875	-7.15	-12.74	0.88
1485.351563	-7.16	-12.89	0.83
1488.281250	-7.16	-13.08	0.78
1491.210938	-7.16	-13.35	0.77
1494.140625	-7.17	-13.64	0.76
1497.070313	-7.17	-13.91	0.72
1500.000000	-7.17	-14.19	0.70
1502.929688	-7.17	-14.51	0.74
1505.859375	-7.17	-14.87	0.85
1508.789063	-7.17	-15.17	0.89
1511.718750	-7.17	-15.49	0.74
1514.648438	-7.17	-15.80	0.76
1517.578125	-7.16	-16.05	0.78
1520.507813	-7.15	-16.14	0.68
1523.437500	-7.14	-16.15	0.68
1526.367188	-7.13	-16.04	0.69
1529.296875	-7.12	-15.84	0.64
1532.226563	-7.11	-15.65	0.74
1535.156250	-7.10	-15.51	0.79
1538.085938	-7.09	-15.51	0.85
1541.015625	-7.08	-15.64	0.83
1543.945313	-7.07	-15.83	0.73
1546.875000	-7.06	-16.15	0.94
1549.804688	-7.05	-16.67	0.92
1552.734375	-7.04	-17.35	0.67
1555.664063	-7.04	-18.06	0.68
1558.593750	-7.03	-18.73	0.90
1561.523438	-7.01	-19.35	0.89
1564.453125	-7.00	-19.95	0.88
1567.382813	-6.99	-20.45	0.83
1570.312500	-6.98	-20.86	0.87
1573.242188	-6.98	-21.15	0.87
1576.171875	-6.97	-21.34	0.83
1579.101563	-6.96	-21.41	0.72
1582.031250	-6.96	-21.41	0.83
1584.960938	-6.95	-21.36	0.83
1587.890625	-6.94	-21.25	0.86
1590.820313	-6.94	-21.01	0.91
1593.750000	-6.93	-20.83	0.89
1596.679688	-6.92	-20.68	0.82
1599.609375	-6.91	-20.52	0.86
1602.539063	-6.91	-20.25	0.80
1605.468750	-6.90	-19.90	0.67
1608.398438	-6.89	-19.55	0.92
1611.328125	-6.88	-19.18	0.69
1614.257813	-6.87	-18.83	0.55
1617.187500	-6.86	-18.45	0.75
1620.117188	-6.85	-18.16	0.81
1623.046875	-6.84	-17.95	0.87
1625.976563	-6.83	-17.86	0.94
1628.906250	-6.83	-17.91	0.95
1631.835938	-6.82	-18.00	0.91
1634.765625	-6.82	-18.11	0.91
1637.695313	-6.82	-18.24	0.94
1640.625000	-6.82	-18.39	0.84
1643.554688	-6.82	-18.48	0.87
1646.484375	-6.82	-18.50	0.92
1649.414063	-6.82	-18.45	0.84
1652.343750	-6.82	-18.38	0.81
1655.273438	-6.82	-18.27	0.76
1658.203125	-6.82	-18.06	0.83
1661.132813	-6.81	-17.78	0.86
1664.062500	-6.81	-17.42	0.92
1666.992188	-6.81	-17.00	0.92
1669.921875	-6.81	-16.54	0.84
1672.851563	-6.81	-16.02	0.85
1675.781250	-6.80	-15.42	0.80
1678.710938	-6.79	-14.75	0.70
1681.640625	-6.79	-14.07	0.67
1684.570313	-6.78	-13.37	0.65
1687.500000	-6.78	-12.68	0.66
1690.429688	-6.78	-12.02	0.85
1693.359375	-6.77	-11.46	0.86
1696.289063	-6.77	-11.01	0.88
1699.218750	-6.78	-10.69	0.85
1702.148438	-6.78	-10.43	0.92
1705.078125	-6.79	-10.14	0.90
1708.007813	-6.79	-9.83	0.81
1710.937500	-6.80	-9.52	0.51
1713.867188	-6.81	-9.20	0.46
1716.796875	-6.82	-8.91	0.48
1719.726563	-6.83	-8.70	0.50
1722.656250	-6.84	-8.64	0.50
1725.585938	-6.86	-8.67	0.58
1728.515625	-6.87	-8.78	0.57
1731.445313	-6.89	-9.00	0.58
1734.375000	-6.90	-9.23	0.67
1737.304688	-6.92	-9.47	0.82
1740.234375	-6.93	-9.78	0.67
1743.164063	-6.95	-10.10	0.65
1746.093750	-6.97	-10.45	0.67
1749.023438	-6.99	-10.85	0.66
1751.953125	-7.00	-11.27	0.67
1754.882813	-7.02	-11.70	0.81
1757.812500	-7.04	-12.03	0.63
1760.742188	-7.05	-12.39	0.57
1763.671875	-7.07	-12.72	0.69
1766.601563	-7.07	-13.02	0.70
1769.531250	-7.08	-13.33	0.77
1772.460938	-7.08	-13.59	0.81
1775.390625	-7.08	-13.71	0.67
1778.320313	-7.07	-13.76	0.60
1781.250000	-7.07	-13.79	0.83
1784.179688	-7.06	-13.81	0.87
1787.109375	-7.05	-13.89	0.78
1790.039063	-7.04	-13.98	0.75
1792.968750	-7.03	-14.08	0.75
1795.898438	-7.02	-14.19	0.86
1798.828125	-7.02	-14.35	0.84
1801.757813	-7.01	-14.56	0.90
1804.687500	-7.00	-14.73	0.96
1807.617188	-6.99	-14.83	0.97
1810.546875	-6.99	-14.88	0.96
1813.476563	-6.98	-14.87	0.87
1816.406250	-6.98	-14.82	0.82
1819.335938	-6.98	-14.76	0.97
1822.265625	-6.97	-14.71	0.89
1825.195313	-6.97	-14.63	0.78
1828.125000	-6.97	-14.58	0.84
1831.054688	-6.97	-14.60	0.89
1833.984375	-6.96	-14.63	0.95
1836.914063	-6.96	-14.69	0.92
1839.843750	-6.96	-14.73	0.92
1842.773438	-6.96	-14.72	0.81
1845.703125	-6.95	-14.73	0.74
1848.632813	-6.96	-14.73	0.66
1851.562500	-6.96	-14.72	0.62
1854.492188	-6.96	-14.67	0.81
1857.421875	-6.97	-14.62	0.86
1860.351563	-6.97	-14.59	0.89
1863.281250	-6.97	-14.56	0.93
1866.210938	-6.98	-14.54	0.90
1869.140625	-6.98	-14.56	0.92
1872.070313	-6.99	-14.57	0.89
1875.000000	-6.99	-14.63	0.89
1877.929688	-6.99	-14.74	0.91
1880.859375	-6.99	-14.90	0.86
1883.789063	-6.99	-15.11	0.85
1886.718750	-6.99	-15.35	0.85
1889.648438	-6.99	-15.63	0.89
1892.578125	-6.99	-15.91	0.89
1895.507813	-6.99	-16.20	0.83
1898.437500	-6.99	-16.49	0.80
1901.367188	-6.99	-16.80	0.93
1904.296875	-6.99	-17.14	0.88
1907.226563	-6.99	-17.53	0.88
1910.156250	-6.99	-17.95	0.81
1913.085938	-7.00	-18.39	0.86
1916.015625	-7.00	-18.84	0.88
1918.945313	-7.00	-19.31	0.92
1921.875000	-7.00	-19.77	0.87
1924.804688	-7.00	-20.24	0.89
1927.734375	-7.00	-20.70	0.85
1930.664063	-7.00	-21.16	0.91
1933.593750	-6.99	-21.62	0.91
1936.523438	-6.99	-22.07	0.92
1939.453125	-6.98	-22.49	0.90
1942.382813	-6.98	-22.94	0.88
1945.312500	-6.97	-23.42	0.88
1948.242188	-6.96	-23.92	0.87
1951.171875	-6.96	-24.44	0.94
1954.101563	-6.95	-24.95	0.95
1957.031250	-6.95	-25.43	0.95
1959.960938	-6.94	-25.89	0.94
1962.890625	-6.94	-26.33	0.94
1965.820313	-6.93	-26.72	0.96
1968.750000	-6.93	-27.07	0.97
1971.679688	-6.93	-27.40	0.97
1974.609375	-6.93	-27.70	0.93
1977.539063	-6.93	-27.96	0.91
1980.468750	-6.94	-28.21	0.93
1983.398438	-6.94	-28.46	0.97
1986.328125	-6.94	-28.70	0.98
1989.257813	-6.94	-28.90	0.98
1992.187500	-6.94	-29.06	0.97
1995.117188	-6.95	-29.17	0.93
1998.046875	-6.95	-29.25	0.90
2000.976563	-6.96	-29.32	0.91
2003.906250	-6.96	-29.41	0.90
2006.835938	-6.96	-29.54	0.87
2009.765625	-6.96	-29.70	0.92
2012.695313	-6.97	-29.86	0.97
2015.625000	-6.97	-29.99	0.99
2018.554688	-6.97	-30.10	0.99
2021.484375	-6.97	-30.20	0.98
2024.414063	-6.98	-30.28	0.98
2027.343750	-6.98	-30.34	0.95
2030.273438	-6.98	-30.38	0.95
2033.203125	-6.99	-30.38	0.92
2036.132813	-6.99	-30.36	0.91
2039.062500	-6.99	-30.33	0.92
2041.992188	-7.00	-30.29	0.90
2044.921875	-7.00	-30.28	0.85
2047.851563	-7.01	-30.29	0.89
2050.781250	-7.02	-30.31	0.89
2053.710938	-7.02	-30.32	0.97
2056.640625	-7.02	-30.31	0.95
2059.570313	-7.03	-30.31	0.93
2062.500000	-7.03	-30.31	0.94
2065.429688	-7.03	-30.31	0.97
2068.359375	-7.03	-30.31	0.96
2071.289063	-7.03	-30.30	0.95
2074.218750	-7.04	-30.28	0.91
2077.148438	-7.04	-30.29	0.90
2080.078125	-7.04	-30.31	0.91
2083.007813	-7.05	-30.33	0.94
2085.937500	-7.05	-30.33	0.92
2088.867188	-7.06	-30.33	0.87
2091.796875	-7.07	-30.37	0.89
2094.726563	-7.07	-30.41	0.88
2097.656250	-7.08	-30.45	0.86
2100.585938	-7.09	-30.50	0.78
2103.515625	-7.09	-30.58	0.86
2106.445313	-7.10	-30.66	0.90
2109.375000	-7.11	-30.74	0.84
2112.304688	-7.12	-30.85	0.73
2115.234375	-7.13	-30.97	0.68
2118.164063	-7.13	-31.12	0.84
2121.093750	-7.14	-31.28	0.82
2124.023438	-7.15	-31.44	0.55
2126.953125	-7.16	-31.61	0.25
2129.882813	-7.17	-31.78	0.52
2132.812500	-7.17	-31.94	0.91
2135.742188	-7.18	-32.08	0.84
2138.671875	-7.18	-32.21	0.91
