	SM57_PROX_20_BASS_REFLEX_CON_LANA		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
5545.898438	-7.13	-148.40	0.91
5548.828125	-7.15	-148.42	0.96
5551.757813	-7.18	-148.47	0.91
5554.687500	-7.21	-148.56	0.99
5557.617188	-7.24	-148.68	0.82
5560.546875	-7.27	-148.81	0.65
5563.476563	-7.30	-148.92	0.67
5566.406250	-7.33	-149.02	0.78
5569.335938	-7.35	-149.11	0.89
5572.265625	-7.38	-149.19	0.95
5575.195313	-7.40	-149.24	0.93
5578.125000	-7.43	-149.26	0.92
5581.054688	-7.46	-149.24	0.93
5583.984375	-7.48	-149.20	0.55
5586.914063	-7.51	-149.13	0.23
5589.843750	-7.54	-149.06	0.42
5592.773438	-7.56	-148.98	0.76
5595.703125	-7.59	-148.87	0.55
5598.632813	-7.61	-148.74	0.39
5601.562500	-7.63	-148.61	0.34
5604.492188	-7.66	-148.46	0.48
5607.421875	-7.68	-148.29	0.22
5610.351563	-7.69	-148.13	0.39
5613.281250	-7.71	-147.94	0.28
5616.210938	-7.73	-147.73	0.91
5619.140625	-7.75	-147.49	0.86
5622.070313	-7.77	-147.22	0.63
5625.000000	-7.78	-146.93	0.52
5627.929688	-7.80	-146.61	0.12
5630.859375	-7.81	-146.29	0.48
5633.789063	-7.82	-145.97	0.16
5636.718750	-7.83	-145.65	0.35
5639.648438	-7.84	-145.31	0.39
5642.578125	-7.85	-144.99	0.57
5645.507813	-7.86	-144.68	0.20
5648.437500	-7.87	-144.36	0.09
5651.367188	-7.88	-144.04	0.23
5654.296875	-7.88	-143.72	0.48
5657.226563	-7.89	-143.41	0.53
5660.156250	-7.89	-143.11	0.12
5663.085938	-7.89	-142.79	0.38
5666.015625	-7.89	-142.46	0.32
5668.945313	-7.89	-142.13	0.54
5671.875000	-7.89	-141.77	0.70
5674.804688	-7.89	-141.40	0.62
5677.734375	-7.89	-141.02	0.66
5680.664063	-7.90	-140.63	0.78
5683.593750	-7.90	-140.25	0.63
5686.523438	-7.90	-139.90	0.70
5689.453125	-7.90	-139.59	0.68
5692.382813	-7.90	-139.32	0.33
5695.312500	-7.89	-139.06	0.40
5698.242188	-7.89	-138.81	0.44
5701.171875	-7.89	-138.59	0.15
5704.101563	-7.88	-138.37	0.42
5707.031250	-7.88	-138.14	0.17
5709.960938	-7.87	-137.92	0.65
5712.890625	-7.87	-137.71	0.34
5715.820313	-7.87	-137.51	0.19
5718.750000	-7.86	-137.31	0.16
5721.679688	-7.86	-137.11	0.40
5724.609375	-7.85	-136.93	0.53
5727.539063	-7.85	-136.77	0.70
5730.468750	-7.85	-136.62	0.91
5733.398438	-7.84	-136.54	0.89
5736.328125	-7.84	-136.49	0.49
5739.257813	-7.83	-136.47	0.60
5742.187500	-7.83	-136.45	0.62
5745.117188	-7.82	-136.43	0.52
5748.046875	-7.81	-136.42	0.79
5750.976563	-7.80	-136.42	0.57
5753.906250	-7.79	-136.45	0.70
5756.835938	-7.78	-136.51	0.79
5759.765625	-7.77	-136.60	0.59
5762.695313	-7.76	-136.71	0.53
5765.625000	-7.75	-136.82	0.72
5768.554688	-7.74	-136.92	0.35
5771.484375	-7.73	-137.04	0.53
5774.414063	-7.72	-137.17	0.70
5777.343750	-7.71	-137.31	0.79
5780.273438	-7.71	-137.45	0.70
5783.203125	-7.70	-137.58	0.80
5786.132813	-7.69	-137.72	0.91
5789.062500	-7.68	-137.89	0.96
5791.992188	-7.67	-138.08	0.98
5794.921875	-7.66	-138.30	0.90
5797.851563	-7.65	-138.53	0.67
5800.781250	-7.64	-138.79	0.54
5803.710938	-7.64	-139.04	0.76
5806.640625	-7.63	-139.28	0.91
5809.570313	-7.61	-139.54	0.96
5812.500000	-7.60	-139.81	0.74
5815.429688	-7.59	-140.09	0.43
5818.359375	-7.58	-140.36	0.17
5821.289063	-7.57	-140.63	0.83
5824.218750	-7.55	-140.92	0.80
5827.148438	-7.53	-141.22	0.92
5830.078125	-7.52	-141.55	0.97
5833.007813	-7.50	-141.89	0.96
5835.937500	-7.49	-142.26	0.94
5838.867188	-7.47	-142.65	0.96
5841.796875	-7.45	-143.07	0.95
5844.726563	-7.44	-143.49	0.95
5847.656250	-7.43	-143.91	0.93
5850.585938	-7.41	-144.33	0.92
5853.515625	-7.40	-144.74	0.98
5856.445313	-7.39	-145.17	0.98
5859.375000	-7.37	-145.60	0.96
5862.304688	-7.36	-146.04	0.97
5865.234375	-7.35	-146.49	0.94
5868.164063	-7.34	-146.92	0.95
5871.093750	-7.33	-147.36	0.90
5874.023438	-7.32	-147.80	0.87
5876.953125	-7.31	-148.25	0.90
5879.882813	-7.30	-148.68	0.70
5882.812500	-7.28	-149.11	0.61
5885.742188	-7.27	-149.54	0.71
5888.671875	-7.25	-149.97	0.75
5891.601563	-7.23	-150.42	0.82
5894.531250	-7.21	-150.88	0.84
5897.460938	-7.19	-151.37	0.68
5900.390625	-7.17	-151.88	0.63
5903.320313	-7.15	-152.39	0.69
5906.250000	-7.13	-152.90	0.86
5909.179688	-7.10	-153.41	0.83
5912.109375	-7.08	-153.92	0.85
5915.039063	-7.06	-154.45	0.86
5917.968750	-7.04	-154.99	0.83
5920.898438	-7.01	-155.54	0.65
5923.828125	-6.99	-156.11	0.89
5926.757813	-6.97	-156.70	0.85
5929.687500	-6.94	-157.31	0.43
5932.617188	-6.92	-157.94	0.40
5935.546875	-6.90	-158.55	0.81
5938.476563	-6.88	-159.13	0.92
5941.406250	-6.86	-159.71	0.95
5944.335938	-6.84	-160.26	0.95
5947.265625	-6.83	-160.79	0.90
5950.195313	-6.82	-161.31	0.93
5953.125000	-6.81	-161.84	0.91
5956.054688	-6.80	-162.39	0.60
5958.984375	-6.79	-162.96	0.37
5961.914063	-6.78	-163.52	0.31
5964.843750	-6.78	-164.09	0.29
5967.773438	-6.77	-164.67	0.79
5970.703125	-6.77	-165.25	0.96
5973.632813	-6.76	-165.83	0.90
5976.562500	-6.76	-166.44	0.49
5979.492188	-6.76	-167.06	0.49
5982.421875	-6.76	-167.70	0.29
5985.351563	-6.76	-168.34	0.75
5988.281250	-6.76	-168.93	0.91
5991.210938	-6.76	-169.48	0.98
5994.140625	-6.76	-169.99	0.93
5997.070313	-6.76	-170.47	0.87
6000.000000	-6.77	-170.92	0.75
6002.929688	-6.77	-171.37	0.88
6005.859375	-6.77	-171.82	0.83
6008.789063	-6.77	-172.26	0.89
6011.718750	-6.78	-172.69	0.75
6014.648438	-6.78	-173.11	0.46
6017.578125	-6.78	-173.54	0.76
6020.507813	-6.79	-173.96	0.90
6023.437500	-6.79	-174.36	0.85
6026.367188	-6.79	-174.77	0.85
6029.296875	-6.80	-175.16	0.55
6032.226563	-6.80	-175.55	0.91
6035.156250	-6.81	-175.93	0.95
6038.085938	-6.81	-176.28	0.95
6041.015625	-6.82	-176.61	0.75
6043.945313	-6.83	-176.92	0.53
6046.875000	-6.83	-177.23	0.84
6049.804688	-6.84	-177.53	0.92
6052.734375	-6.85	-177.83	0.85
6055.664063	-6.85	-178.12	0.95
6058.593750	-6.86	-178.37	0.80
6061.523438	-6.87	-178.60	0.23
6064.453125	-6.87	-178.83	0.37
6067.382813	-6.88	-179.05	0.69
6070.312500	-6.88	-179.29	0.88
6073.242188	-6.88	-179.52	0.88
6076.171875	-6.88	-179.78	0.91
6079.101563	-6.88	179.97	0.93
6082.031250	-6.88	179.70	0.95
6084.960938	-6.88	179.41	0.97
6087.890625	-6.88	179.11	0.94
6090.820313	-6.89	178.81	0.95
6093.750000	-6.89	178.51	0.94
6096.679688	-6.90	178.20	0.96
6099.609375	-6.90	177.89	0.97
6102.539063	-6.91	177.57	0.98
6105.468750	-6.92	177.24	0.98
6108.398438	-6.93	176.90	0.87
6111.328125	-6.94	176.54	0.93
6114.257813	-6.95	176.20	0.84
6117.187500	-6.96	175.87	0.61
6120.117188	-6.97	175.56	0.44
6123.046875	-6.98	175.24	0.92
6125.976563	-6.99	174.91	0.79
6128.906250	-6.99	174.58	0.90
6131.835938	-7.00	174.24	0.61
6134.765625	-7.01	173.87	0.09
6137.695313	-7.02	173.49	0.75
6140.625000	-7.03	173.13	0.93
6143.554688	-7.04	172.78	0.81
6146.484375	-7.05	172.44	0.92
6149.414063	-7.06	172.11	0.92
6152.343750	-7.07	171.79	0.94
6155.273438	-7.08	171.46	0.87
6158.203125	-7.09	171.13	0.25
6161.132813	-7.10	170.80	0.52
6164.062500	-7.11	170.50	0.11
6166.992188	-7.11	170.19	0.68
6169.921875	-7.12	169.91	0.32
6172.851563	-7.13	169.63	0.31
6175.781250	-7.14	169.35	0.34
6178.710938	-7.14	169.06	0.50
6181.640625	-7.15	168.75	0.57
6184.570313	-7.16	168.44	0.71
6187.500000	-7.17	168.12	0.62
6190.429688	-7.18	167.80	0.86
6193.359375	-7.19	167.47	0.85
6196.289063	-7.20	167.17	0.94
6199.218750	-7.21	166.89	0.88
6202.148438	-7.22	166.60	0.91
6205.078125	-7.23	166.31	0.54
6208.007813	-7.24	166.03	0.96
6210.937500	-7.26	165.76	0.91
6213.867188	-7.27	165.50	0.85
6216.796875	-7.29	165.26	0.81
6219.726563	-7.30	165.03	0.90
6222.656250	-7.32	164.82	0.87
6225.585938	-7.34	164.61	0.68
6228.515625	-7.35	164.41	0.78
6231.445313	-7.37	164.23	0.82
6234.375000	-7.39	164.08	0.80
6237.304688	-7.41	163.98	0.91
6240.234375	-7.43	163.93	0.83
6243.164063	-7.46	163.90	0.56
6246.093750	-7.47	163.87	0.82
6249.023438	-7.49	163.86	0.40
6251.953125	-7.51	163.86	0.63
6254.882813	-7.53	163.89	0.64
6257.812500	-7.55	163.92	0.69
6260.742188	-7.57	163.95	0.09
6263.671875	-7.59	163.98	0.83
6266.601563	-7.60	164.03	0.90
6269.531250	-7.62	164.12	0.93
6272.460938	-7.63	164.24	0.80
6275.390625	-7.65	164.38	0.70
6278.320313	-7.67	164.53	0.20
6281.250000	-7.68	164.68	0.20
6284.179688	-7.69	164.82	0.56
6287.109375	-7.71	164.95	0.49
6290.039063	-7.72	165.08	0.81
6292.968750	-7.73	165.21	0.76
6295.898438	-7.74	165.34	0.88
6298.828125	-7.75	165.49	0.27
6301.757813	-7.76	165.65	0.18
6304.687500	-7.76	165.80	0.67
6307.617188	-7.77	165.95	0.80
6310.546875	-7.77	166.10	0.81
6313.476563	-7.77	166.25	0.94
6316.406250	-7.77	166.39	0.90
6319.335938	-7.77	166.53	0.45
6322.265625	-7.77	166.66	0.42
6325.195313	-7.77	166.77	0.85
6328.125000	-7.77	166.87	0.76
6331.054688	-7.77	166.97	0.88
6333.984375	-7.77	167.07	0.79
6336.914063	-7.77	167.15	0.39
6339.843750	-7.77	167.24	0.47
6342.773438	-7.77	167.34	0.70
6345.703125	-7.77	167.44	0.77
6348.632813	-7.76	167.53	0.88
6351.562500	-7.76	167.58	0.80
6354.492188	-7.76	167.59	0.76
6357.421875	-7.76	167.56	0.96
6360.351563	-7.75	167.50	0.76
6363.281250	-7.75	167.42	0.64
6366.210938	-7.75	167.30	0.72
6369.140625	-7.75	167.18	0.32
6372.070313	-7.74	167.04	0.64
6375.000000	-7.74	166.86	0.45
6377.929688	-7.74	166.65	0.46
6380.859375	-7.74	166.40	0.57
6383.789063	-7.74	166.13	0.72
6386.718750	-7.74	165.83	0.67
6389.648438	-7.74	165.53	0.57
6392.578125	-7.74	165.21	0.22
6395.507813	-7.74	164.86	0.72
6398.437500	-7.74	164.48	0.78
6401.367188	-7.74	164.08	0.91
6404.296875	-7.74	163.65	0.87
6407.226563	-7.74	163.18	0.82
6410.156250	-7.74	162.70	0.54
6413.085938	-7.74	162.25	0.92
6416.015625	-7.74	161.84	0.96
6418.945313	-7.74	161.48	0.49
6421.875000	-7.74	161.15	0.53
6424.804688	-7.75	160.85	0.90
6427.734375	-7.75	160.59	0.81
6430.664063	-7.75	160.35	0.52
6433.593750	-7.75	160.12	0.20
6436.523438	-7.74	159.90	0.26
6439.453125	-7.74	159.66	0.42
6442.382813	-7.74	159.42	0.61
6445.312500	-7.73	159.17	0.78
6448.242188	-7.72	158.90	0.86
6451.171875	-7.72	158.65	0.90
6454.101563	-7.71	158.40	0.37
6457.031250	-7.70	158.15	0.49
6459.960938	-7.69	157.89	0.79
6462.890625	-7.68	157.59	0.93
6465.820313	-7.67	157.23	0.88
6468.750000	-7.66	156.83	0.25
6471.679688	-7.65	156.41	0.66
6474.609375	-7.64	155.98	0.86
6477.539063	-7.63	155.53	0.76
6480.468750	-7.62	155.07	0.38
6483.398438	-7.62	154.63	0.48
6486.328125	-7.61	154.21	0.69
6489.257813	-7.61	153.79	0.35
6492.187500	-7.60	153.37	0.42
6495.117188	-7.59	152.94	0.70
6498.046875	-7.59	152.50	0.80
6500.976563	-7.58	152.06	0.81
6503.906250	-7.57	151.63	0.62
6506.835938	-7.57	151.20	0.10
6509.765625	-7.57	150.78	0.84
6512.695313	-7.56	150.40	0.57
6515.625000	-7.56	150.04	0.50
6518.554688	-7.55	149.68	0.58
6521.484375	-7.54	149.33	0.93
6524.414063	-7.53	148.98	0.88
6527.343750	-7.52	148.64	0.55
6530.273438	-7.51	148.30	0.85
6533.203125	-7.50	147.96	0.88
6536.132813	-7.49	147.63	0.68
6539.062500	-7.48	147.29	0.74
6541.992188	-7.47	146.95	0.91
6544.921875	-7.46	146.62	0.82
6547.851563	-7.45	146.30	0.93
6550.781250	-7.44	145.99	0.92
6553.710938	-7.43	145.68	0.88
6556.640625	-7.42	145.38	0.92
6559.570313	-7.42	145.09	0.94
6562.500000	-7.41	144.81	0.68
6565.429688	-7.40	144.53	0.79
6568.359375	-7.39	144.25	0.83
6571.289063	-7.38	143.95	0.80
6574.218750	-7.38	143.63	0.64
6577.148438	-7.37	143.29	0.75
6580.078125	-7.36	142.93	0.60
6583.007813	-7.36	142.57	0.70
6585.937500	-7.36	142.18	0.68
6588.867188	-7.35	141.77	0.90
6591.796875	-7.35	141.35	0.93
6594.726563	-7.35	140.96	0.60
6597.656250	-7.35	140.61	0.42
6600.585938	-7.35	140.28	0.19
6603.515625	-7.35	139.95	0.98
6606.445313	-7.36	139.65	0.94
6609.375000	-7.36	139.37	0.86
6612.304688	-7.36	139.11	0.86
6615.234375	-7.37	138.87	0.86
6618.164063	-7.37	138.65	0.69
6621.093750	-7.38	138.44	0.89
6624.023438	-7.38	138.23	0.91
6626.953125	-7.39	138.04	0.29
6629.882813	-7.39	137.88	0.59
6632.812500	-7.40	137.75	0.68
6635.742188	-7.41	137.65	0.81
6638.671875	-7.42	137.58	0.82
6641.601563	-7.43	137.54	0.54
6644.531250	-7.43	137.52	0.71
6647.460938	-7.44	137.51	0.88
6650.390625	-7.45	137.53	0.23
6653.320313	-7.46	137.55	0.53
6656.250000	-7.47	137.53	0.77
6659.179688	-7.48	137.46	0.66
6662.109375	-7.49	137.38	0.63
6665.039063	-7.50	137.31	0.66
6667.968750	-7.51	137.24	0.75
6670.898438	-7.52	137.17	0.85
6673.828125	-7.53	137.07	0.78
6676.757813	-7.55	136.95	0.60
6679.687500	-7.56	136.82	0.29
6682.617188	-7.58	136.68	0.53
6685.546875	-7.59	136.52	0.23
6688.476563	-7.61	136.36	0.65
6691.406250	-7.62	136.20	0.86
6694.335938	-7.64	136.05	0.96
6697.265625	-7.65	135.91	0.85
6700.195313	-7.67	135.75	0.47
6703.125000	-7.69	135.60	0.26
6706.054688	-7.70	135.45	0.41
6708.984375	-7.72	135.29	0.58
6711.914063	-7.74	135.11	0.32
6714.843750	-7.76	134.94	0.15
6717.773438	-7.78	134.80	0.49
6720.703125	-7.80	134.68	0.56
6723.632813	-7.82	134.59	0.37
6726.562500	-7.84	134.52	0.33
6729.492188	-7.86	134.46	0.31
6732.421875	-7.88	134.38	0.31
6735.351563	-7.90	134.31	0.45
6738.281250	-7.93	134.16	0.25
6741.210938	-7.95	134.03	0.33
6744.140625	-7.97	133.88	0.37
6747.070313	-7.99	133.72	0.26
6750.000000	-8.01	133.54	0.75
6752.929688	-8.03	133.38	0.32
6755.859375	-8.04	133.22	0.55
6758.789063	-8.06	133.05	0.55
6761.718750	-8.07	132.88	0.02
6764.648438	-8.08	132.72	0.09
6767.578125	-8.10	132.56	0.24
6770.507813	-8.11	132.41	0.95
6773.437500	-8.12	132.28	0.68
6776.367188	-8.13	132.17	0.36
6779.296875	-8.14	132.05	0.34
6782.226563	-8.15	131.93	0.79
6785.156250	-8.16	131.83	0.88
6788.085938	-8.17	131.76	0.54
6791.015625	-8.18	131.70	0.50
6793.945313	-8.19	131.63	0.34
6796.875000	-8.20	131.56	0.19
6799.804688	-8.20	131.48	0.24
6802.734375	-8.21	131.39	0.30
6805.664063	-8.22	131.29	0.39
6808.593750	-8.22	131.18	0.65
6811.523438	-8.23	131.05	0.45
6814.453125	-8.24	130.90	0.40
6817.382813	-8.24	130.75	0.34
6820.312500	-8.25	130.61	0.34
6823.242188	-8.26	130.48	0.37
6826.171875	-8.26	130.37	0.06
6829.101563	-8.27	130.26	0.76
6832.031250	-8.27	130.11	0.85
6834.960938	-8.28	129.93	0.85
6837.890625	-8.28	129.72	0.40
6840.820313	-8.29	129.49	0.15
6843.750000	-8.29	129.26	0.39
6846.679688	-8.30	129.02	0.54
6849.609375	-8.30	128.76	0.59
6852.539063	-8.30	128.48	0.44
6855.468750	-8.30	128.18	0.68
6858.398438	-8.30	127.86	0.93
6861.328125	-8.30	127.51	0.91
6864.257813	-8.30	127.14	0.86
6867.187500	-8.30	126.76	0.63
6870.117188	-8.30	126.36	0.50
6873.046875	-8.30	125.98	0.66
6875.976563	-8.30	125.63	0.14
6878.906250	-8.30	125.27	0.25
6881.835938	-8.30	124.90	0.84
6884.765625	-8.29	124.51	0.54
6887.695313	-8.29	124.11	0.76
6890.625000	-8.28	123.69	0.54
6893.554688	-8.28	123.27	0.68
6896.484375	-8.28	122.83	0.78
6899.414063	-8.28	122.38	0.79
6902.343750	-8.27	121.90	0.84
6905.273438	-8.27	121.39	0.83
6908.203125	-8.27	120.82	0.76
6911.132813	-8.26	120.23	0.65
6914.062500	-8.26	119.62	0.69
6916.992188	-8.26	118.99	0.82
6919.921875	-8.26	118.34	0.66
6922.851563	-8.26	117.68	0.53
6925.781250	-8.25	117.01	0.26
6928.710938	-8.25	116.34	0.75
6931.640625	-8.24	115.68	0.75
6934.570313	-8.24	115.04	0.86
6937.500000	-8.23	114.41	0.96
6940.429688	-8.23	113.76	0.75
6943.359375	-8.23	113.12	0.66
6946.289063	-8.22	112.49	0.62
6949.218750	-8.22	111.90	0.94
6952.148438	-8.22	111.33	0.83
6955.078125	-8.21	110.78	0.84
6958.007813	-8.21	110.22	0.76
6960.937500	-8.20	109.66	0.81
6963.867188	-8.20	109.09	0.64
6966.796875	-8.19	108.51	0.88
6969.726563	-8.19	107.90	0.90
6972.656250	-8.18	107.26	0.81
6975.585938	-8.18	106.59	0.91
6978.515625	-8.18	105.88	0.86
6981.445313	-8.17	105.14	0.75
6984.375000	-8.17	104.38	0.91
6987.304688	-8.17	103.57	0.66
6990.234375	-8.16	102.74	0.57
6993.164063	-8.16	101.93	0.63
6996.093750	-8.16	101.11	0.51
6999.023438	-8.16	100.28	0.64
7001.953125	-8.15	99.43	0.42
7004.882813	-8.15	98.55	0.52
7007.812500	-8.15	97.66	0.42
7010.742188	-8.15	96.77	0.50
7013.671875	-8.15	95.87	0.50
7016.601563	-8.15	95.01	0.59
7019.531250	-8.14	94.17	0.60
7022.460938	-8.14	93.38	0.13
7025.390625	-8.14	92.62	0.43
7028.320313	-8.14	91.88	0.55
7031.250000	-8.13	91.17	0.44
7034.179688	-8.13	90.47	0.26
7037.109375	-8.13	89.80	0.15
7040.039063	-8.12	89.14	0.18
7042.968750	-8.12	88.50	0.73
7045.898438	-8.11	87.90	0.79
7048.828125	-8.11	87.34	0.44
7051.757813	-8.11	86.80	0.37
7054.687500	-8.10	86.30	0.69
7057.617188	-8.10	85.82	0.67
7060.546875	-8.10	85.38	0.60
7063.476563	-8.10	84.91	0.20
7066.406250	-8.10	84.46	0.07
7069.335938	-8.10	84.03	0.18
7072.265625	-8.10	83.59	0.26
7075.195313	-8.10	83.16	0.63
7078.125000	-8.09	82.73	0.67
7081.054688	-8.09	82.28	0.63
7083.984375	-8.09	81.81	0.43
7086.914063	-8.08	81.33	0.85
7089.843750	-8.08	80.86	0.36
7092.773438	-8.08	80.39	0.50
7095.703125	-8.07	79.94	0.20
7098.632813	-8.06	79.50	0.49
7101.562500	-8.06	79.05	0.47
7104.492188	-8.05	78.59	0.23
7107.421875	-8.04	78.15	0.65
7110.351563	-8.04	77.74	0.51
7113.281250	-8.03	77.31	0.47
7116.210938	-8.02	76.88	0.54
7119.140625	-8.02	76.44	0.91
7122.070313	-8.02	75.97	0.85
7125.000000	-8.01	75.56	0.60
7127.929688	-8.01	75.15	0.91
7130.859375	-8.01	74.75	0.71
7133.789063	-8.00	74.36	0.75
7136.718750	-8.00	74.00	0.84
7139.648438	-8.00	73.67	0.79
7142.578125	-8.00	73.35	0.71
7145.507813	-8.00	73.05	0.93
7148.437500	-8.00	72.81	0.80
7151.367188	-8.01	72.60	0.77
7154.296875	-8.01	72.42	0.86
7157.226563	-8.01	72.27	0.44
7160.156250	-8.02	72.13	0.44
7163.085938	-8.02	72.01	0.67
7166.015625	-8.02	71.90	0.80
7168.945313	-8.03	71.83	0.66
7171.875000	-8.03	71.77	0.26
7174.804688	-8.03	71.71	0.73
7177.734375	-8.03	71.69	0.76
7180.664063	-8.03	71.68	0.59
7183.593750	-8.04	71.69	0.55
7186.523438	-8.04	71.72	0.43
7189.453125	-8.05	71.77	0.34
7192.382813	-8.05	71.81	0.44
7195.312500	-8.05	71.86	0.29
7198.242188	-8.06	71.92	0.37
7201.171875	-8.06	72.00	0.38
7204.101563	-8.06	72.07	0.23
7207.031250	-8.06	72.14	0.15
7209.960938	-8.06	72.21	0.37
7212.890625	-8.06	72.28	0.48
7215.820313	-8.07	72.34	0.62
7218.750000	-8.07	72.42	0.53
7221.679688	-8.07	72.55	0.60
7224.609375	-8.07	72.70	0.36
7227.539063	-8.08	72.85	0.70
7230.468750	-8.08	73.03	0.52
7233.398438	-8.08	73.21	0.27
7236.328125	-8.09	73.39	0.56
7239.257813	-8.09	73.59	0.52
7242.187500	-8.09	73.80	0.70
7245.117188	-8.09	74.03	0.58
7248.046875	-8.10	74.26	0.69
7250.976563	-8.10	74.51	0.72
7253.906250	-8.10	74.76	0.76
7256.835938	-8.10	75.02	0.66
7259.765625	-8.10	75.30	0.65
7262.695313	-8.10	75.61	0.53
7265.625000	-8.10	75.94	0.22
7268.554688	-8.10	76.27	0.45
7271.484375	-8.10	76.61	0.54
7274.414063	-8.10	76.96	0.48
7277.343750	-8.09	77.32	0.23
7280.273438	-8.09	77.68	0.17
7283.203125	-8.08	78.03	0.43
7286.132813	-8.08	78.40	0.22
7289.062500	-8.07	78.77	0.49
7291.992188	-8.06	79.15	0.49
7294.921875	-8.05	79.53	0.64
7297.851563	-8.04	79.91	0.37
7300.781250	-8.03	80.29	0.36
7303.710938	-8.02	80.66	0.50
7306.640625	-8.01	81.03	0.32
7309.570313	-7.99	81.40	0.71
7312.500000	-7.98	81.76	0.73
7315.429688	-7.96	82.11	0.24
7318.359375	-7.95	82.46	0.66
7321.289063	-7.93	82.81	0.58
7324.218750	-7.91	83.17	0.51
7327.148438	-7.89	83.52	0.47
7330.078125	-7.87	83.86	0.22
7333.007813	-7.85	84.21	0.21
7335.937500	-7.83	84.54	0.51
7338.867188	-7.82	84.86	0.66
7341.796875	-7.80	85.17	0.06
7344.726563	-7.78	85.48	0.36
7347.656250	-7.76	85.79	0.62
7350.585938	-7.74	86.15	0.63
7353.515625	-7.72	86.52	0.61
7356.445313	-7.70	86.91	0.66
7359.375000	-7.68	87.31	0.63
7362.304688	-7.67	87.72	0.53
7365.234375	-7.65	88.15	0.80
7368.164063	-7.63	88.59	0.64
7371.093750	-7.62	89.05	0.81
7374.023438	-7.60	89.53	0.68
7376.953125	-7.58	90.02	0.67
7379.882813	-7.57	90.53	0.67
7382.812500	-7.55	91.05	0.47
7385.742188	-7.54	91.57	0.30
7388.671875	-7.52	92.08	0.85
7391.601563	-7.50	92.59	0.81
7394.531250	-7.48	93.09	0.80
7397.460938	-7.46	93.58	0.79
7400.390625	-7.44	94.08	0.85
7403.320313	-7.43	94.58	0.90
7406.250000	-7.41	95.08	0.80
7409.179688	-7.39	95.57	0.84
7412.109375	-7.37	96.04	0.76
7415.039063	-7.35	96.49	0.90
7417.968750	-7.33	96.93	0.75
7420.898438	-7.31	97.38	0.85
7423.828125	-7.29	97.83	0.81
7426.757813	-7.27	98.29	0.65
7429.687500	-7.26	98.77	0.55
7432.617188	-7.24	99.25	0.63
7435.546875	-7.22	99.75	0.85
7438.476563	-7.20	100.23	0.80
7441.406250	-7.19	100.71	0.75
7444.335938	-7.17	101.19	0.87
7447.265625	-7.15	101.68	0.79
7450.195313	-7.14	102.17	0.74
7453.125000	-7.12	102.66	0.86
7456.054688	-7.11	103.14	0.94
7458.984375	-7.09	103.59	0.92
7461.914063	-7.08	104.02	0.86
7464.843750	-7.07	104.44	0.59
7467.773438	-7.06	104.86	0.31
7470.703125	-7.04	105.29	0.61
7473.632813	-7.03	105.73	0.74
7476.562500	-7.01	106.18	0.83
7479.492188	-7.00	106.62	0.29
7482.421875	-6.98	107.07	0.44
7485.351563	-6.97	107.50	0.55
7488.281250	-6.95	107.91	0.67
7491.210938	-6.94	108.30	0.40
7494.140625	-6.92	108.66	0.79
7497.070313	-6.91	109.04	0.88
7500.000000	-6.89	109.44	0.75
7502.929688	-6.88	109.85	0.35
7505.859375	-6.86	110.27	0.80
7508.789063	-6.85	110.69	0.96
7511.718750	-6.83	111.13	0.84
7514.648438	-6.82	111.59	0.57
7517.578125	-6.80	112.06	0.22
7520.507813	-6.79	112.52	0.70
7523.437500	-6.78	112.95	0.82
7526.367188	-6.77	113.34	0.15
7529.296875	-6.76	113.72	0.51
7532.226563	-6.75	114.10	0.72
7535.156250	-6.73	114.45	0.79
7538.085938	-6.72	114.79	0.53
7541.015625	-6.71	115.13	0.33
7543.945313	-6.70	115.48	0.11
7546.875000	-6.69	115.82	0.57
7549.804688	-6.67	116.16	0.56
7552.734375	-6.66	116.50	0.49
7555.664063	-6.65	116.85	0.34
7558.593750	-6.63	117.20	0.45
7561.523438	-6.62	117.55	0.43
7564.453125	-6.60	117.88	0.44
7567.382813	-6.59	118.19	0.53
7570.312500	-6.58	118.47	0.59
7573.242188	-6.57	118.74	0.57
7576.171875	-6.56	118.98	0.58
7579.101563	-6.55	119.20	0.48
7582.031250	-6.54	119.39	0.11
7584.960938	-6.53	119.58	0.40
7587.890625	-6.52	119.80	0.56
7590.820313	-6.51	120.03	0.72
7593.750000	-6.51	120.27	0.62
7596.679688	-6.50	120.53	0.50
7599.609375	-6.49	120.80	0.23
7602.539063	-6.48	121.09	0.43
7605.468750	-6.48	121.37	0.72
7608.398438	-6.47	121.60	0.70
7611.328125	-6.46	121.76	0.30
7614.257813	-6.46	121.91	0.33
7617.187500	-6.46	122.05	0.71
7620.117188	-6.45	122.18	0.73
7623.046875	-6.45	122.32	0.77
7625.976563	-6.45	122.47	0.88
7628.906250	-6.45	122.64	0.92
7631.835938	-6.44	122.82	0.82
7634.765625	-6.44	123.00	0.46
7637.695313	-6.43	123.17	0.55
7640.625000	-6.43	123.29	0.71
7643.554688	-6.42	123.35	0.84
7646.484375	-6.42	123.36	0.77
7649.414063	-6.42	123.30	0.86
7652.343750	-6.42	123.18	0.79
7655.273438	-6.42	123.01	0.76
7658.203125	-6.42	122.77	0.52
7661.132813	-6.43	122.51	0.19
