	SM57_PROX_20_BASS_REFLEX_CON_LANA		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
506.835938	-6.52	9.89	0.99
509.765625	-6.70	12.55	1.00
512.695313	-6.87	14.65	1.00
515.625000	-7.03	16.24	1.00
518.554688	-7.19	17.45	0.99
521.484375	-7.35	18.34	0.99
524.414063	-7.48	18.85	0.99
527.343750	-7.59	19.20	0.98
530.273438	-7.68	19.06	0.97
533.203125	-7.78	18.76	0.95
536.132813	-7.90	18.57	0.99
539.062500	-8.02	18.29	0.98
541.992188	-8.14	18.07	0.95
544.921875	-8.22	17.82	0.98
547.851563	-8.28	17.62	0.98
550.781250	-8.33	17.43	0.98
553.710938	-8.34	17.00	0.98
556.640625	-8.34	16.37	0.99
559.570313	-8.32	15.87	1.00
562.500000	-8.25	15.54	0.99
565.429688	-8.19	15.27	0.99
568.359375	-8.13	15.12	0.99
571.289063	-8.04	15.16	1.00
574.218750	-7.95	15.24	0.99
577.148438	-7.86	15.15	0.98
580.078125	-7.78	14.97	0.99
583.007813	-7.72	14.68	0.99
585.937500	-7.66	14.27	0.99
588.867188	-7.61	13.88	0.99
591.796875	-7.57	13.63	0.99
594.726563	-7.51	13.42	0.99
597.656250	-7.47	13.10	1.00
600.585938	-7.40	12.73	0.99
603.515625	-7.34	12.14	0.97
606.445313	-7.28	11.26	0.97
609.375000	-7.25	10.24	0.96
612.304688	-7.23	9.16	0.97
615.234375	-7.28	8.54	0.99
618.164063	-7.33	8.20	1.00
621.093750	-7.37	8.04	1.00
624.023438	-7.42	8.06	1.00
626.953125	-7.46	8.14	0.98
629.882813	-7.50	8.25	0.99
632.812500	-7.53	8.42	0.99
635.742188	-7.56	8.64	0.98
638.671875	-7.56	8.96	0.99
641.601563	-7.56	9.17	0.99
644.531250	-7.59	9.28	0.98
647.460938	-7.64	9.47	0.98
650.390625	-7.70	9.69	0.98
653.320313	-7.73	9.87	0.98
656.250000	-7.76	10.01	0.99
659.179688	-7.77	10.03	0.97
662.109375	-7.78	10.00	0.96
665.039063	-7.79	9.78	0.95
667.968750	-7.80	9.59	0.92
670.898438	-7.83	9.68	0.96
673.828125	-7.85	9.74	0.96
676.757813	-7.86	9.88	0.90
679.687500	-7.86	10.11	0.85
682.617188	-7.85	10.41	0.91
685.546875	-7.84	10.70	0.94
688.476563	-7.81	11.00	0.98
691.406250	-7.77	11.13	1.00
694.335938	-7.70	11.10	0.97
697.265625	-7.62	11.12	0.98
700.195313	-7.55	11.36	0.93
703.125000	-7.50	11.80	0.90
706.054688	-7.45	12.48	0.99
708.984375	-7.43	13.04	0.98
711.914063	-7.41	13.63	0.97
714.843750	-7.39	14.05	0.98
717.773438	-7.39	14.40	0.99
720.703125	-7.40	14.71	1.00
723.632813	-7.41	14.92	0.99
726.562500	-7.43	15.15	0.98
729.492188	-7.43	15.42	0.96
732.421875	-7.43	15.75	0.95
735.351563	-7.42	16.24	0.95
738.281250	-7.40	16.61	0.97
741.210938	-7.41	16.82	0.99
744.140625	-7.45	16.78	0.97
747.070313	-7.51	16.58	0.98
750.000000	-7.60	16.21	0.94
752.929688	-7.70	15.94	0.96
755.859375	-7.80	15.62	0.96
758.789063	-7.87	15.30	0.96
761.718750	-7.94	14.97	0.94
