	SM57_PROX_20		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
512.695313	-6.20	9.82	1.00
515.625000	-6.58	11.28	1.00
518.554688	-6.87	12.52	1.00
521.484375	-7.10	13.57	1.00
524.414063	-7.29	14.34	1.00
527.343750	-7.43	15.09	1.00
530.273438	-7.51	15.65	1.00
533.203125	-7.54	15.93	1.00
536.132813	-7.56	16.04	1.00
539.062500	-7.57	16.04	1.00
541.992188	-7.57	15.94	1.00
544.921875	-7.56	15.87	1.00
547.851563	-7.55	15.76	1.00
550.781250	-7.55	15.61	1.00
553.710938	-7.54	15.49	1.00
556.640625	-7.53	15.41	1.00
559.570313	-7.54	15.19	1.00
562.500000	-7.54	14.98	1.00
565.429688	-7.54	14.83	1.00
568.359375	-7.52	14.60	1.00
571.289063	-7.49	14.31	1.00
574.218750	-7.45	14.11	1.00
577.148438	-7.44	13.88	1.00
580.078125	-7.42	13.66	1.00
583.007813	-7.40	13.47	1.00
585.937500	-7.38	13.32	1.00
588.867188	-7.37	13.21	1.00
591.796875	-7.35	13.18	1.00
594.726563	-7.33	13.09	1.00
597.656250	-7.30	12.93	1.00
600.585938	-7.28	12.73	1.00
603.515625	-7.25	12.52	1.00
606.445313	-7.22	12.30	1.00
609.375000	-7.19	12.07	1.00
612.304688	-7.15	11.85	1.00
615.234375	-7.11	11.63	1.00
618.164063	-7.07	11.41	1.00
621.093750	-7.03	11.21	1.00
624.023438	-6.99	11.01	1.00
626.953125	-6.95	10.82	1.00
629.882813	-6.92	10.65	1.00
632.812500	-6.89	10.49	1.00
635.742188	-6.85	10.31	1.00
638.671875	-6.82	10.14	1.00
641.601563	-6.79	9.97	1.00
644.531250	-6.78	9.93	1.00
647.460938	-6.78	9.96	1.00
650.390625	-6.78	10.05	1.00
653.320313	-6.78	10.08	1.00
656.250000	-6.78	10.11	1.00
659.179688	-6.78	10.20	1.00
662.109375	-6.79	10.39	1.00
665.039063	-6.80	10.60	1.00
667.968750	-6.79	10.80	1.00
670.898438	-6.78	10.95	1.00
673.828125	-6.77	11.09	0.99
676.757813	-6.77	11.09	0.99
679.687500	-6.77	11.10	1.00
682.617188	-6.76	11.16	1.00
685.546875	-6.76	11.24	1.00
688.476563	-6.75	11.27	0.99
691.406250	-6.76	11.16	1.00
694.335938	-6.78	11.04	1.00
697.265625	-6.79	10.91	1.00
700.195313	-6.81	10.77	1.00
703.125000	-6.81	10.64	1.00
706.054688	-6.81	10.50	1.00
708.984375	-6.81	10.31	0.99
711.914063	-6.80	10.07	0.99
714.843750	-6.80	9.83	0.99
717.773438	-6.79	9.62	0.99
